UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
구름,@CLOUD_00_0,2021-08-26T15:21:10.000Z,"구름
@CLOUD_00_0
·
Aug 26","…카츠토랑 이메 부볐어요~!!!! 하.. 카츠토.. 너무 이쁘다( ༎ຶŎ༎ຶ )
2
6",,,2,6,"['https://pbs.twimg.com/media/E9uf-84VgAgteWo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uf-8SVgAMFSEq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uf-8UVoAQ1NK-?format=jpg&name=small', 'https://pbs.twimg.com/media/E9uf-86VgAwmlVd?format=jpg&name=360x360']",https://twitter.com/CLOUD_00_0/status/1430913216243146760
애정,@Yeshinwie,2021-08-22T14:04:23.000Z,"애정
@Yeshinwie
·
Aug 22","왜그렇게 보시나요 ? 제가 카츠토랑 안는 이메 한 사람으로 보이시나요 ?
8
9",,,8,9,"['https://pbs.twimg.com/media/E9ZoDLXUUAMukA5?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ZoDLWUUA0HcyJ?format=jpg&name=small']",https://twitter.com/Yeshinwie/status/1429444341852884993
내 인생은 취미고 나 사실 공주임,@kururururook,2021-08-14T07:04:00.000Z,"내 인생은 취미고 나 사실 공주임
@kururururook
·
Aug 14","카츠라기 미사토랑...
결혼할래
1",,,,1,[],https://twitter.com/kururururook/status/1426439445998235651
愛してるよ、ビビ,@kurodavivian,2021-08-21T05:05:25.000Z,"愛してるよ、ビビ
@kurodavivian
·
Aug 20",계속 그렇게 저한테만 집중해주세요 선배님도 일본 가기 싫잖아 나랑 있고 싶죠 그치 카츠토,,,,,[],https://twitter.com/kurodavivian/status/1428946319947689985
피버콩떡⋆⁺₊⋆,@feverTXT,2021-08-14T07:27:02.000Z,"피버콩떡⋆⁺₊⋆
@feverTXT
·
Aug 14","신용산역 후라토식당
즐거운 하이브러버스클럽 모임 ( ◠ ◠ ) 하이브 근처에 식당이 많지 않아 서치해서 찾아갔어용 하이브랑 별로 안 멀고 규카츠가 맛있당 닭갈비투어에 지치신 분들은 한 번쯤 들러보시는 것도,, ٩(๑′∀ ‵๑)۶•*.¸¸♪
#투모로우바이투게더_먹어봐
#수빈아_먹어봐_마수리수리
3",,,,3,"['https://pbs.twimg.com/media/E8vAWJfUUAAlxkH?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vAWJlVcAQbMTV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vAWJlVcAE_P8C?format=jpg&name=360x360']",https://twitter.com/feverTXT/status/1426445240907407365
잠(沈夢),@6chrc,2021-08-18T09:49:02.000Z,"잠(沈夢)
@6chrc
·
Aug 18","어려서 먹던 학교앞 매우 덜 매운 떡볶이 찾으시는 분들 경성고 라인 카츠토랑 옆 홍익분식을 가십시오. 가격도 싸다. 1인분 2,500원!",,,,,[],https://twitter.com/6chrc/status/1427930531090485259
愛してるよ、ビビ,@kurodavivian,2021-08-12T04:34:38.000Z,"愛してるよ、ビビ
@kurodavivian
·
Aug 11",우리 사고 한 번 제대로 치고 몇 달 동안 칩거 생활 할래요 난 카츠토 너랑만 있으면 집 밖으로 안 나가도 상관없어서,,,,,[],https://twitter.com/kurodavivian/status/1425677080654606337
미레도(푸름),@MeReDo_321,2021-08-12T09:40:20.000Z,"미레도(푸름)
@MeReDo_321
·
Aug 12","얘드라 나 진짜 농담 아니라 5기 나오기 전에,
4기 호크스 나오는 그 두 편 30번 정도 돌려봄.
그래서 나 호크스 첫 등장씬 대사 외울 수 있음...
""소레킷데다레쿠비마스? 스테인 쿠라이?""
(미르코랑 엣지쇼토 대사)
""에... 또~ 지지리츠가 다케디-유토 베스토 지니스트상 카츠노 큐시 니오로 응앤 부
1
2
4",,1,2,4,[],https://twitter.com/MeReDo_321/status/1425754014541520899
랭구,@Gruzam_0,2021-08-30T09:12:36.000Z,"랭구
@Gruzam_0
·
Aug 30","@:에바

이부키 마야랑 카츠라기 미사토중에서 고민했는데 미사토쪽인듯? 나 사실 에바 제대로 안봐서(어릴때 조금 본거밖에 없음... 신지가 너무 답답해서) 잘 몰라서 나무위키 친구들 도움 받음.",,,,,[],https://twitter.com/Gruzam_0/status/1432270013835055113
연보,@ryuha_hi,2021-08-25T13:12:21.000Z,"연보
@ryuha_hi
·
Aug 25",나 카츠라 제일 좋음 잘생긴 장발캐+정이 가 그리고 긴토랑 엮으면 맛있음,,,,,[],https://twitter.com/ryuha_hi/status/1430518411394572294
