UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
jelly 𝄞,@JZQBBPQ8E2X79V8,2021-08-20T03:17:57.000Z,"jelly 𝄞
@JZQBBPQ8E2X79V8
·
8월 20일","보일때마다
Star Born in Sept by QR Organizer https://qrorganizer.wpcomstaging.com/2021/08/09/star-born-in-sept/…
1
1",🐰 📢 🙏,,1,1,[],https://twitter.com/JZQBBPQ8E2X79V8/status/1428556885507014660
풸쒀오나,@iKGSRnGPcXt33rf,2021-08-21T14:57:01.000Z,"풸쒀오나
@iKGSRnGPcXt33rf
·
8월 21일","9월은 남주니 생일 날

Star Born in Sept by QR Organizer https://qrorganizer.wpcomstaging.com/2021/08/09/star-born-in-sept/…",,,,,[],https://twitter.com/iKGSRnGPcXt33rf/status/1429095198118744071
LiNDA,@btswithjjk,2021-08-19T16:44:14.000Z,"LiNDA
@btswithjjk
·
8월 20일","9월 생일 투표 퐈이야 
무한툽.....진짜..계정당 1번만 하개 해주지...무한 노동의 시작!!!

#Jungkook   #RM
@BTS_twt
Star Born in Sept by QR Organizer https://qrorganizer.wpcomstaging.com/2021/08/09/star-born-in-sept/…
2
3
3",💜 🐙 💫 🔥 🔥 🔥 🔁 ✅ 🗳,2,3,3,[],https://twitter.com/btswithjjk/status/1428397406517747723
Prof Jonathan Moyo,@ProfJNMoyo,2021-08-18T14:10:28.000Z,"Prof Jonathan Moyo
@ProfJNMoyo
·
8월 18일","HOW OLD IS EMMERSON MNANGAGWA? Some who were with him in Zambia, and were born in Sept 1938, say they used to have joint birthday parties with him. In the 1980s/90s, press reports said he was born in Sept 1942. Now he says he was born in 1946. Truth is he's turning 83 next month!
274
199
894",,274,199,894,['https://pbs.twimg.com/media/E9FDFbPXMAIoVup?format=jpg&name=small'],https://twitter.com/ProfJNMoyo/status/1427996320267132931
JUNGKOOK SINGAPORE 𝄞 ⁷,@Jeonjungkook_SG,2021-08-25T14:10:13.000Z,"JUNGKOOK SINGAPORE 𝄞 ⁷
@Jeonjungkook_SG
·
8월 25일","ANOTHER WIN FOR JUNGKOOK!!!! 

Jungkook has won the poll: “Star Born in Sept” with 36% of the votes. The prize is a BIG LED SCREEN AD at JOGJA CITY MALL in INDONESIA  

CONGRATS JUNGKOOK 
28
176
539",🧈,28,176,539,"['https://pbs.twimg.com/media/E9pGJ2zVkBEyNFi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9pGJ4TVgAcz1gl?format=jpg&name=360x360']",https://twitter.com/Jeonjungkook_SG/status/1430532972457857024
PEPE & BUDDY; Rescue Chihuahuas,@PepeBuddy72,2021-08-15T15:06:13.000Z,"PEPE & BUDDY; Rescue Chihuahuas
@PepeBuddy72
·
8월 16일","IT’S MY 16 1/2 BIRFDAY TODAYI was born February 15, 2005. Mum found me in a kill shelter Sept. 18th 2007. She wasn’t lookin for a little dog but she fell in love the second she saw me. I’ve had a great life and wanted to thank all my Twitter frens. Life is gud. Love to Auntie
217
89
1.2천",❣ 💖,217,89,1.2천,['https://pbs.twimg.com/media/E81zEixWEAAp2Pj?format=jpg&name=small'],https://twitter.com/PepeBuddy72/status/1426923185891598339
ღ,@gncdberry,2021-08-24T10:49:06.000Z,"ღ
@gncdberry
·
8월 24일","FanPlus Voting Event for Idols born in October (~6th Sept 17:00 kst)
Vote for 42 Seungmin
Please participate in the vote!
We need to complete 6M votes to have a subway ad 
https://p7m9w.app.goo.gl/CbKF1hishyxpoBYXA…
1
11
21",,1,11,21,['https://pbs.twimg.com/media/E9jOiJaVgAENQ3v?format=jpg&name=small'],https://twitter.com/gncdberry/status/1430119970772422660
Padma¹³ | Slow,@filterchocolate,2021-08-08T07:29:45.000Z,"Padma¹³ | Slow
@filterchocolate
·
8월 8일","We are currently ahead in FanPlus but the D-day at the end of poll will be the deciding factor. Keep collecting VTs in FanPlus, let’s get him to #1 this year too

FanPlus Voting Event for Idols born in October (end date ~6th Sept 17:00 kst)

https://p7m9w.app.goo.gl/pwoNsKKsMQ3g3qRPA…
1
28
41",,1,28,41,['https://pbs.twimg.com/media/E8QHd0GUYAYCml-?format=jpg&name=small'],https://twitter.com/filterchocolate/status/1424271597133651972
soum,@knjcrave,2021-08-10T14:54:58.000Z,"soum
@knjcrave
·
8월 10일","vote for namjoon, 

Star Born in Sept by QR Organizer: 
 https://qrorganizer.wpcomstaging.com/2021/08/09/star-born-in-sept/…
19
18",‼ 🔗,,19,18,[],https://twitter.com/knjcrave/status/1425108417467846667
St✯r / ia college,@Star_seekersz,2021-08-14T09:48:20.000Z,"St✯r / ia college
@Star_seekersz
·
8월 14일","The gap has widen so moa plz vote 
Star Born in Sept by QR Organizer https://qrorganizer.wpcomstaging.com/2021/08/09/star-born-in-sept/…
22
10",,,22,10,[],https://twitter.com/Star_seekersz/status/1426480800577556480
