UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
손페,@kthjoa,2021-08-22T07:35:13.000Z,"손페
@kthjoa
·
8월 22일","#rt 추첨해서 앨범 한 분께 사 드립니다
배송비 여부 적어주세요!
타래 봐주세요
514
710
67",,514,710,67,['https://pbs.twimg.com/media/E9YO-bDUcAAqC3w?format=jpg&name=medium'],https://twitter.com/kthjoa/status/1429346402719567872
공식도 아니고 영원하지도 않은 도시,@Eternal_X_city,2021-08-28T14:10:35.000Z,"공식도 아니고 영원하지도 않은 도시
@Eternal_X_city
·
8월 28일","[신규 신기사 안내(1)]

백야관에 새롭게 등장한 A급 신기사, 세이린!
중앙청 소속 익명의 「모노클 한쪽만 끼면 시력 안나빠져요? 네 안나빠져요」님이 제공해주신 극.비.정.보를 지휘사님들께 잠~깐 공유합니다! 
1
159
72",😆,1,159,72,['https://pbs.twimg.com/media/E94iid2UcA0MV_v?format=jpg&name=small'],https://twitter.com/Eternal_X_city/status/1431620229075910658
공식도 아니고 영원하지도 않은 도시,@Eternal_X_city,2021-08-28T14:30:45.000Z,"공식도 아니고 영원하지도 않은 도시
@Eternal_X_city
·
8월 28일","[신규 신기사 안내(2)]

백야관에 새롭게 등장한 S급 신기사, 시젠!
이측회 소속 익명의 「안되겠어, 쏩시다」님이 제공해주신 극.비.정.보를 지휘사님들께 잠~깐 공유합니다!  

(쉿! 시젠한테 들키면 혼나요! 뭐, 시젠이 이걸 자세히 해독할 수 있을지는...)
1
145
59",😉,1,145,59,['https://pbs.twimg.com/media/E94nd33UUAcYFDF?format=jpg&name=small'],https://twitter.com/Eternal_X_city/status/1431625304833806336
금붕어(귀시장에서 율무차 장사),@yul_sayul,2021-08-29T07:13:58.000Z,"금붕어(귀시장에서 율무차 장사)
@yul_sayul
·
8월 29일","[제자공이 되기 위한 조건]

- 요리를 잘해야한다
(훌륭한 실력으로 사존의 두근거림 유발)

- 사존께 매일 자기가 만든 요리를 먹인다

- 어느정도의 광기는 필수. 약간의 집착도 있으면 좋다

- 사존과의 오해는 필수다. 반드시 너가 잘못하고 뼈저리게 후회해야 한다

- 개같아야한다.(욕아님)
1
104
180",🐟 🍵 ❗ ❗,1,104,180,"['https://pbs.twimg.com/media/E98NPgaUcAAUMAU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98NPvHVcAIzRGS?format=jpg&name=small']",https://twitter.com/yul_sayul/status/1431877772750647297
비무장지대,@mgm3v3,2021-08-25T06:39:45.000Z,"비무장지대
@mgm3v3
·
8월 25일","#RT 넷카마펀치 다정잼민공 신희재 생일 기념 알티 이벤트 
$@×장르상관없음!!€♧￦

스태프는 됐고
그럼... 치킨 사줘

네 제가 사드립니다!!!!!!!!!!!!!! 

추첨1분께 기프티콘 보내드려요~ 희재 생일 많은 분들이 축하해주셨으면 좋겠어요
1
426
20",💥 🤍 🎈 ❤ 🎈,1,426,20,"['https://pbs.twimg.com/media/E9nfDa7UcAEOaZS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nfDjXVkAULTgM?format=jpg&name=360x360']",https://twitter.com/mgm3v3/status/1430419610524786689
선배,@jamwon77,2021-08-23T07:13:13.000Z,"선배
@jamwon77
·
8월 23일","아 알았어 알았어 ㅋㅋ 사께 어?
6
9",,,6,9,['https://pbs.twimg.com/media/E9dTh3NUYAQL5Yr?format=jpg&name=small'],https://twitter.com/jamwon77/status/1429703255873921031
망코엘,@mankoL_soms,2021-08-11T09:15:08.000Z,"망코엘
@mankoL_soms
·
8월 11일","소풍간다고 좋아라한 우리 묭쥬
가방, 모자,  멜빵 깔맞춤

다음에는 신발....피....핑...크....사줄께

문제!
마지막에 곰돌이 숫자는?
2
3
19",🌱 🍹 🐻,2,3,19,"['https://pbs.twimg.com/media/E8f8VpyUYAI4KCN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8f8WiiVUAI6ZeP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8f8WGtVcAYz0aT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8f8W-DVIBId74p?format=jpg&name=360x360']",https://twitter.com/mankoL_soms/status/1425385281717293061
크리스탈,@crystal_0705,2021-08-30T13:36:07.000Z,"크리스탈
@crystal_0705
·
8월 30일","야생소 룡님 쿠키 좋아하시던데 나중에도 뜰님께 자주 사달라고 조를 것 같아요ㅋㅋㅋ
1
3
12",,1,3,12,['https://pbs.twimg.com/media/E-CuTPnUcAMPDxm?format=jpg&name=small'],https://twitter.com/crystal_0705/status/1432336330155913217
히 ♡♡,@T0daYimisSyouUu,2021-08-22T23:09:50.000Z,"히 ♡♡
@T0daYimisSyouUu
·
8월 23일","#RT이벵 #프아한정
개돼지가 된 관계로 9월 무쫄 들어가기 전에 200칼 이상 먹으면 입생 틴트 사드림니다요••• 타래로 매일 칼로리 기록하께요 
프아만 트친한정X
1
119
14",🤤,1,119,14,['https://pbs.twimg.com/media/E9bk4-lVIAA0-pd?format=jpg&name=medium'],https://twitter.com/T0daYimisSyouUu/status/1429581606927233030
나인스토리,@ninestory9,2021-08-20T07:58:51.000Z,"나인스토리
@ninestory9
·
8월 20일","[아가사] 𝙋𝙍𝙀𝙑𝙄𝙀𝙒 𝙀𝙑𝙀𝙉𝙏
 프리뷰 랜덤 할인 쿠폰 실물 공개

프리뷰기간 내 관람하시는
유료관객분들께 랜덤 할인 쿠폰 증정!
• 이벤트기간 : 8/24(화)~8/29(일)
118
21",💡 🎫,,118,21,['https://pbs.twimg.com/media/E9OBNHxVoAMYZdV?format=jpg&name=small'],https://twitter.com/ninestory9/status/1428627577040629763
