UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
PEPE,@pepehlpepe,2021-08-23T11:13:33.000Z,"PEPE
@pepehlpepe
·
Aug 23","벌슽테이 카페에서 찍어온 황필 풉니다..
이날을 기다렸다
266
580",,,266,580,"['https://pbs.twimg.com/media/E9eKh45VEAAbYBS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9eKh9GVIAE-cB4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9eKiJDUUAA7TiS?format=jpg&name=360x360']",https://twitter.com/pepehlpepe/status/1429763737875976192
패뷸러스 보이,@FABULOUSBOY_JM,2021-08-25T10:01:24.000Z,"패뷸러스 보이
@FABULOUSBOY_JM
·
Aug 25","✦𝟐𝟎𝟐𝟏 𝐉𝐈𝐌𝐈𝐍 𝐇𝐁𝐃 𝐏𝐑𝐎𝐉𝐄𝐂𝐓 𝐧𝐨.𝟒
✧𝐜𝐚𝐟𝐞 𝐞𝐯𝐞𝐧𝐭
#소년이_온_날 

서울 ⋆ 대구 ⋆ 청주
TOKYO ⋆ NAGOYA

이벤트 장소 / 날짜 / 특전들은 각 지역별 이미지 공지를 확인해 주세요
각 카페마다 지민이 사진으로 가득가득 채울 예정입니다
21
749
1.2K",⏰ 💜 💟 💛,21,749,1.2K,"['https://pbs.twimg.com/media/E9oNLWwUUAAJROI?format=jpg&name=small', 'https://pbs.twimg.com/media/E9oNMkPVUAEAqKS?format=jpg&name=small', 'https://pbs.twimg.com/media/E9oNL9cVkAU4hK-?format=jpg&name=small', 'https://pbs.twimg.com/media/E9oNNNKVIAc4wJm?format=jpg&name=small']",https://twitter.com/FABULOUSBOY_JM/status/1430470356133838857
개미,@sik_ant,2021-08-29T07:51:12.000Z,"개미
@sik_ant
·
Aug 29","아까 갔다온 녜선 생일카페 후기
위치 못 찾고 이리저리 헤매다 다리를 건너 내려오니 바로 요렇게 배너가 뙇! 너무 반갑고 예뻤어요 거기다 창가에 있는 풍선부터 시작해서 카페 곳곳 아기자기한 소품들이랑 사진들이 있더라고요 정말 다 녜선이라 어딜 찍어도 행복한...최고의 카페

#해피_혜선_데이
1
6
68",,1,6,68,"['https://pbs.twimg.com/media/E98Vt0XVEAI_eH4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98Vv8PVgAcAu8H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98Vu9KVIAA4s_b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98Vw9MVQAMtJ2n?format=jpg&name=360x360']",https://twitter.com/sik_ant/status/1431887142637109250
.썰창고.,@ssulVL,2021-08-29T02:42:50.000Z,".썰창고.
@ssulVL
·
Aug 28","김수현이 행복할 수 있는 방법
1. 정다온이랑 밥먹기
2. 정다온이랑 영화보기
3. 정다온이랑 낮잠자기
4. 정다온이랑 산책하기
5. 정다온이랑 카페가기
6. 정다온이랑 말싸움하기
7. 정다온이랑 양치하기
8. 정다온이랑 같이 앉아있기
9. 정다온이랑 같이 숨쉬기
10. 정다온이랑 …
11. 정다온 …
1
6
22",,1,6,22,['https://pbs.twimg.com/media/E97PL8sVEAIgYFB?format=jpg&name=small'],https://twitter.com/ssulVL/status/1431809539599319042
오육대,@205_6dae,2021-08-13T03:26:05.000Z,"오육대
@205_6dae
·
Aug 12","#휴_닝카이_생일_아직안지났네
겨우겨우 시간 내서 온 카페꼬모
아기자기한 휴닝이들 귀여움에 한 반 치이고 액자 보면서 눙물 삼리터 흘렸어요,,⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝
삼성님 특전 진짜 너무너무 애쁘고 휴닝카롱도 ㅠㅅㅠ 귀엽구 맛있더욤
다들 카페 꼬모 오세요 후회 안 합니다ㅠ
2
5",🤍 😋,,2,5,"['https://pbs.twimg.com/media/E8o_hotVgAQHRUl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_hoxVIAIKjxm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_ho2UcAcV4Ti?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8o_howUYAItMF-?format=jpg&name=360x360']",https://twitter.com/205_6dae/status/1426022217100324870
케이채 (K. Chae),@kchae,2021-08-29T07:22:38.000Z,"케이채 (K. Chae)
@kchae
·
Aug 29","맞춤 정장 샵과 함께있는 카페 어반밀. 모모스, 리브레등 유명 원두들을 셀렉해서 내리는 곳인데 커피도 잘 내리고 무엇보다 직원이 무척 친절해서 인상적이었다. 종각역 근처에 온다면 추천하고 싶은 곳.
1
17
84",,1,17,84,"['https://pbs.twimg.com/media/E98PNoaUcAoxfW1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98PNobVkAUS0d8?format=jpg&name=360x360']",https://twitter.com/kchae/status/1431879952408793089
ꜰᴏʀ ᴊɪɴ,@forjin_twt,2021-08-10T06:47:00.000Z,"ꜰᴏʀ ᴊɪɴ
@forjin_twt
·
Aug 9","오늘 일이 너무 한가해서 갤러리 구경하다가 산리오 카페 같이 갔다온 석지니 올려봐용 (๑•᎑< ๑)♡
2
4
42",,2,4,42,"['https://pbs.twimg.com/media/E8aQzPWVEAA73sj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aQ1LhUUAA5ssQ?format=jpg&name=360x360']",https://twitter.com/forjin_twt/status/1424985618111549441
,@sinbjoha_,2021-08-30T11:54:39.000Z,"@sinbjoha_
·
Aug 30","이친구 온동네 카페 포스터 손대고 다니는거 정말 웃기고 귀엽다
The following media includes potentially sensitive content. Change settings
View
43
106",🤟,,43,106,[],https://twitter.com/sinbjoha_/status/1432310795619094530
헤로,@Heroim_S2,2021-08-08T13:57:49.000Z,"헤로
@Heroim_S2
·
Aug 8","#임영웅_5주년_징하네요_어메이징
웅보싶 MAX일 때 찾아온 5주년 카페 덕에 하루종일 임영웅 생각만 하다온.. 작은 그림이지만 협력할 수 있어서 재밌었고, 나눔해주신 분들 다 넘 감사해요..♡ 5주년 카페 열어주셔서 덕후는 행복했습니도 ෆෆෆ
13
38",🥲 🥲 💙,,13,38,"['https://pbs.twimg.com/media/E8RgSWeVoAAQDtq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RgSX4VIAg9QtH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RgSW2VoAUomQh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RgSY0UYAcBeeQ?format=jpg&name=360x360']",https://twitter.com/Heroim_S2/status/1424369260747378689
오무리,@pilluvu_6,2021-08-22T11:07:13.000Z,"오무리
@pilluvu_6
·
Aug 22","#Merry_birthday_dowoon 
#도운이가_선물한_8월의향기

이 날만을 기다렸다...!!! 카페 먼저 간 다음에 전시회까지 보고 온 아주 최고의 날... 전시회 사진들 보면서 너무 행복했어요 이런 큰 이벤트 열어주셔서 너무 감사합니다
3
7",💙 😊 🤍,,3,7,"['https://pbs.twimg.com/media/E9Y_aZMVkAM1Uvy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Y_d7aUUAYLJp3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Y_cBOVcAEJDvJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Y_gAmUUAMgRMQ?format=jpg&name=360x360']",https://twitter.com/pilluvu_6/status/1429399755117891585
