UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
잉퍼,@exbxtx,2021-08-23T02:09:25.000Z,"잉퍼
@exbxtx
·
8월 23일","[비바라비다] 아르헨티나 한인 이민자 삶, 영화에 담는 세실리아 강 감독 (출처 : 연합뉴스 | 네이버 뉴스) http://naver.me/FFv5eIzW
2
7",☕,,2,7,['https://pbs.twimg.com/media/E9cN_2rVgAIgBwc?format=jpg&name=small'],https://twitter.com/exbxtx/status/1429626801786023941
비츄( ᐕ)੭,@summermoon_914,2021-08-22T15:34:30.000Z,"비츄( ᐕ)੭
@summermoon_914
·
8월 23일","현상이 자켓..........
완전 비바라비다...
6",,,,6,['https://pbs.twimg.com/media/E9Z8rUyVUAM_dLY?format=jpg&name=small'],https://twitter.com/summermoon_914/status/1429467021943590921
kU,@kuweeekly,2021-08-03T06:29:45.000Z,"kU
@kuweeekly
·
8월 3일","비바라비다 먼데이 - 수진 - 소은 
이 부분이 너무 좋음 
3
10",🙀,,3,10,['https://pbs.twimg.com/ext_tw_video_thumb/1422444374160379905/pu/img/FNxcCz-R75OfMaAP.jpg'],https://twitter.com/kuweeekly/status/1422444559515078657
첼로깅,@celloging,2021-08-08T04:06:49.000Z,"첼로깅
@celloging
·
8월 8일","진짜 비바라비다 교수깅 웃으시는거 장난없다진짜
흰옷입고 후광 비춰지면서
힘있게 첼로 켜시면서
그렇게 해맑게 웃으시면...
.....
58
61",,,58,61,['https://pbs.twimg.com/ext_tw_video_thumb/1424220491909238784/pu/img/Wj-omIg0B96qIWcV.jpg'],https://twitter.com/celloging/status/1424220527133036554
날먹생선,@kenndelhart,2021-08-15T14:39:17.000Z,"날먹생선
@kenndelhart
·
8월 15일","팝송도 로제님이랑 나랑 비슷할듯 비바라비다 좋아한댔으니까
1
3",,,1,3,['https://pbs.twimg.com/media/E81s6GLVgAoW97o?format=jpg&name=small'],https://twitter.com/kenndelhart/status/1426916410169593857
𝕊𝕝𝕠𝕨 삐뽀,@hoppipopo,2021-08-14T05:46:25.000Z,"𝕊𝕝𝕠𝕨 삐뽀
@hoppipopo
·
8월 14일","비바라비다듣자,,
4",,,,4,[],https://twitter.com/hoppipopo/status/1426419921450201088
머임,@sOuOlveA,2021-08-14T13:22:05.000Z,"머임
@sOuOlveA
·
8월 14일","나 지금 콜드플레이
비바라비다 노래 불러야할 것 같음
3
8",⁉,,3,8,[],https://twitter.com/sOuOlveA/status/1426534592555585541
떰,@gigigieheheh,2021-08-01T08:14:43.000Z,"떰
@gigigieheheh
·
8월 1일","비바라비다 라이브 들으면서 희망찬 생각중
4",,,,4,[],https://twitter.com/gigigieheheh/status/1421746198977728527
W,@Lu_owo_cy,2021-08-09T14:42:26.000Z,"W
@Lu_owo_cy
·
8월 9일","비바라비다 피아노맨
깡!!
@banana9y
 · 8월 9일
다들 슈퍼밴드1.2 포함해서 제일 자기 취향이었던 무대 인용으로 말해조 

나는 어오라 로얄즈 포에버영",,,,,['https://pbs.twimg.com/profile_images/1426942439411970057/PZrwmcuo_mini.jpg'],https://twitter.com/Lu_owo_cy/status/1424742873098977282
파밧,@ppa_ba_bam,2021-08-06T15:59:51.000Z,"파밧
@ppa_ba_bam
·
8월 7일","슈퍼밴드 1라운드 첫 경연곡이었던
어오라&비바라비다 2곡이 
슈퍼밴드의 마무리인 슈밴콘의 단체곡이 되었다는 
이 미친 서사를 사랑하는 편
[4K] 190817 슈퍼밴드 콘서트 부산 - Adventure of a Lifetime (Full Focus)
Adventure of a Lifetime (Full Focus) _낮공Full Focus 02:12 ~
youtube.com
1
2
1",,1,2,1,['https://pbs.twimg.com/card_img/1439881054223945733/gUJQhSKc?format=jpg&name=240x240'],https://twitter.com/ppa_ba_bam/status/1423675193948397575
집사,@mon_jipsa,2021-08-06T17:09:44.000Z,"집사
@mon_jipsa
·
8월 7일","비바라비다 안올려준것도 지대 재섭서.
1",,,,1,[],https://twitter.com/mon_jipsa/status/1423692782238003201
,@muckwal__,2021-08-24T09:51:56.000Z,"@muckwal__
·
8월 24일",비바라비다 너무 좋,😷,,,,[],https://twitter.com/muckwal__/status/1430105585735720963
도트,@s2_DOT,2021-08-15T09:44:26.000Z,"도트
@s2_DOT
·
8월 15일",브금 비바라비다 ㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/s2_DOT/status/1426842207420444680
£유키of「인생」,@2ststf1nal,2021-08-15T21:35:32.000Z,"£유키of「인생」
@2ststf1nal
·
8월 16일","비바라비다 진심 
올타임레전드
M I N U E
@xye29
 · 6월 11일
#Repost @jtbc.insta
...
D-10 | 주간 #슈퍼밴드2 레전드 무대

이 무대로 슈밴 입덕했습니다
Viva La Vida - 하현상, 신예찬, 홍진호

#슈퍼밴드2 6월 21일 [월] 밤 9시 첫 방송
0:55
362 조회수
1",🙏 🎵,,,1,['https://pbs.twimg.com/profile_images/1435792138088767492/jINxWS9d_mini.jpg'],https://twitter.com/2ststf1nal/status/1427021163226570754
김바발,@hanabeecomb,2021-08-01T14:41:07.000Z,"김바발
@hanabeecomb
·
8월 1일","하... 솜 비바라비다 들으니 대충 솜테너인건 알겠다 
아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1",,,,1,[],https://twitter.com/hanabeecomb/status/1421843441210728449
기린아,@kirina77,2021-08-13T11:16:53.000Z,"기린아
@kirina77
·
8월 13일","콜드플레이 비바라비다 마드리드 공연. 개인적인 느낌은 음... 라이브는 특별한 일이 없으면 언제나 앨범보다 좋지 않다는 생각이 든다. 락음악에서는 음악>라이브(콘서트) 였다고 하던데, 이것도 그런것이다... 라는 생각만...
Coldplay - Viva La Vida (Live in Madrid 2011)
Coldplay - Viva La Vida (Live in Madrid 2011) is taken from a premiere concert streamed live on YouTube. The programme was titled, ""Coldplay Live: Unstaged""....
youtube.com",,,,,['https://pbs.twimg.com/card_img/1441587149913001996/iETphf-t?format=jpg&name=240x240'],https://twitter.com/kirina77/status/1426140699615895557
몽실이,@N0W1mHERE,2021-08-13T02:26:44.000Z,"몽실이
@N0W1mHERE
·
8월 13일","나 소신발언할게 비바라비다 무대 난입해서 관객석 바라보고 싶음.. 무대에서서 부르면 어떤 기분일까
1",,,1,,['https://pbs.twimg.com/media/E8oyEBmVkAEwJ6p?format=jpg&name=small'],https://twitter.com/N0W1mHERE/status/1426007283025145861
동글,@drama_TQ,2021-08-06T03:01:07.000Z,"동글
@drama_TQ
·
8월 6일","비바라비다 탑쓰리+다른친구들 단체버전 진짜좋다 미쳣나봐... 진심 다 방방뛰명서 오오오오오 할때 눈물날뻦
[4K] 191229 슈퍼밴드 TOP3 콘서트 서울 - Viva La Vida + 멘트 (Full Focus)
Viva La Vida + 멘트 (Full Focus)
youtube.com",,,,,['https://pbs.twimg.com/card_img/1439667940115337223/A5W744rw?format=jpg&name=240x240'],https://twitter.com/drama_TQ/status/1423479218910990338
「미스터 착시」 몽상,@mongsang_cc,2021-08-01T12:38:07.000Z,"「미스터 착시」 몽상
@mongsang_cc
·
8월 1일",비바라비다,🍊,,,,[],https://twitter.com/mongsang_cc/status/1421812486727036932
내일 ㅁㄷㄴ 2각하는 하길,@_summeriver,2021-08-08T12:42:02.000Z,"내일 ㅁㄷㄴ 2각하는 하길
@_summeriver
·
8월 8일","저 3년 전에 파리 갓을 때 민중을 이끄는 자유 앞에서 비바라비다 듣는 게 버킷리스트엿거든요 근데 그거 잇는 관 보수공사중이어서 실패함
노담을 그 때 알앗으면 노트르담 관람할 때 대성당들의 시대 듣는 거엿는데
6",🌈,,,6,[],https://twitter.com/_summeriver/status/1424350188798316545
토성,@sjrnfrld2,2021-08-18T12:57:44.000Z,"토성
@sjrnfrld2
·
8월 18일",비바라비다나오는거완벽하네..,,,,,[],https://twitter.com/sjrnfrld2/status/1427978016903385099
~9/30 반동결 잡학다식 교수,@Su_hyang_203,2021-08-16T01:51:14.000Z,"~9/30 반동결 잡학다식 교수
@Su_hyang_203
·
8월 16일","...저거설마비바라비다인가요세상에
누
@wtboyh____
 · 8월 16일
1",,1,,,"['https://pbs.twimg.com/profile_images/1435288393617838086/o8oVO4_D_mini.jpg', 'https://pbs.twimg.com/media/E84Fw7BVIAEHEev?format=png&name=small']",https://twitter.com/Su_hyang_203/status/1427085511261265920
차창,@ckckd_,2021-08-01T14:37:50.000Z,"차창
@ckckd_
·
8월 1일",비...비바라비다 저죽어요,,,,,[],https://twitter.com/ckckd_/status/1421842614752481286
담,@d_h_SB,2021-08-07T14:57:47.000Z,"담
@d_h_SB
·
8월 7일","꺅 비바라비다 넘조아요
1",,,,1,[],https://twitter.com/d_h_SB/status/1424021960246239245
과모리오몰입 곤뇽 TR0odon,@skullspider98,2021-08-29T12:44:06.000Z,"과모리오몰입 곤뇽 TR0odon
@skullspider98
·
8월 29일","모르고살아서 인생의반 손해봣던 노래 피아노맨 톰보이 themancomesaround 비바라비다 베이비핫라인 조율 출발
3",,,,3,[],https://twitter.com/skullspider98/status/1431960851049685005
自請妃•자청비,@EauDeRi,2021-08-15T13:37:40.000Z,"自請妃•자청비
@EauDeRi
·
8월 15일","동생이랑 비바라비다 북치는 거 따라했는데 배고파짐…
1",,,,1,[],https://twitter.com/EauDeRi/status/1426900904532320262
自請妃•자청비,@EauDeRi,2021-08-24T12:35:42.000Z,"自請妃•자청비
@EauDeRi
·
8월 24일",비바라비다 북 치고 싶다고,,,,,[],https://twitter.com/EauDeRi/status/1430146799948288000
