UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
모,@molzba,2021-08-27T13:55:19.000Z,"모
@molzba
·
8월 27일","에이씨
20년후 야구선수 되어있을 거라고 했던 초딩이 아이돌 돼서 글러브 끼고 있는거<  진심 자극적이네
458
272",,,458,272,"['https://pbs.twimg.com/media/E9zV6_qVQAE_oTQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zV7AbVgAkJeoJ?format=jpg&name=360x360']",https://twitter.com/molzba/status/1431254001022996482
비지님아,@NBZI27,2021-08-18T11:16:49.000Z,"비지님아
@NBZI27
·
8월 18일","에이씨 동물의왕국이야 뭐야
145
167",,,145,167,['https://pbs.twimg.com/media/E9EbVt2UcAwPiK8?format=jpg&name=small'],https://twitter.com/NBZI27/status/1427952620367278080
ㅃㅐ갈,@bbaegal_,2021-08-21T16:03:24.000Z,"ㅃㅐ갈
@bbaegal_
·
8월 22일","클럽에서 키스하고 급하게 텔 왔는데
엎치락뒤치락 하다가 서로 탑인 거 알고
에이씨 . . . 흥미 떨어져서
영화나 볼까요
타짜 봤음?
지금 보면 사십번째임 ㅋㅋ
하고 침대에 누운 거 같구나
[오늘의 망한 번개~ 다시는 얼굴만 보고 키스 먼저 하지 말자 오늘도 다짐!]
같은 코멘트 남김
180
286",,,180,286,['https://pbs.twimg.com/media/E9U5sbJVIAo_nJe?format=jpg&name=small'],https://twitter.com/bbaegal_/status/1429111903465349130
영영,@dguhibvr,2021-08-29T06:48:00.000Z,"영영
@dguhibvr
·
8월 29일","희예는 약간 그런 느낌도 좋아 인간 예와... 잡아먹으려고 주거침입했다가 얼떨결에 그 집에 얹혀살면서 연애하는 요괴 희... 그리고 결국 다른 의미로 잡아먹죄송합니다 잠든 예에게 손 한번 뻗으면 손쉽게 최초의 목적을 달성할 수 있는데도 그냥 에이씨 하고 자기 머리 헤집고 나가는게 좋다구
15
52",,,15,52,"['https://pbs.twimg.com/media/E98HLbeVUAM9_0U?format=png&name=360x360', 'https://pbs.twimg.com/media/E98HMpPUUAk0Rl0?format=png&name=360x360']",https://twitter.com/dguhibvr/status/1431871238444437505
개차반,@nooumoon,2021-08-18T12:57:38.000Z,"개차반
@nooumoon
·
8월 18일","에이씨 좋댄다
18",,,,18,"['https://pbs.twimg.com/media/E9EyaJ6VIAYCauv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EyaTHVIAw1_vw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EyabuVUAI378d?format=jpg&name=360x360']",https://twitter.com/nooumoon/status/1427977990130962450
나라공주,@Youtreasure1,2021-08-27T10:55:20.000Z,"나라공주
@Youtreasure1
·
8월 27일","재연이라 쓰고 연장이라 읽음 칭구들아 AC구역은 찐으로 에이씨!!!!임 시야 머선일이고
1
8",🦊 🐯,,1,8,['https://pbs.twimg.com/media/E9ysuhkVgAAtX9D?format=jpg&name=small'],https://twitter.com/Youtreasure1/status/1431208705576431623
칰!,@__CH1C0__,2021-08-16T15:26:25.000Z,"칰!
@__CH1C0__
·
8월 17일","싸펑 아라사카엔딩 이게 최선이냐 에이씨
말 예쁘게 하기 더럽게힘드네
5",🐱 🦁 🐯,,,5,['https://pbs.twimg.com/media/E87AsbPUYAAMf7H?format=jpg&name=small'],https://twitter.com/__CH1C0__/status/1427290659610787856
첼란,@chalran_,2021-08-19T06:37:17.000Z,"첼란
@chalran_
·
8월 19일","에이씨 고추따는데 비오고난리여
3
16",😑,3,,16,['https://pbs.twimg.com/media/E9Ik818VkAUDRQN?format=jpg&name=small'],https://twitter.com/chalran_/status/1428244663144620038
뽀득☻,@bin_rv0801,2021-08-21T14:01:25.000Z,"뽀득☻
@bin_rv0801
·
8월 21일","에이씨 오처넌 또 기부했네
4",,,,4,['https://pbs.twimg.com/media/E9UdyE8VEAAQn9z?format=jpg&name=small'],https://twitter.com/bin_rv0801/status/1429081207883501581
미휘월 ̀⁽ᵕ̈⁾ ́,@Whiwol_Yul,2021-08-16T12:06:28.000Z,"미휘월 ̀⁽ᵕ̈⁾ ́
@Whiwol_Yul
·
8월 16일"," 쟤가 전학생이냐?

 엉, 이번에 전학 왔는데, 자느라 못 봤지?

 에이, 뭐래. 안 잤어! 잠깐 눈 좀 감은거지.

 그게 그거구요~

 에이씨, 근데. 어디서 왔대?

 서울. 거기서 왔대.

 헐. 나 서울 사람 처음 본다. 말 걸어볼래.

 걸지마, 겁 먹겠다 야.

 에이, 걱정마.
 야!
2
50
231",🦖 👤 🦖 👤 🦖 👤 🦖 👤 🦖 🦖,2,50,231,[],https://twitter.com/Whiwol_Yul/status/1427240340608536581
실자씨앗초월자씨앗,@NKS_hujo,2021-08-17T11:22:57.000Z,"실자씨앗초월자씨앗
@NKS_hujo
·
8월 17일","한유진 저렇게 마음 약해서 어떡함 성현제가 다짜고짜 결혼장장에 부캐 들고오길래 쫓아냈는데 비맞은 강아지표정으로 터덜터덜 걸어가면 유진이...무안해서 뒷머리 벅벅 쓸다가 에이씨 하면서 현제 손잡고 웨딩홀 들어갈거같음.........
64
104",,,64,104,[],https://twitter.com/NKS_hujo/status/1427591777007988737
객센𓂀,@madefor_SET,2021-08-24T10:08:36.000Z,"객센𓂀
@madefor_SET
·
8월 24일","세트 길 가다가 다친 새 봤는데 그냥 지나침. 그러다 골목길에서 돌았는데 비슷하게 생긴 새가 또 있는 거임. 또 지나침. 골목길에서 나와 대로변을 걷는데 비슷한 새가... 아니, 똑같은 새잖아?! 저게 왜 자꾸 시야에서 알짱거려...? 이번에도 에이씨, 중얼 거라며 무시하고 지나침.
2
29
79",,2,29,79,[],https://twitter.com/madefor_SET/status/1430109782447300612
장미나리,@nary_0701,2021-08-23T13:56:15.000Z,"장미나리
@nary_0701
·
8월 23일","에이씨
1
1
8",,1,1,8,[],https://twitter.com/nary_0701/status/1429804682726105094
짱삐,@madzzic,2021-08-29T04:23:24.000Z,"짱삐
@madzzic
·
8월 29일","에이씨

100년만 늦게 태어났어도 이렇게 나혼자 살아서 외롭지는 않았을텐데 ..

홀로그램 강아지 홀로그램 고양이랑 같이 살고있었을텐데 아 ...
15
33",,,15,33,[],https://twitter.com/madzzic/status/1431834849329827845
로미,@romie149,2021-08-30T02:45:31.000Z,"로미
@romie149
·
8월 30일","님들 후각 뛰어난 시리우스 어때

 야 잠시만..
 ? 뭔데?
 이거 말포이 냄새인데?
 ?
 아니.. 이거 말포이야
 야 여기 말포이 있다!!! 샅샅이 뒤져!!! (막내임)
 ?

별안간 구석에서 에이씨 하고 튀어나가는 루시우스와 존나 쫓아가는 시리우스랑 제임스, 그리고 혼자 어이없는 리무스
1
29
146",🐾 🦌 🐾 🌕 🐾 🦌 🌕,1,29,146,[],https://twitter.com/romie149/status/1432172602378764289
로미,@romie149,2021-08-21T07:41:56.000Z,"로미
@romie149
·
8월 21일","왜 제 수능 도시락 뻘썰에 이렇게나 많이 반응을••• 
다 울고 계시네 그러면 가벼운 수능 도시락 썰
존나 열심히 싸왔는데 뚜껑 안 열림;

 ㅁㅊ 야 이거 진짜 안 열리는데?
 허억,, 헉,, (장렬히 실패)
 야 그럼 나 어떡해 굶어..?
 반찬이라도 먹어
 볶음밥 싸왔다고
 에이씨 비켜봐
1
23
110",🐾 🌕 🦌 🐾 🦌 🐾,1,23,110,[],https://twitter.com/romie149/status/1428985706869784586
도 강우,@Blackout_DKW,2021-08-25T05:04:52.000Z,"도 강우
@Blackout_DKW
·
8월 25일","에이, 씨.. 삭신이야.
1
9",,1,,9,[],https://twitter.com/Blackout_DKW/status/1430395732238864390
신비아파트 연성소재,@SINBI_MAKER,2021-08-20T14:11:03.000Z,"신비아파트 연성소재
@SINBI_MAKER
·
8월 20일","[ 본편au ]

<브리또 동생을 키워보자!>

-...치우세요.

-아? 어, 어떻게 안아?!?

-쯧.. 나보고 이걸 왜 보라는 거야?

• • •

-어어?! 얌마 왜 우냐!! 에이씨 분유 뜨겁잖아!! 야 딸랑이 들고와!!

뱀파이어조
9
10",,,9,10,[],https://twitter.com/SINBI_MAKER/status/1428721245617487872
비지님아,@NBZI27,2021-08-17T15:37:32.000Z,"비지님아
@NBZI27
·
8월 18일","에이씨<-라는말왤케웃김? 
에이씨
7",,,,7,[],https://twitter.com/NBZI27/status/1427655842833178629
소미(味噌),@Piaoliang296,2021-08-21T01:54:00.000Z,"소미(味噌)
@Piaoliang296
·
8월 21일","도박마 봤더니 돈의 가치 흐려져서 200만엔이란 단어보면 에이씨…이걸로 어떻게 도박을 하라고 안약 대신 눈에 넣어도 되겠구만 생각함
2
1",,,2,1,[],https://twitter.com/Piaoliang296/status/1428898146705281025
쟈쟈,@mu_zaza_,2021-08-21T13:01:52.000Z,"쟈쟈
@mu_zaza_
·
8월 21일","마베씬에서 그 커플 지목 남자분한테
“집에서 혼자명 그거 해! 안해!”
남자 : 고개 절래절래 
“안한다고????? 언니 쟤 만나지마…쟤….뭔가 문제가 있는거야…..
다시….해!안해!! 웃지만 말고!!!!!
에이씨”
26
38",,,26,38,[],https://twitter.com/mu_zaza_/status/1429066220632870916
로미,@romie149,2021-08-19T16:10:21.000Z,"로미
@romie149
·
8월 20일","수능 전날 도시락 혼자 싸다가 에이씨 이게 다 무슨 소용이냐 하고 아침에 대충 삼각김밥 사먹으려고 하는 정시러 시리우스

일찍 나왔는데 문앞에서 추위에 빨개진 볼로 반가워하는 제임스 만났음
수능장도 다른 주제에 도시락 주겠다고 여기까지 온 제임스가 고마워서 도시락 먹으면서 조금 울컥했음
1
45
170",,1,45,170,[],https://twitter.com/romie149/status/1428388877274730498
레이몬드 경자,@whynosubak,2021-08-23T02:12:02.000Z,"레이몬드 경자
@whynosubak
·
8월 23일","좋아하는 여자연예인 열애설 터지면 일단 처음엔 축하해주는데 
점점 상대남자 맘에 안드는점 오천개 생기는거 이거 자연스러운현상이잖아
눈에 안차잖아지금
고작 저런
어?
에이씨진짜
40
50",,,40,50,[],https://twitter.com/whynosubak/status/1429627459872329733
만드륵 (최신화스포),@manmittaggg,2021-08-16T07:42:35.000Z,"만드륵 (최신화스포)
@manmittaggg
·
8월 16일","도만 단체술판날..
총장주최로 개판오분전 왕게임 벌어지는거 보고싶다
누가 19번이랑 20번 키스~! 하고 소리쳤는데 바지가 에이씨하고 일어남
20번 누구야 손들어 라고말하니까 우르르 열명정도 시침뚝떼고 손들기
1
49
80",,1,49,80,[],https://twitter.com/manmittaggg/status/1427173931308355586
멤메라이트,@extraFreshness_,2021-08-21T09:43:37.000Z,"멤메라이트
@extraFreshness_
·
8월 21일","안녕하새요.
블렌더 독학하려는데 프로그램만 얼마정도 하나요? 어디서 사는지 아는 분 계시나오 다 강좌글밖에 안떠 에이씨
1
1
6",,1,1,6,[],https://twitter.com/extraFreshness_/status/1429016330305347584
