UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
오이,@cucumberoii,2021-08-07T10:42:10.000Z,"오이
@cucumberoii
·
8월 7일","셋링가족 나들이~
10
208
715",💚 💚,10,208,715,"['https://pbs.twimg.com/media/E8Lp6plVkA8I30w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Lp64rUcAMmtRR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Lp7C7VoAkk7st?format=jpg&name=360x360']",https://twitter.com/cucumberoii/status/1423957634386825216
(9인중일걸)Molly,@Molly_Doli,2021-08-15T12:02:04.000Z,"(9인중일걸)Molly
@Molly_Doli
·
8월 15일","오늘 당일치기로 가족나들이 다녀온 몰리입니닷
6",,,,6,"['https://pbs.twimg.com/media/E81I68SUcAMHoGz?format=jpg&name=900x900', 'https://pbs.twimg.com/media/E81I7U9VkA0u1xj?format=jpg&name=small']",https://twitter.com/Molly_Doli/status/1426876843781595139
데비(Deb),@debby_game,2021-08-20T13:37:32.000Z,"데비(Deb)
@debby_game
·
8월 20일","조카와 함께하는 가족나들이에 하루가 뚝딱... 그래도 재밋었다
5",,,,5,['https://pbs.twimg.com/media/E9POuH0VIAU3JUu?format=jpg&name=small'],https://twitter.com/debby_game/status/1428712808808546305
노넴(no name),@ryul_kyo,2021-08-14T04:01:10.000Z,"노넴(no name)
@ryul_kyo
·
8월 14일",백만년만에 가족 나들이,,,,,['https://pbs.twimg.com/media/E8uRPtDVEAo39w1?format=jpg&name=small'],https://twitter.com/ryul_kyo/status/1426393434110054403
석양 (나노하나 오너),@Mg4zy4etZWIEow6,2021-08-09T12:12:07.000Z,"석양 (나노하나 오너)
@Mg4zy4etZWIEow6
·
8월 9일","뱀 가족 나들이
ㅎㅏ 사실상 마지막이 된 나들이
10
9",,,10,9,['https://pbs.twimg.com/media/E8WRsDrVcAIuGdE?format=jpg&name=small'],https://twitter.com/Mg4zy4etZWIEow6/status/1424705046483148807
,@malang2_1214,2021-08-29T04:38:48.000Z,"@malang2_1214
·
8월 29일","ㅠㅡㅠ ~~~~~ 
나 이 영상 진짜 맨날봐 
찬이 어머님이 찍어주신 가족나들이 갈 때 운전하는 막내아들
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3
12",💘 💘 🥺,,3,12,[],https://twitter.com/malang2_1214/status/1431838724283797505
쑤기,@lifech514,2021-08-23T15:03:30.000Z,"쑤기
@lifech514
·
8월 24일","190824 챙스타그램 
⠀
주말에 가족 나들이 왔어용!!
우리 플로버는 주말인데 뭐 할려나???
⠀
#채영 #신난당 #
1
4
6",🐿 💓,1,4,6,"['https://pbs.twimg.com/media/E9e_KlAVkAUAibi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9e_Kk_VcAUvlrp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9e_KlAUUAY1-Rk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9e_KlAUcAQuxeQ?format=jpg&name=360x360']",https://twitter.com/lifech514/status/1429821606088495109
정윤우,@FF_Yunwoo,2021-08-11T12:13:03.000Z,"정윤우
@FF_Yunwoo
·
8월 11일",가족 나들이.....?,🎮,,,,['https://pbs.twimg.com/media/E8glB-7VgAMdRuI?format=jpg&name=small'],https://twitter.com/FF_Yunwoo/status/1425430056889774082
참사랑,@208yoon,2021-08-23T03:36:06.000Z,"참사랑
@208yoon
·
8월 23일",가족나들이~~,,,,,['https://pbs.twimg.com/media/E9ch1nGVcAckCAt?format=jpg&name=small'],https://twitter.com/208yoon/status/1429648615161536513
블산,@blahtokyo,2021-08-06T08:47:34.000Z,"블산
@blahtokyo
·
8월 6일","날시 왜이려 냉장고 채워놓아야 하나… 태풍은 왜 가족나들이 오듯이 오고있능겨
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
1",,,1,1,[],https://twitter.com/blahtokyo/status/1423566407015407619
Jaeho Hwang,@badahjh,2021-08-02T16:23:20.000Z,"Jaeho Hwang
@badahjh
·
8월 3일","철원 가족나들이 고석정, 한탄강지질공원",,,,,['https://pbs.twimg.com/media/E7zID4KWUAAcw6J?format=jpg&name=small'],https://twitter.com/badahjh/status/1422231552612872200
NOW to YOU,@nunuWOOSUNG,2021-08-04T04:18:26.000Z,"NOW to YOU
@nunuWOOSUNG
·
8월 4일","ㅋㅋㅋㅋ 저 지금 가족 나들이 가는 중인데 스밍을 돌려놨더니,, 우리집 남자3명 왜 자꾸 아스트로노래만 주구장창 나오냐고 반감이 심합니다 ㅋㅋㅋ 제가 잘 달래 보겠습니다.
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3",,,,3,[],https://twitter.com/nunuWOOSUNG/status/1422773899872260099
