UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
뎅⋆,@ONE_N_ONLYb,2021-08-15T08:31:41.000Z,"뎅⋆
@ONE_N_ONLYb
·
8월 15일","빙달 쏘떠찌이이이잉
다원레시피라구 행복한 하루 되세요~! 했는뎅 영빈이가 찾아와써...(つд｀) 오마이갓 로맨틱판타지이즈히얼
3
6",☁ 🥺 🥺 🥺 💗 💗 💗 💗 💗 💜 💓,,3,6,"['https://pbs.twimg.com/media/E80YvYfUUAEgSlm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80YwNJVIAIyAnQ?format=jpg&name=360x360']",https://twitter.com/ONE_N_ONLYb/status/1426823899015094274
포카마켓,@phocamarket,2021-08-25T04:00:00.000Z,"포카마켓
@phocamarket
·
8월 25일","[판타지맛집 투어 -강남편]

맛잘알 에세푸 맛집도 빠질 수 없지!
다음 판타지들 약속은 강남으로

#덕후투어 #청담골 #메가커피 #빙달 #담미온 #닭으로가 #샤오짠 #SF9 #에스에프나인 #성지순례 #덕후투더 #손민수
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
156
181",🍽 😉,,156,181,[],https://twitter.com/phocamarket/status/1430379409005891585
RITZY,@02MIDZYRITZY,2021-08-13T10:13:34.000Z,"RITZY
@02MIDZYRITZY
·
8월 13일","류진 브이로그2 정보!!!

쏘렌토, 류진이가 운전한 자동차

분식점, 유퀴즈에서 언급된 압구정 서강쇠떡볶이

차박, 류진이가 어릴 때 자주 간 미사경정공원조정카누경기장

딸기빙수, 류진이가 다 먹을 수 있었지만 참고 안먹은 딸기빙수 파는 빙달 하남점

#ITZY #RYUJIN #류진
1
110
169",🍭 🍬 🚘 🌶 🍢 🛶 🍧,1,110,169,"['https://pbs.twimg.com/media/E8qc6PxUYAMtyYY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qc6PwVUAQn5LT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qc6PwVIAgm8Wp?format=jpg&name=small', 'https://pbs.twimg.com/media/E8qc6PxUYAE6hZM?format=jpg&name=small']",https://twitter.com/02MIDZYRITZY/status/1426124764356124673
무랜,@deist021129,2021-08-27T05:28:23.000Z,"무랜
@deist021129
·
8월 27일","빙달-덕랗 보고싶어요...
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
5
2",🐈,,5,2,[],https://twitter.com/deist021129/status/1431126425948491776
랭,@meringue_in,2021-08-26T18:54:32.000Z,"랭
@meringue_in
·
8월 27일","판타지 해주면 빙달다원레시피알려주께
판타지 해쥬면 아기성이 포카줄게
판타지 해주면 맥휘영포카줄게(초롱이가)
보고시ㅃ어
1
1",,1,,1,['https://pbs.twimg.com/media/E9vQ0blVcAEE3xo?format=jpg&name=small'],https://twitter.com/meringue_in/status/1430966913337761796
당햐,@always_dw724,2021-08-15T09:21:18.000Z,"당햐
@always_dw724
·
8월 15일","잘 맞춰 도착했당
호랑이 치킨이랑 빙달 ㅋㅋㅋㅋ",🖤,,,,['https://pbs.twimg.com/media/E80kIc3VEAQOpj4?format=jpg&name=small'],https://twitter.com/always_dw724/status/1426836387823640577
딱,@eyxxxxn,2021-08-17T14:31:48.000Z,"딱
@eyxxxxn
·
8월 17일",빙달먹는구나!!! 여기 맛있지ㅠㅠ,,,,,['https://pbs.twimg.com/media/E8_-YAWWYAAQgxi?format=jpg&name=small'],https://twitter.com/eyxxxxn/status/1427639303354699780
차밭,@jaebab,2021-08-28T14:50:41.000Z,"차밭
@jaebab
·
8월 28일","빙달 다원레시피 치케 안뺀 ver.
겨울딸기로 꼭 또 먹을테야
당 걱정한게 무색한 맛이어서 좋았음
1",,1,,,"['https://pbs.twimg.com/media/E94sMCzVcAALEs4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E94sMOKUcAInZyM?format=jpg&name=large']",https://twitter.com/jaebab/status/1431630322207133701
에신,@shinaeuoon,2021-08-17T13:34:56.000Z,"에신
@shinaeuoon
·
8월 17일","미공포덕에 당프한테 빙달얻어먹음 뇸 
#인성아나이거오분순삭
#Jaeyoon_BSMR
3",💖 😚,,,3,['https://pbs.twimg.com/media/E8_xWK9XsAgqXK4?format=jpg&name=small'],https://twitter.com/shinaeuoon/status/1427624989419704324
𝙘𝙤𝙩𝙩𝙤𝙣,@cottonnluv,2021-08-17T13:36:56.000Z,"𝙘𝙤𝙩𝙩𝙤𝙣
@cottonnluv
·
8월 17일","나도 빙달 먹고파.
3일째 말하는 중
1
2",,1,,2,[],https://twitter.com/cottonnluv/status/1427625495324135426
구름,@Whyrano93,2021-08-30T12:47:02.000Z,"구름
@Whyrano93
·
8월 30일","빙달 시킬 때 항상 감사합니다라고 적었더니 저희가 더 감사합니다라고 적어준거 갬동...
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
1
16",❤,1,1,16,[],https://twitter.com/Whyrano93/status/1432323980531171328
퐁당,@ymdor1,2021-08-13T13:49:05.000Z,"퐁당
@ymdor1
·
8월 13일","빙달(벌덕
2",,,,2,[],https://twitter.com/ymdor1/status/1426179001110786052
나나메,@nnn777ee,2021-08-17T14:45:27.000Z,"나나메
@nnn777ee
·
8월 17일",빙달 메모,📝,,,,[],https://twitter.com/nnn777ee/status/1427642737373876229
slow쟁찌경 (ง˙∇˙)ว,@_zzikyeong,2021-08-15T05:08:18.000Z,"slow쟁찌경 (ง˙∇˙)ว
@_zzikyeong
·
8월 15일","팬미팅 음식 결정 완!!!!!!!!! 오랜만에 빙달 먹숩니다
1
2",😍 😍,1,,2,[],https://twitter.com/_zzikyeong/status/1426772716267335682
퐁당,@ymdor1,2021-08-13T13:52:12.000Z,"퐁당
@ymdor1
·
8월 13일","달달 무슨달 빙달같이 둥근달...엥 둥근...빙
3",,,,3,[],https://twitter.com/ymdor1/status/1426179786536230913
짱꿀,@kkulzzang2,2021-08-28T14:59:15.000Z,"짱꿀
@kkulzzang2
·
8월 28일",빙달 팥빙수 땡겨....,,,,,[],https://twitter.com/kkulzzang2/status/1431632477324410880
봉,@0L7S2H4,2021-08-06T16:02:11.000Z,"봉
@0L7S2H4
·
8월 7일",빙달사장님ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,[],https://twitter.com/0L7S2H4/status/1423675779695595521
몰래,@milgar00,2021-08-30T17:35:41.000Z,"몰래
@milgar00
·
8월 31일",빙달 먹고 싶다… 빙달…,,,,,[],https://twitter.com/milgar00/status/1432396621673762818
사사,@Y_sasa__,2021-08-06T16:02:43.000Z,"사사
@Y_sasa__
·
8월 7일","마자 빙달 패너쥐 챙겨죠..
3",,,,3,[],https://twitter.com/Y_sasa__/status/1423675914823499778
빛쟌쟌,@modudajoaa,2021-08-19T10:34:39.000Z,"빛쟌쟌
@modudajoaa
·
8월 19일","드디어 우리집 주변에 빙달 생김ㅠㅠㅠ!!!
3",🐢 ✨,,,3,[],https://twitter.com/modudajoaa/status/1428304394961838090
샤벨,@Sb_of_the_Lac,2021-08-13T13:54:51.000Z,"샤벨
@Sb_of_the_Lac
·
8월 13일","ㅇ ㅔ 퐁당님댁에도 빙달 하나 놔드려야겟어요
1",,,,1,[],https://twitter.com/Sb_of_the_Lac/status/1426180453384409089
기토꾸,@tokki__000,2021-08-15T10:59:04.000Z,"기토꾸
@tokki__000
·
8월 15일",빙달먹고프다,🐤 👶,,,,[],https://twitter.com/tokki__000/status/1426860989031481344
이상,@soup9sh,2021-08-15T08:19:28.000Z,"이상
@soup9sh
·
8월 15일",빙달 시킴 .. 6시 맞춰서 와주세여,,,,,[],https://twitter.com/soup9sh/status/1426820823529103364
뽀 균,@1116bbbo,2021-08-23T01:42:32.000Z,"뽀 균
@1116bbbo
·
8월 23일","빙달 저희집도 배달 되게해주세요( •̛̣̣꒶̯•̛̣̣ )
1
2",,1,,2,[],https://twitter.com/1116bbbo/status/1429620036629458946
중본인,@nomorelip,2021-08-06T13:23:59.000Z,"중본인
@nomorelip
·
8월 6일",빙달 복숭아빙수 시켜봐ㅛ다,,,,,[],https://twitter.com/nomorelip/status/1423635968251158533
주살,@kpopgeolre,2021-08-10T12:07:47.000Z,"주살
@kpopgeolre
·
8월 10일",이쭈연 빙달 먹어봣어?,,,,,[],https://twitter.com/kpopgeolre/status/1425066345712943107
REST 룬,@in_castle_712,2021-08-21T06:46:18.000Z,"REST 룬
@in_castle_712
·
8월 21일",퇴근까지 약 3시간이 남았다 빙달에서 빙수를 시킬까말까 시킬까말까,,,,,[],https://twitter.com/in_castle_712/status/1428971707033813001
무늬,@pattern_cc,2021-08-07T08:49:59.000Z,"무늬
@pattern_cc
·
8월 7일","서구 생일이니까 빙달 먹을까...
1",🐣,,,1,[],https://twitter.com/pattern_cc/status/1423929401780031490
주드,@softrcve,2021-08-06T16:04:02.000Z,"주드
@softrcve
·
8월 7일","나도 빙달 먹어보고 싶어••
1",,,,1,[],https://twitter.com/softrcve/status/1423676247566024704
하다,@in_hada_,2021-08-06T16:02:53.000Z,"하다
@in_hada_
·
8월 7일","우리 학원건물에 빙달잇음 
 ㄴ 어쩌라구요
1",,1,,,[],https://twitter.com/in_hada_/status/1423675957433364481
