UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
젼졍극 살색계,@JK_skinlove,2021-08-15T23:45:29.000Z,"젼졍극 살색계
@JK_skinlove
·
8월 16일","오늘은 탐라에 들어오자마자 퐈려한 복근의 향연이라 제가 일을 안해도 될것 같은 분위기지만 그래도 복잡한 복근속에서 힘이들때 가슴안에서 잠시 쉬어 가시라고 하나 살포시 두고 갑니다 (총총)
GIF
4
21
102",,4,21,102,['https://pbs.twimg.com/tweet_video_thumb/E83p5fMVEAIBheu.jpg'],https://twitter.com/JK_skinlove/status/1427053866365853696
재리아 Sign,@jjkim01261986,2021-08-15T23:57:47.000Z,"재리아 Sign
@jjkim01261986
·
8월 16일","오늘은 동네청년 하는 날
26
75",🥰 💕 👏,,26,75,['https://pbs.twimg.com/media/E83sveiUUAMCVtz?format=jpg&name=900x900'],https://twitter.com/jjkim01261986/status/1427056960873000963
念心,@czy_961029,2021-08-15T23:51:06.000Z,"念心
@czy_961029
·
8월 16일","오늘도 짜요!!!!
트친님들 좋은하루요♡
.
GIF
4
9",🌸,,4,9,['https://pbs.twimg.com/tweet_video_thumb/E83rCTIVkAAxo6i.jpg'],https://twitter.com/czy_961029/status/1427055280186040323
엔데브Endev,@Endev_dev,2021-08-15T23:59:41.000Z,"엔데브Endev
@Endev_dev
·
8월 16일","좋은 아침이에요! 오늘은 알람을 보고도 다시 잠들어서 1시간 가량 늦게 일어났네요 아무튼 잠은 개운하게 잤답니다. 트친님들 오늘도 좋은 하루 되시길!
7
15",✨ 😅,7,,15,['https://pbs.twimg.com/media/E83tLV0VIAAyA6i?format=jpg&name=small'],https://twitter.com/Endev_dev/status/1427057438201499649
두팔찡,@twoarmsan,2021-08-15T23:46:52.000Z,"두팔찡
@twoarmsan
·
8월 16일","진짜 너무 귀여워...
오늘 이거 풀리는거잖아요..?ㅠㅠ
안무연습 영상도 있을거지..?
음방 있을거지...?
믿는다 진짜로 믿어
5
12",,,5,12,['https://pbs.twimg.com/ext_tw_video_thumb/1427054166115897344/pu/img/rYho4ZbfKJ39ymqL.jpg'],https://twitter.com/twoarmsan/status/1427054213796818945
팀 환상,@Hwantasy_6,2021-08-15T23:42:18.000Z,"팀 환상
@Hwantasy_6
·
8월 16일","[자경]좋은 아침입니다! 오늘 8시에 시참받는 스듀 있고, 10시부터는 밸런스게임을 곁들인 술방이 있죠~
시참 모집과 밸런스게임 질문 마감 둘 다 오늘 오후 1시까지니까 많은 관심 부탁드려요!

시참https://discord.com/invite/9xtVh2cj

질문폼https://forms.gle/aMuo18XuimNLLcQk6…

(허전해서 소라님이 그린 불닭)
6
12",🤏 🤏,,6,12,['https://pbs.twimg.com/media/E83pMyeVUAARNvQ?format=jpg&name=360x360'],https://twitter.com/Hwantasy_6/status/1427053064637140993
young's,@gypark80,2021-08-15T23:51:54.000Z,"young's
@gypark80
·
8월 16일","오늘 하루도 업깅커피와 산뜻하게 출발하고싶지만..왜 오늘 출근..?!?! 슬프다 ㅠㅠ
하루님 나눔 투명업카드와 함께^^
다시한번 나눔에 감사드립니다
@haru__kaoup
3
12",,3,,12,['https://pbs.twimg.com/media/E83rYurUUAIdRzi?format=jpg&name=small'],https://twitter.com/gypark80/status/1427055481898487808
삽질아미,@Purple_moon_R,2021-08-15T23:25:21.000Z,"삽질아미
@Purple_moon_R
·
8월 16일","#BTS_ARMY 
#BTS_SUGA 
#AGUSTD_5주년_축하해 
@BTS_twt
 
신용산 출근길 태극기와 함께인 왕좌
가슴이  웅장해지네요 
오늘도 너무 행복한 출근길 입니다
43
89",,,43,89,"['https://pbs.twimg.com/media/E83lStSVIAYi6iK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83lTzNVoAUhkpS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83lUSqVcAMfxjK?format=jpg&name=360x360']",https://twitter.com/Purple_moon_R/status/1427048796777639938
함찐˙ᵕ˙,@together_jin,2021-08-15T23:57:58.000Z,"함찐˙ᵕ˙
@together_jin
·
8월 16일","보고 싶고 또 보고 싶은 울 석지니
오늘도 행복한 하루 보내쥬(*˘︶˘*).｡.:*♡
#방탄소년단진 #BTSJIN 
@BTS_twt
GIF
15
58",,,15,58,['https://pbs.twimg.com/tweet_video_thumb/E83swvnVUAMqE9r.jpg'],https://twitter.com/together_jin/status/1427057006087532546
이삐짱짱누나⁷ ᴮᵘᵗᵗᵉʳ,@young_bts_love,2021-08-15T23:38:57.000Z,"이삐짱짱누나⁷ ᴮᵘᵗᵗᵉʳ
@young_bts_love
·
8월 16일","며칠 비바람 심할 땐 매미가 다 어디에 있었는지오늘 다시 매미들 합창이 우렁차네요
오늘부터 스타투 
한국방송대상 가수부문 인기상툽 크리어(세 팀을 픽해야 툽완료..방탄 이외 두팀 엄청 고민)
일주일 시작월요일
방탄 보고 힘내면서 화이팅해요 
@BTS_twt
#MTVHottest BTS
19
12",🥺 🤣 😅 😊 💜,,19,12,"['https://pbs.twimg.com/media/E83oXubVEAAK8r_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83oXuZUcAU-oFf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83oXvNVoAI5w6J?format=jpg&name=small']",https://twitter.com/young_bts_love/status/1427052222827753472
