UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kris get the banana,@PastelBlackHell,2021-08-22T04:10:18.000Z,"Kris get the banana
@PastelBlackHell
·
Aug 21","천안호두과자먹고싶어
....
0:01
34 views
3",,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1429294821403815937/pu/img/M3RavJhH2J1WXr9b.jpg'],https://twitter.com/PastelBlackHell/status/1429294834162958338
역검,@Mi1es_Edgeworth,2021-08-12T09:51:41.000Z,"역검
@Mi1es_Edgeworth
·
Aug 12","천안호두과자보다는 한중미호두과자가 어울릴거가튼디
3",👁 👁,,,3,['https://pbs.twimg.com/media/E8lOT6YVoAYxpMd?format=jpg&name=small'],https://twitter.com/Mi1es_Edgeworth/status/1425756867330936835
나루,@naruis_,2021-08-15T04:27:23.000Z,"나루
@naruis_
·
Aug 14","엄마가 천안 호두과자를 글케 좋아해서 일부러 들렀어요!((
13",🎨,,,13,['https://pbs.twimg.com/media/E8zg2qtUcAMn-Lx?format=jpg&name=small'],https://twitter.com/naruis_/status/1426762421620789252
하뚜 ~,@S2ddana,2021-08-01T14:48:46.000Z,"하뚜 ~
@S2ddana
·
Aug 1","의정부 부대찌개
신당동 떡볶이
충무 충무김밥
천안 호두과자
논산 딸기
아스트로 청량
 #ASTRO_SWITCH_ON
14
14",,,14,14,[],https://twitter.com/S2ddana/status/1421845365557403649
김미트,@frshmtono,2021-08-19T13:37:05.000Z,"김미트
@frshmtono
·
Aug 19","천안 호두과자오ㅑㄹ케맛잇냐
2",,,,2,[],https://twitter.com/frshmtono/status/1428350306887208970
랑루,@LangRu_sb35,2021-08-15T10:11:04.000Z,"랑루
@LangRu_sb35
·
Aug 15","https://twitter.com/bbungbbungi__/status/1426407088658337792?s=19…
오? 진짜 닮았...다?
혹시 로오히 제작진중 천안 주민이 있..는건 아니겠죠?

저 얘기 발단은 천안 호두던데, 천안 호두과자 음..맛은 괜찮아요. 저는 별로 안 좋아해서 가끔씩밖에 안 먹긴 하지만은 그래도 먹으면 맛은 괜찮아요.

원조 찾으려면 천안역을 가보시길.
김치만두루미
@bbungbbungi__
 · Aug 13
그래서 로오히 페르사가 천안 모양이엇구나 twitter.com/yoilchoi/statu…
1
1",,1,1,,"['https://pbs.twimg.com/media/E80vgqWVEAc7mTa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80vhGHUcAAI3I_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80vg66VEAAmpOL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80vhSrVIAE3DLp?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1409458654076489728/K-19HtVY_mini.jpg']",https://twitter.com/LangRu_sb35/status/1426848908655824900
연작,@Jak_yp,2021-08-13T21:35:07.000Z,"연작
@Jak_yp
·
Aug 13",천안 호두과자를 드세요,,,,,[],https://twitter.com/Jak_yp/status/1426296280758714370
이별,@mint23000,2021-08-02T16:13:38.000Z,"이별
@mint23000
·
Aug 2","아그래 아무래도 대전명물은 천안호두과자가 맞는편이죠...
1",,,,1,[],https://twitter.com/mint23000/status/1422229111720710144
Hassium/이하진,@gray07039,2021-08-25T05:30:11.000Z,"Hassium/이하진
@gray07039
·
Aug 24","천안호두휴게소에서 파는 천안호두과자 먹고 싶다
1
2",🎗,1,,2,[],https://twitter.com/gray07039/status/1430402104514867201
머피가 합앤이래 몽연,@STM02wNIKHKL2cJ,2021-08-06T06:59:59.000Z,"머피가 합앤이래 몽연
@STM02wNIKHKL2cJ
·
Aug 5","뜬금인데 저 누리님한테 천안호두과자 보내드릴수잇음(내가 천안사람임)
1
1
2",,1,1,2,[],https://twitter.com/STM02wNIKHKL2cJ/status/1423539331109580802
MTRT) 원랑,@I_wish_mylove,2021-08-28T13:33:58.000Z,"MTRT) 원랑
@I_wish_mylove
·
Aug 28","ㅇㅇ 천안 호두과자타고다님
공희
@bestcutiegirl
 · Aug 28
그래요 지방사람들은 봇짐들고 징검다리건너다닌답니다 밤에는호롱불들고다니며길을밝히지요 twitter.com/rockstaHamster…
4
2",❤ 👸,,4,2,['https://pbs.twimg.com/profile_images/1438503621495189506/DGGMoLIm_mini.jpg'],https://twitter.com/I_wish_mylove/status/1431611012579426305
씨소,@tltheeaw,2021-08-06T12:43:28.000Z,"씨소
@tltheeaw
·
Aug 6","도쿄바나나가 아예 오미야게 용으로 만들어진 빵이엇구나... 통영꿀빵 천안호두과자 이런 느낌인가부다
1",,1,,,[],https://twitter.com/tltheeaw/status/1423625773617868801
도,@luvd_o2,2021-08-22T15:19:42.000Z,"도
@luvd_o2
·
Aug 22","천안호두과자쇼핑백에앨범넣어가서가족들에게자연스레나눠주는상상
2",,,,2,[],https://twitter.com/luvd_o2/status/1429463297019891713
체리,@52_cheri,2021-08-16T03:56:16.000Z,"체리
@52_cheri
·
Aug 15",천안... 호두과자 가게 짱 많아 그냥 지나가면 다 호두과자 가게?가 많다 진짜... 진짜 많아 거의 주유소 느낌,🌺 🍒,,,,[],https://twitter.com/52_cheri/status/1427116977596764161
‽,@colors_o923,2021-08-20T15:32:55.000Z,"‽
@colors_o923
·
Aug 20","와 대박이다 난 선택과목 생윤사여서 한국지리 1도 몰라 그냥,,,횡성한우,,,천안호두과자,,,얼음골사과 이거밖에 몰라",,,,,[],https://twitter.com/colors_o923/status/1428741846558142470
