UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
가람아 아람아 집가쟈,@Daliy_Garam,2021-08-29T05:57:28.000Z,"가람아 아람아 집가쟈
@Daliy_Garam
·
8월 29일","가람아람이에요 아람이가 더 커요 
가람이는 호다닥 아람이는 척척척척
3
233
873",,3,233,873,['https://pbs.twimg.com/media/E977vKOVgA02BbF?format=jpg&name=small'],https://twitter.com/Daliy_Garam/status/1431858521897771015
,@KG_hogu,2021-08-14T16:16:03.000Z,"@KG_hogu
·
8월 15일","람가람가......
1
51
189",🌻,1,51,189,['https://pbs.twimg.com/media/E8w5cOmVIAQuMx4?format=png&name=small'],https://twitter.com/KG_hogu/status/1426578373329915904
94.423km,@xQhmhbKFw6F54t0,2021-08-28T02:36:04.000Z,"94.423km
@xQhmhbKFw6F54t0
·
8월 28일","일식이가 여기에서 제일 어리네ㅋㅋㅋ
정가람(93)
송강(94)
신승호(95)
1
27
132",,1,27,132,['https://pbs.twimg.com/media/E92EC7MVcAEUxjX?format=jpg&name=small'],https://twitter.com/xQhmhbKFw6F54t0/status/1431445447843803141
가람아 아람아 집가쟈,@Daliy_Garam,2021-08-29T13:58:00.000Z,"가람아 아람아 집가쟈
@Daliy_Garam
·
8월 29일","아놔...윤가람 안 보인다했더니 여기로 나온 거였음...야 아놔...우리 합의 봅시다ㅜㅜㅜ일단 누나집으로 둘 다 퇴근하고 길은 하나만 쓰자
1
21
308",,1,21,308,['https://pbs.twimg.com/media/E99puBRVgAQCT7J?format=jpg&name=900x900'],https://twitter.com/Daliy_Garam/status/1431979449260466179
황광인_HwangGwangin,@HwangGwangin,2021-08-18T10:16:56.000Z,"황광인_HwangGwangin
@HwangGwangin
·
8월 18일","광인의식탁 오늘의 술안주편. 라이스페이퍼치즈말이튀김&남은기름파튀김&남은파기름가람마살라팽이버섯튀김&참깨마늘흑식초소스
2
1
5",,2,1,5,['https://pbs.twimg.com/media/E9ENon6VcAc77JH?format=jpg&name=900x900'],https://twitter.com/HwangGwangin/status/1427937550853808129
퐁퐁이,@pong_pong_i,2021-08-26T13:36:36.000Z,"퐁퐁이
@pong_pong_i
·
8월 26일","표지 가람...
1
2
13",🌠,1,2,13,['https://pbs.twimg.com/media/E9uH4u3VEA8LNsf?format=png&name=900x900'],https://twitter.com/pong_pong_i/status/1430886902891122688
산책,@skynsjeong,2021-08-25T07:48:03.000Z,"산책
@skynsjeong
·
8월 25일","북한산 계곡 병풍바위에 각인된 #마애여래입상
천년 전 작품으로 추정.

오래된 사찰에서 많이 안타까운 건, 가람 증축이 기존 가람의 예술성과 자연과의 어울림을 훼손한다는 점이다.

#북한산 삼천사
6
28",,,6,28,['https://pbs.twimg.com/media/E9nurwOVkAE58Z-?format=jpg&name=small'],https://twitter.com/skynsjeong/status/1430436795980816388
Areum PARKKANG,@areum_parkkang,2021-08-28T09:09:37.000Z,"Areum PARKKANG
@areum_parkkang
·
8월 28일","#서울국제여성영화제 오늘의 이벤트 [감독 대 감독]

 일시: 8월 28일(토) 19:00
 패널: 강유가람 
@motomy
, 박강아름 
@areum_parkkang
, 이소현 
@filmchefsohyun
 

SIWFF 네이버 TV http://m.tv.naver.com/siwff/home
SIWFF 공식 유튜브 채널 http://youtube.com/c/SIWFF
1
4
5",✨ 🎞 🗣 👉 👉,1,4,5,['https://pbs.twimg.com/media/E93eHveVUAQI7Si?format=jpg&name=small'],https://twitter.com/areum_parkkang/status/1431544488703365126
회의주의 경고음커 이찬빈 오너 쓰루,@sseuru0815S,2021-08-12T05:32:39.000Z,"회의주의 경고음커 이찬빈 오너 쓰루
@sseuru0815S
·
8월 12일","#회의주의_경고음
#별하늘_아래에서_다시_만나자
#자본커는_장르다
#적신아_내가_많이_사랑하는거_알지?
#총괄님_너무_매워서_눈물이나요
#데우스_엑스_마키나
#사실모두영화같은인생을살고있는걸
#과몰입_오너가_되어버린_나

현가람..아니 이찬빈의 오너 였습니다 허헣ㅎ... 별걸 안 하서 아쉬웠어요
6
8",,,6,8,['https://pbs.twimg.com/media/E8kS4srVgAIItFP?format=png&name=small'],https://twitter.com/sseuru0815S/status/1425691682528370692
가람아 아람아 집가쟈,@Daliy_Garam,2021-08-29T04:31:46.000Z,"가람아 아람아 집가쟈
@Daliy_Garam
·
8월 29일","설레발 1탄 : 아람이라 이름짓기(근데 이 설레발엔 단츄츄 보호자님이 함께 해주심 가람아람츄!!!이름도 단츄 보호자님이 지어주심
2탄 : 인터넷선 보호하기(가람이한테 저것부터 배울까봐
3탄 : 바닥전선 정리
4탄 : 장바구니에 이미 이것저것 담아둠
2
37
433",,2,37,433,[],https://twitter.com/Daliy_Garam/status/1431836950999097351
이여커 레이첼 엄마 다메,@dame_0326,2021-08-19T21:37:19.000Z,"이여커 레이첼 엄마 다메
@dame_0326
·
8월 20일","#해달커_엔딩_축하해 #해오름고와_달내림중_싸우지마 #해오름고와_달내림중의_합숙은_끝났습니다 
3~6기 신가람 오너엿어요~~~~ 흔적 무멘팔로 다잡아요!
1
7",,,1,7,"['https://pbs.twimg.com/media/E9Ly8iZVEAAUbOf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Ly8t-UcAUipm0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Ly88_VoAMumbS?format=jpg&name=360x360']",https://twitter.com/dame_0326/status/1428471162623860738
