UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
정,@dsyb_,2021-08-30T14:46:34.000Z,"정
@dsyb_
·
8월 30일","조연빈의 기숙사 입실 1일차...미완
33
81",,,33,81,['https://pbs.twimg.com/media/E-C-bWdVQAMFCKB?format=jpg&name=small'],https://twitter.com/dsyb_/status/1432354061995577347
쟈,@_JYA__,2021-08-30T14:18:55.000Z,"쟈
@_JYA__
·
8월 30일","제가말햇지요(언제말하긴함
산하가 빈이보다 가슴근육 발달이 빠르다고..
밷아때만해도 빈이는 헬스왕인거에 비해 가슴이 작은 편인데 산하는 그 때 운동 쫌 햇다고 가슴이 가!슴! 이랬잔아요...
오늘영상도....
왕가남이 우리를 맞아주엇지 않습니까.
울 산하 가슴 잠재력이 대단한 친구입니다
122
240",,,122,240,['https://pbs.twimg.com/media/E-C4GSoVkAUtWeD?format=jpg&name=small'],https://twitter.com/_JYA__/status/1432347102059765766
시간빈곤층,@timepoorduck,2021-08-30T09:43:55.000Z,"시간빈곤층
@timepoorduck
·
8월 30일","빈 왕좌에 절하는 민치록의 내키지 않는 바이브는(ㅋㅋ) 진짜 내키지 않아서 같기도. 왕의 자리가 갑자기 비어버린 지금, 당장 해야 할 일은 나라와 왕위의 수습이지 이런 의미없는 사배 따위가 아닌데 이 답답이들은 대체.... 이런 마인드?ㅋㅋ
GIF
1
11
23",,1,11,23,['https://pbs.twimg.com/tweet_video_thumb/E-B5IdKVQAMufHL.jpg'],https://twitter.com/timepoorduck/status/1432277897591492611
겨울,@luvmybebx,2021-08-30T11:19:30.000Z,"겨울
@luvmybebx
·
8월 30일","빈이가 나 이럴 때 좋아하는구나 (ex 시끄럽게 굴 때)
1
12",,1,,12,"['https://pbs.twimg.com/media/E-CPB45UYAMmZgm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CPB45UYAEvSQX?format=jpg&name=360x360']",https://twitter.com/luvmybebx/status/1432301951761338373
derma,@07dang24,2021-08-30T13:02:46.000Z,"derma
@07dang24
·
8월 30일","빈어스 
1
3
14",🍀,1,3,14,"['https://pbs.twimg.com/media/E-CmqrxVIAMGuxP?format=jpg&name=small', 'https://pbs.twimg.com/media/E-Cmq31VIAskVWR?format=jpg&name=small']",https://twitter.com/07dang24/status/1432327939605991431
앛츄,@ahyun_juju,2021-08-30T14:14:59.000Z,"앛츄
@ahyun_juju
·
8월 30일"," 메인트윗
이전에 말씀드렸던 유진럐빈 이야기를 모은 쪼그만 책을 9월 중 제작하여 10월에 발송드리려 합니다
지구를 보호하는 차원에서 꼭 받으실 트친님만 맘찍해주세요 
이전에 따로 멘션주셨던 분들 것도 챙겨드릴게요!
성인한정입니다 
비용은 따로 없습니당 
1
3
51",⚠ 🐱 🐰 🎤 💗 😌 ❤ 😌 ❤,1,3,51,['https://pbs.twimg.com/media/E-C3Mo6VcAg4_5r?format=jpg&name=small'],https://twitter.com/ahyun_juju/status/1432346111348379657
하니,@hxnx131,2021-08-30T21:05:51.000Z,"하니
@hxnx131
·
8월 31일","빈모닝
4
24",🆔,,4,24,['https://pbs.twimg.com/media/E-EVPONVIAMrR0b?format=jpg&name=small'],https://twitter.com/hxnx131/status/1432449510752415744
alex,@TXT__Alex,2021-08-30T15:53:26.000Z,"alex
@TXT__Alex
·
8월 31일","빈이 밥은 제대로 먹었ㄴㅑ구
GIF
5
52",,,5,52,['https://pbs.twimg.com/tweet_video_thumb/E-DNsU8UUAMTCUL.jpg'],https://twitter.com/TXT__Alex/status/1432370886263275521
덕덕,@deuduckduck,2021-08-30T12:52:20.000Z,"덕덕
@deuduckduck
·
8월 30일","빈센조 까사노라는 사람의 권위를 표현하는 가장 완벽한 대사... '감히 나를? 감히'..
타이밍 딱 맞는 브금까지 갓벽.. 어이없다는듯이 피식 웃는것도 갓벽..
0:32
203 조회수
4
11",,,4,11,[],https://twitter.com/deuduckduck/status/1432325313648676865
자관깎는레타,@RT_retta0831,2021-08-30T15:51:03.000Z,"자관깎는레타
@RT_retta0831
·
8월 31일","저는 빈 짜잘구리한 설정을 주절거려볼께요
1
1
7",,1,1,7,['https://pbs.twimg.com/media/E-DNMBVUcAARflV?format=jpg&name=small'],https://twitter.com/RT_retta0831/status/1432370289904521225
죢,@0915x0811,2021-08-30T14:54:21.000Z,"죢
@0915x0811
·
8월 30일","준비됐지 빈?
준비됐어 스!
괜히 웃겨서 육백번째봄
10
19",,,10,19,['https://pbs.twimg.com/ext_tw_video_thumb/1432355987113971716/pu/img/h0YMf9BVi_xn0PT4.jpg'],https://twitter.com/0915x0811/status/1432356018307022853
꿀빵,@yshnd99X00,2021-08-30T13:58:02.000Z,"꿀빵
@yshnd99X00
·
8월 30일","이런게바로
최연쥰 없는 최연쥰최슈빈떡밥 그런거,,?
TOMORROW X TOGETHER
 님의
4
32",,,4,32,['https://pbs.twimg.com/ext_tw_video_thumb/1432338819802488839/pu/img/4Ogm6HI9zZpZtjE4.jpg'],https://twitter.com/yshnd99X00/status/1432341846194212864
백설,@yebin_princess,2021-08-30T14:10:47.000Z,"백설
@yebin_princess
·
8월 30일","예빈이가 애기 쳐다볼 때 눈빛 .. 
#다이아 #예빈
0:13
294 조회수
17
37",😍,,17,37,['https://pbs.twimg.com/ext_tw_video_thumb/1432344984389226497/pu/img/JyTv5ZnJ9ZSdUb4W.jpg'],https://twitter.com/yebin_princess/status/1432345055872708609
숙주직거래,@changbin_jinsim,2021-08-30T13:27:28.000Z,"숙주직거래
@changbin_jinsim
·
8월 30일","아니 근데 서창빈 너무 대단한데
스윗드림 반주도 겁나 잔잔해서 모른다고 어버버대면 분위기 개똥망돼서 통편집 될 수도 있는거였는데 그걸 또 살리고 멤들도 호응 잘해주고 그냥 스키즈 예능천재라는 주접임 나였으면 시작부터 울었어
14
24",,,14,24,['https://pbs.twimg.com/ext_tw_video_thumb/1432333858200977413/pu/img/2ZhpW9j88yQobxyg.jpg'],https://twitter.com/changbin_jinsim/status/1432334152506822667
쉬파인,@sheepxpine,2021-08-30T17:10:22.000Z,"쉬파인
@sheepxpine
·
8월 31일","김블엠양종훈 이거 존나 블랙스완에 뱅상카셀 토마스? 그 재질이야 존나 섹시한 쓰레기.. 다이어트중인데 내가 발레리나고 발레단 감독 양뱅상이 쳐갈구는 상상하면서 식욕 컨트롤중임 이렇게된거 김블엠 발레영화 하나 찍어줘라 밥도 필모도 굶주린 씹덕이 이렇게 빈다
15",,,,15,['https://pbs.twimg.com/media/E-DfVskUcAA_hVg?format=jpg&name=900x900'],https://twitter.com/sheepxpine/status/1432390247711588352
스넥(SNEK) - 경제를 더 재밌게,@ExplainAlpha,2021-08-30T23:42:00.000Z,"스넥(SNEK) - 경제를 더 재밌게
@ExplainAlpha
·
8월 31일","멜빈 캐피탈 매니지먼트, 그린라이트 캐피탈, 글랜뷰 캐피탈 등 여전히 흥미로운 투자 전략을 구사한 일부 유명 헤지펀드들을 간단하게 살펴봅니다. https://buff.ly/2WwwfOQ
1
7",,,1,7,['https://pbs.twimg.com/media/E-E4-ldXMAIFxLs?format=png&name=small'],https://twitter.com/ExplainAlpha/status/1432488807652278281
ρรץƈɦﻉ,@psy_choops,2021-08-30T14:18:02.000Z,"ρรץƈɦﻉ
@psy_choops
·
8월 30일","#크랙샷_트친소
안되겠다 더늦기전에 트친소합니다
빈스로입덕함 크랙샷응원함 다른출연진분들은 아직 잘 몰라요 ...ㅠㅠ 생뉴비지만 받아주실분
1
8
22",🦋,1,8,22,[],https://twitter.com/psy_choops/status/1432346879124066318
시험기간 Slow)하연ლ,@Bangtan20131013,2021-08-30T23:45:17.000Z,"시험기간 Slow)하연ლ
@Bangtan20131013
·
8월 31일","이번엔 아마스빈 컵홀더 안하는건가요..?ㅠㅠ
I followed 
@965TDY
 and I'm voting for 
@BTS_twt
 as the #ArtistoftheSummer
2
333
256",,2,333,256,[],https://twitter.com/Bangtan20131013/status/1432489631367319552
이방인,@SjjBo,2021-08-30T13:08:40.000Z,"이방인
@SjjBo
·
8월 30일","아시발 빈이 상탈촬영소감 물어보니까 하도 벗어서 자긴 감흥없대ㅅㅂㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5
10",,,5,10,[],https://twitter.com/SjjBo/status/1432329421411651592
주문럭l메인트,@MOON_S2_STRUCK,2021-08-30T23:53:32.000Z,"주문럭l메인트
@MOON_S2_STRUCK
·
8월 31일","별해

빈이
골딩
pet
유나
나다
오유월
이클립스
완벽미남
하루
네코
이보배
Lian_ 
01
엘
수세미
하꾸
성현
뽕따
로이

수장
이솔

저 없어요 나 아님 저 안쓸건데요 멘션 좀
주문럭l메인트
@MOON_S2_STRUCK
 · 8월 31일
헤더 몇명 남았지
6
18",😈,6,,18,['https://pbs.twimg.com/profile_images/1438821370528342016/FZ8_YCOm_mini.jpg'],https://twitter.com/MOON_S2_STRUCK/status/1432491709254885376
슈엔,@shueeeen,2021-08-30T13:49:59.000Z,"슈엔
@shueeeen
·
8월 30일"," 최애컾 망상을 도와줄 오늘의 한문장
──────────────────
프로빈 , 세상 모두가 널 적으로 돌려도 나는 네 편이 되어줄게.
https://gaeyou.com/t/?259685 

ㅠㅠㅠㅠㅠㅠㅠㅠ으아아아아ㅏ아가아ㅓㄹ머;ㅐ더라유ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
3
8",🐽,,3,8,[],https://twitter.com/shueeeen/status/1432339820198576134
몽,@494_cute,2021-08-30T14:44:07.000Z,"몽
@494_cute
·
8월 30일","오늘 밤에 부모님이랑 오사무 여행 가서 집 빈다고 여친 초대한 아츠무 보고싶다.

둘이 저녁 먹고 소파에 누워서 쪽쪽 거리는 순간, 띠리링- 경쾌한 소리랑 함께 현관문 열리고 아츠무 부모님 두 손 가득 장 보시고 들어오심. 잠깐 그대로 굳어있다가 아츠무 밀치고 벌떡 일어서서 아무 일도 없었던
1
51
386",,1,51,386,[],https://twitter.com/494_cute/status/1432353443667087360
베리와 동동이,@berryNdongdong,2021-08-30T15:38:47.000Z,"베리와 동동이
@berryNdongdong
·
8월 31일","이거 하다가 한정판 그릇 깨먹음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 슬픔..
푸딩은 맛있었다.. 여름이라 계란비린내가 좀 나서 바닐라빈을 넣어줌 좋을듯
부대
@budae3333
 · 8월 23일
계란과 우유와 흑설탕만 있으면 되는
실패없는 존맛 푸딩 레시피 알려드립니다
이 스레드 보기
1
6",,1,,6,"['https://pbs.twimg.com/profile_images/1442303164615585794/XLY7J89D_mini.jpg', 'https://pbs.twimg.com/media/E9ex0FhUUAAc_UY?format=jpg&name=small']",https://twitter.com/berryNdongdong/status/1432367200996786181
레브,@reve_B,2021-08-30T18:57:34.000Z,"레브
@reve_B
·
8월 31일","밤숩 헤어지면 밤구가다음에만나는사람은 스빈이와정말한군데도 닮지않은사람일것같은데 (필사적으로피함) 스빈이가다음으로만나는사람은 얼굴목소리다정함까지 밤구판박이일것같음.. 물론 얼핏들리는사투리 쾌활한웃음소리 긴속눈썹 자길올려보던눈빛 이런것들이떠올라서 3개월을넘기는적이없지만
1
12
66",,1,12,66,[],https://twitter.com/reve_B/status/1432417224527003651
PLUM♡̆̈,@_Plum_11,2021-08-30T16:28:20.000Z,"PLUM♡̆̈
@_Plum_11
·
8월 31일","야밤에... BL 피폐물로 차원이동 당하는 균이로 뭉꿍 생각하기... 차원이동 사유 웹소 출판사 편집부 BL 파트 담당 n년차인데 그날도 어김없이 야근 중이었음(... 책상 위로 빈 커피잔만 엄청나게 쌓인 상태로 이번에 받은 작가님 신작 체크 하다가 그렇게 됨
1
20
93",🐳,1,20,93,[],https://twitter.com/_Plum_11/status/1432379670159183873
메루메루뇽,@JSY_Drexler,2021-08-30T08:41:46.000Z,"메루메루뇽
@JSY_Drexler
·
8월 30일","멜빈이랑 티모시 멘헤라 배틀..
이건..
...
모르겠는데 일단 둘 다 갈발이니 갈발은 멘헤라인가
1
4",,,1,4,[],https://twitter.com/JSY_Drexler/status/1432262255630962688
퍼슬,@peoseul_,2021-08-30T14:32:26.000Z,"퍼슬
@peoseul_
·
8월 30일","@욕실에서 리바이 씻겨줬을때는 빈이가 리바이를 좋아했나.. 그게 궁금합니다.

몇달째 discuss. 되는 주제
3
4",,,3,4,[],https://twitter.com/peoseul_/status/1432350504332378116
