UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
구름*ෆ₊°,@cloudwithB,2021-08-17T11:04:27.000Z,"구름*ෆ₊°
@cloudwithB
·
8월 17일","마스터키 후반부 백현이는 딱 첫사랑 느낌
3
1.5천
2.7천",,3,1.5천,2.7천,"['https://pbs.twimg.com/media/E8_O6zzVgAAcQ4d?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_O60lVkAc4t3q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_O60FUYAM7E60?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_O605UUAYSUJo?format=jpg&name=360x360']",https://twitter.com/cloudwithB/status/1427587121175433218
구름*ෆ₊°,@cloudwithB,2021-08-17T10:37:04.000Z,"구름*ෆ₊°
@cloudwithB
·
8월 17일","마스터키 백현 존나 쩔어..
1
467
1.1천",,1,467,1.1천,"['https://pbs.twimg.com/media/E8_IpJAVcAAYjap?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_IpI_UUAYCMDc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_IpJBVcAI315n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_IpI_UYAYuLHi?format=jpg&name=360x360']",https://twitter.com/cloudwithB/status/1427580229816446977
레아Leah,@Heptagram_Leah,2021-08-20T11:59:25.000Z,"레아Leah
@Heptagram_Leah
·
8월 20일","마스터키라는거,, 참 맛있지않나
1
12
30",,1,12,30,"['https://pbs.twimg.com/media/E9O4RQCUUAIetqO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9O4RYlVcAEu8lH?format=jpg&name=360x360']",https://twitter.com/Heptagram_Leah/status/1428688117339365378
엔 젤,@yun_luv_0408,2021-08-11T06:37:05.000Z,"엔 젤
@yun_luv_0408
·
8월 11일","마스터키 찬열 선배
6
25",,,6,25,['https://pbs.twimg.com/media/E8fYL9dUcAIXyRf?format=jpg&name=900x900'],https://twitter.com/yun_luv_0408/status/1425345509334474757
트친소무멘팔무의미 muimi,@6muI3mi,2021-08-05T13:05:00.000Z,"트친소무멘팔무의미 muimi
@6muI3mi
·
8월 5일","#RT 이 마스터키보드가 팔리면 #알티추첨 해서 현질 커미션 굿즈 등등 맘대로 하시라고 >>덕질자금 1.5 계좌에 넣어드립니다<<
노베이션 런치키 MK3 37 마스터키보드
21만원에 샀는데 박스랑 인증서 없어서 17만원에 팔아요

관심있으면 타래확인
1
76
6",☀,1,76,6,"['https://pbs.twimg.com/media/E8B3bDJVEAIL_7i?format=jpg&name=small', 'https://pbs.twimg.com/media/E8B3bYJVIAkGv-J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8B3bttVgAIlmio?format=jpg&name=360x360']",https://twitter.com/6muI3mi/status/1423268803123712004
수렴,@blonde_bumkey,2021-08-25T16:16:02.000Z,"수렴
@blonde_bumkey
·
8월 26일",마스터키,,,,,['https://pbs.twimg.com/media/E9pi9MNVIAoZRU3?format=jpg&name=small'],https://twitter.com/blonde_bumkey/status/1430564637301297155
깔삼,@idggamukjima,2021-08-30T16:23:43.000Z,"깔삼
@idggamukjima
·
8월 31일","ㅇㄴ 목소리 톤 편안하게 ㄹㅇ 아나운서 재질임 유재석 그냥 마스터키 같음 어디다 찔러넣어도 훅딱 열림
유재석바라기
@_720814yoo_
 · 8월 28일
이남자 못하는게 뭐지...?
3
9",,,3,9,"['https://pbs.twimg.com/profile_images/1435235969607901197/1NkJy58D_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431574715131305986/pu/img/44SEMedMvuhWlUES.jpg']",https://twitter.com/idggamukjima/status/1432378510216024071
승궈,@Pencilina_,2021-08-15T07:30:27.000Z,"승궈
@Pencilina_
·
8월 15일",마스터키보드 왔당,,,,,"['https://pbs.twimg.com/media/E80Kvb3VcAUNIkE?format=jpg&name=small', 'https://pbs.twimg.com/media/E80Kvb5VgAERpPT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80Kvb6UcAM_671?format=jpg&name=360x360']",https://twitter.com/Pencilina_/status/1426808490908033025
나유_NaIYou_,@NaIYou02167428,2021-08-19T15:22:02.000Z,"나유_NaIYou_
@NaIYou02167428
·
8월 20일","본격적으로 밴드부 연성을 하기위해
새탐에 끌올을 해봅니다 다른 멤버 연성은 아마 추후에 타래로!
1.각별-마스터키보드
1
5
13",🧐 🧐,1,5,13,['https://pbs.twimg.com/media/E9KdDEpVIAEwfKd?format=jpg&name=small'],https://twitter.com/NaIYou02167428/status/1428376720382468103
휴트 김시아ᴮᴬᴰ ᴸᴼⱽᴱ,@dorlclwm_6v6,2021-08-01T18:17:20.000Z,"휴트 김시아ᴮᴬᴰ ᴸᴼⱽᴱ
@dorlclwm_6v6
·
8월 2일","그치만 마스터키 끝내고 나혼산 김기범 정주행 중
휴트 김시아ᴮᴬᴰ ᴸᴼⱽᴱ
@dorlclwm_6v6
 · 8월 2일
졸려으어어억
2",,,,2,['https://pbs.twimg.com/profile_images/1428379553739644931/WZ_zjx6h_mini.jpg'],https://twitter.com/dorlclwm_6v6/status/1421897854973472771
퍼스,@whsskneverdie,2021-08-02T12:42:54.000Z,"퍼스
@whsskneverdie
·
8월 2일","김슬옹 임윤성 다온이 데리고 가서 다 붐업됨 다온이가 마스터키임
25
23",,,25,23,[],https://twitter.com/whsskneverdie/status/1422176078957670401
조솦Don't use my paintings without permission.,@soft_a_w4569,2021-08-22T09:45:58.000Z,"조솦Don't use my paintings without permission.
@soft_a_w4569
·
8월 22일","갓캐는 취향을 안타고 사람 마음을 뚫고 들어옴..그냥 머랄까..그냥 마주치는 순간 알아서 자리를 만드는거임 그냥 마스터키처럼 정신차리니까 걔가 앉아있는거임  난 화성같은 캐가 좋은게 아니라 걍 화성이 좋은거지....
16
31",🌟 🌟,,16,31,[],https://twitter.com/soft_a_w4569/status/1429379309131632642
부레옥잠 정이클,@lovableecl,2021-08-12T16:05:36.000Z,"부레옥잠 정이클
@lovableecl
·
8월 13일","으아니언젠가부터나는리밋이피해가는느낌
#에잇디_진상을_자백해라
키보드로우다다다멘션해도트위터가나를못느끼나
#8D_give_us_answers
나매트릭스를지배하는마스터키할아버지간지나
12
11",,,12,11,[],https://twitter.com/lovableecl/status/1425850967858106377
피넛버터리더치헤이입니다.,@Queenhuahua,2021-08-27T14:01:39.000Z,"피넛버터리더치헤이입니다.
@Queenhuahua
·
8월 27일","명색이헤라팰리슨데
마스터키가열쇠?ㅉ
2",,,,2,[],https://twitter.com/Queenhuahua/status/1431255592283172866
LAON,@00_LAON_00,2021-08-16T04:52:43.000Z,"LAON
@00_LAON_00
·
8월 16일","아........... 방키 또 방에다가 넣고 문닫아버림 아............ 다음 쉬는시간에 마스터키 또 빌리러 가야하잖아............ OMG.......
9",,,,9,[],https://twitter.com/00_LAON_00/status/1427131182383202311
𝙜𝙧𝙞𝙙,@0098mhz,2021-08-04T16:07:45.000Z,"𝙜𝙧𝙞𝙙
@0098mhz
·
8월 5일","도둑들보이즈
마스터키훔치려고 호텔지배인꼬시기 돌입함
열한명이 머리맞대고 작전짬
""들은바로는 이근방게이바에붙어앉아있으면 하루에한번은 꼭본다고하더라고 그지배인을""
""아무튼 게이도 취향이란게있으니까 두타입을보내보자고 너무미남은좀그렇고.. 담백한타입 존나찐하게생긴타입""
1
13
52",,1,13,52,[],https://twitter.com/0098mhz/status/1422952405843337223
핼로키치_수묘_需貓,@youwilldietmrw,2021-08-30T01:33:18.000Z,"핼로키치_수묘_需貓
@youwilldietmrw
·
8월 30일","이재명 캠프의 마스터키
네거티브다
이재명이 네거티브 덩어리라 
이름만 불러도 네거티브.
ㅋㅋㅋㅋㅋㅋㅋ
2
5",,,2,5,[],https://twitter.com/youwilldietmrw/status/1432154427805241353
빛널,@light_like_u,2021-08-24T19:50:33.000Z,"빛널
@light_like_u
·
8월 25일","찬여리 마스터키 보고싶다 천사
2",,,,2,[],https://twitter.com/light_like_u/status/1430256233768886276
히코미,@komiring,2021-08-06T14:35:07.000Z,"히코미
@komiring
·
8월 6일","어나더개저한테 잘못걸려서 문도 제때 못열구
쾅쾅 걷어차면서
걔랑섹스하면뒤진다 소리뻑뻑지르는 규;;
누구는 급하니까 직원멱살잡고와서 
마스터키 < 좃나 이거로 열음..
또한편의 아수라장이 펼쳐지는데..
ㅈㅇ이랑 피범벅 하체로 걍 누워서
씨발.. 아무나 옷부터줘 ..
라고 
말할 힘도없는 호쉬
7
26",,,7,26,[],https://twitter.com/komiring/status/1423653868252979204
김쯍,@kimjjyung,2021-08-28T00:54:31.000Z,"김쯍
@kimjjyung
·
8월 28일","만명의 사람이 있으면 만가지의 취향이 있는 것. 누구 하나 성향이, 성감대가, 성기 선호도가 똑같은 사람이 없음. 그래서 모두를 만족시키는 마스터키는 있을 수 없다. 최대한 만족시킬 수 있도록 노력하는 사람과 그렇지 못한 사람만이 있을 뿐.
#섹트
4",,,,4,[],https://twitter.com/kimjjyung/status/1431419892352249862
초로,@tillmysunrise,2021-08-04T01:15:58.000Z,"초로
@tillmysunrise
·
8월 4일","지마님 에어팟 거의 경비실마스터키
1
2",,,1,2,[],https://twitter.com/tillmysunrise/status/1422727981319921666
⇐ 𝐎𝐲𝐚'𝐬 𝐡𝐮𝐬𝐛𝐚𝐧𝐝,@OY4R4,2021-08-01T10:42:53.000Z,"⇐ 𝐎𝐲𝐚'𝐬 𝐡𝐮𝐬𝐛𝐚𝐧𝐝
@OY4R4
·
8월 1일","운 대성공 뜨면 마스터키 대신 형광조끼 주기.
5",,,,5,[],https://twitter.com/OY4R4/status/1421783488479465474
어머,@wannaone_eme,2021-08-01T06:03:04.000Z,"어머
@wannaone_eme
·
8월 1일","마스터키 메일링
마스터키
폼 관련 질문은 @wannaone_eme 로 주세요!
form.office.naver.com
1
1",🎗,,1,1,['https://pbs.twimg.com/card_img/1441936192946143232/mpZmg62x?format=png&name=360x360'],https://twitter.com/wannaone_eme/status/1421713069500092416
과제가 산떠미!! 바쁜 빈새,@BinSae_5959,2021-08-28T12:16:17.000Z,"과제가 산떠미!! 바쁜 빈새
@BinSae_5959
·
8월 28일","기숙사 에어컨..고장났지..
문..고장났지.. 개쩌는게.. 마스터키 두개다 안먹히구 열쇠로 열어도 안열려서 마스터키 다른거 하나 가져와서 열었음.... 첫날부터 왜이러지... 그리고 냉수 나옴..
1
3",,1,,3,[],https://twitter.com/BinSae_5959/status/1431591463138193408
말개떡,@S0ngThan,2021-08-04T04:27:39.000Z,"말개떡
@S0ngThan
·
8월 4일","삼일연속 호텔키를 방에 두고옴.
앱친.. 직장인 호텔이라 9시~5시 사이에 룸청소해서 청소직원분들이 마스터키 들고 다니는데 점심시간에 마스터키 빌려달라고 하면 밥드시던 분들이 나와서 열어줘야함 흑.. 안돼 삼일 연속 민폐는.. 점심 먹으러 못 가게 된 소심인간..
5",🍡,,,5,[],https://twitter.com/S0ngThan/status/1422776221071335430
서랍,@trenelcassetto,2021-08-10T12:28:38.000Z,"서랍
@trenelcassetto
·
8월 10일","저 사람이 생각보다 마스터키네,,,,,,,
3",,,,3,[],https://twitter.com/trenelcassetto/status/1425071588974600202
ひより,@MoHaJiii_MHJ,2021-08-06T03:27:44.000Z,"ひより
@MoHaJiii_MHJ
·
8월 6일","나 마스터키 삼킬 건데 받아갈사람 없나..
1
1",💚,1,,1,[],https://twitter.com/MoHaJiii_MHJ/status/1423485915649900544
