UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
床 (floor - 低浮上),@rawoongsfloor,2021-08-06T00:24:23.000Z,"床 (floor - 低浮上)
@rawoongsfloor
·
Aug 5","Shut up  받고 crazy  hot! 
Crazy  hot! 
Shut up  받고 crazy  hot! 
La,  la-la-la,  la, la-la-la,  la-la-la-la-la,  la-la-la 
Crazy  hot! 
Shout it out  louder for me  (소리 질러 )
1
15
43",🌹 🔥 🐯 🚫 🗣 🤪 🥵 🔥 🚫 🗣 🤪 🎵 🎶 🎵 🎶 🎵 🥵 🔥 🗣 📢 💥,1,15,43,[],https://twitter.com/rawoongsfloor/status/1423439775994892295
mia | #bIm,@elle_dis,2021-08-02T22:02:15.000Z,"mia | #bIm
@elle_dis
·
Aug 2","when am i gonna be able to hear bts yell 소리 질러 in the middle of a song again
1
1",,1,,1,[],https://twitter.com/elle_dis/status/1422316841435684864
쫑대렐라 꽃,@taekdaengdong93,2021-08-01T22:16:49.000Z,"쫑대렐라 꽃
@taekdaengdong93
·
Aug 1","* drum rolls * guess what’s the day today?!
•
•
•
it’s Ra Pam Pam day!!!! Yasssss 
소리 질러 !!!!

#골든차일드  #GoldenChild 
#GAME_CHANGER 
#라팜팜  #RaPamPam 

[M/V Teaser (Performance ver.)] 골든차일드(Golden Child) 'Ra Pam Pam' 

https://youtu.be/WpFkMiaWeqY via 
@YouTube
[M/V Teaser (Performance ver.)] 골든차일드(Golden Child) 'Ra Pam Pam'
If you like this Video, Plz click ""LIKE"" and ""SUBSCRIBE"".[M/V Teaser (Performance ver.)] 골든차일드(Golden Child) 'Ra Pam Pam'#GoldenChild #골든차일드 #Performance #Ra...
youtube.com",🍋 🎮,,,,['https://pbs.twimg.com/card_img/1440599659236397056/B56h8V7L?format=jpg&name=240x240'],https://twitter.com/taekdaengdong93/status/1421958119324672003
The 가사번약봇,@gasabunyuk_bot,2021-08-30T20:09:40.000Z,"The 가사번약봇
@gasabunyuk_bot
·
Aug 30","Why hesistate? Like a fool
Its annoying, your attitude
Just go for it this once
Act like you're crazy and go
<도시의 눈에띄는 변화무쌍한 열정적 그들- 질러>",,,,,[],https://twitter.com/gasabunyuk_bot/status/1432435372319854593
Ara lvs My universe and loco,@keniaosxara,2021-08-18T06:53:55.000Z,"Ara lvs My universe and loco
@keniaosxara
·
Aug 17","Oh, let's dance the night away (yeah, yeah, yeah)
Let's dance the night away
Yeah, one, two, three, let's go
저 바다 건너 들릴 듯 소리 질러 (yeah)
Let's dance the night away
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Let's dance the night away
Let's dance the night away
1",,,,1,[],https://twitter.com/keniaosxara/status/1427886459500077057
홍시,@VeritasJK,2021-08-11T07:19:39.000Z,"홍시
@VeritasJK
·
Aug 11"," 잠깼으면 소리질러!
 흐엉,,
 소리질러어!
 으응,,
 더크게!

자다깨서 정신도 없는 와중에 형이 소리 지르라니까 훙냥거리고있엌ㅋㅋㅋㅋㅋㅋ 진짜 미치게귀엽징ㅋㅋㅋㅋ
2
628
1.5K",✨ 🪐 🐺 🐰 🐺 🐰 🐺,2,628,1.5K,['https://pbs.twimg.com/ext_tw_video_thumb/1425356156877164544/pu/img/Nx4jE8xJnZH4mxpL.jpg'],https://twitter.com/VeritasJK/status/1425356221180121091
미유키,@miiko_dkonly,2021-08-08T07:29:00.000Z,"미유키
@miiko_dkonly
·
Aug 8","CARATちゃん~~~
소리 질러~(⌯˃̶᷄ᗝ˂̶̥᷅⌯)
다같이 즐기자 

#잠시만_도피해_캐럿랜드로
#ESCAPE_TO_CARATLAND
@pledis_17
2",🐴 🐴 🎤 🌼 💕 ‼,,,2,['https://pbs.twimg.com/media/E8QHTCIUcAwTi-9?format=jpg&name=small'],https://twitter.com/miiko_dkonly/status/1424271410868805633
NUSI,@gaming_nusi,2021-08-19T00:04:10.000Z,"NUSI
@gaming_nusi
·
Aug 18","으쌰 !! 소리 질러 !! こんにちは！！！ 으쌰!!!
狼長in 黎明前線(MCBKこそ神迷彩)
@wolfleader_0220
 · Aug 16
ポーランド警察の特殊部隊の突入映像らしいんだけど、こんにちはって叫んでるようにしか聞こえなくて見るたびに笑ってる。
Show this thread
1",,,,1,"['https://pbs.twimg.com/profile_images/1427523246669266952/mVRfeArh_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1427522107030732800/pu/img/ZQdCKJmCLL-M8tIR.jpg']",https://twitter.com/gaming_nusi/status/1428145731177631746
펑리수,@countcontesso,2021-08-10T16:20:29.000Z,"펑리수
@countcontesso
·
Aug 10",#질러,,,,,[],https://twitter.com/countcontesso/status/1425129936772235265
𝕋 𝕚𝔸⋆,@_kuma_tia,2021-08-13T03:10:05.000Z,"𝕋 𝕚𝔸⋆
@_kuma_tia
·
Aug 12","메박 동대문 소리질러어ㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓ!!!!!! 역시 동메박!!!!!!!!!!!!!!!
うたの☆プリンスさまっ♪
@utapri_official
 · Aug 12
【EVENT】3DLIVE「うたの☆プリンスさまっ♪ SHINING STAR STAGE -LOVE in DREAM-」韓国、台湾、香港の3エリアでのライブ・ビューイング開催が決定しました！詳しくは公式サイトおよび各劇場のサイトをご確認ください。https://utapri-sss.com/live_viewing/#overseas…
Show this thread
4",💚 👑,,,4,"['https://pbs.twimg.com/media/E8o7_EPVkAoLvz_?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1377637001017495552/hjV5Wa7n_mini.jpg']",https://twitter.com/_kuma_tia/status/1426018191667433474
무무,@moom_twt,2021-08-13T10:49:25.000Z,"무무
@moom_twt
·
Aug 13","퇴근하고 왓더니..소리질러어ㅜㅜ
1
3",,1,,3,"['https://pbs.twimg.com/media/E8qlFzeVEAQExO4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qlGp5UYAE0DhB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qlHkFVoAAOifm?format=jpg&name=360x360']",https://twitter.com/moom_twt/status/1426133787365175296
잉잉~~,@theirfault,2021-08-25T04:34:23.000Z,"잉잉~~
@theirfault
·
Aug 24","우리 캐러뜰! (이거아니야..
우리 캐러뜰 소리질러어~~
윤정한 안되면 에라모르겠다 재빨리 포기하구 자기식대로 소리지르는게 귀여움
115
162",🥺,,115,162,['https://pbs.twimg.com/ext_tw_video_thumb/1430386646323585024/pu/img/aH2BD78A-1XX9NCi.jpg'],https://twitter.com/theirfault/status/1430388059342663682
혜승팡 𓂃𓈒 𓂂𓏸,@hyeseungpang,2021-08-19T13:02:39.000Z,"혜승팡 𓂃𓈒 𓂂𓏸
@hyeseungpang
·
Aug 19","소리질러어ㅓㅓㅓㅓㅓㅓㅓ
2",🐹,,,2,['https://pbs.twimg.com/media/E9J9JxQVEAE9vqe?format=jpg&name=small'],https://twitter.com/hyeseungpang/status/1428341643774627841
(エωヌ),@NSYHJTJ_BTS,2021-08-06T08:30:42.000Z,"(エωヌ)
@NSYHJTJ_BTS
·
Aug 6","北海道在住大人ARMY様に届け！
(っ'-')ﾉ=͟͟͞͞

北海道30overARMY
@HKD_30over_ARMY
北海道在住30代～上限なし
北海道大人ARMY繋がろ！という垢です
只今255名様が参加中

まだまだ居るはず
北海道大人ARMY
소리 질러ー！
#BTS
#大人ARMY
#オンマARMY
#北海道ARMY
#道産子ARMY
#ARMYと繋がりたい
8
44",💜 ✨,,8,44,['https://pbs.twimg.com/media/E8GCPb9VgAMrtyJ?format=jpg&name=small'],https://twitter.com/NSYHJTJ_BTS/status/1423562163487002624
H o Y a,@VRC_HoYa,2021-08-10T13:33:07.000Z,"H o Y a
@VRC_HoYa
·
Aug 10","I just bought '[スーツ, Suit] - 碼希, まき, Maki' from 'Eliya Workshop'. https://eliya.booth.pm/items/3184507 #booth_pm 

마키 정장은 못 참는다 질러~!~!~!
[スーツ, Suit] - 碼希, まき, Maki - Eliya Workshop - BOOTH
碼希の専用 衣装 モデルです。 This is a costume model for Maki 碼希, Maki, 마키 https://hyuuganatu.booth.pm/items/3162696 ◈UTSシェーダを使用しています。◈ ◆ 商業利用 - ゲーム、映像等の活用による金銭的な利益創出が可能です。 ◆ ファイルの修正 - 3Dモデルやテクスチャーの改造は自由です。 ◆...
eliya.booth.pm
1",🦋,,,1,['https://pbs.twimg.com/card_img/1440111750796365830/aNGJPj2n?format=jpg&name=small'],https://twitter.com/VRC_HoYa/status/1425087819333128198
BkkUnnie ☽ * ₊ ᗰEᗯ ‧̍̊˙· 𓆝.°,@BkkUnnie,2021-08-26T06:45:00.000Z,"BkkUnnie ☽ * ₊ ᗰEᗯ ‧̍̊˙· 𓆝.°
@BkkUnnie
·
Aug 25","[KOR]
P’Mew가 그리우신가요 소리질러어 우와우
N’Gulf가 Candy TV를 자랑하고 난후에 P는 과연 어떤 Candy 냉장고 모델을 자랑할지 한번 지켜볼까요??
내일 8:30분에 유튜브 그리고 Mew의 친한 친구 Candy 냉장고와 약속이 있어요

#MewSuppasit #CandyThailand
CandyThailand
@CandyOfficialTH
 · Aug 25
คิดถึงพี่มิวกันไหม ขอเสียงหน่อยครับวู้วว
หลังจากน้องกลัฟมาอวด Candy TV ไปแล้วมาดูกันว่า คนพี่จะมาอวดตู้เย็น Candy รุ่นไหน??

พรุ่งนี้เวลา 8:30 น. เรามีนัดกันที่ YouTube และที่ #.,ตู้เย็นCandyคู่ซี้ของมิว

#MewSuppasit #SimplifyYourLife #Candyชีวิตง่ายสไตล์คุณ #CandyThailand
27
40",🥳 🥳,,27,40,['https://pbs.twimg.com/profile_images/1369981098113998852/eDt6iNjA_mini.jpg'],https://twitter.com/BkkUnnie/status/1430783318228803592
MTRT! 아야세 봄(礼瀬 春),@springweather,2021-08-28T15:56:12.000Z,"MTRT! 아야세 봄(礼瀬 春)
@springweather
·
Aug 28","여러분 저 천사님 오신데요!!!!! 소리질러어ㅓ!!!!
1
7",🐣 🐣,1,,7,[],https://twitter.com/springweather/status/1431646807566606338
