UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ㅇㅅㅇ(DM하기전에 프로필 보세요),@mmsky17,2021-08-28T14:11:28.000Z,"ㅇㅅㅇ(DM하기전에 프로필 보세요)
@mmsky17
·
8월 28일","Stray Kids 스트레이키즈 일본 카페 굿즈 특전 아크릴 투명 티코스터 양도합니다

Seungmin 승민 3.0
Han 한지성 3.0
리노 leeknow 4.5
방찬 Bangchan 3.0

승민 커피숍 특전
제시 offer 

SKZ 스키즈 sell photocard pc benefit 예판 Japan cafe ㅅㅋㅈ 킹덤",,,,,['https://pbs.twimg.com/media/E94jNGBUYAI1GzV?format=jpg&name=small'],https://twitter.com/mmsky17/status/1431620451457900547
ᅠᅠᅠᅠ * 𝓳𝐮𝐬𝐭 𝐠𝐨𝐝.,@iCRYSTALEYES,2021-08-17T01:01:58.000Z,"ᅠᅠᅠᅠ * 𝓳𝐮𝐬𝐭 𝐠𝐨𝐝.
@iCRYSTALEYES
·
8월 17일","ᅠᅠᅠ
ᅠᅠ
ᅠᅠᅠ
  ᅠ───────┈ ¿Han visto a Nanami? Aún no me regresa mi termo de café de hellokitty.
ᅠᅠᅠ
ᅠᅠ
1",,,,1,[],https://twitter.com/iCRYSTALEYES/status/1427435499057258497
,@acornswiper,2021-08-13T12:15:33.000Z,"@acornswiper
·
8월 13일","told my boss I'm leaving later because stray kids making a comeback and because of han's birthday cafes and she just ""그럴 줄 알았어! 아인이 그냥 더 늦게 갈리가 없어!"" 
8",🧀 🍫 😂,,,8,[],https://twitter.com/acornswiper/status/1426155462999740428
stray kids san jose,@staycafesj,2021-08-14T16:01:12.000Z,"stray kids san jose
@staycafesj
·
8월 15일","⭒ 2021 SEPT LINE BIRTHDAY CAFE ⭒
— for #HAN + #FELIX + #SEUNGMIN 

cupsleeve event in San Jose
09.25 – 09.26
coming soon! ✧*:･ﾟ✧
#한 #필릭스 #승민 #straykids
GIF
42
74",,,42,74,['https://pbs.twimg.com/tweet_video_thumb/E8w2DrBVoAISo5v.jpg'],https://twitter.com/staycafesj/status/1426574635835944963
Jorge Escalante M.,@JLEMERCHAN,2021-08-12T13:40:00.000Z,"Jorge Escalante M.
@JLEMERCHAN
·
8월 12일","Hola hola, el sábado estaré en Barrio Obrero (Táchira), en esta pequeña degustación de cervezas y café 

Para los que no la han probado, queda de maravilla 
4
36
67",❤,4,36,67,['https://pbs.twimg.com/media/E8mCknlVIAYQM41?format=jpg&name=small'],https://twitter.com/JLEMERCHAN/status/1425814325835354125
MY DAY,@JeonginKing97,2021-08-29T19:00:03.000Z,"MY DAY
@JeonginKing97
·
8월 30일","Virgo Kids Geburtstags Event
Seungmin, Han und Felix Cupsleeve Event bei euch in der Nähe!

Wann? 18.09.2021 (Samstag) 11 Uhr bis 17:30 Uhr
Wo? Cafe Kyubang Frankfurt

Details auf dem Foto
#StrayKids #GermanStays #VirgoKidsDay2021 #Seungmin #Han #Felix
15
46
116",🥳 🥳 📢 ✨ ✨ 📢 🥳,15,46,116,['https://pbs.twimg.com/media/E9-ra9rXoAcLPJZ?format=jpg&name=900x900'],https://twitter.com/JeonginKing97/status/1432055464670420997
༒༺ 𝔘𝔫𝔞 𝔇𝔞𝔪𝔞 𝔇𝔦𝔠𝔢 ༻༒,@_Una_Dama_Dice,2021-08-12T12:48:47.000Z,"༒༺ 𝔘𝔫𝔞 𝔇𝔞𝔪𝔞 𝔇𝔦𝔠𝔢 ༻༒
@_Una_Dama_Dice
·
8월 12일","Tengo tres pequeñitas preguntas muy serias y sencillas, por cierto.

¿ Ya cuantos se han tomado su café? 

¿ Ya se han conectado a su mágico mundo de Twitter, para poder comenzar a disfrutar de su contenido? 

¿ Y por último y es la más importante, si ya han comenzado a sonreír ?
GIF
2
2
16",,2,2,16,[],https://twitter.com/_Una_Dama_Dice/status/1425801438295326729
TheRevolution,@TheBrsinFan1,2021-08-16T09:17:27.000Z,"TheRevolution
@TheBrsinFan1
·
8월 16일","EA! Aquí sí que han dado con la perspectiva del lunes 
A por otro café que voy! 
4
8
57",🤡 😝 😝 😂,4,8,57,['https://pbs.twimg.com/media/E85s1jWWYAQkUM6?format=jpg&name=small'],https://twitter.com/TheBrsinFan1/status/1427197806855528451
Píldora,@Pildora_II,2021-08-09T20:51:15.000Z,"Píldora
@Pildora_II
·
8월 10일","Si aceptas como algo normal que la policía te pida un pasaporte mientras te tomas un café significa que los medios han hecho bien su trabajo contigo.
107
2.6천
8.2천",,107,2.6천,8.2천,[],https://twitter.com/Pildora_II/status/1424835690362195976
sergio,@sergioa22468992,2021-08-25T21:00:53.000Z,"sergio
@sergioa22468992
·
8월 26일","¿Es normal que te cobren por un café 1.30 € y por un café con hielo 2 €?
Nota 1: hemos confirmado con el local que no había error
Nota 2: el vaso sólo contenía un unico hielo. 
Nota 3: no lo han traído del Polo Norte
97
74
243",,97,74,243,['https://pbs.twimg.com/media/E9qkJKLWUAABQFa?format=jpg&name=small'],https://twitter.com/sergioa22468992/status/1430636320184012801
