UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
연,@hyunsang_yeon,2021-08-22T15:06:31.000Z,"연
@hyunsang_yeon
·
Aug 22","공식계정들이랑 카페사진 바뀐 거 보니 실감난다… ㄷㄱㄷㄱ
40
64",,,40,64,"['https://pbs.twimg.com/media/E9Z2RVtVIeUBCMM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z2RVtVcAIo8JK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z2RVrVIA0XV9q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Z2RVwVUAQbcTC?format=jpg&name=360x360']",https://twitter.com/hyunsang_yeon/status/1429459977765228551
개,@gansik_sss,2021-08-10T17:57:12.000Z,"개
@gansik_sss
·
Aug 10","우짜다보니....
히빌 일상개그 카페커를 열게되었습니다?!
3
33
100",,3,33,100,['https://pbs.twimg.com/media/E8cqKhgVcAMQiCz?format=png&name=small'],https://twitter.com/gansik_sss/status/1425154276419006467
ᥫᩣ브러윈ᰃ,@bwin_04,2021-08-15T06:38:51.000Z,"ᥫᩣ브러윈ᰃ
@bwin_04
·
Aug 14","어쩌다보니 카페 3일차 개근
잘 왔다갑니다
쑥스러워서 도망가는데 사진찍어주셔서 감사해요

#여전히_왓타인과_함께
#still_together
5
5
69",😇 😇 🤍 💚,5,5,69,"['https://pbs.twimg.com/media/E8z-8E3UcAgFRAd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z-8E3VIAEZZ12?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z-8E6VoAM_Xhp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z-8E8VUAMHqiC?format=jpg&name=360x360']",https://twitter.com/bwin_04/status/1426795504709505025
자라 반동결,@Renjunzara00,2021-08-08T03:19:24.000Z,"자라 반동결
@Renjunzara00
·
Aug 7","샤오쥔 생일날 생일카페 보니 기붕이저쿤
The following media includes potentially sensitive content. Change settings
View
2",❄ ☃,,,2,[],https://twitter.com/Renjunzara00/status/1424208595235655681
루미,@luminous_eva,2021-08-22T07:07:00.000Z,"루미
@luminous_eva
·
Aug 22","어쩌다 보니 친구랑 만화 카페에 와서 어쩌다 보니 읽고 있어요
12",,,,12,['https://pbs.twimg.com/media/E9YIghTVgAITpZ_?format=jpg&name=small'],https://twitter.com/luminous_eva/status/1429339304325570560
호핀,@thewaywelove,2021-08-28T09:07:28.000Z,"호핀
@thewaywelove
·
Aug 28","불행하다는 감각에 갇혀있을 때는 보이지 않는다. 내가 지닌 것, 나의 장점, 내가 좋아하던 내 모습, 곁의 사람들 같은 거. 좋아하는 카페에 가서 환대받고 좋은 책을 읽다보니 느끼는 내면의 힘, 빛비스무리한 거. 직면할 수 있는 힘, 사랑하여 생기는 힘. #210828 #피프티피플
26
69",,,26,69,"['https://pbs.twimg.com/media/E93dX0nVcAMy4iK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93dcn8UYAMVcny?format=jpg&name=360x360']",https://twitter.com/thewaywelove/status/1431543947696824324
샤샤,@zhanzhara_bjyx,2021-08-03T06:13:16.000Z,"샤샤
@zhanzhara_bjyx
·
Aug 2","카페 못가는대신 보니샘이랑 데이뚜
@Eojjeoda_bony
1
8",🍫 🥕 🥕 🍫,,1,8,"['https://pbs.twimg.com/media/E72F-ztVEAEso1k?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E72GAVWUUAAgSjz?format=jpg&name=360x360']",https://twitter.com/zhanzhara_bjyx/status/1422440411826556931
하루,@hasimoto_haru,2021-08-28T14:12:53.000Z,"하루
@hasimoto_haru
·
Aug 28","안정원 한손으로 턱괴고 겨울이가 종알거리면서 얘기하는거 듣고있었음. 근데 오물오물 움직이는 겨울이 입이 너무 이쁜거임.. 그래서 자기도 모르게 춉 뽀뽀 갈겻는데 정신차리고보니 거기가 병원 카페였고......
옆테이블엔 레지던트들이 뒷테이블엔 로사와 영혜가 앉아있었던...
1
14
119",🐶 🐰,1,14,119,['https://pbs.twimg.com/media/E94jigBUYAEoauC?format=jpg&name=small'],https://twitter.com/hasimoto_haru/status/1431620809622110208
Poem_to_me | 튬,@poem_to_me,2021-08-17T12:45:06.000Z,"Poem_to_me | 튬
@poem_to_me
·
Aug 17","어쩌다보니 슬로건을 두번..컵홀더 이벤트 카페까지 했네요
혼자, 둘이 하는 일이라고 생각했었는데, 라뷰칭구들이 없었으면 절대 할 수 없었던 일이었어요
나눔 때마다 만나면 좋은 말 엄청 많이 해주셔서 오히려 제가 진짜 선물을 가득 받은 기분이었어요
2
6
73",👀 🥺 💟,2,6,73,"['https://pbs.twimg.com/media/E8_l8hyVEAkNISr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_l85hVEAMkGek?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_l8vPVUAc3gL5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_l9X9UYAQfvOL?format=jpg&name=360x360']",https://twitter.com/poem_to_me/status/1427612452041093128
나민초코단,@mincho_nako,2021-08-02T05:48:19.000Z,"나민초코단
@mincho_nako
·
Aug 1","#Tournesol_My_Sunshine
#HAPPY_CHAEWON_DAY
#김채원 #IZONE

김채원생일카페 in 브라운시티 Brown city
최근갔던 카페들중에서는 아메리카노가 가장 괜찮은 맛을 보여준 카페 
어쩌다보니 3일 모두 감ㅋ생딸기쥬스는 덤
8
15",,,8,15,"['https://pbs.twimg.com/media/E7w2gZMVEAMHqeG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7w2sABUUAIyqhY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7w2q2HVEAMTcf_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7w2stfVcAE5T2q?format=jpg&name=360x360']",https://twitter.com/mincho_nako/status/1422071745180094465
