UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
이음,@mark2_99,2021-08-05T06:15:32.000Z,"이음
@mark2_99
·
8월 5일","재민이 애착인형인 젤리캣 인형 지성이 닮은 오리로 갖고 있는데 왜 재미니 애착인형인지 아실거예여.. 진짜 말랑포근부들 짱 귀여워요.. ♡
1
3",,,1,3,['https://pbs.twimg.com/media/E8AZtjdUUAM7sTN?format=jpg&name=small'],https://twitter.com/mark2_99/status/1423165757341331459
로우니,@song_ssssssi,2021-08-12T02:11:25.000Z,"로우니
@song_ssssssi
·
8월 12일","전농 오리떼닭한마리
오리로스반마리+오리주물럭반마리
말복에 오리고기가 급 땡겨서 머그러갔는데 여기 주물럭 맛있다
엄니가 주물럭에 밥 볶아서 먹음 꿀맛이래서 글케 먹았는데 진짜 순삭
1
8",🤩 🤩,,1,8,"['https://pbs.twimg.com/media/E8jk9BJUYAk0MBq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8jk9BLUcAAergC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8jk9BIVkAYXQRh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8jk9BMVoAExMyB?format=jpg&name=360x360']",https://twitter.com/song_ssssssi/status/1425641039583354881
4말,@4__mall,2021-08-12T07:25:58.000Z,"4말
@4__mall
·
8월 12일","세계 일류 럿깅이던 내가 볼빵빵오리로 새롭게 태어난 건에 대하여,
8
10",,,8,10,"['https://pbs.twimg.com/media/E8ks9bhUYAA3Ati?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ks9biVUAozk0O?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ks9bhVIAA4CEv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ks9bhUcAcl8ss?format=jpg&name=360x360']",https://twitter.com/4__mall/status/1425720197017608195
오부,@obuhpen,2021-08-06T17:05:40.000Z,"오부
@obuhpen
·
8월 7일","이만 로그아웃하려합니다
Niki를더이상못보겟습니다
그가 오리로 보입니다
그리고 그 오리를 키우고싶습니다
이뤄질수없다는걸 알기에 niki를
키우고싶은 심장을 찢어내려합니다
엔진여러분들  niki를아껴쥬세요
그러나조심하십시오
저처럼 죽을만큼 키우고싶게되면가슴이찢어지는고통을맛보게될겁니다
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
52
92",,,52,92,[],https://twitter.com/obuhpen/status/1423691757192052737
ᵇˡᵘᵉ스투키ˡᵉᵗᵗᵉʳ,@Stuckyi_930301,2021-08-02T11:30:51.000Z,"ᵇˡᵘᵉ스투키ˡᵉᵗᵗᵉʳ
@Stuckyi_930301
·
8월 2일","복어에서 오리로 진화함
1
10",☁ 💙,,1,10,['https://pbs.twimg.com/ext_tw_video_thumb/1422157898512166915/pu/img/ncJtNXo5RMsOalbC.jpg'],https://twitter.com/Stuckyi_930301/status/1422157946503368707
솜젠,@gen_somsom,2021-08-09T06:41:26.000Z,"솜젠
@gen_somsom
·
8월 9일","얍님에게 부탁드려서 위에 옷 20센치, 아래는 15센치로 구했다>< 카결되면 돈 보내드리기로…! 귀여운 오리 옷들ㅋㅋㅋ 어쩌다보니 오리로만 구하게 되었다ㅋㅋㅋ빨간 옷은 개인제작맡긴 내 첫솜에게 입히고, 도날드덕 옷은 미니통령님 오면 입혀드려야지!",,,,,['https://pbs.twimg.com/media/E8VF__6VcAc0Nt-?format=jpg&name=small'],https://twitter.com/gen_somsom/status/1424621828048261124
계올ㅁ,@xxaouu,2021-08-02T08:10:51.000Z,"계올ㅁ
@xxaouu
·
8월 2일","우와 나 이 오리로 승우 모에화시작한지도벌써세달이나더전이래
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/xxaouu/status/1422107613806796802
상콘,@yjHbsSx2FfCfL4A,2021-08-12T18:16:47.000Z,"상콘
@yjHbsSx2FfCfL4A
·
8월 13일","오리로 돌아옴
2",,,,2,[],https://twitter.com/yjHbsSx2FfCfL4A/status/1425883981581410308
봄봄스쿨,@a1bbs,2021-08-15T15:30:06.000Z,"봄봄스쿨
@a1bbs
·
8월 16일",도서 41위 (↓2) 오리로보 오리가미 솔저 #봄봄스쿨   #인터파크  #건강  #취미 #여름방학 http://inpk.kr/c82s,,,,,[],https://twitter.com/a1bbs/status/1426929197994299406
고통의졸좍중..왹폭껌,@Baten000,2021-08-14T14:45:28.000Z,"고통의졸좍중..왹폭껌
@Baten000
·
8월 14일","보자마자 너무 좋아서 입틀막고 미소광대가 하늘을 지나 우주의 끝을 찌르고왔습니다 이렇게 갑작 선물을 주시다니 제 심장을 타격하셨다 휴;;;; 압도적감사에 앞동산 풍차회오리로 넘어버린 왹져가 되어버렸고... 압도적 감사입니다 (굽신굽신ㅜㅜㅜ
Ms1sharklee 이상어/팬딩 클래스 OPEN
@ms1sharklee
 · 8월 14일
#괴물들아_학교_갈_시간이야
#몬스터_하이스쿨

학교에서 헤이즐의 대략적인 존재감

더 그려보고 싶었는데ㅜㅜ 더 그려보고싶은 친구들이 많았는데ㅜㅜ 팔이 너덜해져서ㅜㅜ 퀄리티도 이래요ㅜㅜ 간만에 다른 캐릭터들 그려서 정말 재미있네요!! 크아아
이 스레드 보기
1
1",👽 💣 🍬 😍 😂 😂 😍 😂 😍 😂 😂 😍 ‼,1,,1,"['https://pbs.twimg.com/media/E8wkvCyVEAMBcg3?format=jpg&name=240x240', 'https://pbs.twimg.com/profile_images/1439739367933706240/h4c5q61h_mini.jpg', 'https://pbs.twimg.com/media/E8wjJKpVIAE7OlA?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E8wjJKpUcAAfcce?format=jpg&name=120x120']",https://twitter.com/Baten000/status/1426555575907749896
