UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
그 네모눈에 도취된것같아 (ルアン),@Lee_ranchan,2021-08-12T15:29:50.000Z,"그 네모눈에 도취된것같아 (ルアン)
@Lee_ranchan
·
Aug 12","아~
디엠으로 사진보내준사람도 카메야 파시던데
님 디엠인이랑 트친해보시는건?
1
3",,1,,3,"['https://pbs.twimg.com/media/E8mbthWVgAwuSzr?format=png&name=small', 'https://pbs.twimg.com/media/E8mbttbVUAQvBqi?format=jpg&name=360x360']",https://twitter.com/Lee_ranchan/status/1425841968710488069
나나 / 문의전 메인트윗 필독,@nanazzxng,2021-08-19T15:14:59.000Z,"나나 / 문의전 메인트윗 필독
@nanazzxng
·
Aug 19","하이큐 여름아크릴 공구합니다

1차금 : 1.35 
2차금 : 해배비 + 국배비 +- 차액

9월 발매

오사무 구매 불가 

자유롭게 디엠주세요  

히나타 카메야마 츠키시마 키타 신스케 아츠무 아크릴 공구 앙도
7
22",❌,,7,22,['https://pbs.twimg.com/media/E9KbcLTUcA4n8ad?format=jpg&name=small'],https://twitter.com/nanazzxng/status/1428374947018141699
,@yuwura,2021-08-26T17:54:50.000Z,"@yuwura
·
Aug 26","절미야 카메야마 할래? AB형이고 잘생겼어요
1
2
1",🍙,1,2,1,"['https://pbs.twimg.com/media/E9vDJ3rVEAYHSnv?format=jpg&name=small', 'https://pbs.twimg.com/media/E9vDJ3sVoAA7Xye?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9vDJ3rUUAAdP9j?format=jpg&name=small']",https://twitter.com/yuwura/status/1430951887918931970
닝겐싯카쿠。。。어흥,@roa__rr,2021-08-02T13:14:02.000Z,"닝겐싯카쿠。。。어흥
@roa__rr
·
Aug 2","이키테쿠 이미사에 츠카메야시나이나라~~
2",,,,2,[],https://twitter.com/roa__rr/status/1422183914999742467
,@CRTH1215,2021-08-11T03:38:58.000Z,"@CRTH1215
·
Aug 10",그냥 평소 쓰던 카메야와사비 살껄ㅜ,🇨 🇷 🇹 🇭,,,,[],https://twitter.com/CRTH1215/status/1425300683524251658
Kaoru,@kunyibo,2021-08-07T15:16:10.000Z,"Kaoru
@kunyibo
·
Aug 7","카메야  따서 좋지? 니가 좋아하니 난 그거면 됐다.
1
1",⚾ 🥇,1,,1,[],https://twitter.com/kunyibo/status/1424026589109448705
ヤキソバ,@jun_suki_yaki,2021-08-25T16:37:17.000Z,"ヤキソバ
@jun_suki_yaki
·
Aug 25","카메 보컬도 너무 좋음 
당연함 항상 카메보컬 사랑했기 때문..
카메야........ 잘하자 홧팅~~~",💗,,,,[],https://twitter.com/jun_suki_yaki/status/1430569983805775873
Dr.PK君,@baksa_dameyo,2021-08-26T01:03:27.000Z,"Dr.PK君
@baksa_dameyo
·
Aug 25","초대 파트너인 카메야마 카오루가 약 6.5 시즌을 소화했기 때문에, 이번 시즌에 카부라기 와타루가 풀시즌을 소화하면 7시즌 완주로써 카메야마 카오루의 기록을 경신하게됨.",,,,,[],https://twitter.com/baksa_dameyo/status/1430697366139461633
세타(로그아웃),@ceta_is_me,2021-08-11T07:56:39.000Z,"세타(로그아웃)
@ceta_is_me
·
Aug 11","하테시나이 쿄우노나카 사마요우 코노미와 도코카니아루 요아케오 마치와비테루우 이키테쿠 이미사에 츠카메야시나이라아 코노쿠 다라나이 요루니 굿도 바이-  

아… 아… 아… 아… 치매 꼭 예방해야해",↘ ↗ ↘ ↗,,,,[],https://twitter.com/ceta_is_me/status/1425365533117976576
타다노부카츠,@tadanobukatsu_,2021-08-26T10:46:07.000Z,"타다노부카츠
@tadanobukatsu_
·
Aug 26",이키테쿠~이미사에~츠카메야시나이나라~코노 쿠다라나이~요루니 굿도바이...,,,,,[],https://twitter.com/tadanobukatsu_/status/1430843997736431618
데데시,@thathat_shittt,2021-08-02T17:06:23.000Z,"데데시
@thathat_shittt
·
Aug 2","혼자 하이큐보고 과몰입할때마다 애들부를때: 
히나타,울애기 / 카메야마 / 다이치, 우리주장/ 스가,스가센빠이/ 아사이,우리 에이스 / 노야 / 타나카 / 엔노시타 / 츳키 / 야마구치 / 키요코상.. / 야치
시루
@HQ_cyrufntl
 · Aug 2
나 이거 너무 궁금해서 결국 만들어옴 
다들 인용으로 해줘봐",🤍,,,,"['https://pbs.twimg.com/profile_images/1428713431188656135/NztvCf2y_mini.jpg', 'https://pbs.twimg.com/media/E7x2YVNUYAER4Ii?format=jpg&name=small', 'https://pbs.twimg.com/media/E7x2ZHEVIAQsSTz?format=jpg&name=small']",https://twitter.com/thathat_shittt/status/1422242385107374081
