UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
임곰비,@Gom_B_,2021-08-02T02:09:30.000Z,"임곰비
@Gom_B_
·
8월 2일","그래도 웨딩피치는 역시 사루비아가 먼저 떠오름 갓캐....
1
813
499",🍒,1,813,499,"['https://pbs.twimg.com/media/E7wEoIAVEAA9aM4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wEoZ1VEAUcVlW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wEoR5UUAMx6X9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wEog5VUAIiU2X?format=jpg&name=360x360']",https://twitter.com/Gom_B_/status/1422016678053875714
감자깡,@g_g_0908,2021-08-24T13:05:47.000Z,"감자깡
@g_g_0908
·
8월 24일","사루비아
1
13
65",,1,13,65,['https://pbs.twimg.com/media/E9jt0emUYAEqxpZ?format=jpg&name=small'],https://twitter.com/g_g_0908/status/1430154369815613455
뷰티풀코리아(뷰코),@_BeautifulKorea,2021-08-17T01:32:03.000Z,"뷰티풀코리아(뷰코)
@_BeautifulKorea
·
8월 17일","함양 상림공원
숙근 사루비아
1
1
21",,1,1,21,"['https://pbs.twimg.com/media/E89Ly4bVoBQSA_q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E89L2oxVoAchBSV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E89L0oJVoAU_uaW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E89L4rOVEAABCT1?format=jpg&name=360x360']",https://twitter.com/_BeautifulKorea/status/1427443072929996817
진율,@yul50x60,2021-08-02T04:08:03.000Z,"진율
@yul50x60
·
8월 2일","내 취향에감탄중

세일러문 - 넵튠
웨딩피치- 사루비아
카캡- 토모요
건담-라크스

오자마녀는 내가 잘모르구..
그냥 ..찾다보니ㅋㅋ나옴
9
19",,,9,19,"['https://pbs.twimg.com/media/E7wfwpnVkAMZ_mA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wfw6wUUAUycIo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wfwyuVkAA5xr9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7wfxDkVIAMwE-J?format=jpg&name=360x360']",https://twitter.com/yul50x60/status/1422046511857209347
NOBLISM 노블리즘,@ym_mk_sp,2021-08-20T09:43:41.000Z,"NOBLISM 노블리즘
@ym_mk_sp
·
8월 20일","[ NOBLISM DOLL ] * 노블리즘
Face up portfolio
-
리틀모니타 이노센트 사루비아
-
상세 오더
1
1",,,1,1,"['https://pbs.twimg.com/media/E9OZKfRVkAcZ3wg?format=png&name=360x360', 'https://pbs.twimg.com/media/E9OZKgZUcAs5Cnd?format=png&name=360x360', 'https://pbs.twimg.com/media/E9OZKf-VoAQXMO0?format=png&name=360x360', 'https://pbs.twimg.com/media/E9OZKgzVcAQdSHQ?format=png&name=360x360']",https://twitter.com/ym_mk_sp/status/1428653959451791369
튀김바도,@jangmi_bird,2021-08-21T12:30:50.000Z,"튀김바도
@jangmi_bird
·
8월 21일","초본 존 : 은사초, 서양할미꽃, 샐비어, 층꽃, 붉은여우꼬리, 숙근 사루비아, 꼬리풀
1
12",🌖 🌒,1,,12,['https://pbs.twimg.com/media/E9UJC7bVkAc1Bb9?format=jpg&name=small'],https://twitter.com/jangmi_bird/status/1429058413158301699
라프리스,@Lari_ff14,2021-08-09T05:43:43.000Z,"라프리스
@Lari_ff14
·
8월 9일","맞아 드디어 사루비아 꽃이 나왔어요  여전히 빛이 부족한지 위로 쭉 뻗어나왔지만
3",🌺,,,3,"['https://pbs.twimg.com/media/E8U4yLNVgAEH2Cg?format=jpg&name=small', 'https://pbs.twimg.com/media/E8U4yhJVcAc9a9G?format=jpg&name=small']",https://twitter.com/Lari_ff14/status/1424607303232212999
짹째기,@jjaek_jjaegi,2021-08-07T14:04:32.000Z,"짹째기
@jjaek_jjaegi
·
8월 7일","너에게 가사에 나오는 사루비아의 꽃말을 검색하곤 나혼자 후끈해짐 그래서 그 불타는 생각이.. 무엇인지,,,
5
13
68",,5,13,68,['https://pbs.twimg.com/media/E8MYPDuVoAMwnVC?format=jpg&name=small'],https://twitter.com/jjaek_jjaegi/status/1424008560413798403
망콩츠미priChannel,@mangkongpri,2021-08-10T05:09:32.000Z,"망콩츠미priChannel
@mangkongpri
·
8월 10일","#미니트래픽라이트

오늘은 사루비아~
2",🎗,,,2,['https://pbs.twimg.com/media/E8Z6iycVkAEjtB8?format=jpg&name=small'],https://twitter.com/mangkongpri/status/1424961087175151617
,@Dear_season_,2021-08-02T05:25:34.000Z,"@Dear_season_
·
8월 2일","웨딩피치 : 새턴
웨딩피치 : 사루비아
레미 : 보라
슈가슈가룬 : 바닐라
구름관찰자
@jokermanura
 · 8월 1일
어렸을때 보고자란 마법소녀물 픽이 누군지알면 그사람 취향이 보인다
마법소녀물 많고많지만 일단 세일러문, 웨딩피치, 레미에서의 캐릭터 취향을 말해보세요
그리고 슈가슈가룬 쇼콜라냐 바닐라냐
이것도 상당히 많은부분을 말해줌
나는 우라누스/사루비아/온푸/쇼콜라임
1
5",🦙,1,,5,['https://pbs.twimg.com/profile_images/1420728225005654027/vynEmSyu_mini.jpg'],https://twitter.com/Dear_season_/status/1422066021645492224
