UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
쑤ㅁㅣ,@S2eumenes,2021-08-06T10:55:13.000Z,"쑤ㅁㅣ
@S2eumenes
·
8월 6일","나 빨간하늘하면 로마가는 뱅기였는데 3시간정도 쉬지않고 산타루치아 부르는 아이들과 창밖으로 보이는 미친 씨뻘건 노을 그리고 아무렇지도않게 무반응인 어른들이 생각나.... 멋진 여행의 스타트이긴했어  근데 사진이 너무 안찍혀서 속상했어...진짜 시뻘건색이었는데...
1
1
8",,1,1,8,['https://pbs.twimg.com/media/E8GjT4zVEAA-8hM?format=jpg&name=small'],https://twitter.com/S2eumenes/status/1423598531005214725
모지,@moji_boom,2021-08-14T09:59:43.000Z,"모지
@moji_boom
·
8월 14일","~내 배는 살같이 바다를 지난다 
산타루치아 산타루치아~~~
1",,,,1,['https://pbs.twimg.com/media/E8vjVhAVUAEH-qK?format=jpg&name=small'],https://twitter.com/moji_boom/status/1426483667547820033
소추크라테스,@drug_climb,2021-08-09T14:31:51.000Z,"소추크라테스
@drug_climb
·
8월 9일","산타루치아 산 타 루 치아
1
1",,,1,1,[],https://twitter.com/drug_climb/status/1424740212320649219
유미주의,@Yumismm,2021-08-09T23:47:18.000Z,"유미주의
@Yumismm
·
8월 10일","산타루치아아앙~
4",🎶,,,4,[],https://twitter.com/Yumismm/status/1424879995059544080
박,@rmfjgrpehoTek_O,2021-08-23T10:47:43.000Z,"박
@rmfjgrpehoTek_O
·
8월 23일","ㅅㅂ 다큐보는데 시작부터 브금으로 산타루치아 나와서 내적눈물흘림
2",,,,2,[],https://twitter.com/rmfjgrpehoTek_O/status/1429757235740119047
"저는그만사랑에빠지고말았습니다,,,",@namnamssi_luvu,2021-08-13T03:07:45.000Z,"저는그만사랑에빠지고말았습니다,,,
@namnamssi_luvu
·
8월 13일",산타루치아 음악가창수행이었는데,,,,,[],https://twitter.com/namnamssi_luvu/status/1426017601608589316
케르 Ker,@_I_Made_Me,2021-08-08T13:26:27.000Z,"케르 Ker
@_I_Made_Me
·
8월 8일","산타 루치아? 그게 무슨 뜻이야?
- 좋은 뜻이야.
... 무슨 뜻인데?
- 루치아가 여자 이름일걸? 고귀한 루치아. 이태리 항구 이름이라는데?
예쁜 이름이다, 루치아.
1",,,,1,[],https://twitter.com/_I_Made_Me/status/1424361366266138631
오분러디문나이트,@fly_fan_e,2021-08-13T05:29:10.000Z,"오분러디문나이트
@fly_fan_e
·
8월 13일",미오 전페어 찍어야지.. 나의 산타루치아야ㅠ,🦇 🍷 🌛,,,,[],https://twitter.com/fly_fan_e/status/1426053191582371840
기억의 행성,@ontheroadalone,2021-08-17T03:29:45.000Z,"기억의 행성
@ontheroadalone
·
8월 17일",생클 만날 오솔레미오 산타루치아 나오는 듯,,,,,[],https://twitter.com/ontheroadalone/status/1427472692454649858
MoA,@kare_ga_joa,2021-08-25T08:44:55.000Z,"MoA
@kare_ga_joa
·
8월 25일","바로 뒷건물에 콘플이 산타루치아 지어놓고 미오하는 상상.....
1",🦇,,,1,[],https://twitter.com/kare_ga_joa/status/1430451110368604160
윤성월,@SeongwolYun_M,2021-08-13T05:37:46.000Z,"윤성월
@SeongwolYun_M
·
8월 13일","산타루치아 재개장이지만 6시 이후로는 2인 이상 모이면 안되기 때문에 스티비와 치치만 만나겠습니다
1",,1,,,[],https://twitter.com/SeongwolYun_M/status/1426055356325629958
,@tomaddo_wave,2021-08-17T16:18:15.000Z,"@tomaddo_wave
·
8월 18일","저 간판에 산타 루치아의 에스
내가 총구멍을 낸다 빵! 

큰일났다.. 미오다시오면 24시간이럴듯 ㅋㅋ ㅋㅋ ㅋㅋ ㅋ ㅋ
1
2",🍅 🌊 🌹 🧪 ⚡,1,,2,[],https://twitter.com/tomaddo_wave/status/1427666091338174468
pito,@pitotweet,2021-08-23T12:21:29.000Z,"pito
@pitotweet
·
8월 23일","퇴근. 왕십리역에 산타루치아를 연주하는 외국인 바이올리니스트가 있다
1
1",,1,,1,[],https://twitter.com/pitotweet/status/1429780834584694786
"20,24뮤이 (잠시 로그아웃)",@_inDAC_,2021-08-18T15:00:41.000Z,"20,24뮤이 (잠시 로그아웃)
@_inDAC_
·
8월 19일","오늘 밤 자정, 산타 루치아.",🎸 🎤 ☀,,,,[],https://twitter.com/_inDAC_/status/1428008959282061314
연두,@yeondu_777,2021-08-30T03:39:54.000Z,"연두
@yeondu_777
·
8월 30일","아니 수행평가로 I have a dream이랑 이태리노래 산타루치아 중에 골라서 하는건데
망할 반 친구놈들이 대표로 마이크켜고 노래부르는거 나 추천해서 2곡이나 노래부르고 추가점수 받음 관종이라 행복하지만 녹화한걸 다른반 친구들한테 예시로 보여주는건 학교생활을 더 스펙타클하게 보내라는 건가요
1
2",,1,,2,[],https://twitter.com/yeondu_777/status/1432186289713909761
Simone,@Weather_simone,2021-08-18T09:28:16.000Z,"Simone
@Weather_simone
·
8월 18일","제목은.. 수영을 잘하는 데이.. 큼, 이 아니고. 산타루치아! 내가 온 나라의 노래라고 해서 찾았어~ 가사가. 막, 창공에 빛난 별~ 음. 음, 바다를 지난다~ 산타루치아~ 정든 나라에 행복아 길어라~하고! 가사 예쁘지!",,,,,[],https://twitter.com/Weather_simone/status/1427925301246382085
