UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
고양이상자/CatNBox,@CatNBlackBox,2021-08-04T09:43:05.000Z,"고양이상자/CatNBox
@CatNBlackBox
·
8월 4일","오소바쨩 갑자기 돌진하는 거 좋아하는듯 ㅋㅋ
おそばおれお
@osoba1101
 · 8월 4일
すやぁ〜、からの、、、
0:09
2.6천 조회수
1
6",🐰,,1,6,['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg'],https://twitter.com/CatNBlackBox/status/1422855602900848641
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-14T14:10:43.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 14일","ㅠㅠㅠㅜㅜㅠ 오소바 앞발 ㅠㅠㅠㅠㅠ
おそばおれお
@osoba1101
 · 8월 14일
おやつ美味しいね
2
9",❌ 🐰 🥰,,2,9,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1426538171634835457/pu/img/MFqtLTktV44O6RyP.jpg']",https://twitter.com/crazy_tokki/status/1426546831299801092
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-15T02:38:59.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 15일","ㅠㅠ 보송보송 오소바야 좋은 아침~~
おそばおれお
@osoba1101
 · 8월 15일
おはそばです
2
22",❌ 🐰 🌞,,2,22,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/media/E8zH53uUUAEh1aJ?format=jpg&name=small']",https://twitter.com/crazy_tokki/status/1426735141125201921
딱꾹,@ai7_ttakku,2021-08-15T15:08:15.000Z,"딱꾹
@ai7_ttakku
·
8월 16일","오소바야상.
피자야상으로 전직.
1
2",,,1,2,[],https://twitter.com/ai7_ttakku/status/1426923697839874050
토끼,@i_tokki_tokki_7,2021-08-15T15:16:05.000Z,"토끼
@i_tokki_tokki_7
·
8월 16일","오소바야상... 야오토메 가쿠 오탄죠비 오메데토하라고...
1",,,,1,[],https://twitter.com/i_tokki_tokki_7/status/1426925669892575233
고양이상자/CatNBox,@CatNBlackBox,2021-08-04T09:43:05.000Z,"고양이상자/CatNBox
@CatNBlackBox
·
8월 4일","오소바쨩 갑자기 돌진하는 거 좋아하는듯 ㅋㅋ
おそばおれお
@osoba1101
 · 8월 4일
すやぁ〜、からの、、、
2.6천 조회수
0:03 / 0:10
1
6",🐰,,1,6,['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg'],https://twitter.com/CatNBlackBox/status/1422855602900848641
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-14T02:33:06.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 14일","보송보송 오소바야 좋은 아침!!!! 이제 점심이네!!!
おそばおれお
@osoba1101
 · 8월 14일
おはそばです
1
13",❌ 🐰 🌞,,1,13,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/media/E8tlFzeUcAY-H6O?format=jpg&name=small']",https://twitter.com/crazy_tokki/status/1426371272724815878
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-28T08:34:38.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 28일","ㅠㅜㅠ 보송보송 오소바야~~
おそばおれお
@osoba1101
 · 8월 28일
おててぴしっ！
2
9",❌ 🐰,,2,9,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/media/E93V14oUUAEkUgI?format=jpg&name=small']",https://twitter.com/crazy_tokki/status/1431535686448926721
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-29T02:15:08.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 29일","ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 귀여운 오소바의 솜앞발 ㅠㅠ
おそばおれお
@osoba1101
 · 8월 29일
↓夜中のテンション高い時のおそばの目
2
14",❌ 🐰,,2,14,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/media/E95RZ0zVIAUHhU0?format=jpg&name=small']",https://twitter.com/crazy_tokki/status/1431802568460562442
어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다,,2021-08-25T16:48:09.000Z,"어른 【차갑고냉정한사주쿵야】 전자괴도이승기 left 에게도 견딜 수 업는건 잇웟다
·
8월 26일","귀염둥이 오소바야 잘자~~
おそばおれお
@osoba1101
 · 8월 26일
ｵﾔｽﾐ――(o･ω･o)ゝ――ﾝ
1
11",❌ 🐰,,1,11,"['https://pbs.twimg.com/profile_images/1411610701001412608/SyWhT6Y4_mini.jpg', 'https://pbs.twimg.com/media/E9ppfYjVkAAvb5b?format=jpg&name=small']",https://twitter.com/crazy_tokki/status/1430572719884554243
