UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
노잼 잉여,@laziali8,2021-08-11T01:55:01.000Z,"노잼 잉여
@laziali8
·
8월 11일","연남 돈까스 흑심 후기. 본점이 전주인 곳인데 아직 덜 알려졌는지 평일 점심에 한가. 이 정도 퀄의 돈까스를 줄 안 서고 먹을 수 있어 신기. 계란장과 돌솥에 해먹는 누룽지도 일품. 돈까스집치고 밥을 많이 줘 배부름. 다만 로스와 특상로스의 편차가 다른 집들 대비 큰 듯. 평점 4/5 #돈까스평점
1
1.4천
1.2천",,1,1.4천,1.2천,"['https://pbs.twimg.com/media/E8eXkMNUUAQ-4_a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8eXmeWVIAQv3Va?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8eXlX5VoAAofou?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8eXnccVoAMaK1C?format=jpg&name=360x360']",https://twitter.com/laziali8/status/1425274522651951110
스타트업형 수진,@tinimoon99,2021-08-20T03:21:06.000Z,"스타트업형 수진
@tinimoon99
·
8월 20일","돈까스집이 노키즈존이면 애 키우는 집에선 당황할 수 밖에 없는게, 돈까스 = 어린이 메뉴 의미라서... 어른 메뉴 파는 집에 뜬금없이 돈까스가 있으면 '어린이 메뉴가 준비되어 있어요'의 의미거든요. 그런데 돈까스 전문점이 노키즈존이면 이건 밖에 크게 써놓아야 할일임...
7
8.2천
3.3천",,7,8.2천,3.3천,[],https://twitter.com/tinimoon99/status/1428557679790751749
노잼 잉여,@laziali8,2021-08-18T03:33:52.000Z,"노잼 잉여
@laziali8
·
8월 18일","구룡역 리애 프리미엄 로스+히레 만5천원. 웬 강남 구석에 이런 데가 있지 했는데 2002년부터 영업한 가게였다. 맛도 비주얼에 걸맞게 존맛. 돈까스집이 로스와 히레 다 맛있기 쉽지 않은데 찐이다. 좌석도 30석이나 돼서 예약도 됨. 일부러 찾아와서 먹어도 될 정도의 맛. 별점 4.5/5 #돈까스별점
108
168",,,108,168,"['https://pbs.twimg.com/media/E9CxSggUcAEIEc7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9CxVkXVkAAb4Sd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9CxUQGVoAoXFL6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9CxXAMVIAQBWGq?format=jpg&name=360x360']",https://twitter.com/laziali8/status/1427836115663216641
보험왕 동배기,@az4552_,2021-08-27T03:25:06.000Z,"보험왕 동배기
@az4552_
·
8월 27일","내가 항상 극찬하던 돈까스집 퀄리티 떨어지고나서 손님이 얼마나 줄었냐면

기존에 저 대기줄의 3배 이상은 있었는데 사라짐
4
21",,4,,21,['https://pbs.twimg.com/media/E9xFquvVkAIBxLe?format=jpg&name=small'],https://twitter.com/az4552_/status/1431095400211959810
Ma of,@ma_coupdetat,2021-08-30T08:39:17.000Z,"Ma of
@ma_coupdetat
·
8월 30일","신용산 북천 브라운돈까스(10,000)
세트는 미니 우동 껴줌
영업시간 11:30~20:00 브레이크 타임 13:30~17:00라 시간 맞추기 다소 빡센 집 점심에는 인근 직장인 때문에 먹을 수가 없다
크리미하고 짜지 않은 돈까스 소스가 일품사장님 내외도 정말 친절하심
경양식의 왕도 같은 집
1
1
4",🍥 🍅,1,1,4,"['https://pbs.twimg.com/media/E-BqWlFVgAIRc3O?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BqWlGVIAo-Wea?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BqWlHVQAANZtS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BqWlFVkAERW96?format=jpg&name=360x360']",https://twitter.com/ma_coupdetat/status/1432261631677911040
한도령 10월 8일 파이쟈,@handoryoung,2021-08-21T04:16:59.000Z,"한도령 10월 8일 파이쟈
@handoryoung
·
8월 21일","인용에 맥락맹들 짱많아 
돈까스가 어린이 음식인게 아니라 돈까스라는거 자체가 추어탕, 등뼈, 아구찜 집같은 식당의 배려차원에서 있는 식사인데 이걸제일 많이 겪는게 어린이고, 그런 어린이에겐 돈까스는 좋은음식일텐데 노키즈존이여봐ㅋㅋㅋㄱ 학생한테 떡볶이 한팔아요 같은거라고
스타트업형 수진
@tinimoon99
 · 8월 20일
돈까스집이 노키즈존이면 애 키우는 집에선 당황할 수 밖에 없는게, 돈까스 = 어린이 메뉴 의미라서... 어른 메뉴 파는 집에 뜬금없이 돈까스가 있으면 '어린이 메뉴가 준비되어 있어요'의 의미거든요. 그런데 돈까스 전문점이 노키즈존이면 이건 밖에 크게 써놓아야 할일임...
1
1천
381",🍤 😷,1,1천,381,['https://pbs.twimg.com/profile_images/1356219920468459520/5HfphoNH_mini.jpg'],https://twitter.com/handoryoung/status/1428934127932215303
걈찌 프란체스카,@kyamzif,2021-08-23T05:42:32.000Z,"걈찌 프란체스카
@kyamzif
·
8월 23일","사이드메뉴에 어린이돈까스 있는 육개장집을 돈까스집이라고 데려가는 수준의 사기라고 생각함
8
7",🌈,,8,7,[],https://twitter.com/kyamzif/status/1429680435580182531
소담,@kimiga_iru,2021-08-21T00:39:28.000Z,"소담
@kimiga_iru
·
8월 21일",나도 전에 여럿이 추어탕집 갔을 때(강제로) 추어탕 못 먹어서 돈까스의 신세를 졌지...,🎗,,,,[],https://twitter.com/kimiga_iru/status/1428879390507626496
그냥연어,@yeoneo_cyodai,2021-08-20T13:43:12.000Z,"그냥연어
@yeoneo_cyodai
·
8월 20일","씨벌 돈까스집이 노키즈존 할 말 잃음...돈까스계의 센세이션을 불러일으켰던 하나돈까스는 아예 어린이 세트 메뉴 따로 놓고 그랬었다 이 머저리들아 퉤퉤퉤
1
1",,1,,1,[],https://twitter.com/yeoneo_cyodai/status/1428714233034788871
옌,@XX__VELVET,2021-08-12T18:16:33.000Z,"옌
@XX__VELVET
·
8월 13일","의외의 돈까스맛집은…칼국수나 추어탕집 같은데서 파는 돈까스…아마 가족 단위 손님들이 많아서 아이들 메뉴 하나 넣은걸텐데 난 그런데서 돈까스 먹어…그래 맞아 나 애기야…
6",,,,6,[],https://twitter.com/XX__VELVET/status/1425883924526354432
삼믹,@143remix,2021-08-08T11:49:23.000Z,"삼믹
@143remix
·
8월 8일","박종승 갑자기 라멘 먹으러가자고 죽이는데 안다고 거기가 30년내공의라멘장인집이라 정언이 너 거기 라멘 꼭 먹어줘야한다고 해서 정언이 오케 레쭈고 가여 했는데
네비 목적지 공항찍음..
돈까스 먹자고 꼬셔서 치과 데려가는 씨피x
라멘 먹자고 해놓고 일본 데려감
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
12
19",,,12,19,[],https://twitter.com/143remix/status/1424336936076922884
