UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
휘건,@Huigun0,2021-08-24T12:21:39.000Z,"휘건
@Huigun0
·
Aug 24","드로잉 카페 갔다옴 오일파스텔 첨 써봤어유 감이 안잡히고 재밌었다
1
5",,,1,5,['https://pbs.twimg.com/media/E9jjtrKVcAA5_-f?format=jpg&name=small'],https://twitter.com/Huigun0/status/1430143262329765891
ROW,@ROW71356721,2021-08-06T10:55:04.000Z,"ROW
@ROW71356721
·
Aug 6","#지금도앞으로도항상석우편
#떼구리_생일파티에_놀러와
카페에 석우가 정말 한가득 정성스럽게 구석구석 석우가 있어서 너무너무 행복했어요 쿠키가 너무 예쁜데 맛있기까지해서 쿠키 다발로 사고싶었다는... 핑크파스텔톤 너무 예뻤던  트레카 교환해주신 주변 판타지 분들 너무 감사해요
1
9
32",🐭 💕 😆 💕 💙 💙 💙,1,9,32,"['https://pbs.twimg.com/media/E8GjRZUVcAYIVUq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GjR1SUcAEW897?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GjRqOVoAEV3Ar?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GjSN0VUAAFCW5?format=jpg&name=360x360']",https://twitter.com/ROW71356721/status/1423598493721972736
빈니브 𖤐,@0430yesir,2021-08-27T07:54:57.000Z,"빈니브 𖤐
@0430yesir
·
Aug 27","제작하신 굿즈 받았습니다♡ 실물을 카메라가 담지 못해 원통… 증명사진 배경은 흰색+파스텔파랑으로 주문했습니다. 정말 마음에 들어요. 감사해요. 하나하나 꼼꼼히 포장하시느라 고생하셨어요! 집앞카페 낮밤버전 오티는 꼭 실물로 보셔야… 넘 이뻐요!! 감사합니다! 
@made_for_mi
 1
1
10",😉 😆,1,1,10,['https://pbs.twimg.com/ext_tw_video_thumb/1431163160010977281/pu/img/8anrriz8BPDGr0q7.jpg'],https://twitter.com/0430yesir/status/1431163309881839620
위트앤봇렌테ʕ̯•͡ˑ͓•̯᷅ʔ,@wit_n_frente,2021-08-30T11:39:23.000Z,"위트앤봇렌테ʕ̯•͡ˑ͓•̯᷅ʔ
@wit_n_frente
·
Aug 30",위트위트 맥주는 카페파스텔,🎗,,,,[],https://twitter.com/wit_n_frente/status/1432306955171729410
이일,@eill__21,2021-08-18T07:00:45.000Z,"이일
@eill__21
·
Aug 18","젠 나중에 여친생기면 데려가려고 아기자기한 카페들 개많이 찾아놓고 사전답사까지 해놔서(ㅋㅋㅋ) 빠싹한데 어쩌다보니 198 근육 거구 남친과 같이 가게 돼서 (찾아놓은 김에 가자) 파스텔톤 귀여운 꽃 카페 중앙에 앉아서 한숨 푹쉬고 있는ㅋㅋㅋㅋㅋㅋㅋ
웃즤는 젠 본인이 그런곳 좋아하는 줄 알듯
1
7
49",,1,7,49,[],https://twitter.com/eill__21/status/1427888179600789513
위트앤봇렌테ʕ̯•͡ˑ͓•̯᷅ʔ,@wit_n_frente,2021-08-30T14:09:31.000Z,"위트앤봇렌테ʕ̯•͡ˑ͓•̯᷅ʔ
@wit_n_frente
·
Aug 30",카페파스텔 조용 구역 아닌뎅! 대화해도 되는뎅!,🎗,,,,[],https://twitter.com/wit_n_frente/status/1432344735486599171
공 빈,@Ggong_bin__,2021-08-22T20:56:57.000Z,"공 빈
@Ggong_bin__
·
Aug 22","공빈. 휴무날에 오일 파스텔이랑 모나미펜 바리바리 싸들고 카페 가서 그림 그릴거야.
1
1",,1,,1,[],https://twitter.com/Ggong_bin__/status/1429548167767334915
𝐀𝐠𝐚𝐭𝐡𝐞,@The_Lastbloom,2021-08-16T03:08:12.000Z,"𝐀𝐠𝐚𝐭𝐡𝐞
@The_Lastbloom
·
Aug 15","그러니까 보통 귀여운 인테리어는 , 엽서 그림을 벽에 붙여 두고 파스텔 색의 가구를 가진 ..카페를 말하는 거지만.

2",,,,,[],https://twitter.com/The_Lastbloom/status/1427104882243391494
맹꽁,@FROG_2D,2021-08-12T14:43:02.000Z,"맹꽁
@FROG_2D
·
Aug 12","ㅋㅋ
하재윤 괴롭히는 법
달달구리한 파스텔톤 디저트카페 데리고가서 초콜릿 딸기 바닐라 어쩌고 디저트 잔뜩 시키고 음료 only 쉐이크나 버블티 시키기
코를 찌르는 단냄새에 인상 찌푸리다가도 상대가 좋아하면 어케든 참... 다가 속 울렁거려서 나, 나 바람 쐬고 올게; 하고 나가기
1
1",,1,,1,[],https://twitter.com/FROG_2D/status/1425830191100690452
파란,@halogen_blue,2021-08-06T16:11:42.000Z,"파란
@halogen_blue
·
Aug 6","9월의 버킷 리스트

 미술 관련 서적 읽기
 여유롭게 카페에서 책 읽기 
 오일 파스텔로 내가 찍은 사진 보며 그림 그리기 
 전공 다시 슬슬 공부 시작하기
1",✨ ✨ ✨ ✨,1,,,[],https://twitter.com/halogen_blue/status/1423678174081085444
체꼭,@lovelorn_me,2021-08-01T14:10:18.000Z,"체꼭
@lovelorn_me
·
Aug 1","오늘 핀구랑 카페 갔는데 옆테이블 분들이 오일파스텔로 풍경그리고 있어서 괜히 내가 기분이 좋았다 여러분 오일파스텔 많이 써주세요 넘 재밌답니다:... 헤헤
1",🍒,1,,,[],https://twitter.com/lovelorn_me/status/1421835687230283776
𝐀𝐠𝐚𝐭𝐡𝐞,@The_Lastbloom,2021-08-23T00:52:31.000Z,"𝐀𝐠𝐚𝐭𝐡𝐞
@The_Lastbloom
·
Aug 22","그러니까 보통 귀여운 인테리어는 , 엽서 그림을 벽에 붙여 두고 파스텔 색의 가구를 가진 ..카페를 말하는 거지만.

8",,,,,[],https://twitter.com/The_Lastbloom/status/1429607451398184963
𝐀𝐠𝐚𝐭𝐡𝐞,@The_Lastbloom,2021-08-23T10:39:40.000Z,"𝐀𝐠𝐚𝐭𝐡𝐞
@The_Lastbloom
·
Aug 23","그러니까 보통 귀여운 인테리어는 , 엽서 그림을 벽에 붙여 두고 파스텔 색의 가구를 가진 ..카페를 말하는 거지만.

7",,,,,[],https://twitter.com/The_Lastbloom/status/1429755208918355975
