UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
뜨말,@thattakufriend,2021-08-26T21:47:06.000Z,"뜨말
@thattakufriend
·
8월 27일","오늘 실사려고했는데 옷장 열고 발견해버렸다... 시할머니가 물려준 실유산들... 아맞다 나 실상속녀였지...........
근데 그런거있다. 마치 립스틱/블러셔 처럼. 아무리많아도 내가원한 '그색'이 아니라구 
고로 잔디밭색감의 피마코튼실도 사겠다
안녕 있실다쓰.... 저는 멀었어요...
1
12
77",,1,12,77,['https://pbs.twimg.com/media/E9v4UbbX0Ag-wo9?format=jpg&name=small'],https://twitter.com/thattakufriend/status/1431010340293292044
다섯,@mo5txt,2021-08-20T15:06:41.000Z,"다섯
@mo5txt
·
8월 21일","내가원래민소매를이렇게까지좋아하는사람이아닌데말이야...
1
203
446",,1,203,446,['https://pbs.twimg.com/ext_tw_video_thumb/1428735074191634436/pu/img/gmEai_xlF9AXuLCS.jpg'],https://twitter.com/mo5txt/status/1428735244945924096
찌개,@jjigaessi,2021-08-21T11:26:48.000Z,"찌개
@jjigaessi
·
8월 21일","제가원래이런사람이아닌데..
이거입술물엇다뗀건가
93
168",,,93,168,['https://pbs.twimg.com/ext_tw_video_thumb/1429042245995417606/pu/img/ytlSqEnc-zpiTggZ.jpg'],https://twitter.com/jjigaessi/status/1429042296519942146
영채라궁,@yycckk33_game,2021-08-17T02:15:35.000Z,"영채라궁
@yycckk33_game
·
8월 17일","게임만들때 내가원하는걸 온전히 다 넣을수가없음
방법을모르거나 사용법이 너무어렵거나
연출몇개는 항상 포기를해야한다는게 너무 슬픔
온전히 원하는거 다 구현할수있는 그날까지....
1
14
21",,1,14,21,"['https://pbs.twimg.com/media/E89VnU0VoAQJ1Qk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E89VnU3VoBwU9Mh?format=jpg&name=360x360']",https://twitter.com/yycckk33_game/status/1427454026585493508
바쁨 딤밍,@dimming_ZHS,2021-08-20T13:14:43.000Z,"바쁨 딤밍
@dimming_ZHS
·
8월 20일","맞다 저 일주일전에 선우보영 학생증 얻었어요!!
사실 당일날 자랑하고 싶었는데 그땐 좀비고계를 안파서..
근데 같은 빨간색인디 색감이 달라.....그것만 빼면 진짜 ㄹㅇ 대만족!!!!

모두선우보영하세요제가원래헤테로는잘안먹는데얘넨진짜꼭먹을꺼맛있어요학생증뒷면좀봐요넘알콩달콩해썬뽀사랑해
1
2
13",❗ ❗ 💕,1,2,13,"['https://pbs.twimg.com/media/E9PJfo2VIAY2g7z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PJgTTVEAcyopN?format=jpg&name=360x360']",https://twitter.com/dimming_ZHS/status/1428707066340732932
츄,@chyuuuuuuuuuuuu,2021-08-13T17:52:08.000Z,"츄
@chyuuuuuuuuuuuu
·
8월 14일","얘들아근데좀
이쁘지랂냐?
내가원래내캐자라면소리소리를지르면서에프킬라뿌리는사람인데
좀이쁘다니아???
4
4",,4,,4,['https://pbs.twimg.com/media/E8sF38CVkAIccBF?format=jpg&name=small'],https://twitter.com/chyuuuuuuuuuuuu/status/1426240167157796870
현생사는 한뿌요,@HANPUUYO,2021-08-27T07:54:12.000Z,"현생사는 한뿌요
@HANPUUYO
·
8월 27일","케이스옴...와 존나이뻐.대체..뭐가올까 럭키박스 ㅜㅜㅜ이러고있다가 내가원하는거왔어 ㅜㅜㅜㅜㅠ
1
8",🔮 🔮,,1,8,"['https://pbs.twimg.com/media/E9yDRM2UcAIgM-g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yDRapUYAMAo8z?format=jpg&name=360x360']",https://twitter.com/HANPUUYO/status/1431163120987230209
단양,@Dansheep_cm,2021-08-11T17:53:54.000Z,"단양
@Dansheep_cm
·
8월 12일","얘가원래이런이미지가아녓는데
하...
쩔수잇냐그냥이렇게살아라
3
7",,3,,7,['https://pbs.twimg.com/media/E8hzGR1VoAIdqAv?format=jpg&name=small'],https://twitter.com/Dansheep_cm/status/1425515836698095629
혜날,@cowiscau_musica,2021-08-25T09:20:31.000Z,"혜날
@cowiscau_musica
·
8월 25일","신당 하니까 생각나는게 신당역 제가 아는 유일한 맛집 진미떡볶이~

초강추 제가원래 떡볶이 안좋아하고 안먹어사람인데요 여기 떡볶이는 먹어요 완전맛남 튀김도 맛있음 따로도 부어서도 가능 여기 먹고 근처 카페에서 커피조지고 충무가면 완벽한 동선
1
8",🌱,1,,8,"['https://pbs.twimg.com/media/E9oD03cUUAIWZqo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oD1yQUYAQgm8B?format=jpg&name=360x360']",https://twitter.com/cowiscau_musica/status/1430460068605005830
김지영,@kimji_02,2021-08-17T16:55:30.000Z,"김지영
@kimji_02
·
8월 18일","강화길-대불호텔의 유령
오랜만에 장편을 단숨에 읽었다. 연재분만 봤을 때는 대체 어떤 이야기가 될지 상상이 안 됐는데 거기에 살이 붙어서 이렇게 완성될 줄이야! 작가님들이 소설을 쓰는 기작이 너무 궁금하다. 「가원」을 떠올리게 하는 부분에선 약간 소름 돋음.. 강화길이 장르다…
1
9
25",,1,9,25,['https://pbs.twimg.com/media/E9AfQvqVoAEIIVJ?format=jpg&name=small'],https://twitter.com/kimji_02/status/1427675465561436166
콩떡,@skzallin,2021-08-11T16:54:28.000Z,"콩떡
@skzallin
·
8월 12일","아니
퀄리티차이왜이래?

내가원래쓰던거             새로주문한거
1
6",,1,,6,['https://pbs.twimg.com/media/E8hlfqcVgBA9kv6?format=jpg&name=small'],https://twitter.com/skzallin/status/1425500879856168966
ｓａｓｈａ,@divein___,2021-08-12T06:03:18.000Z,"ｓａｓｈａ
@divein___
·
8월 12일","그거맛잇어?
                                                  아니이?
맛잇을거같은데..
                                               보기완달라
맛잇어하는거같은데..
                                     내가원래맛잇게먹어
11
21",,,11,21,['https://pbs.twimg.com/media/E8kaCeaVoAQE63r?format=jpg&name=900x900'],https://twitter.com/divein___/status/1425699393324294144
