UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
☾ 𝑳𝑼𝑵𝑨,@atelier1204,2021-08-02T00:13:45.000Z,"☾ 𝑳𝑼𝑵𝑨
@atelier1204
·
8월 2일","여름날의 맏막즈
두 번째 정진 카카오톡 테마 공유

 RT 200 미만 공유 취소
 8/4(수) 오후 7시부터 시간제한 전체공유 

#방탄카톡테마 #정진 #kookjin #グクジン #BTS #루나테마
5
223
244",🍉 🌴 🐰 🐹 📥 ⏰,5,223,244,['https://pbs.twimg.com/media/E7vqIy_VgAA6ep6?format=jpg&name=small'],https://twitter.com/atelier1204/status/1421987549904470018
달고,@dalgo0320,2021-08-09T08:36:44.000Z,"달고
@dalgo0320
·
8월 9일","만두나라 미만두대회에서 
1등 햇을 것 같이 생김..
Sweet Soda
 님의
3
55
113",🍀,3,55,113,['https://pbs.twimg.com/ext_tw_video_thumb/1274335595163119616/pu/img/T1BJmAW9E3tKgSjf.jpg'],https://twitter.com/dalgo0320/status/1424650845069533185
옹심이,@Oongsim_,2021-08-07T03:22:23.000Z,"옹심이
@Oongsim_
·
8월 7일","남의 딸래미만 두장 오면 어떡하라고 시발
1
30",⚪ ⚪,1,,30,['https://pbs.twimg.com/media/E8KFQQdVIAcRc3O?format=jpg&name=small'],https://twitter.com/Oongsim_/status/1423846957563273224
𝐑𝐄𝐒𝐓 주디ᰔ,@judy130613,2021-08-18T04:14:06.000Z,"𝐑𝐄𝐒𝐓 주디ᰔ
@judy130613
·
8월 18일","#주디가_퍼주디
#RT + #FOLLOW
500괄 기념 이벵
푸른 끼 살짝 도는 탑로더입니당!

200rt 미만 -> 한 분께 7장
200rt 이상 -&gt; 두 분께 5장 씩

기스, 본드 자국 좀 많아요!
당연히 탑로더 뿐만 아니라 비공굿도 들어가요
잘하면 탑꾸가 들어갈지도...?
반택으로 배송하고 후기 가능하신 분만
10
177
19",😚 ❤ 💞 😉 😁,10,177,19,['https://pbs.twimg.com/media/E9C6k6IVkAYptNQ?format=jpg&name=small'],https://twitter.com/judy130613/status/1427846242541834245
금수 잉어,@HuLe_Commuer,2021-08-13T12:56:26.000Z,"금수 잉어
@HuLe_Commuer
·
8월 13일","적어도 두 번 미만에서 이하로 꼬았으면 하는 바람.
광기의 개미핥기
@blank__1616
 · 8월 12일
왜 흑백신을 볼때 힌트가 과하게 꼬여있을까
의문임... 그냥 순전히 동기만 보고 뽑을수는 없지만 그렇다고 힌트가 너무 어렵지 않나? 어거지로 맞춰놓고 틀려서 배드엔딩 보는 커뮤도 늘어났고 가는 커뮤마다 나오는 힌트의 난이도가 너무 높다...
이 스레드 보기
1
2",,,1,2,['https://pbs.twimg.com/profile_images/1354992183821041674/HicgcwdM_mini.jpg'],https://twitter.com/HuLe_Commuer/status/1426165752667643909
Starboard,@livet_morange,2021-08-18T03:21:44.000Z,"Starboard
@livet_morange
·
8월 18일","코로나 걸린 텍사스 주지사는 학교들 오는 새 학기에 마스크 착용 요구 못하게 주지사 명령으로 금지해 놓고 저는 원래 허용되지도 않은 3차 백신까지 몰래 맞았네. 열두살 미만 어린이들은 백신 아직 맞지도 못하는데 마스크 보호책도 주지사란 놈이 권고는 못할 망정 금지하다니..
1
11
15",,1,11,15,[],https://twitter.com/livet_morange/status/1427833060364587012
라님,@fkfmeh_ff14,2021-08-09T17:27:51.000Z,"라님
@fkfmeh_ff14
·
8월 10일","아까 재생 일반 4층에서 힐러 두 분이 누우시고 피는 10퍼 미만, 탱커 두명이서 딜하는데 관용 없었으면 죽었을 것....암튼 짜릿하게 클리어 했습니다.
1",,,,1,[],https://twitter.com/fkfmeh_ff14/status/1424784502581186567
꼰,@FE3H_poppop,2021-08-27T13:58:16.000Z,"꼰
@FE3H_poppop
·
8월 27일",디미만두한입에냠,,,,,[],https://twitter.com/FE3H_poppop/status/1431254743590998018
WASHINGTONJOURNALISTS,@Rev2119,2021-08-05T21:16:45.000Z,"WASHINGTONJOURNALISTS
@Rev2119
·
8월 6일","남한강이 좋은 이유는 두가지 선택이 가능합니다.

고무보트 300만원 미만과 3억 이상 보트가 공존 할수 있는 지역 입니다.
청평에서 고무보트 띄우면 쪽 팔립니다.

여기는 수심이 낮아서 어중간 한게 필요가 없어요.  
고급이나 간편한 이동이 가능한거 딱 두가지 예요.",,,,,"['https://pbs.twimg.com/media/E8Dn-_qUcAIRaiC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Dn-_pVoAMr7Bb?format=jpg&name=240x240']",https://twitter.com/Rev2119/status/1423392555194933248
곡미,@rhdrksaltnf,2021-08-07T09:00:32.000Z,"곡미
@rhdrksaltnf
·
8월 7일",차를 탓는데 아빠가 에아컨을 안틀어줘 나 쪄죽는다 얘들아 곡미만두먹을준비해,😷,,,,[],https://twitter.com/rhdrksaltnf/status/1423932058791907333
