UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
구리,@guuuriovo__,2021-08-12T12:30:13.000Z,"구리
@guuuriovo__
·
Aug 12","키즈카페 인기인 되려면 시크릿쥬쥬 ost정도는 섭렵하고 있어야 한다
3",,,,3,['https://pbs.twimg.com/media/E8lymU3UUAABaHV?format=jpg&name=medium'],https://twitter.com/guuuriovo__/status/1425796764422926341
SECRET NUMBER FANS,@HiSecretNumber,2021-08-02T01:22:23.000Z,"SECRET NUMBER FANS
@HiSecretNumber
·
Aug 1","[*****] 21.08.02 #LÉA Update in FANADDS

""락키들 벌써 8월이네요 내가 좋아하는 달이에요 계속 폭염인데 다들 몸관리 잘하고 있죠?? 이 사진도 올려야지 하고 못올리고 있었던 사진인데 시크릿넘버 1주년때 락키들이 카페이벤트 해주셨을 때 잠깐 갔었거든요 그때 찍었어요""
1
52
202",☀ 😊 🌙 📷 ✨,1,52,202,"['https://pbs.twimg.com/media/E7v52BWVUAIBreo?format=jpg&name=small', 'https://pbs.twimg.com/media/E7v52RGUcAALPQj?format=jpg&name=360x360']",https://twitter.com/HiSecretNumber/status/1422004820337041410
Enjoy JUNDAY,@EnjoyJunday,2021-08-30T02:30:24.000Z,"Enjoy JUNDAY
@EnjoyJunday
·
Aug 29","𝑬𝒏𝒋𝒐𝒚 𝑱𝑼𝑵𝑫𝑨𝒀 

마츠모토 쥰의 생일을 축하합니다
오늘 생일 카페에서 증정하는 생일 한정 시크릿 특전을 공개합니다.

랜선짠유리잔 & 하트쥰링

생일 특전 관련 공지가 변경되었으니 타래 꼭 확인 바랍니다.

#우리들의_Jun_So_Sweet 
#여름의_끝에서_마츠모토쥰 
1
46
35",💜 💜 💜 🥳 🥳 🥳 🎁 🍺 💖 🎁 ✨ ✨,1,46,35,"['https://pbs.twimg.com/media/E-AUwN4UUAcNImw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AUyFSVIAEi_--?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AUxmdVUAEXMvO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-AUznzVkAILlKT?format=jpg&name=360x360']",https://twitter.com/EnjoyJunday/status/1432168796358205440
fxdamus,@fxdamus,2021-08-14T02:01:39.000Z,"fxdamus
@fxdamus
·
Aug 13",바카라시크릿 -펌 결론은 자신과의 싸움이네요.어쩌면... | 다음카페 https://cafe.daum.net/bravocasino/Mkdh/98?svc=cafeapi…,,,,,[],https://twitter.com/fxdamus/status/1426363355074203648
거래공구계,@Deal_anything06,2021-08-22T05:38:47.000Z,"거래공구계
@Deal_anything06
·
Aug 21","주술회전 카페 팝퍼블 코롯타 교환, 원가판매합니다.

고죠, 나나미, 이타도리, 죠고, 스쿠나, 시크릿 스쿠나

고죠or나나미같은 경우는 죠고랑 같이 데려가주세요(같이 구매시 죠고 0.9 판매)

교환은 고죠 사토루 무량공처 코롯타로 부탁드립니다!
5
4
4",,5,4,4,['https://pbs.twimg.com/media/E9X0VEFVkAAvvb9?format=jpg&name=small'],https://twitter.com/Deal_anything06/status/1429317104398782467
12,@chill_gam,2021-08-20T11:45:10.000Z,"12
@chill_gam
·
Aug 20","귀멸의 칼날 굿즈 양도합니다
센쥬로 무한열차 시크릿 캔뱃지 0.3
렌고쿠 형제 러버스트랩 0.3
일괄시 0.5
귀칼 렌고쿠 쿄쥬로 센쥬로 유포카페 유포테이블
The following media includes potentially sensitive content. Change settings
View
1",,,,1,[],https://twitter.com/chill_gam/status/1428684531859542019
아메(Slow),@If_fuse_dream,2021-08-02T04:13:21.000Z,"아메(Slow)
@If_fuse_dream
·
Aug 1","모든 일을 제끼고 월요일 오후에 반차 쓰고 어디 가나 싶었겠지만요..
데뷔카페 갑니다 하지만 잇츠 시크릿
9",❤ 😉,,,9,[],https://twitter.com/If_fuse_dream/status/1422047843922059275
제이,@By_Smer,2021-08-01T14:49:54.000Z,"제이
@By_Smer
·
Aug 1","언제까지 트위터 할지는 모르지만
나중에 카페 차리면 트친분들 놀러오세요
구석의 시크릿룸 만들어 드릴테니
플하셔도 됨
대신 관전할거임
1
1
11",,1,1,11,[],https://twitter.com/By_Smer/status/1421845652347121669
양도,@1234abc323,2021-08-10T03:51:00.000Z,"양도
@1234abc323
·
Aug 9","이달의소녀 이달소 ptt 피티티 김립 엔시티 드림 마크 카페 런쥔 아이즈원 권은비 은비 강혜원 혜원 포카 포토카드

2장 이상부터 거래 합니당
일괄시 준등기 무료

올리비아혜 츄 희진 최리 고원 이브 진솔 제노 해찬 재민 천러 지성 맛 시크릿다이어리 우아 퍼플 애플뮤직 미공포 포카 포토카드 양도
1
1
5",,1,1,5,['https://pbs.twimg.com/media/E8Zok6zVcAAmcsg?format=jpg&name=small'],https://twitter.com/1234abc323/status/1424941322406809603
LÉA,@leafeeds,2021-08-02T01:31:09.000Z,"LÉA
@leafeeds
·
Aug 1","[FANADDS 02/08/21]

락키들 벌써 8월이네요 내가 좋아하는 달이에요 계속 폭염인데 다들 몸관리 잘하고 있죠?? 이 사진도 올려야지 하고 못올리고 있었던 사진인데 시크릿넘버 1주년때 락키들이 카페이벤트 해주셨을 때 잠깐 갔었거든요 그때 찍었어요

#léa #fanadds #secretnumber
2
24
95",☀ 😊 🌙 📷 ✨,2,24,95,['https://pbs.twimg.com/media/E7v72xTVgAIhlKV?format=jpg&name=small'],https://twitter.com/leafeeds/status/1422007028352884738
