UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
호지,@hoji_2w,2021-08-15T16:10:08.000Z,"호지
@hoji_2w
·
8월 16일","오늘 뜬 스토리로 테토히나로 날조 낙서...^^
(멘스2부 언덷도+트읭크 스토리 약스포)
ㅋr오루 대사 의역 쫌 심해요...^^
1
164
297",,1,164,297,"['https://pbs.twimg.com/media/E82Bj88VUAIfQ0N?format=jpg&name=small', 'https://pbs.twimg.com/media/E82BknoVkAAVJ1A?format=jpg&name=small']",https://twitter.com/hoji_2w/status/1426939273484275716
2Z,@official2z,2021-08-08T02:17:30.000Z,"2Z
@official2z
·
8월 8일","East end 뮤비보러 가야지

그리고 우리 FromA들 오늘 오루 3시 인기가요

https://youtu.be/CBzE79GtBJ8
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
21
97
412",😚 ♥,21,97,412,[],https://twitter.com/official2z/status/1424193016911187977
DM 𝐰𝐫𝐢𝐭𝐭𝐞𝐧 𝐛𝐲 𝐡𝐞𝐫。,@KissofCM,2021-08-01T04:53:14.000Z,"DM 𝐰𝐫𝐢𝐭𝐭𝐞𝐧 𝐛𝐲 𝐡𝐞𝐫。
@KissofCM
·
8월 1일","𝓜𝓲𝓭𝓼𝓾𝓶𝓶𝓮𝓻'𝓼 𝓝𝓲𝓰𝓱𝓽....

 ❛ 여름이 끝을 향해 가고 있었다. ❜ 

오루(
@olu_cms
) 님과 함께 여름 청춘 고정틀을 오픈했습니다. 자세한 사항은 페이지를 참고해 주세요. 
 
 https://bit.ly/Midsummersnight
 RT를 통해 한 분께 Midsummer's Night 캔들을 선물해 드립니다.
1
89
10",❌ ❌ ▪ ▫,1,89,10,"['https://pbs.twimg.com/media/E7rgO1SVIAMHdOP?format=jpg&name=small', 'https://pbs.twimg.com/media/E7rggJvVUAUoQus?format=png&name=360x360']",https://twitter.com/KissofCM/status/1421695493705326593
히났다,@hinattanotda_,2021-08-06T07:25:49.000Z,"히났다
@hinattanotda_
·
8월 6일","오이캉왕 ""통""오루.. .
2
9",,2,,9,['https://pbs.twimg.com/media/E8FzYmLVcAEtuCb?format=jpg&name=900x900'],https://twitter.com/hinattanotda_/status/1423545834650566657
헤와,@Hwa_10762,2021-08-15T14:41:33.000Z,"헤와
@Hwa_10762
·
8월 15일","라 .오루의 실체
2",,,,2,['https://pbs.twimg.com/media/E81tbWVUUAQL8PA?format=png&name=small'],https://twitter.com/Hwa_10762/status/1426916980301340678
폐관수련 애온,@Aeon_0o0,2021-08-15T16:41:06.000Z,"폐관수련 애온
@Aeon_0o0
·
8월 16일","어 가가가가가가가가가오루?
구구
@9o9u9
 · 8월 16일
아무래도 레이랑 카오루를 그렸는데 둘 다 미뤄진 편입니다
이 스레드 보기
1",,1,,,"['https://pbs.twimg.com/profile_images/1424789349233659908/zdFeS4Dj_mini.jpg', 'https://pbs.twimg.com/media/E82IHPJVcAQzYGX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E82IHPJUUAgFMsn?format=jpg&name=360x360']",https://twitter.com/Aeon_0o0/status/1426947066903752711
오루,@oru_uro_,2021-08-01T10:10:44.000Z,"오루
@oru_uro_
·
8월 1일","부산시 오루도 오열중
명수
@ktwizzang
 · 8월 1일
여홍철어떻게안울고중계함? 쌩판남인 서울시김명수 오열중인데",,,,,['https://pbs.twimg.com/profile_images/1424521925070450688/5ofpuoh5_mini.jpg'],https://twitter.com/oru_uro_/status/1421775395922272266
스바루 호라이즌,@___BARUNIM,2021-08-15T10:05:08.000Z,"스바루 호라이즌
@___BARUNIM
·
8월 15일","오루 거기서 머해
ぴぴ
@pipiiii_25
 · 8월 15일
1",🌺 💧,,,1,"['https://pbs.twimg.com/profile_images/1182808786194419712/8ceIog5d_mini.jpg', 'https://pbs.twimg.com/media/E8yiCazVIAAqDs_?format=jpg&name=small']",https://twitter.com/___BARUNIM/status/1426847418058899458
,@cloudcream_,2021-08-12T08:58:16.000Z,"@cloudcream_
·
8월 12일","SAM오루(2)
1",🐰 💕,,,1,[],https://twitter.com/cloudcream_/status/1425743424485875724
유주yuju,@__yuju_froma2z,2021-08-08T02:41:35.000Z,"유주yuju
@__yuju_froma2z
·
8월 8일","오루 ㅎㅎㅎ 기여어 

호지나 파이팅 
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1",♥ ♥,,,1,[],https://twitter.com/__yuju_froma2z/status/1424199079869833216
필쌍.J.김,@kimmonet_,2021-08-10T03:50:45.000Z,"필쌍.J.김
@kimmonet_
·
8월 10일","아 오루에 자겟는데..
1",🥝,,,1,[],https://twitter.com/kimmonet_/status/1424941261312520193
☆〜（ゝ。∂）,@hh_lllu,2021-08-04T15:35:50.000Z,"☆〜（ゝ。∂）
@hh_lllu
·
8월 5일",젭알.. 괴도 ㅏㄱ오루,,,,,[],https://twitter.com/hh_lllu/status/1422944375529558020
하코베,@0208_0224,2021-08-08T04:28:31.000Z,"하코베
@0208_0224
·
8월 8일","깅신이 보고 싶은 오루 1시 28분
2",❄,,,2,[],https://twitter.com/0208_0224/status/1424225987957387266
나다,@hi_nada_i,2021-08-05T17:51:44.000Z,"나다
@hi_nada_i
·
8월 6일","오루 졸렬한 ㅅ
1",,1,,,[],https://twitter.com/hi_nada_i/status/1423340963703889921
블라’도람’ 쩨빼슈,@sooomcloud,2021-08-03T06:08:10.000Z,"블라’도람’ 쩨빼슈
@sooomcloud
·
8월 3일",앗시 결제 오루ㅠㅠㅠ,🦇,,,,[],https://twitter.com/sooomcloud/status/1422439129321644032
이나,@jovlig,2021-08-14T14:14:35.000Z,"이나
@jovlig
·
8월 14일","세상에.... 배우신분들... 
이미 ㄹr오루인데 자기들끼리 뜬금없이 코억하는 마엪도 떠오르네요..
1
1
2",🐝 🌻 😂 😂 👏 👏 👏 👏 👏 👏,1,1,2,[],https://twitter.com/jovlig/status/1426547806962028550
연기,@dusrlrhdwn,2021-08-09T06:40:19.000Z,"연기
@dusrlrhdwn
·
8월 9일",아오 바카 오루,,,,,[],https://twitter.com/dusrlrhdwn/status/1424621547067641857
스바루 호라이즌,@___BARUNIM,2021-08-01T02:27:23.000Z,"스바루 호라이즌
@___BARUNIM
·
8월 1일","오루는.언제나.
나만의오루.
1",🌺 💧,,,1,[],https://twitter.com/___BARUNIM/status/1421658791066497030
,@dia_wanyam,2021-08-11T12:32:36.000Z,"@dia_wanyam
·
8월 11일","놀랍게도 여기서도 오루 6시가 나와요

뭐지
@dia_wanyam
 · 8월 11일
오버시어 대원에게 주는 뱃지 등이 달린 검정색 빵모자를 눌러 쓰고 있어 얼굴에 음영이 졌으나 그 탓에 살짝 과거를 좀 많이 곱씹는 경향이 있습니다 오후 6시 나 때는 말이야

오타나서 다시했으나
자동완성이 신청서에 잡아먹혔어요
이 스레드 보기",✨ ✨,,,,['https://pbs.twimg.com/profile_images/1433570873609383938/QmxNHWTE_mini.jpg'],https://twitter.com/dia_wanyam/status/1425434977450090498
