UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
shem,@SEUNGBlNSUNG,2021-08-30T19:15:03.000Z,"shem
@SEUNGBlNSUNG
·
Aug 30","짱bin my universe ☆꙳.
GIF
1
2",,,1,2,['https://pbs.twimg.com/tweet_video_thumb/ExYZgr_XEAQwdap.jpg'],https://twitter.com/SEUNGBlNSUNG/status/1432421627673780225
콩양이,@konglitcat,2021-08-30T19:15:59.000Z,"콩양이
@konglitcat
·
Aug 30","Try To Keep Up With ASTRO's Hyper Energy (Eric Nam Edition) | Daebak Show #아스트로
짱 웃겨 
Try To Keep Up With ASTRO's Hyper Energy (Eric Nam Edition) | Daebak...
ASTRO's JINJIN, MJ, and SANHA join Eric on the mic to share laughs, personal stories, and go behind the scenes of ""Switch On."" Find out which member has a se...
youtube.com
1",🤣 🤣 🤣,,,1,['https://pbs.twimg.com/card_img/1440013158697955329/ll9o6PuT?format=jpg&name=240x240'],https://twitter.com/konglitcat/status/1432421861841719297
마이카♡ʚ( 'Θ' )ɞ♡,@yulyulnikorn,2021-08-30T17:44:04.000Z,"마이카♡ʚ( 'Θ' )ɞ♡
@yulyulnikorn
·
Aug 30","Wow. I love body mists/perfumes  and I'm curious about 
@hf_dreamcatcher
's scent choices! I wanna try the hand cream too, as I have ultra dry hands, even in hot weather.  드림캐쳐 짱!!! 

#드림캐쳐 #Dreamcatcher 
#네오젠 #드림캐쳐_네오젠_콜라보
1
1",🐥 🐣 😭 🤡 😂 💕,1,,1,['https://pbs.twimg.com/media/E-DnDaPVIAUeAy6?format=jpg&name=small'],https://twitter.com/yulyulnikorn/status/1432398730045448193
nesyaa,@uwulove07,2021-08-30T18:05:16.000Z,"nesyaa
@uwulove07
·
Aug 30","btw happy independence to my country <3 even i love other countries culture, history, foods, entertainment and etc .. still my country is the best! 짱  #MalaysiaPrihatin 

- ofkos la our food here is superior ㅎㅎ",❤,,,,[],https://twitter.com/uwulove07/status/1432404065577693186
炑,@OoeOOoOo,2021-08-30T18:18:47.000Z,"炑
@OoeOOoOo
·
Aug 30","우라미치 여기 존나 고양이 같음ㅋㅋㅋ
짱이네
스튜디오에 있으면 귀찮은 일에 휘말릴 때도 있지만 여기는 교토, 안전지대니깐
평소처럼 기획부 무서운 사람들이 갑자기 습격해오는 일도 절대 없•••(발견)

정작 키카쿠는 눈 공허한 것도 개웃김 아ㅠㅠ우에부는 이미 의식이 3차원에 없는 것 같음
53
92",,,53,92,"['https://pbs.twimg.com/media/E-Du_l2VEAMaEoS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Du_l0VEAEV1Bl?format=jpg&name=small']",https://twitter.com/OoeOOoOo/status/1432407466499719169
+ C H U +,@vrc_chu,2021-08-30T21:10:56.000Z,"+ C H U +
@vrc_chu
·
Aug 30","하울님이랑 유리쨘에게 인사갔더니 잘준비중이더라구~ 유리쨘 남캐 너무 힙하구 잘꾸몄어 짱이얔ㅋㅋ ㅋㅋㅋㅋ 
@howl__1
 @B_YURI_
GIF
1
1
8",,1,1,8,['https://pbs.twimg.com/tweet_video_thumb/E-EV6uQVcAQu3jP.jpg'],https://twitter.com/vrc_chu/status/1432450788849160192
이도몽,@cksqhfl,2021-08-30T17:24:51.000Z,"이도몽
@cksqhfl
·
Aug 30","미쿠짱 생일 추카해 ! ! ! !

#初音ミク誕生祭2021 
#初音ミク #誕生祭2021
#初音ミク生誕祭2021 
#하츠네미쿠
3
11",,,3,11,['https://pbs.twimg.com/media/E-DiWzfVQAEVMAf?format=jpg&name=small'],https://twitter.com/cksqhfl/status/1432393891852926976
리,@pilejang,2021-08-30T18:14:44.000Z,"리
@pilejang
·
Aug 30","태국 쿤우는 짱이ㄷr...
6
35",,,6,35,"['https://pbs.twimg.com/media/E-DuESUVUAECNLP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DuEjFVQAMk-YL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DuEaQVUAMuqMU?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DuEs-VEAU5nsW?format=jpg&name=small']",https://twitter.com/pilejang/status/1432406447774580737
민정아 뒷사람 삼징,@THREEJING,2021-08-30T17:42:13.000Z,"민정아 뒷사람 삼징
@THREEJING
·
Aug 30","천악커에서 악마랑 천사로 지냈더니 물든 듯.. 천사가 짱이에요 여러분
2",,,,2,['https://pbs.twimg.com/media/E-DmdVsVcAMcJNc?format=png&name=small'],https://twitter.com/THREEJING/status/1432398264024788995
두룽~*,@_duroong,2021-08-30T18:15:05.000Z,"두룽~*
@_duroong
·
Aug 30","바닷>>물이<< 에서 눈썹 확 찡그리는 거 5948584번 돌려보는중 도랏나요 짱이다
4",,,,4,['https://pbs.twimg.com/media/E-DuJrIUcAMZUuQ?format=jpg&name=small'],https://twitter.com/_duroong/status/1432406533296427009
고구마,@goguma228,2021-08-30T17:18:09.000Z,"고구마
@goguma228
·
Aug 30","짱피엠 짱태양...... 
5",😭 😭,,,5,"['https://pbs.twimg.com/media/E-DhHPzUcAA14DF?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DhHPyUUAEWh54?format=jpg&name=small']",https://twitter.com/goguma228/status/1432392205767884801
주나비,@im_Juhoney_navi,2021-08-30T16:31:42.000Z,"주나비
@im_Juhoney_navi
·
Aug 30","아이고 이 아기를 복숭아 껍질 벗기듯이 조심스럽게 살살살 벗겨서 먹는 왼짱이들이 보고싶다
GIF
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/E-DWdt_VUAEFYEb.jpg'],https://twitter.com/im_Juhoney_navi/status/1432380517937127424
꼬오기,@ggo_o0ok,2021-08-30T23:59:53.000Z,"꼬오기
@ggo_o0ok
·
Aug 30","저 진짜 바쁘게 다녔네요(??) 우리 도도쨩의 생일을 축하하러 아도니스 생일카페도 다녀왔습니다 (ㅋㅋㅋ) 아 근데 카페도 예쁘고 스탭님들도 너무 친절하고 유쾌하셔서 짱이었어요~
아도니스 생일 축하해!!!!!!

#0829_아도니스의_세계는_Love_and_Peace
#어느_날_찾아온_보랏빛_세상
2
3",,,2,3,"['https://pbs.twimg.com/media/E-E9C5YVcAEN8Sd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E9D8RVIAQJQbk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E9Db_VcAAfByE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-E9EdUVcAMm0jb?format=jpg&name=360x360']",https://twitter.com/ggo_o0ok/status/1432493305921609728
