UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
UmUmUm,@Umkj03,2021-08-05T13:38:58.000Z,"UmUmUm
@Umkj03
·
Aug 5","우울할땐 맛있는거징 맛집리스트에 울동네있길래 다녀왔는데 감자전이 짱이네
3
12",🍻 ❤ 👍,3,,12,"['https://pbs.twimg.com/media/E8B-zsFVoAAzvPT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8B_CgMVUA00SKf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8B-7BqVUA0pKLx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8B_GwjUYAgwwsE?format=jpg&name=360x360']",https://twitter.com/Umkj03/status/1423277350502862859
먕먕이,@onoff__0803,2021-08-01T08:37:39.000Z,"먕먕이
@onoff__0803
·
Aug 1","엇프4명과 뀬프1명이 만나면 이렇게 됩니다...
광기....
베이크숍나나 여기 짱맛집이네!!!
4
9
36",🎀 😳 😳 😳 😳 😳,4,9,36,"['https://pbs.twimg.com/media/E7sT3H-VUAYO-Fm?format=jpg&name=small', 'https://pbs.twimg.com/media/E7sT3sQVUAEfaEd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sT4M5VUAYtNGe?format=jpg&name=360x360']",https://twitter.com/onoff__0803/status/1421751972814721031
일단살아는있어요냠냠,@YamYamMatItDa,2021-08-22T10:33:22.000Z,"일단살아는있어요냠냠
@YamYamMatItDa
·
Aug 22","이집 뉴짤맛집이네요
짱맛있다
냐몽(나몽)
@Namong00_less
 · Aug 22
휴......
Show this thread",❄,,,,"['https://pbs.twimg.com/media/E9Y3we5VcAQQB_r?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1426476995773276160/ThE7WV3a_mini.jpg', 'https://pbs.twimg.com/media/E9Yue_UVEAU4BkT?format=png&name=120x120']",https://twitter.com/YamYamMatItDa/status/1429391239531560965
싸리찌,@ssarizzi,2021-08-12T08:35:12.000Z,"싸리찌
@ssarizzi
·
Aug 12","최근 게×헤를 자주 밀엇는데 헤×게도 짱 맛집이네여... 응 형 그거 사랑 아니야~ 나 호기심으로 찌르지 말기(찡긋) 하는 쳟이한테 승부욕+취향 파괴 당하는 형...맛있다...
1
5
23",,1,5,23,[],https://twitter.com/ssarizzi/status/1425737621259517957
마애여래,@Mae_coyu,2021-08-18T11:56:07.000Z,"마애여래
@Mae_coyu
·
Aug 18","묵님 맛집 짱이네...
1",,,,1,[],https://twitter.com/Mae_coyu/status/1427962508917149704
균,@gyundx,2021-08-07T07:46:51.000Z,"균
@gyundx
·
Aug 7","와 디스트로이어 짱재밌다 ㅋㅋㅋㅋㅋ 이건 어느기종을 가나 채보 맛집이네요
1",,1,,,"['https://pbs.twimg.com/media/E8LBw4XVoAEOTFB?format=jpg&name=small', 'https://pbs.twimg.com/media/E8LByFiVUAAAOC_?format=jpg&name=small']",https://twitter.com/gyundx/status/1423913513743896577
포투,@FortgusAsce,2021-08-26T07:07:39.000Z,"포투
@FortgusAsce
·
Aug 26","헐 여기 진짜 맛집이네요
묘미션 짱
@TTCM_sic
1
3
3",🎗 😷,1,3,3,['https://pbs.twimg.com/media/E9su_M8VkAI3GWi?format=jpg&name=small'],https://twitter.com/FortgusAsce/status/1430789018980020224
태기,@_oktolim,2021-08-23T15:51:32.000Z,"태기
@_oktolim
·
Aug 23","오리지널..개짱이네 내가 암만 힘줘서 현휘언그려도 원조25년맛집손맛못따라감
1",,,,1,[],https://twitter.com/_oktolim/status/1429833694366162947
11월까지 뜸한ㅠ 재비,@Tunu_p,2021-08-14T15:11:45.000Z,"11월까지 뜸한ㅠ 재비
@Tunu_p
·
Aug 14","나지금약간 마싯게 맛집에서 개냠냠먹다가 주인장과 눈마주친 느낌ㅋㅋㅋㅋㅋ

어어.,짱이네요...
음식이 친절하고 사장님이 맛잇어요b♡
2",,,,2,[],https://twitter.com/Tunu_p/status/1426562190140715008
설연,@C_seolyeon2,2021-08-23T08:24:22.000Z,"설연
@C_seolyeon2
·
Aug 23","조고님 자캐 월드컵 후기
짱예쁜 여캐들 왕많음
맛집이네요
1
1",,1,,1,[],https://twitter.com/C_seolyeon2/status/1429721160594321413
,@seee_ze,2021-08-19T14:52:43.000Z,"@seee_ze
·
Aug 19","헐 짱좋아요 
약간 로얄스느낌ezr 여기 노래추천맛집이네요
루나
@ttbqos
 · Aug 19
@seee_ze 악이거ㅠㅠ너무 좋아하는 곡이에요ㅠㅠ 막 감정 고조되고 힘나고 그래요!!꼭 들어보시기!!!
Show this thread
1",☁ 👍 👍 🍿 🎸,1,,,"['https://pbs.twimg.com/profile_images/1430186167002140688/lBrNniw0_mini.jpg', 'https://pbs.twimg.com/media/E9KVIIcVIAI69_f?format=jpg&name=small']",https://twitter.com/seee_ze/status/1428369342186414084
링친놈 지제,@sessrin_jjin,2021-08-06T11:47:20.000Z,"링친놈 지제
@sessrin_jjin
·
Aug 6","여기 여캐맛집이네
삼공주에 킨쿄 아야공주?(죄송합니다죄송합니다안본지오래돼서기억이안납니다) 맛보면서 와 동성애 짱마싯다하고 있는데 동국에도 공주가 하나 있대 와
2
5",❗ ❗ ❗,,2,5,[],https://twitter.com/sessrin_jjin/status/1423611645754892289
찌넬,@ccinel__,2021-08-28T11:34:58.000Z,"찌넬
@ccinel__
·
Aug 28","어휘력 개쌉쓰레기라 좋다는 말을 맨날
헐…천재신듯… 너무 조아요 짱이다 군침돌아요 저 지금 벌떡 섯어요 발기부전 완치했어요 여기 완전 비뇨기과 맛집이네, … 미쳣다 사랑해요
4",,,,4,[],https://twitter.com/ccinel__/status/1431581068537126918
