UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
맴미맴미,@maemmi__cm,2021-08-13T09:01:39.000Z,"맴미맴미
@maemmi__cm
·
8월 13일"," 우리의 비밀 정원 데코 브러쉬 

클립스튜디오에서 사용할 수 있는 브러쉬입니다!
스티커처럼 사용하기 좋아요! 
-8월 18일까지 무료로 배포합니다 : ) !

https://maemmimaemmi.postype.com/post/10529444

#데코브러쉬 #맴미맴미브러쉬
1.4천
716",☁ ☁ 🌿 🌿 😍,,1.4천,716,['https://pbs.twimg.com/media/E8qMSPkUYAAxnm9?format=jpg&name=small'],https://twitter.com/maemmi__cm/status/1426106664504086531
헤이..ෆ,@gomdol__maltese,2021-08-26T06:42:29.000Z,"헤이..ෆ
@gomdol__maltese
·
8월 26일","솔직히                                            아니 일단
교환일기 무대                       비밀정원 직캠은
더 줘야함                                  언제주는데??
                     
                              ...ㅠㅠ...
7
65
217",,7,65,217,['https://pbs.twimg.com/media/E9spRHKUUAA1SSp?format=jpg&name=small'],https://twitter.com/gomdol__maltese/status/1430782685413212161
파랑,@blue_comong,2021-08-19T09:48:14.000Z,"파랑
@blue_comong
·
8월 19일","꼬몽이의 비밀정원~
6
27",,,6,27,['https://pbs.twimg.com/media/E9JQp1PVIAAyGZd?format=jpg&name=small'],https://twitter.com/blue_comong/status/1428292716056629248
화관,@be_ikv,2021-08-26T11:40:09.000Z,"화관
@be_ikv
·
8월 26일","멜론 KPOP 명곡 100 비밀정원 평론

❝오마이걸은 청순함에 입체성을 더했다. 세상 물정 모르는 소녀의 청순함이 아닌 비밀을 간직한 청춘의 갈등과 결심을 엿보이게 했다❞
44
66",🥺 🥺,,44,66,"['https://pbs.twimg.com/media/E9ttZbnUcAIjpVz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ttZdgVoAcyahI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ttZbaVoAIgFKf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ttZgwVoAIaW-W?format=jpg&name=360x360']",https://twitter.com/be_ikv/status/1430857595682627591
리미,@RIMIsprt,2021-08-21T04:54:40.000Z,"리미
@RIMIsprt
·
8월 21일","시크릿가든 영화 색감이 너무 예뻤당 특히 비밀정원 나올 때
1",🐰,,,1,"['https://pbs.twimg.com/media/E9SgnEyUYAMV1Rm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SgoOeUUAcV4im?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SgnkpVkAEEF2I?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SgpF3UYAMreyg?format=jpg&name=360x360']",https://twitter.com/RIMIsprt/status/1428943612222468097
벽고장난앵시,@aengm00,2021-08-23T13:14:03.000Z,"벽고장난앵시
@aengm00
·
8월 23일","마담 프루스트의 비밀정원!!!!!!
GIF
왓챠 종료 알림
@watcha_expire
 · 8월 23일
왓챠 공개 예정 작품
1
5",🌱 💚,,1,5,"['https://pbs.twimg.com/tweet_video_thumb/E9emE7jVgAABMMI.jpg', 'https://pbs.twimg.com/profile_images/1281108496927186945/hUDSh-vc_mini.jpg', 'https://pbs.twimg.com/media/E9eXRbkVUAQqjDI?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E9eXR0gVEAAvoDw?format=jpg&name=120x120']",https://twitter.com/aengm00/status/1429794063381766148
싱올,@marsh_mall_oh,2021-08-28T06:30:32.000Z,"싱올
@marsh_mall_oh
·
8월 28일","왓챠에 들어왔어요
마담프루스트의비밀정원 봐주세요 ..
제 인생 영화입니다
1
2",,,1,2,['https://pbs.twimg.com/media/E925tt0VkAERfLY?format=jpg&name=medium'],https://twitter.com/marsh_mall_oh/status/1431504454054924289
파랑,@blue_comong,2021-08-17T13:12:11.000Z,"파랑
@blue_comong
·
8월 17일","마담프로스트의 비밀정원 이미지 보고 후다닥
5",,,,5,['https://pbs.twimg.com/media/E8_sJuhVgA4hP8l?format=jpg&name=small'],https://twitter.com/blue_comong/status/1427619267789299724
밈죠,@mim_jiho,2021-08-03T01:47:51.000Z,"밈죠
@mim_jiho
·
8월 3일","오마이걸 포카 양도해요 (제시해주세요) 급처라 엄청 싸게 양도해요 (반택비 포함 제시해주세요) 입금만 받고 편하게 디엠주세요~

오마이걸 포카 교환 양도 숲의아이 유아 번지 미미 비밀정원 지호 아린 던던댄스 폴라 지호 승희 효정 다계절 지호 살짝설렜어 논스탐 지호 효정
3
3
12",,3,3,12,['https://pbs.twimg.com/media/E71JQTjVcAUGyGD?format=jpg&name=small'],https://twitter.com/mim_jiho/status/1422373615828234249
김억수,@KimDownpour,2021-08-16T07:58:14.000Z,"김억수
@KimDownpour
·
8월 16일","오랜만에 갑자기 지금까지 모아둔 팜플렛 보는데....별별 영화 다 있어서 웃겻음...
설마했는데 레플원도 있었고... 브존베있고.. 해적있고.. 원스, 마담 프루스트의 비밀정원, 더 페이버릿, 글고 나도 몰랐던 제일 큰 수확
1
7",,1,,7,['https://pbs.twimg.com/media/E85atYYUcAcBPr0?format=jpg&name=small'],https://twitter.com/KimDownpour/status/1427177870426656768
