UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
솸마,@tnekf8925,2021-08-20T08:00:01.000Z,"솸마
@tnekf8925
·
Aug 20","스티커 넘 잘뽑혀서 기절 30초함 오프린트미... 그는 혁명이였다.....
7
37",👻 👻,,7,37,['https://pbs.twimg.com/media/E9OBeXdVoAYhZ5S?format=jpg&name=small'],https://twitter.com/tnekf8925/status/1428627868452458496
kitkat,@firekitkattt,2021-08-22T03:14:44.000Z,"kitkat
@firekitkattt
·
Aug 21","아 무게 조금이라도 줄이려고 신발 벗은거야?
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅜㅜㅜㅜㅜㅜㅜ
그치많16초함
1
12
16",,1,12,16,['https://pbs.twimg.com/ext_tw_video_thumb/1429280799304544256/pu/img/NZYEVfikKUZFGans.jpg'],https://twitter.com/firekitkattt/status/1429280853884948487
ケーキ,@cake_2d,2021-08-25T15:21:00.000Z,"ケーキ
@cake_2d
·
Aug 25","새벽에 빛라레 6초함 !!
아슬란아찌 덕분에 벌써 20렙 중반이다
#로오히
3",🧁 🧁,,,3,['https://pbs.twimg.com/media/E9pWW0YVUAAw6pn?format=jpg&name=small'],https://twitter.com/cake_2d/status/1430550786543554567
처룡,@Gwak_Cheolyong,2021-08-16T17:10:09.000Z,"처룡
@Gwak_Cheolyong
·
Aug 16","린5초함 내30만골드ㅜㅡㅡ
1",,,,1,['https://pbs.twimg.com/media/E87ZCFcVEAACae-?format=jpg&name=small'],https://twitter.com/Gwak_Cheolyong/status/1427316765181157391
산탄,@ah_wangjanim,2021-08-12T04:53:49.000Z,"산탄
@ah_wangjanim
·
Aug 11","잔잡는거,,,이감자,,,
술자리에서어떨까,,생각만10초함,,,,
인생의쓴맛이라고는고삼차밖에못느껴봣을듯한
시애틀도련님의잔꺾기..
From 
애딤
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1425663203271340034/pu/img/_sbagyE5qCEAwy7z.jpg'],https://twitter.com/ah_wangjanim/status/1425681910215311361
원플원,@oneplusoneGD,2021-08-10T11:15:55.000Z,"원플원
@oneplusoneGD
·
Aug 10","이거 보고 바텐더 최슨현으로 망상 한 3초함...핫핫,,
The following media includes potentially sensitive content. Change settings
View
1",,,,1,[],https://twitter.com/oneplusoneGD/status/1425053293303136260
𝟬,@0S7ARRO,2021-08-22T03:12:00.000Z,"𝟬
@0S7ARRO
·
Aug 21","근력챌린지 개욱기내..
섷상 둘이서 1분 46초함
1
5",,1,,5,[],https://twitter.com/0S7ARRO/status/1429280163636776963
유다애,@yda0606,2021-08-01T13:15:58.000Z,"유다애
@yda0606
·
Aug 1",헐 방금 기원초함;,,,,,[],https://twitter.com/yda0606/status/1421822012918439938
쩝쩝,@pichisili,2021-08-07T06:39:17.000Z,"쩝쩝
@pichisili
·
Aug 6",2인승에 얻을까 고민 5초함,,,,,[],https://twitter.com/pichisili/status/1423896508949164038
666,@666rat666,2021-08-22T06:28:03.000Z,"666
@666rat666
·
Aug 21","극만신 요즘 초읽기 몇초함? 21초? 극이노임
1",,1,,,[],https://twitter.com/666rat666/status/1429329503667449862
