UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
김조아,@min9yu_joah,2021-08-21T09:37:28.000Z,"김조아
@min9yu_joah
·
8월 21일","민규에게 트라우마 뿌잉뿌잉 2021 버전을 시켜보았다.. #민규
0:49
8.4만 조회수
1
3.4천
3.9천",,1,3.4천,3.9천,['https://pbs.twimg.com/ext_tw_video_thumb/1429014413688799235/pu/img/o-gulKJVZxRueqYS.jpg'],https://twitter.com/min9yu_joah/status/1429014780241580038
••×••,@faafafah_,2021-08-30T16:18:08.000Z,"••×••
@faafafah_
·
8월 31일","뿌잉뿌잉
GIF
32
150",✌,,32,150,['https://pbs.twimg.com/tweet_video_thumb/E-DTUiJVgAInzdR.jpg'],https://twitter.com/faafafah_/status/1432377105333981188
²⁶톺,@DOYOUNG__21,2021-08-28T09:52:35.000Z,"²⁶톺
@DOYOUNG__21
·
8월 28일","김도영 꿈파챌 미치겠는점

1. 카메라 렌즈 보고 춤 (안무를.. 알고있어?..)
2. 노래 따라부름
3. 썸네일 뿌잉뿌잉
4. 앙큼하게 잘 춰놓고 마지막에 ""잘해써?""
둥이
 님의
3.3천
3.3천",,,3.3천,3.3천,['https://pbs.twimg.com/ext_tw_video_thumb/1431550009170821120/pu/img/BP9CU79qOyGBlkc_.jpg'],https://twitter.com/DOYOUNG__21/status/1431555302441189378
김승민 모먼트,@KSMmoment,2021-08-30T10:29:19.000Z,"김승민 모먼트
@KSMmoment
·
8월 30일","뿌잉뿌잉
90
109",,,90,109,['https://pbs.twimg.com/ext_tw_video_thumb/1432289287953780736/pu/img/pOHU8-gx3GskGt84.jpg'],https://twitter.com/KSMmoment/status/1432289320279240707
꾸꾸,@9Koo9Koo_119,2021-08-20T10:18:15.000Z,"꾸꾸
@9Koo9Koo_119
·
8월 20일","뭘 봐 뿌잉뿌잉
2
143
307",💜 🤨 💕,2,143,307,['https://pbs.twimg.com/ext_tw_video_thumb/1428662605556580353/pu/img/7VhvD5PENxiGVoil.jpg'],https://twitter.com/9Koo9Koo_119/status/1428662659050663938
겸닝,@gyeomning,2021-08-21T06:19:15.000Z,"겸닝
@gyeomning
·
8월 21일","인사하자마자 초깜찍 뿌잉뿌잉 남발하는 스무살이 어디있는데요!!!! (투유 @ TXT_universtar 님 감사합니다)
62
183",🥺 💚,,62,183,"['https://pbs.twimg.com/media/E9SznXzVcAMh13_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Sz_90VIAAp3-d?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Sz_9yVoAAorWS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SznX1VIAIefxk?format=jpg&name=360x360']",https://twitter.com/gyeomning/status/1428964897245732864
감자머리 (SLOW),@gumagamza,2021-08-30T10:14:01.000Z,"감자머리 (SLOW)
@gumagamza
·
8월 30일","뭘봐 뿌잉뿌잉- 
약간 가드올리는거 같기도 하구
2
9",💓,,2,9,['https://pbs.twimg.com/media/E-CAChxVIAgyQnx?format=jpg&name=small'],https://twitter.com/gumagamza/status/1432285470331863040
소르베,@sorbetxt,2021-08-20T14:56:19.000Z,"소르베
@sorbetxt
·
8월 20일","뿌잉뿌잉♡
0:02
456 조회수
36
108",,,36,108,[],https://twitter.com/sorbetxt/status/1428732634671157248
김승민 모먼트,@KSMmoment,2021-08-19T08:36:31.000Z,"김승민 모먼트
@KSMmoment
·
8월 19일","뜽미니는 원래 애교 몬하는뎅
이에니 형을 위해서는 다 할 수 이떠요
뿌잉뿌잉
692
752",,,692,752,['https://pbs.twimg.com/ext_tw_video_thumb/1428274557027176450/pu/img/XUpa8KYGUdOaqHOx.jpg'],https://twitter.com/KSMmoment/status/1428274669166108679
EYES,@for20011015,2021-08-04T09:30:18.000Z,"EYES
@for20011015
·
8월 4일","나름 뿌잉뿌잉 같음◠‿◠ 저 콩주먹이 사람 미치게 만드는거 아려나,,

#엔하이픈 #희승 #HEESEUNG
211
353",🌨,,211,353,['https://pbs.twimg.com/ext_tw_video_thumb/1422852334078492674/pu/img/0EcExqcpLgVL5Pw-.jpg'],https://twitter.com/for20011015/status/1422852386083643396
김수지냠,@eleven_suji,2021-08-12T02:09:51.000Z,"김수지냠
@eleven_suji
·
8월 12일","뿌잉뿌잉 수지언니
30
68",,,30,68,['https://pbs.twimg.com/ext_tw_video_thumb/1425640544634507266/pu/img/5LeU23Z2sdnUFC74.jpg'],https://twitter.com/eleven_suji/status/1425640645398437893
긍,@positivegncd,2021-08-18T12:05:17.000Z,"긍
@positivegncd
·
8월 18일","데뷔 5년차 골든차일드 장준이의
뿌잉뿌잉뿌잉
71
119",,,71,119,['https://pbs.twimg.com/ext_tw_video_thumb/1427964716379361296/pu/img/qhf707uuc74S03e9.jpg'],https://twitter.com/positivegncd/status/1427964816707133448
마두식,@Mdskz325,2021-08-19T09:38:56.000Z,"마두식
@Mdskz325
·
8월 19일","뿌잉뿌잉
1
11
6",,1,11,6,['https://pbs.twimg.com/ext_tw_video_thumb/1428290333117272065/pu/img/jR6aPHQg9oSXBEw_.jpg'],https://twitter.com/Mdskz325/status/1428290377119723520
𝗦𝘁𝗿𝗮𝘄𝗕𝗲𝗿𝗿𝘆 딸기,@strawberri0804,2021-08-27T13:52:46.000Z,"𝗦𝘁𝗿𝗮𝘄𝗕𝗲𝗿𝗿𝘆 딸기
@strawberri0804
·
8월 27일","210827 신나라 영통팬싸 

바나나 삼행시

: 바! 
: 바로 지금
: 나.. 
: 나에게 귀여운 애교 보여줄 사람은?~ 
: 너 너 너!!ㅋㅋㅋ 뿌잉뿌잉~ 

#호영 #배호영 #HOYOUNG #베리베리 #VERIVERY #VRVR
0:11
2천 조회수
104
118",🍓 😆 🦊 💜 🦊 💜 🦊,,104,118,[],https://twitter.com/strawberri0804/status/1431253357298008068
픽,@_p_i_c_f,2021-08-13T08:15:26.000Z,"픽
@_p_i_c_f
·
8월 13일","얘 혹시 지금 정인이 앞에서 뿌잉뿌잉을 하고 있는 거야??
47
38",,,47,38,['https://pbs.twimg.com/ext_tw_video_thumb/1426095005421096962/pu/img/LxafmV4pbRuY1LBx.jpg'],https://twitter.com/_p_i_c_f/status/1426095035292938240
준나잇,@junnight305,2021-08-03T04:40:02.000Z,"준나잇
@junnight305
·
8월 3일","엠뀨뀨 모음.zip

뀨뀨할 때 자동으로 손 뿌잉뿌잉 하는 모태애교남
#MJ #엠제이 #아스트로 #ASTRO #After_Midnight
34
74",💜,,34,74,['https://pbs.twimg.com/ext_tw_video_thumb/1422416905399246848/pu/img/fFQDpJ9KgIelO-Qk.jpg'],https://twitter.com/junnight305/status/1422416948336361473
바미,@bami_104,2021-08-19T13:14:44.000Z,"바미
@bami_104
·
8월 19일","뿌잉뿌잉 머야 (기절
12
9",‼ ‼ ‼ ‼ ‼ ‼ ‼,,12,9,['https://pbs.twimg.com/ext_tw_video_thumb/1428344658166370307/pu/img/UetQmbn9o4ZT6ASH.jpg'],https://twitter.com/bami_104/status/1428344684829573120
밤,@mh_bomb,2021-08-16T03:21:21.000Z,"밤
@mh_bomb
·
8월 16일","조금만 비켜줘요 뿌잉뿌잉
30
21",,,30,21,['https://pbs.twimg.com/ext_tw_video_thumb/1427108137295773696/pu/img/3_mO_P3ARFedVXeg.jpg'],https://twitter.com/mh_bomb/status/1427108188378177536
로보트태권브이⁷,@robotaev,2021-08-18T14:16:34.000Z,"로보트태권브이⁷
@robotaev
·
8월 18일","너무 귀여워서 와라라라랄라랄  볼 뿌잉뿌잉하구싶엉
홍시
 님의
9",💜 💜 🥺 🥺 🥺 🥺,,,9,['https://pbs.twimg.com/ext_tw_video_thumb/1427786002349780995/pu/img/mk2f492Wgnha8T1o.jpg'],https://twitter.com/robotaev/status/1427997854853853187
오에프,@F_indyou,2021-08-06T04:27:40.000Z,"오에프
@F_indyou
·
8월 6일","지금개감이뿌잉뿌잉뿌잉이라고하신거세요?????
0:03
85 조회수
3
8",🦋,,3,8,[],https://twitter.com/F_indyou/status/1423501001084964867
체리,@cherryhan__,2021-08-24T10:04:16.000Z,"체리
@cherryhan__
·
8월 24일","뿌잉뿌잉 지한이 볼사람 제발제발요 #지한
1
5",,,1,5,['https://pbs.twimg.com/ext_tw_video_thumb/1430108666284281860/pu/img/DIYEFL9gmtClk5n7.jpg'],https://twitter.com/cherryhan__/status/1430108688283361281
귀유미,@hym_vb,2021-08-12T06:59:17.000Z,"귀유미
@hym_vb
·
8월 12일","#양효진 #김수지 #한유미
뿌잉뿌잉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
12
22",🏐 🦒,,12,22,['https://pbs.twimg.com/ext_tw_video_thumb/1425713421069078530/pu/img/oLus9H9FtY5bm6mK.jpg'],https://twitter.com/hym_vb/status/1425713481743880192
zizi •̀_ ູ॒•́,@instantluv_,2021-08-21T09:58:39.000Z,"zizi •̀_ ູ॒•́
@instantluv_
·
8월 21일","아 보자말자 기겁하는거바ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ얼굴 빨개져서 이어폰 냅다 뺌
그치먼 해달라고하면 다 해쥼
트라우마 뿌잉뿌잉
김조아
 님의
86
130",,,86,130,['https://pbs.twimg.com/ext_tw_video_thumb/1429014413688799235/pu/img/o-gulKJVZxRueqYS.jpg'],https://twitter.com/instantluv_/status/1429020111948509188
기타치는애옹ʍʏʊռɨʋɛʀֆɛ,@guitar_aeong,2021-08-29T04:40:13.000Z,"기타치는애옹ʍʏʊռɨʋɛʀֆɛ
@guitar_aeong
·
8월 29일","웃고 싶을때 보는 뜌가의 뿌잉뿌잉

“힙합은 뿌잉뿌잉 하지 않습니다. 
하지만 저는 해용~ 뿌잉~~~”

I vote for #BTS    #ARMY #BUTTER #ButterClipe #PermissionToDance     at the #MPN 2021 (
@BTS_twt
) (~9/13)
1
28
27",🪐 😆,1,28,27,['https://pbs.twimg.com/ext_tw_video_thumb/1431838931738259456/pu/img/5gfT4mJOBg11RcX-.jpg'],https://twitter.com/guitar_aeong/status/1431839078366920709
김경계 트친소 맞팔 안하면 지구 끝까지 찾아감 맞팔 해라 하라고 하라 했다,,2021-08-30T04:38:46.000Z,"김경계 트친소 맞팔 안하면 지구 끝까지 찾아감 맞팔 해라 하라고 하라 했다
·
8월 30일","나눈 귀여운 경계 >< 뿌잉뿌잉
1
4",,1,,4,[],https://twitter.com/kimkyongge/status/1432201103173582853
뮤(mu) 성구해요,@mu_ssjica,2021-08-08T07:04:30.000Z,"뮤(mu) 성구해요
@mu_ssjica
·
8월 8일","쏭븨 뿌잉뿌잉에 당황한 김차너씨 롤코 코트 주는거 까먹어
3
10",🦋,,3,10,[],https://twitter.com/mu_ssjica/status/1424265244398870533
cielbleu,@cielbleu531,2021-08-27T23:48:24.000Z,"cielbleu
@cielbleu531
·
8월 28일","아이를 키우며 유익한 점은 아이를 매개로 하여 다양한 새로운 사람들을 의무적으로라도 만나게 된다는 점 같다. 아이들이 크고 일도 안하니까 싫어도 참고 만나는 일이 드문데 50대에 외곬수가 안 되려면 끊임없이 젊은 사람에게 빌붙어야 된다.. 딸들에게 뿌잉뿌잉 (진저리친다..)
4
26",,,4,26,[],https://twitter.com/cielbleu531/status/1431403255368589315
돌머리 한영,@Han___Y,2021-08-02T10:15:28.000Z,"돌머리 한영
@Han___Y
·
8월 2일","한영이의 애교를 받아라앗! 얍!! 어때 영이의 애교가아? 모두 쓰러졌지? 놀랄만큼 귀엽지이!? 영이는 귀여우니깐 다들 놀라지마>< 영이의 매력과 애교에 지금부터 반하면 나중엔 어떡할라구! 영이의 애교를 보고싶어? 아잇! 빵야><! 우웅~? 뿌잉뿌잉!! 어때! 영이의 애교가? 귀엽지? 사랑스럽지!!?
2
2
5",,2,2,5,[],https://twitter.com/Han___Y/status/1422138977394446337
아르피네,@Arpine0514,2021-08-02T09:21:37.000Z,"아르피네
@Arpine0514
·
8월 2일","우웅 여러분 네브느은 기여워여! 네브는 귀엽고 사랑스럽고 이쁜데 사람들이 못알아줘서 너무 슬퍼 힝.. 그치마안 네브는 기엽규 착하니깐! 네브가아 용서해줄게! 네브 뿌잉뿌잉 네브의 애교 들려주까! 네브 오늘 기신꿍꿨또! 무서웠또! 그래서어 오빠야가 보고싶었오 네브 따랑해죠 네브는 귀여우니깐
1
11
13",,1,11,13,[],https://twitter.com/Arpine0514/status/1422125421731090436
공주,@S0GYEOM,2021-08-21T10:19:03.000Z,"공주
@S0GYEOM
·
8월 21일","배우 중년유현 팬서비스란 명목으로 이것저것 뜯어내고 싶다...
아저씨 동물 머리띠 써주세요
아저씨 화관두
뿌잉뿌잉 해주세요
안 된다
내 나이에 무슨
하다가도 시키면 하고 부끄럼 탐
3
7",,,3,7,[],https://twitter.com/S0GYEOM/status/1429025245671804929
