UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
이슬비,@leesealbi,2021-08-18T19:17:08.000Z,"이슬비
@leesealbi
·
8월 19일","기다리던 달마시아니가 왔다. 귀여운 주민이들 ^.^
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/leesealbi/status/1428073497780097027
환장,@thtillidie,2021-08-19T16:07:21.000Z,"환장
@thtillidie
·
8월 20일","불어하는 놈들 라 마피아 인지 라 마시아 인지 다 보기 싫으네,, ㅎ
2",,,,2,['https://pbs.twimg.com/media/E9KnbLaVgAcD6VA?format=jpg&name=small'],https://twitter.com/thtillidie/status/1428388123013128194
Yoonina,@Yooninas,2021-08-29T16:44:17.000Z,"Yoonina
@Yooninas
·
8월 30일","쿠만 좀 재미있는 감독인 게 안 쓰는 유망주는 정말 절대 안 쓰긴 하지만 막 3:0 4:0 아닌데도 가비랑 니코 넣는 거 보면, FC 바르셀로나라는 클럽에서 라 마시아가 어떤 의미인지 안다는 얘기. 우리는 사온 선수들이 아니라 우리가 키워낸 선수들로 세계 최고가 되어야 하는 클럽이다.
1
6
11",,1,6,11,[],https://twitter.com/Yooninas/status/1432021298050338817
선이,@C__sunE__C,2021-08-21T12:11:58.000Z,"선이
@C__sunE__C
·
8월 21일","아 미친 봇계 가자마자 산탄 마시아 대화 보고 그냥 쓰러짐 아 죽을래 나 그냥
2",,,,2,[],https://twitter.com/C__sunE__C/status/1429053665067757569
순무,@934_soonmoo,2021-08-07T08:52:36.000Z,"순무
@934_soonmoo
·
8월 7일","탐라 사람들 혹시 마시아 유로 곡들 2창작 허용인가요
1
2",,,1,2,[],https://twitter.com/934_soonmoo/status/1423930060466130948
時間,@T1M3MHYK,2021-08-09T09:29:16.000Z,"時間
@T1M3MHYK
·
8월 9일","쌍둥이가 새로운 거처를 찾아 정착할 때마다 마시아 나무를 심는 거… 되게 좋아하거든 
오랜 세월이 흐르고 살았던 곳을 떠나 다양한 곳에 정착해 자신을 따르는 주위의 존재들이 달라져도 변하지 않을 단 하나의 요소가 마시아 나무와 열매라는 거잖아?
4",,,,4,[],https://twitter.com/T1M3MHYK/status/1424664063758376961
時間,@T1M3MHYK,2021-08-27T13:14:42.000Z,"時間
@T1M3MHYK
·
8월 27일","근데 진심 마시아 나무 열매가 가지는 의의가 좋다니까요
쌍둥이가 3000년이라는 긴 세월동안 많은 거리를 버리고 세웠지만(뜻하진 않은 거라지만) 항상 오래가지않아 모든게 바뀌는 쌍둥이의 주변에 딱 하나 변하지 않는 요소가 마시아 나무 열매라는 거잖아요
4",,,,4,[],https://twitter.com/T1M3MHYK/status/1431243776614273026
99(계정통합함),@Ninty9_9Nine,2021-08-03T16:04:51.000Z,"99(계정통합함)
@Ninty9_9Nine
·
8월 4일","마시아 카톡프로필 등산 봉우리에서 한컷^^
5",,,,5,[],https://twitter.com/Ninty9_9Nine/status/1422589288407912452
픽셀리마 강도다 56내놔,@wyg3414_R,2021-08-25T09:49:22.000Z,"픽셀리마 강도다 56내놔
@wyg3414_R
·
8월 25일","11 파트도 프로마시아 스포만 해놓고 아는게 없음
당신 11 오프닝이 모든것은 돌로부터 시작되었다.. 인거 모르죠
1",🐿 ☁,,,1,[],https://twitter.com/wyg3414_R/status/1430467329364676618
lim연수,@jegalyuna,2021-08-25T13:45:22.000Z,"lim연수
@jegalyuna
·
8월 25일","마시아????
??????
?
????
?
??
???
?????
?
?
1",🐟,,,1,[],https://twitter.com/jegalyuna/status/1430526721560776712
Licen D. Veronika,@Licen_for_you,2021-08-24T11:00:15.000Z,"Licen D. Veronika
@Licen_for_you
·
8월 24일","리키마시아, 그 정을 믿고, 이별을 두려워하지 마.",,,,,[],https://twitter.com/Licen_for_you/status/1430122780486291458
M.N,@whois_Michaela,2021-08-27T00:00:36.000Z,"M.N
@whois_Michaela
·
8월 27일","● 영리하게 행동할 것. 이것이 내 집의 가훈이고, 에덴 내에서 나이팅게일이라는 이름을 단 사람이라면 어떻던 간에 버리지 못할 가치이니까. 리키마시아라면 달랐을까? (조곤조곤 속삭이듯 말을 이어가다 대수롭지 않은 양 태도를 바꾸고 고개를 기울였다.)",,,,,[],https://twitter.com/whois_Michaela/status/1431043935367954433
우지참,@WuJiCham,2021-08-25T13:49:53.000Z,"우지참
@WuJiCham
·
8월 25일",히이잉마시아,,,,,[],https://twitter.com/WuJiCham/status/1430527854895239176
헤이즐,@Hazel_memory1,2021-08-29T08:38:31.000Z,"헤이즐
@Hazel_memory1
·
8월 29일","(그럼..레드 리키마시아잖아...)
(안돼..!)",,,,,[],https://twitter.com/Hazel_memory1/status/1431899048613646340
메르,@messimademecule,2021-08-30T12:34:48.000Z,"메르
@messimademecule
·
8월 30일","쟤 오면 공계에서 또 메이드인라마시아 이지랄할듯 시발새끼들아
1",,,,1,[],https://twitter.com/messimademecule/status/1432320899710001160
