UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
연우,@Hallow_Stelia,2021-08-04T03:38:45.000Z,"연우
@Hallow_Stelia
·
8월 4일","#연우의_잉크발색

그라폰 파버카스텔 요자쿠라
문구여자회 무네큥핑크
분구박스 사쿠라사쿠
5",,,,5,['https://pbs.twimg.com/media/E76sO9jVkAMT8xM?format=jpg&name=small'],https://twitter.com/Hallow_Stelia/status/1422763915344191494
엘리,@elly0713_elly,2021-08-07T12:25:15.000Z,"엘리
@elly0713_elly
·
8월 7일","큰일났네

nn년 후 : 사쿠라 사쿠 마이오치루 나니모나이 보쿠노 테오우에
☾𖤐 𝙰𝙽𝚆𝙰
@ANyway4WhAtever
 · 2019년 3월 18일
치매 걸리면 10-20대 때 들었던 노래를 부른다고....

천둥 번개여 휘몰아쳐라
거친 마초들 땀냄새 흥건하고 숨이 막혀 허벅지 탄탄한 짐승
Knock, knock, knock. 그렇게 끝났지!
상투스, 도미니, 키리에, 엘레이손

치매 걸리면 큰일 나겠는데요
이 스레드 보기",,,,,"['https://pbs.twimg.com/media/E8MBg9NVkAA2oge?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1319475243346317312/xiR5aU4u_mini.jpg']",https://twitter.com/elly0713_elly/status/1423983575611940876
가을,@Loviewer_A,2021-08-07T17:14:24.000Z,"가을
@Loviewer_A
·
8월 8일","사쿠라사쿠 마이오치루 .. 하던 노래 생각남
1",,,,1,[],https://twitter.com/Loviewer_A/status/1424056341794938881
놜,@NN__NHO,2021-08-04T10:54:08.000Z,"놜
@NN__NHO
·
8월 4일","뚠...!따라란...~! 뚠..! 따라란..~! 뚜둥 ....~
유코오....사쿠라..사쿠.....소라노..시타에....!
1
4",,1,,4,[],https://twitter.com/NN__NHO/status/1422873480257622021
액상과당설탕안먹기,@1985_0416,2021-08-08T13:20:45.000Z,"액상과당설탕안먹기
@1985_0416
·
8월 8일","아미친 사쿠라사쿠
☾𖤐 𝙰𝙽𝚆𝙰
@ANyway4WhAtever
 · 2019년 3월 18일
치매 걸리면 10-20대 때 들었던 노래를 부른다고....

천둥 번개여 휘몰아쳐라
거친 마초들 땀냄새 흥건하고 숨이 막혀 허벅지 탄탄한 짐승
Knock, knock, knock. 그렇게 끝났지!
상투스, 도미니, 키리에, 엘레이손

치매 걸리면 큰일 나겠는데요
이 스레드 보기",,,,,['https://pbs.twimg.com/profile_images/1319475243346317312/xiR5aU4u_mini.jpg'],https://twitter.com/1985_0416/status/1424359929729601539
버블バブル,@ikedondon,2021-08-23T08:07:51.000Z,"버블バブル
@ikedondon
·
8월 23일","아...사쿠라사쿠 듣고싶다,,,
1
2",🌸 🍠 🍠 🌸 😭 😭,1,,2,[],https://twitter.com/ikedondon/status/1429717004038987778
,@A__TKRB,2021-08-27T15:10:06.000Z,"@A__TKRB
·
8월 28일","우타우타우 사쿠라사쿠 오토오도루 아나타토 우타아와세
1",🦀 😔,,,1,[],https://twitter.com/A__TKRB/status/1431272817480265732
오냠,@E1FE0O0,2021-08-26T20:33:19.000Z,"오냠
@E1FE0O0
·
8월 27일",사쿠라사쿠ㅠㅠㅠㅠㅠㅠㅠㅠ 사쿠야 아아악,,,,,[],https://twitter.com/E1FE0O0/status/1430991769735340032
핢,@balancedvector,2021-08-13T09:29:13.000Z,"핢
@balancedvector
·
8월 13일","사쿠라 사쿠 마이오치루
나니모 나이 보쿠노 테노 우에",,,,,[],https://twitter.com/balancedvector/status/1426113601337626633
페르안,@zxcvbnm060763,2021-08-18T09:54:15.000Z,"페르안
@zxcvbnm060763
·
8월 18일","사쿠라사쿠...마이오치루...나니모나이...보쿠노테노우에...
1
1",🌱 🍊,1,,1,[],https://twitter.com/zxcvbnm060763/status/1427931841890197504
