UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
하나하나하나,@hana__cos,2021-08-06T01:37:56.000Z,"하나하나하나
@hana__cos
·
Aug 5","반려동물 카페를 운영하게 됬습니다 
기존에 있던 매장을 인수한거라 
인테리어 시설 메뉴 전부다 차차 바꿀 예정이니 많이많이... 
놀러와주세요... 인수타 팔로하거나 트위터 캡쳐해서 오시면 50% 할인해드립니다
5
60
20",,5,60,20,['https://pbs.twimg.com/media/E8EjwjpVIAAvzB1?format=jpg&name=900x900'],https://twitter.com/hana__cos/status/1423458284644626437
오리,@dok_xxxx,2021-08-03T07:06:19.000Z,"오리
@dok_xxxx
·
Aug 3","요즘 너무 탄다..
얼굴도 타고, 몸도 타고,
너위에 올라타고싶다 (앗차차)

#섹트 #건오 #카페 #디엠
The following media includes potentially sensitive content. Change settings
View
3
37",🐦,3,,37,[],https://twitter.com/dok_xxxx/status/1422453761436360706
나개,@angrynagae,2021-08-09T11:51:54.000Z,"나개
@angrynagae
·
Aug 9","차차가 소개해준 카페와서 디저트먹는중
1
5",,,1,5,['https://pbs.twimg.com/media/E8WNDqVVEAoAsZ6?format=jpg&name=small'],https://twitter.com/angrynagae/status/1424699959878643719
식빵콩빵,@newgreenplant,2021-08-16T02:48:07.000Z,"식빵콩빵
@newgreenplant
·
Aug 15","싫지만 해야하는 공부는 오전 카페에서 집중하고 할당량 끝내기. 오후에는 중국어 공부하고 놀기. 이번 주에는 차차 생활 리듬 찾아가야지.
1",,,,1,"['https://pbs.twimg.com/media/E84TaWbUcAAMN6C?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E84TeY0VUAYBIDL?format=jpg&name=360x360']",https://twitter.com/newgreenplant/status/1427099827020570627
유자양갱,@yujayanggang116,2021-08-26T09:30:22.000Z,"유자양갱
@yujayanggang116
·
Aug 26","카페에서 만나기로 한 큰세 문대
 너 어디야 언제와
 어 나 10분뒤 도착 내거 미리 시켜주라 암거나
 아무거나가 뭐야
 스무디랑 대추차 빼고 아무거나~
 ㅇㅇ

 (10분뒤)
 문대문대 이게뭐지
유차차에 샷추가 휘핑올리고 초코칩추가 반은 갈고 반은 그대로

 사천원 내놔",🐶 🐻 🐶 🐻 🐶 🐻 🐶 🐻 🐶,,,,['https://pbs.twimg.com/media/E9tPsDwVUAMVi1J?format=jpg&name=small'],https://twitter.com/yujayanggang116/status/1430824932724805639
여보별꽃,@starflower_Nnn,2021-08-28T10:27:42.000Z,"여보별꽃
@starflower_Nnn
·
Aug 28","모두의 익명 질문을 모집 중!

최근 답변한 질문
● 별꽃님 시계정은 사라진걸까요…
● 꽃님....저는 왜 오늘 업…
● 별꽃님~~~날이 많이 더운데…
● 별꽃님!!! 차차 생일카페 …
#질문상자 #익명질문모집중
익명들을 버려!별꽃 질문 상자입니다
RPS 엔총 | 느린 썰 | TMI | 밤인사
peing.net",❄,,,,['https://pbs.twimg.com/card_img/1439378850295672833/tiYrcjJE?format=jpg&name=small'],https://twitter.com/starflower_Nnn/status/1431564138187145219
10/9휘미,@Holy_Whi,2021-08-05T16:07:42.000Z,"10/9휘미
@Holy_Whi
·
Aug 5","저랑 13일 이후에 관극전에 저녁이나 카페 가서 덕톡하실 분 스케쥴은 ... 차차 맞춰요
4
1",🐸 🌙 ➡ 💕,4,,1,[],https://twitter.com/Holy_Whi/status/1423314781054783488
홍연,@HOngSDG,2021-08-05T09:32:58.000Z,"홍연
@HOngSDG
·
Aug 5","갑자기 그거생각났다
저번에 양궁카페팟 역에서 딱 만났는데 고고님 제외 라르님 차차님 나까지 뭔가 검은?어둑어둑한거? 입고 고고님만 하안색입고계셔서ㅋㄱㅋㄱㄱㅋㅋㄱㅋㄱㅋ

고고님:왜 저만 드레스코드 안알려줬어요..?

ㅋㄱㄱㅋㄱㄱㄱㄱㄱㅋㄱㄱㄱㅋㄱㄱㅠㅜㅜㅜㅜ
2
5",,,2,5,[],https://twitter.com/HOngSDG/status/1423215445021138945
유관석,@hgh139,2021-08-28T15:59:29.000Z,"유관석
@hgh139
·
Aug 28",21.8.15 광복절을 기점으로 대통령후보 이재명 확정가능성 99%! 차차기는 정청래가 하라(non네거티브 정정당당히 해서) | Daum카페 https://cafe.daum.net/cheongraedang/H4Ud/35598…,,,,,[],https://twitter.com/hgh139/status/1431647634276581385
GOZA @相互フォロバ 맞팔 F4F followback 100%,GOZA @相互フォロバ 맞팔 F4F followback 100%,2021-08-21T14:23:18.000Z,"GOZA @相互フォロバ 맞팔 F4F followback 100%
@wojihojaka
·
Aug 21","부산센서 인천중구중형견 종로포장용품 천안동남구피아노회사 하타 핸디 옥전 영승 토하 주열 희원 텔슨 약침 앤메 호미곶면폭스바겐수리 방학카페카운터제작 깃대 풍덕천 외과병원 골프장공사 편입영어학원 자동차차체수리
광고아이디어
지도마케팅
웹광고
F4F",,,,,[],https://twitter.com/wojihojaka/status/1429086713054367747
