UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tô só Andrade Freire,@Tsoobservando1,2021-08-30T23:40:58.000Z,"Tô só Andrade Freire
@Tsoobservando1
·
8월 31일","Eu confio no potencial delas... Todas minhas fichas pra essas mulheres
6
8
118",👀 🌙,6,8,118,['https://pbs.twimg.com/media/E-E4vgEWEAkYh0i?format=jpg&name=small'],https://twitter.com/Tsoobservando1/status/1432488547349667841
JEFF / REI DE LATA VOLTOU!!!,@PandaDeCapa,2021-08-30T23:57:34.000Z,"JEFF / REI DE LATA VOLTOU!!!
@PandaDeCapa
·
8월 31일","Ano que vem faço 30 anos de idade e quase 20 q faço hqs. Estou vivendo o meu melhor momento como quadrinista. Hoje tenho uma das minhas histórias sendo publicada por uma editora e ainda por cima um montão de pessoas que me apoiam. Jerfin do passado não iria nem acreditar.
20
132
1.9천",,20,132,1.9천,"['https://pbs.twimg.com/media/E-E8iXkWUAELhek?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E8ilUWEAYr3vN?format=jpg&name=360x360']",https://twitter.com/PandaDeCapa/status/1432492723563638785
Duda ||off botando atividades em dia :/,@anysbchamp_,2021-08-30T23:55:35.000Z,"Duda ||off botando atividades em dia :/
@anysbchamp_
·
8월 31일","Eu pedindo alguma coisa pra minhas mãe quando ela tá puta KAKAKKAKAKAKAKAK 
me chamou de ""Maria Eduarda"" veyy KAKAKAKAKKA
1
20",,1,,20,['https://pbs.twimg.com/media/E-E8FWMXoA0cgQd?format=jpg&name=900x900'],https://twitter.com/anysbchamp_/status/1432492225024434179
santa protetora dos neuróticos,@p_r0blem,2021-08-30T23:46:54.000Z,"santa protetora dos neuróticos
@p_r0blem
·
8월 31일"," oi fortalece aí com um rt 
resgatei um dog aqui em Curitiba e infelizmente eu e minhas amigas não conseguimos ficar com ele por conta de espaço, ele é porte G e moramos em apê
estamos em busca um lar fixo q possa dar o carinho e cuidado q ele merece, nos ajude a divulgar 
46
38",✨ ✨ ♥,,46,38,"['https://pbs.twimg.com/media/E-E6FOTX0AA7kno?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E6FtUWEAIQcM7?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E6GJzWUAIJfJ2?format=jpg&name=360x360']",https://twitter.com/p_r0blem/status/1432490040714792962
Ana Fernandes ✠,@AnaFernaandes02,2021-08-30T23:46:37.000Z,"Ana Fernandes ✠
@AnaFernaandes02
·
8월 31일","quando a pessoa (re)conhece minhas duas maiores paixões

(cerveja e vascão )
9",🤣,,,9,['https://pbs.twimg.com/media/E-E6CKYXMAIoDhg?format=jpg&name=medium'],https://twitter.com/AnaFernaandes02/status/1432489967821918216
Matheus Avila,@MathewAvila,2021-08-30T23:54:40.000Z,"Matheus Avila
@MathewAvila
·
8월 31일","Vou desativar depois das minhas últimas escolhas aos tarots que tô vendo.
1
6",,1,,6,['https://pbs.twimg.com/media/E-E74QpWUAQmj9F?format=jpg&name=small'],https://twitter.com/MathewAvila/status/1432491996120223746
Déia Freitas,@NaoInviabilize,2021-08-30T23:57:41.000Z,"Déia Freitas
@NaoInviabilize
·
8월 31일","nunca vou entender pq tem bolsominia que me segue no instagram e fica retrucando as minhas coisas. bolsominion nem é gente!
21
38
3.4천",,21,38,3.4천,[],https://twitter.com/NaoInviabilize/status/1432492754387488768
Gordão,@18Gordao,2021-08-30T23:47:04.000Z,"Gordão
@18Gordao
·
8월 31일","Gostaria de dizer que eu odeio o 
@CaRecanobaile
  com todas as minhas forças
1
8",,1,,8,['https://pbs.twimg.com/media/E-E6IsiWEAcs6CG?format=jpg&name=900x900'],https://twitter.com/18Gordao/status/1432490080078344196
LoLo,@fairytaehy,2021-08-30T23:39:43.000Z,"LoLo
@fairytaehy
·
8월 31일","minhas laranjinhas 
1
4
17",🙂 🧃,1,4,17,"['https://pbs.twimg.com/media/E-E4c7CXoAIyrmT?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E4dFOXEAMnylE?format=jpg&name=360x360']",https://twitter.com/fairytaehy/status/1432488230721556485
wellington,@Pingo_Dragao,2021-08-30T23:45:06.000Z,"wellington
@Pingo_Dragao
·
8월 31일","Em meu ultimo dia como carteiro.
Eu fiz minhas entregas 
Fiz carinho no Sr gato carteiro
Fiz hr extra
Dei minha garrafa de agua pra um homem aleatório que tava trabalhando.
Peguei insolação
Me aremessaram uma cerveja pra mim desviar de um fio que caiu perto da timba.
3
17",,3,,17,['https://pbs.twimg.com/media/E-E5rzxWQAURD-s?format=jpg&name=small'],https://twitter.com/Pingo_Dragao/status/1432489585557360640
"Zaira, não Zaíra. ↯",@zairaiwana,2021-08-30T23:45:45.000Z,"Zaira, não Zaíra. ↯
@zairaiwana
·
8월 31일","Eu: minhas coisas na casa nova vão ser chiques.

Eu na casa nova: ""Olha que fofa essa colher que tem granulado dentroooooo"" /// ""Pra que uma forma de gelo normal se eu posso ter gelos de estrelinhaaaaaas?""
11",🤡 🌈 🦄 ✨ 🥰 💖,,,11,['https://pbs.twimg.com/media/E-E51jiWYAAMyV1?format=jpg&name=900x900'],https://twitter.com/zairaiwana/status/1432489752213823490
𝕭𝖆𝖉𝖉𝖎𝖊 𝕬𝖓𝖌𝖊𝖑,@JuuliianaAleixo,2021-08-30T23:59:15.000Z,"𝕭𝖆𝖉𝖉𝖎𝖊 𝕬𝖓𝖌𝖊𝖑
@JuuliianaAleixo
·
8월 31일","Estou tão mal , não sei porque eu acho que minhas coisas do doce não vão da certo. Ninguém interage cmg no insta, aiiii senhor me ajuda 
4
11
30",✨ 😭 😭,4,11,30,[],https://twitter.com/JuuliianaAleixo/status/1432493149138690055
S.,@sapatenis0,2021-08-30T23:40:51.000Z,"S.
@sapatenis0
·
8월 31일","Mano minhas pernas estão DOENDO TANTO
6
11
648",,6,11,648,[],https://twitter.com/sapatenis0/status/1432488517184245762
J.Lemos,@Juninho_lemos15,2021-08-30T23:35:30.000Z,"J.Lemos
@Juninho_lemos15
·
8월 31일","Focar nas minhas metas e nos estudos. 
1
7
7",🚀 🧠,1,7,7,[],https://twitter.com/Juninho_lemos15/status/1432487171756265475
vivismiga,@imbikadinha,2021-08-30T23:46:40.000Z,"vivismiga
@imbikadinha
·
8월 31일","saudades das minhas melhores amigas
4
3",,,4,3,[],https://twitter.com/imbikadinha/status/1432489982892064768
𝕚𝕤𝕒𝕕𝕠𝕣𝕒 ❁,@isadora_alquati,2021-08-30T23:35:07.000Z,"𝕚𝕤𝕒𝕕𝕠𝕣𝕒 ❁
@isadora_alquati
·
8월 31일","eu não aguento mais escutar as minhas músicas
2
5",,,2,5,[],https://twitter.com/isadora_alquati/status/1432487076272947202
Zach.,@EleocJeon,2021-08-30T23:35:52.000Z,"Zach.
@EleocJeon
·
8월 31일","Eu não gosto de dividir minhas coisas.
91
6
479",,91,6,479,[],https://twitter.com/EleocJeon/status/1432487262638518275
