UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
메인트 리니,@1ovesick525,2021-08-12T17:18:19.000Z,"메인트 리니
@1ovesick525
·
8월 13일","#rt

일본앨범 셀포 태믽이 나오면 한 분 뽑아서 이거 쏴드립니다… 샤월한정x••
태믽아 우리집 잘 오구 있지…? …♡

ㅇㅌㅁ ㅇㅌㅁ ㅇㅌㅁ
2
127
13",,2,127,13,['https://pbs.twimg.com/media/E8m0ikAVUAEiEGk?format=jpg&name=small'],https://twitter.com/1ovesick525/status/1425869267161866246
13,@13_knS2,2021-08-12T02:09:09.000Z,"13
@13_knS2
·
8월 12일","#細胞神曲

카노 아오구
192
189",,,192,189,['https://pbs.twimg.com/media/E8jkcrHVIAEqTYt?format=jpg&name=small'],https://twitter.com/13_knS2/status/1425640467836727299
ピザトースト,@DJ_3_DJ,2021-08-10T13:18:37.000Z,"ピザトースト
@DJ_3_DJ
·
8월 10일","카노 냐오구
1
173
177",,1,173,177,['https://pbs.twimg.com/media/E8bqfCTUcAcq9iU?format=jpg&name=small'],https://twitter.com/DJ_3_DJ/status/1425084171634954245
치치,@chichinhp,2021-08-15T04:24:27.000Z,"치치
@chichinhp
·
8월 15일","이거 카노 아오구잖아
49
33",🍩,,49,33,['https://pbs.twimg.com/media/E8zgMEQVoAcVPlw?format=jpg&name=small'],https://twitter.com/chichinhp/status/1426761682185908226
오리너구리굴,@riri_sweet_home,2021-08-12T13:58:00.000Z,"오리너구리굴
@riri_sweet_home
·
8월 12일","오구꾸꾸
40
125",,,40,125,['https://pbs.twimg.com/ext_tw_video_thumb/1425818712532152339/pu/img/iQ574_HZ8Bh8zfEj.jpg'],https://twitter.com/riri_sweet_home/status/1425818858397442064
𝙹𝚊𝚎𝚗𝚢𝚎𝚘𝚔,@wosuz_b,2021-08-11T05:51:10.000Z,"𝙹𝚊𝚎𝚗𝚢𝚎𝚘𝚔
@wosuz_b
·
8월 11일","웃기고 귀엽다
뎃시님 / 오구님 / 나
1
1
8",,1,1,8,"['https://pbs.twimg.com/media/E8fNqwrVcAA2lXV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8fNrD9VEAUZV5y?format=jpg&name=small', 'https://pbs.twimg.com/media/E8fNrN6VIAMC7wH?format=jpg&name=small']",https://twitter.com/wosuz_b/status/1425333951527219203
ً 死-11,@stella__1009,2021-08-10T07:08:21.000Z,"ً 死-11
@stella__1009
·
8월 10일","#이_캐릭터를_안다면_rt
1밍구 2밤호박님 3로드님 4오구님
워후
5
1",,,5,1,"['https://pbs.twimg.com/media/E8aVd-AVcAE_Vho?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aVd-AVIAAGLVt?format=png&name=360x360', 'https://pbs.twimg.com/media/E8aVd-CUUAca43T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8aVd9_UcAgwohD?format=jpg&name=360x360']",https://twitter.com/stella__1009/status/1424990989748367363
{현생바쁜}리에,@RARARie777,2021-08-13T10:47:04.000Z,"{현생바쁜}리에
@RARARie777
·
8월 13일","하록 귀찮아서 단색으로 함
오구 귀차나
1
10",☘,1,,10,['https://pbs.twimg.com/media/E8qklQUVEAYvwDc?format=jpg&name=900x900'],https://twitter.com/RARARie777/status/1426133194215100419
Maybe,@MAYBE_O226,2021-08-14T17:28:35.000Z,"Maybe
@MAYBE_O226
·
8월 15일","승훈시 +2..

사랑둥이 강아지야 
쫀하루보내구 아침 스케줄 잘 갔다오구우~!!
이번주 마무리도 잘하자!!
4
24",💛 💛 🐕,,4,24,"['https://pbs.twimg.com/media/E8xKEidVEAQnUR7?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xKEieUcAEA8In?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xKEieVoAoKryU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8xKEifVIAEss4b?format=jpg&name=360x360']",https://twitter.com/MAYBE_O226/status/1426596628643733505
꾹데이𝗝𝗞𝗱𝗮𝘆,@JKday_0901,2021-08-11T01:34:25.000Z,"꾹데이𝗝𝗞𝗱𝗮𝘆
@JKday_0901
·
8월 11일","하
이걸 잊고 있었니 
미련한 전순둥아
오구 예뻐라
5",🐰 💜 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 😇 💜,,,5,['https://pbs.twimg.com/media/E8eS4apUYAQ3nlg?format=jpg&name=small'],https://twitter.com/JKday_0901/status/1425269340232769538
진격해-방-탄-소년단처럼⁷_𝑴𝒚 𝑼𝒏𝒊𝒗𝒆𝒓𝒔𝒆,@dongguririring,2021-08-10T17:17:35.000Z,"진격해-방-탄-소년단처럼⁷_𝑴𝒚 𝑼𝒏𝒊𝒗𝒆𝒓𝒔𝒆
@dongguririring
·
8월 11일","가을이 오고 있어!!!
아주 쪼금 덜 더운것도 같고ㅎㅎ

사클의 계절이 오구있다구!!!

#MTVHottest 
BTS
@BTS_twt
9
7",💜 💜,,9,7,['https://pbs.twimg.com/media/E8chMaOUYAA7fZt?format=jpg&name=small'],https://twitter.com/dongguririring/status/1425144308563275782
