UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
릴룻,@K_rilrut,2021-08-11T16:19:14.000Z,"릴룻
@K_rilrut
·
8월 12일","스콘먹는 사사야키
1
3",,,1,3,['https://pbs.twimg.com/media/E8hdbgwVkAkTTpk?format=jpg&name=small'],https://twitter.com/K_rilrut/status/1425492011612741636
(시험동결)최새우,@shrimp000911_4,2021-08-20T16:07:23.000Z,"(시험동결)최새우
@shrimp000911_4
·
8월 21일","사사야키로 보는 쪼꼬미 발전
1
2",,1,,2,"['https://pbs.twimg.com/media/E9PxBfqVgAAug-q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9PxBnbVgAYVLdd?format=jpg&name=360x360']",https://twitter.com/shrimp000911_4/status/1428750518621331456
탈트한다 메인트 개쎄나 ❦,@saena_0626,2021-08-11T16:07:05.000Z,"탈트한다 메인트 개쎄나 ❦
@saena_0626
·
8월 12일","텐노 사사야키 오 하늘의 속삭임이래
3
1
2",,3,1,2,['https://pbs.twimg.com/media/E8hapRoVIAEuKmv?format=jpg&name=small'],https://twitter.com/saena_0626/status/1425488952279011338
(시험동결)최새우,@shrimp000911_4,2021-08-20T15:48:26.000Z,"(시험동결)최새우
@shrimp000911_4
·
8월 21일","내 인생 첫 동양풍캐 사사야키...
외관 조금 바꿔서 재탕가야지!
2",,,,2,['https://pbs.twimg.com/media/E9PssH-VIAUBSJb?format=jpg&name=small'],https://twitter.com/shrimp000911_4/status/1428745751736160261
잉명,@Im___Ing_M___s2,2021-08-23T17:13:27.000Z,"잉명
@Im___Ing_M___s2
·
8월 24일","라라 사사야키 란도
뮤키 ,,모르겟다 챠
2
1",,,2,1,['https://pbs.twimg.com/media/E9fc6nPVIAw4yup?format=jpg&name=small'],https://twitter.com/Im___Ing_M___s2/status/1429854308527337473
(거의반동결)비시,@Bishy_nam,2021-08-26T00:51:18.000Z,"(거의반동결)비시
@Bishy_nam
·
8월 26일","선우령 사사야키 스오 페시
ㅋㅋ
ㅋㅋ
ㅋ
ㅋㅋ젠장
봉따리
@clfh123
 · 8월 25일
#트레틀 #트레이싱 #트레틀4인 #이메레스
체형&손모양&표정 등 마음대로 고치셔도 됩니다!
재밌게 써주세요~!
2",,,,2,"['https://pbs.twimg.com/profile_images/1417403833072852993/O67FTuVs_mini.jpg', 'https://pbs.twimg.com/media/E9nKWC7VcAIU_ew?format=jpg&name=small', 'https://pbs.twimg.com/media/E9nKWkRVIAUccA3?format=jpg&name=small']",https://twitter.com/Bishy_nam/status/1430694306730233862
릴룻,@K_rilrut,2021-08-01T17:50:04.000Z,"릴룻
@K_rilrut
·
8월 2일","아나ㅋㅋㅋㅋㅋㅋ그걸 왜깨!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐 사사야키 어;어어?;; 하다가 스피어 괜찮아? 해주기,,, , ,, ,,
1",,,,1,[],https://twitter.com/K_rilrut/status/1421890991733166081
메생이굴국밥,@autumn_plums,2021-08-25T09:25:14.000Z,"메생이굴국밥
@autumn_plums
·
8월 25일","나 사사야키 어케 그렸었지,,,,,, 새 캐 낼 때마다 이전 캐 그리는 법 까먹는 후레자식
1",,,,1,[],https://twitter.com/autumn_plums/status/1430461255324557312
백미,@100mee_,2021-08-07T05:34:11.000Z,"백미
@100mee_
·
8월 7일","유키노 사사야키는 단둘이 남은 곳에서, 사랑스러운 표정으로 말했습니다.

있잖아, 나는. 
네가 날 잊지 않기를 바라.
#shindanmaker #있잖아_나는
있잖아, 나는.
어느날 꺼내고야 만 한마디.
kr.shindanmaker.com
1",💚 💙,,,1,['https://pbs.twimg.com/card_img/1441069371573473285/2ID4EPJp?format=jpg&name=small'],https://twitter.com/100mee_/status/1423880126853308418
가람월드 코피페,@garam_w_cpp,2021-08-30T18:18:56.000Z,"가람월드 코피페
@garam_w_cpp
·
8월 31일","사사야키: 성태! 저 별 보여? 저 별은 내 별이고, 저기 저건 성태 별이야. 둘이 만나면
성태: 행성충돌.
사사야키:
성태: 전부 죽겠지.
사사야키:",,,,,[],https://twitter.com/garam_w_cpp/status/1432407502801440768
