UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
기상청,@kma_skylove,2021-08-15T09:45:24.000Z,"기상청
@kma_skylove
·
8월 15일","내일(16일) 제주도 많은 비

기압골의 영향으로 제주도에는 모레 아침까지, 남해안에는 내일 새벽부터 오전 사이에 비가 오는 곳이 있겠습니다. 

대기불안정으로 인해 오늘과 내일 산발적으로 천둥.번개를 동반한 소나기가 오는 곳이 있겠습니다.

기상정보 참고해 주세요!
[내일날씨] 제주도 중심 많은 비, 남해안으로 확대, 서쪽 다시 한낮 더위, 8월 15일 17시 기준
2021년 8월 15일 17시 예보를 해설한 내일날씨입니다.내일날씨는 매일 18시에 업로드됩니다.지역별 더 자세한 날씨는 기상청 날씨누리와 기상청 날씨알리미앱을 참고하시기 바랍니다.기상청 날씨누리 : https://www.weather.go.kr★★★ 옙TV도 많이 사랑해주세요! ...
youtube.com
46
11",,,46,11,['https://pbs.twimg.com/card_img/1442285240593043460/GUtM_B2H?format=jpg&name=240x240'],https://twitter.com/kma_skylove/status/1426842450090287104
DayAn,@stayHeon,2021-08-11T11:57:44.000Z,"DayAn
@stayHeon
·
8월 11일","오늘, 달

별과 별 사이를 이어주는
까만 밤, 텅빈 우주
2
4",,,2,4,['https://pbs.twimg.com/media/E8ghk4SVUAI16gW?format=jpg&name=900x900'],https://twitter.com/stayHeon/status/1425426202131517445
나운,@now_o2n,2021-08-14T14:00:52.000Z,"나운
@now_o2n
·
8월 14일","오늘의 합정과 당산 사이
1
1
6",,1,1,6,['https://pbs.twimg.com/media/E8wah9jVkAcvdBl?format=jpg&name=small'],https://twitter.com/now_o2n/status/1426544355716657155
독촉하는 ROSANNA,@Rosanna_1zzang,2021-08-12T05:19:57.000Z,"독촉하는 ROSANNA
@Rosanna_1zzang
·
8월 12일","오늘 밤과 내일 새벽 사이 유성이 쏟아진다지? 다만 날이 흐려 제대로 보지 못할 수도 있다고 하네. 관심이 있다면 밤사이 바깥을 한번 내다보는 것도 나쁘지 않겠구나. 관심은 있으나 밖으로 나갈 기력과 여유와 용기가 없는 애송이들은 하단에 첨부한 링크로 구경하렴.
페르세우스 유성우 온라인 생중계
오늘 밤, 한반도 하늘에서 별똥별 쑈가 펼쳐집니다!사분의자리, 쌍둥이자리 유성우와 함께 3대 유성우 중 하나로 꼽히는페르세우스 유성우 전 과정을 공기 좋고
youtube.com
132
65",🌠 🌠 👍 👌,,132,65,['https://pbs.twimg.com/card_img/1440848682367451136/3NlHam9R?format=jpg&name=240x240'],https://twitter.com/Rosanna_1zzang/status/1425688485201997827
라희,@sm_basuni,2021-08-15T08:40:10.000Z,"라희
@sm_basuni
·
8월 15일","라히 오늘 ... 짹이님과 가영님 사이에서 아기 재도러였음...
저 갓기재도러거든요 두 분 앞에서...
1
5",,,1,5,"['https://pbs.twimg.com/media/E80asyPUUAQuWJU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80asyQUUAEIQ4a?format=jpg&name=360x360']",https://twitter.com/sm_basuni/status/1426826032938577920
귤샴,@c_one_shampoo,2021-08-06T16:41:36.000Z,"귤샴
@c_one_shampoo
·
8월 7일","오늘은 갤러리 정리하는 대신 포카 만들 사진 고르다가 이 두 짤이 나란히 있는걸 발견함^_^..

뭔가 서사 뚝딱인걸

재벌과 톱스타 사이에서 갈팡질팡하는 여주의 삼각관계가 그려지는걸

둘이 기싸움 쩔 것 같은걸
1
4
13",,1,4,13,['https://pbs.twimg.com/media/E8HymboUYAUF4ID?format=jpg&name=small'],https://twitter.com/c_one_shampoo/status/1423685701242032130
클준⁷,@chl_jin,2021-08-08T07:51:35.000Z,"클준⁷
@chl_jin
·
8월 8일","사랑하는 나의 습관, 나의 하루. 
좋아하는 것들 한 톨 흘림없이 손에 꼭 쥐고 행복한 하루 보내길 바래요. 나는 여름과 가을 사이에 서서 오늘도 준이를 바람 불듯 사랑하고 있어 
1
8",💌,,1,8,['https://pbs.twimg.com/media/E8QMd7EXIAAeafe?format=jpg&name=small'],https://twitter.com/chl_jin/status/1424277094482259970
카나,@Cannabis_shim,2021-08-15T17:07:31.000Z,"카나
@Cannabis_shim
·
8월 16일","오늘 제일 웃겼던 장면...
나도 모르는 사이에 떡치고 있던 토심과 방 밖에서 아무것도 모른 채 춤추는 셀자
1
1",,,1,1,['https://pbs.twimg.com/media/E82On9BVUAEVb3A?format=jpg&name=small'],https://twitter.com/Cannabis_shim/status/1426953711989911554
서새봄,@saddummy,2021-08-14T14:48:49.000Z,"서새봄
@saddummy
·
8월 14일","2021. 08. 14(토) ,
[오후 10시-12시 사이 방송!] 
 
새봄TV] 게임전문방송
 
■오늘의 게임 : (당일 스케쥴은 컨디션과 진행에 따라 변경될 수 있습니다!!)

○ 1부  : 드롭스ON 디아블로2 리마스터 한국어/풀더빙

○ 2부  : 잔디깎이 게임 . 미정

○ 쿠키방송(3부)  : 로스트아크 미정
3
62",,,3,62,['https://pbs.twimg.com/media/E8wlfGWUcAgDOmj?format=png&name=small'],https://twitter.com/saddummy/status/1426556421231894529
원s,@sujuyes1106,2021-08-09T23:43:06.000Z,"원s
@sujuyes1106
·
8월 10일","어제의 청명한 하늘과
빛이 내리는 오늘 아침, #예블 #예성 
사이로 빛이 번지는 게 너무 멋있어서ㅡ 
오늘도 빛나는 시간으로 가득차길 
7",☁ 💙 ☁ ✨,,,7,"['https://pbs.twimg.com/media/E8YvzuCVoAIr-cy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Yv1ApVoA4NAG5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Yv0XzVoB4g6ia?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Yv1nbVoAMvDXC?format=jpg&name=360x360']",https://twitter.com/sujuyes1106/status/1424878939168677907
하랑쿵야,@Gusu_Fly_high,2021-08-04T09:15:13.000Z,"하랑쿵야
@Gusu_Fly_high
·
8월 4일","옛날부터 갖고 싶단 생각을 했었는데 이번 제주도 여행 중 잠깐 들른 바닷가에서 길에 드림캐쳐를 파는 거야.
바닷바람에 흔들리면서 종과 장식들이 부딪히며 짤랑 짤랑 내는 소리가 너무 인상 깊고 반짝였어.
그래서 오늘 한 드림캐쳐를 샀어!
벽에 걸어두고 드림캐쳐 사이로 좋은 꿈들만 들어오길,,
2
8",,2,,8,"['https://pbs.twimg.com/media/E775O_rVUAoWQ6M?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E775PjuVkAY_IHi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E775QFgUUAMH7Ev?format=jpg&name=360x360']",https://twitter.com/Gusu_Fly_high/status/1422848589659656193
INFUSE,@infuse0716,2021-08-02T14:03:28.000Z,"INFUSE
@infuse0716
·
8월 2일","온앤오프야오늘과내일그틈사이에
#내청춘의빛_온앤오프_4주년
너희가만든세상이나를살게해
#LIGHTS_ON_ONF4YEARS
나를아름답게해온앤오프축하해
16
21",,,16,21,[],https://twitter.com/infuse0716/status/1422196355611598850
권터,@Hi_Gunter,2021-08-08T15:54:13.000Z,"권터
@Hi_Gunter
·
8월 9일","오늘과 내일의 애매한 그 경계선 사이
시작과 끝이 만난 시간 작별과 만남의 인사
안녕 또 다른 안녕 매일하지
널 보면 난 푸른밤을 상상하네
널 보면 난 푸른밤을 상상하고
들어줄래 네 두 귀에 내가 속삭여줄게
마치 보석을 담은 듯 반짝
빛이 나는 푸른밤
1
3
29",,1,3,29,[],https://twitter.com/Hi_Gunter/status/1424398553539960839
休.. fan account,@always_lsg,2021-08-07T07:20:11.000Z,"休.. fan account
@always_lsg
·
8월 7일","#이승기 #LeeSeungGi #라우드
오늘승기데이네
https://instagram.com/p/CSQ7Yotpk8i/?utm_medium=copy_link…
---
오디션 역사상 전무후무한 #슈퍼에이전트 승기님 #LOUD:라우드 심사위원과 참가자 사이에서 참가자들에게 너무나 진심인 큰형! 승기님의 맹활약! 오늘밤 라우드 기대해주세요.

 SBS 라우드
 오늘 밤 09:05
4
31",🕊 😁 📺 📺,,4,31,['https://pbs.twimg.com/media/E8K7sSOUYAQhJdX?format=jpg&name=small'],https://twitter.com/always_lsg/status/1423906804677758980
𝑪𝒍𝒂𝒊𝒓𝒆,@inyourmind1843,2021-08-03T15:20:33.000Z,"𝑪𝒍𝒂𝒊𝒓𝒆
@inyourmind1843
·
8월 4일","사실 기업 마케팅과 광고 분야만큼 자기네 대언인 신상에 신경 많이 쓰는 곳도 없을 텐데.. 뭔일 나면 재빨리 손절하는 것만 봐도.. 모델들이 엮이기도 싫어하는 사이인데 굳이 예비 소비자들에게 욕 먹을 각오까지 하고(심지어 숫자도 많은데..) 근거도 없는 콜라보를 하진 않겠지ㅋ = 오늘의 내 감상
1
38
123",,1,38,123,[],https://twitter.com/inyourmind1843/status/1422578139557875715
치치콘,@con23chichi3,2021-08-15T15:41:47.000Z,"치치콘
@con23chichi3
·
8월 16일","이성과 본능사이 ...... 아......................... 오늘부터 제 좌우명 이성과 본능 사이 입니다.
3",,,,3,[],https://twitter.com/con23chichi3/status/1426932139937865730
리챔,@CWepC8CQvzgSxC9,2021-08-09T09:57:38.000Z,"리챔
@CWepC8CQvzgSxC9
·
8월 9일","하아…
개웃기다
배세진과 이세진. 오늘도 등장하지 않았지만 그들은 사랑을 하고 있음이 증명되었습니다.
왜냐? 박문대가 븨틱 게스트 말 꺼내고 난 후부터 이 갈고 연습했을 것
안그래도 일대일 안무 봐주는 사이인데 납두글자 사건도 알고있는 둘이…
6
17",🍈 🍎,,6,17,[],https://twitter.com/CWepC8CQvzgSxC9/status/1424671203042623488
서새봄,@saddummy,2021-08-08T12:22:57.000Z,"서새봄
@saddummy
·
8월 8일","2021. 08. 08(일) ,
[오후 10시-12시 사이 방송!] 
 
새봄TV] 게임전문방송
 
■오늘의 게임 : (당일 스케쥴은 컨디션과 진행에 따라 변경될 수 있습니다!!)

○ 1부  : 로스트아크 아브렐슈드 데자뷰 체험팟 (가성님/나성님/루윈님/알버트님/쇼풍님/뷔르님/용녀님)

○ 쿠키방송(2부)  : 미정
2
3
60",,2,3,60,['https://pbs.twimg.com/media/E8RKj-6VEAMauOf?format=png&name=small'],https://twitter.com/saddummy/status/1424345386810970120
산소ᴴᴬᵀᴱ ᵀᴴᴬᵀ,@oxygen_525,2021-08-13T12:47:45.000Z,"산소ᴴᴬᵀᴱ ᵀᴴᴬᵀ
@oxygen_525
·
8월 13일","‘오늘과 내일 사이, 여기는 푸른밤입니다’ 이 말이 되게 힐링되고 편안하게 해줘서 너무 좋아하는 멘트에요
2",,,,2,[],https://twitter.com/oxygen_525/status/1426163564042063879
황야의 무법자어흥,@x655063,2021-08-11T20:17:29.000Z,"황야의 무법자어흥
@x655063
·
8월 12일","좀 다른 얘긴데 전 그래서 아이같다고 생각했어요. 사실 이 세상에서 체념과 단념과 수용을 가장 잘 하는 건(잘 할 수 밖에 없는 건) 빈민층 아동청소년이기 때문에. 매튜는 그 상태로 컸다고 생각해요, 그에게는 오늘과 내일 사이의 변주가 허락되지 않는 좁고 빈약한 세계뿐이었으니까.
매튜/ 흑룡님이 터트린 '청포도'
@C_Podo__
 · 8월 12일
자캐 어필 실패일수도 있긴 한데
매튜 자체는 좀 싹싹하고 성숙한 편이라고 생각하긴 함. 약간? 어찌보면 마음이 늙은걸수도 있고.. 체념과 단념,수용을 잘하는 편. 현실적인거라고 생각함. 음...그럴수밖에 없고,......
이 스레드 보기
1
1
9",💥 💥,1,1,9,['https://pbs.twimg.com/profile_images/1430539905642340360/isAwHnt0_mini.jpg'],https://twitter.com/x655063/status/1425551970220187649
로메리,@1DLYoamW4yhGLys,2021-08-03T12:28:04.000Z,"로메리
@1DLYoamW4yhGLys
·
8월 3일","근데 부란당 아무리봐도 재호랑 현수의 치정극아녀 막 현수가 재호 타이 만지는거나 변태(ㅋㅋ) 재호가 조사놓는거나….서로 조금씩 자기거라고 생각하는거 같은데 오늘 나머지 반 봐야 알겠지마는 사랑과 배신에 관한 얘기아녀? 근데 둘사이 그런 감정선 모르겠다는 반응도 가끔 있드라구
1
1
26",,1,1,26,[],https://twitter.com/1DLYoamW4yhGLys/status/1422534733234249730
코끼리 아니고 학자 아니고 사기꾼,@ff14_chl,2021-08-08T14:17:29.000Z,"코끼리 아니고 학자 아니고 사기꾼
@ff14_chl
·
8월 8일","ㅋ오늘부로 호넷과 부부사이입니다
1",,,,1,[],https://twitter.com/ff14_chl/status/1424374209539579910
삼랑,@3rang_SAKTR,2021-08-10T14:31:14.000Z,"삼랑
@3rang_SAKTR
·
8월 10일","스위치 보통 이 2가지로 나뉨
1.소라를 아들취급하는 츰낯 가족모먼트
2.나츠메한테 입놀려서 맞는 츰기 소라의
“스승~과 선배는 오늘도 사이가 좋네~♪”
1
3",,,1,3,[],https://twitter.com/3rang_SAKTR/status/1425102444497940499
서걍,@limemandoo,2021-08-02T06:43:35.000Z,"서걍
@limemandoo
·
8월 2일","전에 프문 오슷 정말 좋고, 어떤 면에서는 선셋보다도 자주 듣게 되는 내 취향의 음악이라고까지 얘기를 했는데 오늘 샤워하다가 불현듯 냉정과 열정사이가 떠올랐다.
1
1
9",🌅,1,1,9,[],https://twitter.com/limemandoo/status/1422085653156696068
찹쌀떡교 교주,@chapssal_ttak,2021-08-10T10:43:12.000Z,"찹쌀떡교 교주
@chapssal_ttak
·
8월 10일","당신의 거친 kiss에 휘둘리듯 섞이며 어쩌구

여러분들 어 오늘부로 화야 오너님과 kiss한 사이입니다
땃쮜♡
@sarang_haeyo_06
 · 8월 10일
당신의 kiss 는 나의 흉부를 뛰게 하였다. 그리기에 나는 참을 수 없었다 kiss
움쪽쪽쭈왑쭈왑활짝할짝할짣할짝낼름낼름낼름낼름낼름낼름낼름낼름 twitter.com/chapssal_ttak/…
1
1",,,1,1,['https://pbs.twimg.com/profile_images/1433689027455053833/0eBcQjVD_mini.jpg'],https://twitter.com/chapssal_ttak/status/1425045059834048513
투견,@lightmeup0830,2021-08-03T11:49:51.000Z,"투견
@lightmeup0830
·
8월 3일","아 글고 보니 성현제 오늘 별이 이름 불렀네 막내 아가씨가 아니라... 역시.. 유진이 없는 사이... 그 반짝반짝한 얼굴과 달다구리로 아주 끝내주게 환심 사서 가까워진 모양인데,,
25
53",💛 🖤,,25,53,[],https://twitter.com/lightmeup0830/status/1422525117645475846
서리얼 시리즈,@sur_real_series,2021-08-03T11:09:26.000Z,"서리얼 시리즈
@sur_real_series
·
8월 3일","사장이 초보라 … 택배 박스를 잘못 시켜서 당분간 꽤 큰 박스에 과대포장되어(ㅠㅠ) 배송됩니다 너그러이 봐주세요… 오늘은 일요일 주문건 배송하였고, 월요일과 오늘 주문건은 내일 배송할 예정입니다. 송장은 밤 사이에 입력해둘게요!
1",🥲,,,1,[],https://twitter.com/sur_real_series/status/1422514942784143360
크루아상,@croissant13cm,2021-08-13T03:40:35.000Z,"크루아상
@croissant13cm
·
8월 13일","아 근데 오늘 꿈에서 부자 중년 여성과 애인사이? 됨 그래서 사람들이 막 수근수근 거리는 그런 꿈 꿨어
1
3",,1,,3,[],https://twitter.com/croissant13cm/status/1426025868342697988
ᗢ is ia,@aizhatwt,2021-08-09T01:02:54.000Z,"ᗢ is ia
@aizhatwt
·
8월 9일","너도 언젠가 날 잊게 될까
지금 표정과 오늘의 향기도
단잠 사이에 스쳐간
봄날의 꿈처럼",,,,,[],https://twitter.com/aizhatwt/status/1424536633332797444
PP/프감,@Nha_XV__,2021-08-15T13:58:20.000Z,"PP/프감
@Nha_XV__
·
8월 15일","오늘은 겜 좀 해야지 그림과 게임사이에서 매일 11342908412번 고민함
1
4",🐣 🐣,1,,4,[],https://twitter.com/Nha_XV__/status/1426906105414766597
김쩨,@shell_pink_,2021-08-10T17:54:18.000Z,"김쩨
@shell_pink_
·
8월 11일","여러분...저 오늘부터............ 체리님과.......그렇고 그런 사이입니다. 체리님의가족관계란에 영구 상해를 입혔지 뭐에요

체리님 : ? 결혼하잔 말은 없엇잖아요
그치만
김체리
@Cherry_1618
 · 8월 11일
@shell_pink_ 님에게 보내는 답글
어머..어머.......#가보자고
1",🌻 🍒,,1,,['https://pbs.twimg.com/profile_images/1438520347620298760/qIwXxWFd_mini.jpg'],https://twitter.com/shell_pink_/status/1425153548992483328
ninetwoseven,@nine_two_seven,2021-08-01T17:47:08.000Z,"ninetwoseven
@nine_two_seven
·
8월 2일","오늘의 김서형과 과거의 김서형 사이 서사가 자연스럽다. 이것은 미래에 대한 동 력인 만큼 축복이다.

- 데이즈드 코리아 -

What was her comment?
1
1",,1,1,,[],https://twitter.com/nine_two_seven/status/1421890251287515139
홍레테,@clenovelvet,2021-08-02T11:55:15.000Z,"홍레테
@clenovelvet
·
8월 2일","그냥 오늘 하루 놀아버리고 싶은 마음과... 8월 12일자까지 꽉 채워놓은 투두메이트의 계획들을 하나하나 뒤로 옮겨야 하는 번거로움 사이에서 갈등하며...
7",,,,7,[],https://twitter.com/clenovelvet/status/1422164084842135555
제이,@HWEGS13,2021-08-15T11:27:26.000Z,"제이
@HWEGS13
·
8월 15일","지금 이 며칠 사이 애들 부상 소식과 오늘 크게 다칠 뻔한 것만 보니까 너무 아찔해짐.
2",🦅 🧡,,,2,[],https://twitter.com/HWEGS13/status/1426868129183846402
