UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
대한항공,@KoreanAir,2021-08-18T06:23:24.000Z,"대한항공
@KoreanAir
·
Aug 17","시원 달콤한 맛으로 한국인의 입맛을 사로잡으며 한국으로 수출된 V-커피 ‘콩카페’!

무더운 거리를 거닐다 들어간 콩카페에서의 시원한 커피 한 모금에서 느껴진 짜릿함

객실승무원 김새롬님이 찍은 달달한 코코넛 커피 사진과 함께 지난 여행의 추억을 같이 떠올려봐요

By KE Kreator 김새롬
1
4
25",😚 ✈ 🎥,1,4,25,['https://pbs.twimg.com/media/E9DXCRYVUAYtbdJ?format=jpg&name=small'],https://twitter.com/KoreanAir/status/1427878781792911369
chelba,@xFwLYtiGL04SdeQ,2021-08-25T14:36:22.000Z,"chelba
@xFwLYtiGL04SdeQ
·
Aug 25","이밤에 퇴근도 못하고 콩 볶는 카페 지박령 ㅜㅜ
1
2",,1,,2,['https://pbs.twimg.com/media/E9pMJCpVcAMJv7X?format=jpg&name=900x900'],https://twitter.com/xFwLYtiGL04SdeQ/status/1430539553073369093
,@OnIyJAEMlN,2021-08-22T12:38:57.000Z,"@OnIyJAEMlN
·
Aug 22","용산 열정도 두화당

두가 들어가는 카페 답게 콩을 응용한 메뉴가 돋보이는 카페…

유기농보리디카페인커피와 얼그레이두유바나나케이크? 시켰는데

커피에서 보리차 맛이 나는 특별한 경험이었어요
케이크는 식감이 떡같았음..!

근처에 오면 한 번쯤 들를만한 카페같아요

#나나의_맛집탐방기
2",💛 📍,,,2,"['https://pbs.twimg.com/media/E9ZUfgqVUAQ0Aof?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ZUfgqVEAAXBtK?format=jpg&name=360x360']",https://twitter.com/OnIyJAEMlN/status/1429422843029192704
요일,@yoilchoi,2021-08-13T11:53:12.000Z,"요일
@yoilchoi
·
Aug 13","전에 카페바닥신기해서 물어봤는데 콩자갈 시공이래…..안궁금하겠지만….이것도 너무심심해서그만 올려버리고말았네
10
35",,,10,35,"['https://pbs.twimg.com/media/E8qzsI8VUAIjEnW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8qzsI9VEAMY5sG?format=jpg&name=360x360']",https://twitter.com/yoilchoi/status/1426149836387020807
와구,@j218_Ho,2021-08-13T08:03:38.000Z,"와구
@j218_Ho
·
Aug 13","ㅋ... 콩순이 카페 와서 
해먹이나 타고 있음
1
2",,1,,2,['https://pbs.twimg.com/media/E8p_K3cVcAAbl3h?format=jpg&name=small'],https://twitter.com/j218_Ho/status/1426092065574715395
김지구,@littlemc6,2021-08-11T05:53:36.000Z,"김지구
@littlemc6
·
Aug 10","배불러
맛있는데 좀 짜다
그냥 콩카페 갈껄 그랬나..
1
1",,1,,1,"['https://pbs.twimg.com/media/E8fOOVpVoAc2Zut?format=jpg&name=small', 'https://pbs.twimg.com/media/E8fOOVnVgAAToIO?format=jpg&name=small']",https://twitter.com/littlemc6/status/1425334566223372297
한국어 한 조각 A Piece of Korean,@KoreanPiece,2021-08-11T00:18:17.000Z,"한국어 한 조각 A Piece of Korean
@KoreanPiece
·
Aug 10","여러분은 별다방 콩다방 들어 보셨어요?ㅋㅋㅋㅋㅋㅋ스타벅스니까 '별' 다방, 커피빈이니까 '콩(bean)' 다방이에요 ㅋㅋㅋ 다방은 카페의 예스러운 말 (요즘은 잘 안 써요)
1
9",⭐,1,,9,['https://pbs.twimg.com/media/E8eBePwVkAUkZj6?format=jpg&name=small'],https://twitter.com/KoreanPiece/status/1425250181251928067
러너 / 이오이 6호팬,@runner7621,2021-08-20T12:03:29.000Z,"러너 / 이오이 6호팬
@runner7621
·
Aug 20","베트남 코코넛 커피 먹고 싶다.. 메가커피꺼 맛없어... 콩카페 가고싶다..
3",,,,3,[],https://twitter.com/runner7621/status/1428689140808175621
뀰 ꪔ̤̮,@kkyulnim,2021-08-21T15:01:22.000Z,"뀰 ꪔ̤̮
@kkyulnim
·
Aug 21","미니스톱 콩카페 아포가토 마시당
1",,,,1,[],https://twitter.com/kkyulnim/status/1429096294673358852
나리,@Nari_DR,2021-08-04T09:24:03.000Z,"나리
@Nari_DR
·
Aug 4","아니 굿즈 늘어놓고 찍느라 카페에서 내내 그냥 목에걸고 (사람없고 안움직였음) 있었는데 나가려는데 딱콩ㅇ이가 그거 걸고 나갈거냐는거야 진심 기절할뻔 놀라서
1
4",,1,,4,['https://pbs.twimg.com/media/E777Q8rVkAEExDI?format=jpg&name=small'],https://twitter.com/Nari_DR/status/1422850812938579971
콩,@mypuppyboi,2021-08-16T06:30:51.000Z,"콩
@mypuppyboi
·
Aug 15","성수 서울앵무새 

- 로투스 시나몬롤
- 티라미수 시나몬롤
- 서울라떼
- 디종 스트로베리 블랙티

접시꾸미기... 예전이나 지금이나... 그거 어떻게 잘하는 거묘? 아무튼 시나몬롤 때문에 좋아하는 카페! 웨이팅이 길다 늘.. 반짝고양이랑♡ 
@newfrutips
#손영재_콧구멍_커지겠지
#콩_다녀감_야호
14
7",🍃 🦜,,14,7,"['https://pbs.twimg.com/media/E85GsjSVIAoDhiM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E85GsjSUYAIuUzE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E85GsjRVIA4tr8d?format=jpg&name=360x360']",https://twitter.com/mypuppyboi/status/1427155879623684096
콩이,@shy809_1123,2021-08-08T11:38:05.000Z,"콩이
@shy809_1123
·
Aug 8","오늘하루도 카페후기와 영통후기로 대리만족중인 콩이… o̴̶̷̥᷅⌓o̴̶̷᷄   정말 감사해요
2",💜,,,2,['https://pbs.twimg.com/media/E8RATwnVgAo2FKQ?format=jpg&name=240x240'],https://twitter.com/shy809_1123/status/1424334093836165133
콩,@mypuppyboi,2021-08-21T03:35:04.000Z,"콩
@mypuppyboi
·
Aug 20","샌디 비치 베이크 하우스 

- 바닐라 쉬폰 케이크
- 초코 크랙 쿠키
- 카페 라떼 (오트 밀크로 변경)

야외 좋아 루프탑 좋아 인간에게는 3층 건물 전부 테라스가 있어서 좋았던 카페!! 크랙쿠키 짱 맛있음!! 초초랑 지리는 데이뚜 했어요 
@sxngzicom
 

#손영재_콧구멍_커지겠지
#콩_다녀감_야호
1
6",🍃 🍰,1,,6,"['https://pbs.twimg.com/media/E9SOaWFVIAAjUwX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9SOaYaVoAMjfeI?format=jpg&name=360x360']",https://twitter.com/mypuppyboi/status/1428923582281752577
천사님 모시는 콩땅,@Kkoa_koa,2021-08-19T13:51:08.000Z,"천사님 모시는 콩땅
@Kkoa_koa
·
Aug 19","아무말인데 콩님 카페썰 풀어도 되나요?
1
1",,,1,1,[],https://twitter.com/Kkoa_koa/status/1428353845499883522
ℛedℬell,@redbell84,2021-08-14T08:07:07.000Z,"ℛedℬell
@redbell84
·
Aug 14","오늘행앗은몇시부터인가...
나 꿈에 카페서 콩님만나써
1
1",,,1,1,[],https://twitter.com/redbell84/status/1426455331572355075
수업재등록하기←얘 갓생사는 여친,@D_inflict,2021-08-05T23:12:47.000Z,"수업재등록하기←얘 갓생사는 여친
@D_inflict
·
Aug 5","콩카페 커피가 ㄹㅈㄷ였네.,,스벅 아메리카노먹는데 노맛.,,물론 학원에잇는카누보단나음
1",,,,1,[],https://twitter.com/D_inflict/status/1423421758472785921
빵꾸똥꾸 감나무,@tadongsa,2021-08-26T12:16:13.000Z,"빵꾸똥꾸 감나무
@tadongsa
·
Aug 26",콩카페코코넛카카오 넘...맛잇어,,,,,[],https://twitter.com/tadongsa/status/1430866672269750273
,@borigood,2021-08-01T05:43:13.000Z,"@borigood
·
Jul 31",드뎌 블로그 썼다 .. ♡︎ 적니카페 짧은 후기도 살짝콩야 .. ,🍬 🍧,,,,[],https://twitter.com/borigood/status/1421708075497451520
찜쨈,@steamed_jam,2021-08-07T14:50:48.000Z,"찜쨈
@steamed_jam
·
Aug 7",일 때문에 동물 카페 갔다가 콩이에게 혼나는 청려 보고 싶다..,,,,,[],https://twitter.com/steamed_jam/status/1424020203159969793
