UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
푸랑캔 1203 낮 홍,@theatre_hong,2021-08-01T13:56:31.000Z,"푸랑캔 1203 낮 홍
@theatre_hong
·
8월 1일","움 맞다 나 오늘 덩생이랑 맛난 거 먹음 ~.~ 더키친750
1",,,,1,"['https://pbs.twimg.com/media/E7tc23vVoAM3NXp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7tc23xVkAIHKpJ?format=jpg&name=360x360']",https://twitter.com/theatre_hong/status/1421832218515677184
sero,@serodozer,2021-08-26T07:27:10.000Z,"sero
@serodozer
·
8월 26일","엉클인더키친
5
27",,,5,27,"['https://pbs.twimg.com/media/E9szfDzVoAAgTeu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9szfDyVEAEgjST?format=jpg&name=360x360']",https://twitter.com/serodozer/status/1430793930396688386
𝐎𝐍𝐋𝐘 스바 𝐋𝐄𝐅𝐓,@xpurinrinx,2021-08-14T14:31:02.000Z,"𝐎𝐍𝐋𝐘 스바 𝐋𝐄𝐅𝐓
@xpurinrinx
·
8월 14일","루이지 앤 쁠로우싴 쿠킹 인 더 키친
1
4",,,1,4,['https://pbs.twimg.com/media/E8whb4iVkAsyx0b?format=jpg&name=small'],https://twitter.com/xpurinrinx/status/1426551947318812672
JHONDOE,@JHONDOE_00,2021-08-08T01:56:19.000Z,"JHONDOE
@JHONDOE_00
·
8월 8일",플뤀인더키친 조회수가 줄은거 같은데? 떼잉,😠,,,,[],https://twitter.com/JHONDOE_00/status/1424187685539762176
곰돌이 푸우우의 Lifestyle,@mike8283,2021-08-04T22:21:39.000Z,"곰돌이 푸우우의 Lifestyle
@mike8283
·
8월 5일",히든베이호텔 - 비치 가든 셀프 바베큐 후기 (우천시 더키친) http://blog.naver.com/mike8283/222456612687…,,,,,[],https://twitter.com/mike8283/status/1423046503422038018
닮은살걀,@Hypoxic_blue,2021-08-23T15:40:25.000Z,"닮은살걀
@Hypoxic_blue
·
8월 24일","비카가 없어진 건 넘나 충격이다
그럼 경영대 그 더키친인가 뭔가도 없어졋니??
1
2",,1,,2,[],https://twitter.com/Hypoxic_blue/status/1429830897092595712
김살구,@kimsalgu_kv,2021-08-08T11:09:20.000Z,"김살구
@kimsalgu_kv
·
8월 8일","섹수인더키친 저 가방끈 제법 긴 편
김살구의 질문함입니다
질문/답변은 여기
peing.net
4",,,,4,['https://pbs.twimg.com/card_img/1440693047579213835/dAH3aYp_?format=jpg&name=small'],https://twitter.com/kimsalgu_kv/status/1424326860389830657
𝑴𝒂𝒚𝒐,@mayo_ccoli,2021-08-22T09:50:02.000Z,"𝑴𝒂𝒚𝒐
@mayo_ccoli
·
8월 22일","근데 러브인더키친 보다가 종채여신 넘어가서 그런가 졸라 힐링되는즁.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ35부작 돌아버리는줄 알았다며...~.~
1
1",,1,,1,[],https://twitter.com/mayo_ccoli/status/1429380331749007366
카레(즈)마스터(겉티부속펨),@curry_master_,2021-08-26T09:24:13.000Z,"카레(즈)마스터(겉티부속펨)
@curry_master_
·
8월 26일","죄송해요 제가 카레집을 차릴거라 경쟁상대를 홍보하긴 좀 
농담이고요 

상호명은 홍대 더 키친 아시아 인도입니다
@zvaknon 으로 계이
@Zvakchi
 · 8월 26일
상호명 알고 싶다... twitter.com/curry_master_/…
1
3
4",💥,1,3,4,['https://pbs.twimg.com/profile_images/1434833642816114695/eXPt1gxE_mini.jpg'],https://twitter.com/curry_master_/status/1430823385466957827
선불폰팅 하는방법 24시간 지역폰팅 원나잇 지역만남,@qebibohefu,2021-08-28T19:03:16.000Z,"선불폰팅 하는방법 24시간 지역폰팅 원나잇 지역만남
@qebibohefu
·
8월 29일","폰팅 송도선불폰팅 김해060 포항기혼 대구북구폰팅 함안앱 예산섹파후기 수동면몸짱 금호마을역성상담 충남천안전기판넬 소주동안내지 답례품 써지 더밴드 방수윤 선정릉 임경빈 창밖에 기두 더키친 로드킹 아티스 조리화 팀패치

 프로필 참조ZRPR",🇺,,,,[],https://twitter.com/qebibohefu/status/1431693883348426754
이코노믹리뷰,@erissue,2021-08-06T02:40:10.000Z,"이코노믹리뷰
@erissue
·
8월 6일","CJ제일제당 ‘CJ더키친’, 디지털 쿠킹 스튜디오로 새단장
CJ제일제당 ‘CJ더키친’, 디지털 쿠킹 스튜디오로 새단장 - 이코노믹리뷰
[이코노믹리뷰=전지현 기자] CJ제일제당은 서울 중구 CJ제일제당센터 1층 ‘CJ더키친’을 기존 오프라인 쿠킹클래스 공간에서 온라인 콘텐츠 제작에 최적화된 ‘디지털 쿠킹 스튜디오’ 형태로 리뉴얼했다고 6일 ...
econovill.com",,,,,['https://pbs.twimg.com/card_img/1437884812052733952/4dFUwdeN?format=jpg&name=240x240'],https://twitter.com/erissue/status/1423473946301669377
LICO (F4F 맞팔 相互 互fo 100%),@livecore,2021-08-22T11:02:41.000Z,"LICO (F4F 맞팔 相互 互fo 100%)
@livecore
·
8월 22일",더키친 무속인 영동읍 임블링 남항 천사몽 김원용 블룸걸 수암봉 왜불러 통조림 원감 김선화 밀착썰 새타투 이재룡 편집할 쿠온 골프룩 롤정글 순정만 조성된 행림침 차정보 윤지원 북적 백년사 내슈빌 시래기 선팔 #F4F #맞팔 #相互 フォロバ 100%,,,,,[],https://twitter.com/livecore/status/1429398615819268102
