UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝘼𝙋𝙋𝙇𝙀,@APPLEISUU,2021-08-07T02:32:37.000Z,"𝘼𝙋𝙋𝙇𝙀
@APPLEISUU
·
8월 7일","혹시 오늘도 브이앱 해줄거니? 두근두근
5
13",🍎 🍏,,5,13,"['https://pbs.twimg.com/media/E8J53HiVoAM8JCY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8J53kHVkAAjn1Q?format=jpg&name=360x360']",https://twitter.com/APPLEISUU/status/1423834434478899203
집사,@Corn_Silk_Tea,2021-08-02T12:07:43.000Z,"집사
@Corn_Silk_Tea
·
8월 2일","오늘도 감사한 ♡언럭키즈님♡ 마스터링으로 <찰나를 기록하는 수정> 분들과 함께 카레라이스 갑니다 ㅠㅠㅠㅠ 너무너무 궁금햇던 시날이라 두근두근해요 ㅇ//ㅇ!!
1
5",🧐 🎗,1,,5,['https://pbs.twimg.com/media/E7yNaCCVgAgAoEo?format=jpg&name=small'],https://twitter.com/Corn_Silk_Tea/status/1422167222856818700
매일준영하기,@CHOI_H_G,2021-08-02T08:04:15.000Z,"매일준영하기
@CHOI_H_G
·
8월 2일","21.08.02 #이준영 #LeeJunYoung #행복
.
준영이 키링제작완료!
굿즈가 너무 가지고싶었는데ㅠㅠㅠ 에코백이나 텀블러나 준영이 응원봉 기타등.. 주문만 했는데 끼고다닐생각하니 두근두근하고 좋다
준영이 웃는것만 봐도 너무 좋다
오늘도 행복하다
1
4",❤,,1,4,['https://pbs.twimg.com/media/E7xV04AUYAEfrMb?format=jpg&name=900x900'],https://twitter.com/CHOI_H_G/status/1422105953449627648
UK♡찐친T(∵)예쁜윤호는사랑받기위해태어난사람,@yorujungYH,2021-08-03T14:03:35.000Z,"UK♡찐친T(∵)예쁜윤호는사랑받기위해태어난사람
@yorujungYH
·
8월 3일","안녕 윤호야〜

책디스아웃에 함께 출연한 아이들이
윤호의 사진이나 동영상을 올려줄 때마다
숨을 삼킬 정도로 설레거든요

매일 윤호의 사진이나 영상을 보는데
그래도 두근두근해요

윤호의 매력은 무한입니다

오늘도 수고했어요 
사랑해요
잘 자용

#윤호야_찐친_어디_안가고_여기있다
21
46",✨ 💛 🌟 🐰 🌙,,21,46,['https://pbs.twimg.com/media/E73xqH4UcAIHScx?format=jpg&name=medium'],https://twitter.com/yorujungYH/status/1422558769163210757
にこ,@mekara8,2021-08-07T20:40:32.000Z,"にこ
@mekara8
·
8월 8일","#굿모닝_우리_왕자님
#려욱버블 
#RYEOWOOK 
#폴리도리 

령구~ 굿모닝
오늘 아침의 기분은 어떠세요
난 두근두근 합니다
려욱씨의 폴리도리 첫공
축하합니다

려욱씨 답다 폴리도리을 
너무너무 기대돼요
난 여기에서 응원 하고 있어요 
오늘도 우리 같이 가자
3
14",☀ ❓ 💓 🎉 🎉 ❣ 💙 💙,,3,14,"['https://pbs.twimg.com/media/E8Ny3xoVoAABZH8?format=jpg&name=small', 'https://pbs.twimg.com/media/E8Ny30qVkAEWzF9?format=jpg&name=small', 'https://pbs.twimg.com/media/E8Ny34kVkAEZyBe?format=jpg&name=small']",https://twitter.com/mekara8/status/1424108216607072257
유삼사,@luv_yj34,2021-08-07T17:28:37.000Z,"유삼사
@luv_yj34
·
8월 8일","#속닥댕닥
벌써부터 두근두근 장난아이다…오늘도 반짝반짝 빛날 언니의 모습이 눈 앞에 선명하게 그려지는 듯해 너어무 보고싶다 그래두 좀있으면 볼 수 있으니까!!! 나도 얼른 자야겠네~~ 아무 걱정하지 말구 푹 자요 좋은 꿈 꾸기 굿나잇 울유정
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
1",🥺 🌙 🐶 💕,,1,1,[],https://twitter.com/luv_yj34/status/1424059921255911424
にこ,@mekara8,2021-08-02T20:34:19.000Z,"にこ
@mekara8
·
8월 3일","#굿모닝_우리_왕자님
#려욱버블 
#RYEOWOOK 
#폴리도리

령구~ 굿모닝
연습풍경의 사진 밨어요
드디어구나라도 생각하다 
두근두근 합니다 

난 여기에서 응원 하고 있어요 
언젠가 반드시 
online에서 볼 수 있게…
오늘도 행복한 시간 되세요 
우리 같이 가자
4
21",☀ 👀 🙏 💙 💙,,4,21,"['https://pbs.twimg.com/media/E70BgJSVEAk-u4z?format=jpg&name=small', 'https://pbs.twimg.com/media/E70BgK_VEC84PZp?format=jpg&name=small']",https://twitter.com/mekara8/status/1422294716066893840
해맑은조증동우,@bluemarine_u,2021-08-15T03:51:59.000Z,"해맑은조증동우
@bluemarine_u
·
8월 15일","헬로 광연~ 오늘도 내가 왔드아!!!
이번 여름휴가 무탈하게 잘 보낼 수 있도록 해주세요 규월하님 울 광화문연가 팀도 무사히 공연 마칠 수 있도록 사랑해요 김성규 예당 도착쓰 두근두근 기대기대 오늘도 규야 볼 생각에 설렙니다잉~ 엄명우 규월하 페어 첫 관람,, 후 시간아 빨리 지나랏
1
6",🌱 🙏 💜 💜 🐹 😎 🤨,,1,6,['https://pbs.twimg.com/media/E8zYvwTUYAATNin?format=jpg&name=small'],https://twitter.com/bluemarine_u/status/1426753510985453569
부추,@boochu0,2021-08-15T01:53:09.000Z,"부추
@boochu0
·
8월 15일","허르대박 오늘도 촬영하다니..,,두근두근해욘... 꾸욱 참는 익명깅 착햐
부추의 질문함입니다
질문/답변은 여기
peing.net
9
15",💕,,9,15,['https://pbs.twimg.com/card_img/1440960484149108738/sfkyzUe3?format=jpg&name=small'],https://twitter.com/boochu0/status/1426723604138369033
이구미,@watwatau,2021-08-12T00:10:45.000Z,"이구미
@watwatau
·
8월 12일","#오늘의브윈 

샘들 오늘도 굿모닝입니다~
오늘 목요일이예요!!
새벽전쟁을 했더니 피곤이ㅋ(내일 카페를.
두근두근!! 기분좋게 스게더로! 시작을 해보겠습니다 (오늘은 쉬니까 아침부터 투스게더 틀고  마들렌 만들기 시작을 해보겠어여ㅎ 쌤들 오늘 하루도 쑤쑤나
#BrightWin #ไบร์ทวิน
5
22",💚 🔆 🐰 🔥 ✨ 🔥 💓,5,,22,['https://pbs.twimg.com/media/E8jJWjcUUAQGhIH?format=jpg&name=small'],https://twitter.com/watwatau/status/1425610673883467776
