UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
먼지◡̈,@somj_02,2021-08-16T08:13:05.000Z,"먼지◡̈
@somj_02
·
Aug 16","#ㄷㅂㅇㅈ 드디어 초필살돼지구이 .ᐟ.ᐟ.ᐟ.ᐟ 
가좍들도 다들 맛저 (다른 포카들도 가져왔으면서 숙소에 냅다 던져두고 온 바보.. -.-
6
40",➰ 💗,6,,40,['https://pbs.twimg.com/media/E85eF8VUUAMWXy9?format=jpg&name=small'],https://twitter.com/somj_02/status/1427181608369483778
또이,@4inlovewithdh,2021-08-02T10:35:07.000Z,"또이
@4inlovewithdh
·
Aug 2","초필살 돼지구이 접.완 ~
1
2",,,1,2,"['https://pbs.twimg.com/media/E7x4WFyVEAQyz_c?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7x4WJ0UUAUMWXd?format=jpg&name=360x360']",https://twitter.com/4inlovewithdh/status/1422143919400226822
치코,@G1ven0rTaken,2021-08-25T03:56:32.000Z,"치코
@G1ven0rTaken
·
Aug 24","#성훈이_입속으로_트리플악셀 
#선우도_가고싶어하는_맛집 

광안리 초필살 돼지구이

돼지껍데기가... 정말 미쳤어요 ㅋ
5
10",🤍 😎 👍 👍,,5,10,['https://pbs.twimg.com/media/E9m5rXgVkAM8O4l?format=jpg&name=small'],https://twitter.com/G1ven0rTaken/status/1430378533826666503
KH 천앓୧⍢⃝୨,@chenle_page,2021-08-29T12:53:05.000Z,"KH 천앓୧⍢⃝୨
@chenle_page
·
Aug 29","#천러야_이거_먹기좋아 
초필살 돼지구이 광안직영점

˗ˋˏ돼지껍데기ˎˊ˗가 정말 너무너무 맛있다..♡ 단 거 별로 안좋아하는 나는 막국수랑 고기 찍어먹는 소스가 좀 달긴했지만 그래도 맛있었음 정말 이제 다른 고깃집 돼껍은 못머거
2
14",🌈 🚩 🤤 😭,,2,14,['https://pbs.twimg.com/media/E99a2_9VUAAfhZw?format=jpg&name=small'],https://twitter.com/chenle_page/status/1431963112169566215
내나,@sy26wn,2021-08-27T06:07:31.000Z,"내나
@sy26wn
·
Aug 26","#ㄷㅂㅇㅈ #그거먹고_배가찬희
해운대 초필살 돼지구이
더비할인 받으려고 부산 간 사람... 할인기간도 얼마 안 남았는데 드디어
소문대로 껍데기 ㅁㅊㄴ(좋은뜻) 맞다",🤤,,,,"['https://pbs.twimg.com/media/E9xq2C8VkAISGy-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xq2C7UUAQRjYA?format=jpg&name=360x360']",https://twitter.com/sy26wn/status/1431136273545105412
수박,@MatenWelor,2021-08-28T17:15:34.000Z,"수박
@MatenWelor
·
Aug 28","#마크한테만공개 
하기에는 너무 유명한.. 초필살돼지구이
돼지껍데기가 정말 맛있었어요!!!퐈하핫 
찍어먹는 소스도 맛있어요!!
그리고 뒷고기도 맛있습니다 
꼬옥 가서 드셔보시길!!
1
2",,,1,2,"['https://pbs.twimg.com/media/E95NVhhVgAQl8x3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E95NVhiVkAAsJuM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E95NVhiVQAIfd7o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E95NVhhVEAIk9BA?format=jpg&name=360x360']",https://twitter.com/MatenWelor/status/1431666780393537538
어쭈..,@tbzuhzzu,2021-08-30T08:28:57.000Z,"어쭈..
@tbzuhzzu
·
Aug 30","#ㄷㅂㅇㅈ
초필살 돼지구이 드디어 왔다!!!
껍데기 넘넘 맛있닿
남편 할인 찬스도 야무지게~
The following media includes potentially sensitive content. Change settings
View
1
5",,1,,5,[],https://twitter.com/tbzuhzzu/status/1432259029376503809
차,@93II409,2021-08-23T03:27:54.000Z,"차
@93II409
·
Aug 22","초필살돼지구이 가고싶다 
미쳣다
1
1",,1,,1,[],https://twitter.com/93II409/status/1429646554005000194
Hana,@miin82014,2021-08-13T07:10:09.000Z,"Hana
@miin82014
·
Aug 13","#광안리 #초필살돼지구이 #껍데기
#맛집
1",❤,,,1,['https://pbs.twimg.com/media/E8py7YaVUAEKFgS?format=jpg&name=small'],https://twitter.com/miin82014/status/1426078607412137986
ⓢⓛⓞⓦ 쥬잉—̳͟͞͞♡,@Jyuing_115,2021-08-26T13:58:49.000Z,"ⓢⓛⓞⓦ 쥬잉—̳͟͞͞♡
@Jyuing_115
·
Aug 26","초필살돼지구이

나두 드뎌 초필살을 !!
껍데기 완전 쫄깃쫄깃 미친놈이에 ,,
뒷고기두 진짜 맛있구
애호박찌개두 짱이엇어요 ٩꒰｡•◡•｡꒱۶
결제할 때 주섬주섬 콜북 꺼내서 할인까지
야무지게 받앗답니다 초필살 체고 ♡

#ㄷㅂㅇㅈ
#이주연_난늘배고파_베베 
#맛있겠짛_주연앟
The following media includes potentially sensitive content. Change settings
View
2
5",📍,,2,5,[],https://twitter.com/Jyuing_115/status/1430892491096559618
