UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
휘요/태권도박람회 신청,@sophia_wgreen,2021-08-21T10:48:34.000Z,"휘요/태권도박람회 신청
@sophia_wgreen
·
8월 21일","얼큰이 칼국수와 엄마표 비건부침개
5
13",🥰,,5,13,"['https://pbs.twimg.com/media/E9Txo8iVcAg-o_W?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Txo8kUYAMn6na?format=jpg&name=360x360']",https://twitter.com/sophia_wgreen/status/1429032674060951555
,@wlsghks_27,2021-08-22T13:30:31.000Z,"@wlsghks_27
·
8월 22일","아이코닉 칭구들 맛난거 마니 마니 드세용
진환이두 맛있는거 마니 마니 먹구 인스타올려

망원 맛양값 - 물냉면, 얼큰 칼국수, 스테이크
망원 밤비 - 레드벨벳 케이크, 로투스 다쿠아즈
망원 미완성 식탁 - 초당옥수수 마카롱
명랑핫도그 - 로제핫볶이, 몬스따 따블 핫도그

#지나니_이거맛나니 
5
22",🌙 💖,,5,22,"['https://pbs.twimg.com/media/E9ZgSx1VoAUhAjI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ZgSzHVcAkPELy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ZgSxyVIAI8MjP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ZgSzFVkAQY4a9?format=jpg&name=360x360']",https://twitter.com/wlsghks_27/status/1429435820729987072
부들부들,@qnemf00,2021-08-03T04:01:01.000Z,"부들부들
@qnemf00
·
8월 3일","짜장밥~~~ 나빼고 가족들은 얼큰이 칼국수!!
1
5",,1,,5,['https://pbs.twimg.com/media/E71nun-VcAcPXP6?format=jpg&name=small'],https://twitter.com/qnemf00/status/1422407128464035843
,@iiiiin_b,2021-08-07T09:51:19.000Z,"@iiiiin_b
·
8월 7일","#배슐랭_혁이도유료야 
얼큰 순두부 메밀칼국수 !!! 약간 짬뽕맛 ?! 양이 진짜 많음 ,, 마싯엇다
1
3",🌰,,1,3,"['https://pbs.twimg.com/media/E8LeRaMUcAMhsxw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LeRaLUUAIweG9?format=jpg&name=360x360']",https://twitter.com/iiiiin_b/status/1423944835908526081
Love,@vlzkcb0824,2021-08-03T11:03:39.000Z,"Love
@vlzkcb0824
·
8월 3일","맛있는  저녁  되세요  경성대 얼큰이  칼국수
1",,,1,,['https://pbs.twimg.com/media/E73Id3fVcAQAdM9?format=jpg&name=small'],https://twitter.com/vlzkcb0824/status/1422513488472117254
낮달술달,@alcoholfighter,2021-08-18T10:26:19.000Z,"낮달술달
@alcoholfighter
·
8월 18일",한신치킨 (반포) 간판이 한신치킨 반원칼국수 붙어있는데 그냥 같은 업장임. 치킨 조각이 크고 딱 옛날에 먹던 치킨 맛이다. 그리고 치킨에 얼큰대합수제비 시켜서 같이 먹으면 개꿀.  치킨도 양 많고 수제비도 양 많은데 둘 다 포기할 수 없으니 둘 다 먹으면 됨. 고터역에서 반포한강공원 가는 방향.,,,,,"['https://pbs.twimg.com/media/E9EPxrCVIAIMOCr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EPxrDUYAA5s_p?format=jpg&name=360x360']",https://twitter.com/alcoholfighter/status/1427939910409887750
ちゃれら,@nowaymozzarella,2021-08-17T09:47:53.000Z,"ちゃれら
@nowaymozzarella
·
8월 17일","얼큰이칼국수에 쭈꾸미구이
먹고싶당
2",,,,2,[],https://twitter.com/nowaymozzarella/status/1427567850571452419
브와2 존버중인 이나,@ina_milkyway,2021-08-13T05:15:44.000Z,"브와2 존버중인 이나
@ina_milkyway
·
8월 13일","얼큰한 칼국수 호롭하니 기분이좀 낫네
3",🌌,,,3,[],https://twitter.com/ina_milkyway/status/1426049810763632645
러슽,@oO_rust,2021-08-10T16:12:15.000Z,"러슽
@oO_rust
·
8월 11일","쏟아지는 간증들에 현기증이 납니다••• 
얼큰 칼국수
볶음밥
기억할게요 ㅠ‿ㅠ
러슽
@oO_rust
 · 8월 11일
등촌 칼국수 먹어본 적 없는데 칼국수러버로서 맛이 정말 궁금해
1
1",,1,,1,['https://pbs.twimg.com/profile_images/1430731683003654157/TAJtZA6W_mini.jpg'],https://twitter.com/oO_rust/status/1425127864463073284
뚜it,@9O481OO4,2021-08-27T10:55:54.000Z,"뚜it
@9O481OO4
·
8월 27일",얼큰이 칼국수 맛있엉,,,,,[],https://twitter.com/9O481OO4/status/1431208847482392577
