UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
V LIVE,@Vliveofficial,2021-08-30T14:11:23.000Z,"V LIVE
@Vliveofficial
·
Aug 30","[#VLIVE] 크림 없는 쿠키 과자 VS 팥 없는 붕어빵이요... 저는 두개 다 받고 닭다리 없는 치킨에 김치 없이 먹는 라면, 꿀 없이 텅텅 비어있는 호떡까지 전부 상관없습니다 이런거 다 없어도 그냥 우리 쿤이만 있으면 행복지수 만땅인 인생이니까

 https://vlive.tv/video/261145

#2PM #투피엠
11
432
4.5K",⁉ ‼ 😤 💗 ▶,11,432,4.5K,"['https://pbs.twimg.com/media/E-Cz9NXVUAQhc6u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Cz9NWVgAETuBS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Cz9NZVQAQBMMr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Cz9NXVkAM-R2D?format=jpg&name=360x360']",https://twitter.com/Vliveofficial/status/1432345206402080778
tee,@milkiely,2021-08-30T14:06:50.000Z,"tee
@milkiely
·
Aug 30","이재현치킨이랑 진짜서먹해졋나봐..
젓가락도안들어 바로달려들지도않아..
지금내가다섭섭함
667
442",,,667,442,['https://pbs.twimg.com/media/E-C1VL_VgAkHpm1?format=jpg&name=small'],https://twitter.com/milkiely/status/1432344062355402763
ⓔⓤ...♡,@eu0426,2021-08-30T14:12:52.000Z,"ⓔⓤ...♡
@eu0426
·
Aug 30","차니는 치킨안먹꾸 춤추고잇엉
292
476",,,292,476,['https://pbs.twimg.com/ext_tw_video_thumb/1432345504361316353/pu/img/bYhDSqyDNh_4suSM.jpg'],https://twitter.com/eu0426/status/1432345578315284481
채포,@ITZYforever99,2021-08-30T12:46:28.000Z,"채포
@ITZYforever99
·
Aug 30","고매치킨 포카가 홀로그램일줄이야ㅠㅠ
너무 예쁘다ㅠㅠㅠ사길 잘한거같아ㅠ
2
321
769",💜,2,321,769,['https://pbs.twimg.com/media/E-Ci76-UUAcEfPb?format=jpg&name=small'],https://twitter.com/ITZYforever99/status/1432323834451881987
·ᴗ·,@1124_115913,2021-08-30T14:19:37.000Z,"·ᴗ·
@1124_115913
·
Aug 30","#쥬밀 

치킨 안 먹는 형 챙겨주기
130
147",,,130,147,['https://pbs.twimg.com/ext_tw_video_thumb/1432347146225811463/pu/img/k46K1tG_BmrgP6dL.jpg'],https://twitter.com/1124_115913/status/1432347277377433605
조이뿅 joypyonn,@joypyonn,2021-08-30T15:51:20.000Z,"조이뿅 joypyonn
@joypyonn
·
Aug 30","[RT이벤트]
네이버 시리즈에서  <대공님, 실수였어요!> 웹툰이 런칭되었습니다!
소설 삽화에 이어 작화를 맡게 되었습니다비비안과 대공님의 귀여운 러브스토리를 잘 부탁드려요!
https://series.naver.com/comic/detail.series?productNo=6529469…
RT추첨으로 두분께 치킨 기프티콘/문상 3만원권 보내드릴게요 (추첨 9/7)
9
1.8K
602",🌙 🎗 🎉 🎊 🎊 😊 🥳 🥳,9,1.8K,602,"['https://pbs.twimg.com/media/E-DMHLQVQAAZQJT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DMQPIVQAEIS6I?format=png&name=360x360', 'https://pbs.twimg.com/media/E-DMST7UUAMwE-V?format=png&name=360x360']",https://twitter.com/joypyonn/status/1432370360435941378
wabi,@_wabixx,2021-08-30T14:20:43.000Z,"wabi
@_wabixx
·
Aug 30","현제 나름 치킨전문간데 비닐장갑도 아예 안끼고 어디계속돌아다니길래 왜안묵노..와안묵노..햇는데 계획이 다 잇엇던모양.. 장갑낀남편이 잘 챙겨주네요~
16
28",,,16,28,['https://pbs.twimg.com/media/E-C4giWVkAQjdH-?format=jpg&name=900x900'],https://twitter.com/_wabixx/status/1432347554507755528
wabi,@_wabixx,2021-08-30T14:14:40.000Z,"wabi
@_wabixx
·
Aug 30","치킨먹여주는거 너무귀여워 …. ㅅㅂ
0:14
7.8K views
96
55",,,96,55,[],https://twitter.com/_wabixx/status/1432346030566084613
베라,@babyjmilkh,2021-08-30T14:13:10.000Z,"베라
@babyjmilkh
·
Aug 30","치킨 골라서 먹여주는거 봐 감동
From 
언더
28
12",,,28,12,['https://pbs.twimg.com/ext_tw_video_thumb/1432345048813694983/pu/img/YKc409qyiAWTSLiQ.jpg'],https://twitter.com/babyjmilkh/status/1432345653204504581
해산물모듬SLOW,@modeumtak,2021-08-30T13:14:49.000Z,"해산물모듬SLOW
@modeumtak
·
Aug 30","이벤트 이벤트 :) 
멘션으로 영상(화면녹화) 혹은 사진(참여이력전체캡쳐) 해주시면 참여완!

23일부터 31일까지 
all 투표(영탁-꼰대라떼,오케이를 포함)
인증을 해주신 분을 추첨하여
베스킨라빈스 아이스크림케이크 또는 치킨교환권
(택1)(2만5천원상당) 를 드립니다
(~˘▾˘)~𖤐 방법은 요기
19
12
41",🦪 👇 👇,19,12,41,"['https://pbs.twimg.com/media/E-CpZvRVgAIPY3H?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CpaqMVcAUTFHu?format=jpg&name=small']",https://twitter.com/modeumtak/status/1432330968858185732
미꾸,@namikku_JJ,2021-08-30T12:06:35.000Z,"미꾸
@namikku_JJ
·
Aug 30","그... 이거 전데요..... 못들었어요..... 세미나 있어서 대가리 깨고 있었는데.... 어빠가 치킨 줬나요....? 아......
2
11
21",,2,11,21,"['https://pbs.twimg.com/media/E-CZwj7VEAUszT9?format=jpg&name=small', 'https://pbs.twimg.com/media/E-CZzuIVkAcmuTd?format=jpg&name=360x360']",https://twitter.com/namikku_JJ/status/1432313797809557507
ᴄᴀᴛ ᴏɴ ᴛʜᴇ ɢʀᴀss,@catonthegrass,2021-08-30T21:44:12.000Z,"ᴄᴀᴛ ᴏɴ ᴛʜᴇ ɢʀᴀss
@catonthegrass
·
Aug 30","딸기맛 치킨 (?) 홍보대사
1
8",,,1,8,['https://pbs.twimg.com/media/E-EeAyuVIAEq-Nt?format=jpg&name=small'],https://twitter.com/catonthegrass/status/1432459162106023936
프롬,@9708O8,2021-08-30T14:07:42.000Z,"프롬
@9708O8
·
Aug 30","영훈이 치킨 냠냠 
75
61",🍗,,75,61,['https://pbs.twimg.com/ext_tw_video_thumb/1432344225811603460/pu/img/SPKFPyEk4lCZCtxN.jpg'],https://twitter.com/9708O8/status/1432344277326057472
히토,@hamtorr2,2021-08-30T14:10:07.000Z,"히토
@hamtorr2
·
Aug 30","ㅋㅋㅋㅋㅋ 주연이가 재현이 치킨 먹여줬어
0:04
3.7K views
89
81",,,89,81,[],https://twitter.com/hamtorr2/status/1432344889308504068
,@imyasuki,2021-08-30T14:13:44.000Z,"@imyasuki
·
Aug 30","주연이가 재현이한테 치킨줬네..
44
41",🍗,,44,41,['https://pbs.twimg.com/ext_tw_video_thumb/1432345756212494345/pu/img/eSjQwwTJavfRzyrl.jpg'],https://twitter.com/imyasuki/status/1432345795852857351
김먼지,@KMJ_2411,2021-08-30T14:08:28.000Z,"김먼지
@KMJ_2411
·
Aug 30","치킨먹으니까 갑자기 애기됨..
186
248",,,186,248,"['https://pbs.twimg.com/media/E-C1nUlUUAEo5ZI?format=png&name=360x360', 'https://pbs.twimg.com/media/E-C1oXaVgAUEDhz?format=png&name=360x360']",https://twitter.com/KMJ_2411/status/1432344472679895041
시쯔,@ssizzzz_,2021-08-30T14:24:40.000Z,"시쯔
@ssizzzz_
·
Aug 30","쥬연이 냅다 치킨부터집으니까
현제 슬쩍 쳐다보는거ㅋㅋㅋㅋㅋㅋ
저때까지도 본인맥여줄거라곤 생각도못했겠지
8
14",,,8,14,"['https://pbs.twimg.com/media/E-C5adEVQAIE9eP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-C5adEVEAEbihu?format=jpg&name=360x360']",https://twitter.com/ssizzzz_/status/1432348550201937921
운,@Novcm_,2021-08-30T14:07:24.000Z,"운
@Novcm_
·
Aug 30","치킨움냠냠
24
33",,,24,33,['https://pbs.twimg.com/ext_tw_video_thumb/1432344181758857221/pu/img/CUDZKdJ3t970iBFx.jpg'],https://twitter.com/Novcm_/status/1432344205653803014
젤라또,@gelatoyh,2021-08-30T14:07:31.000Z,"젤라또
@gelatoyh
·
Aug 30","영훈이 치킨 냠냠 
27
32",🍗,,27,32,['https://pbs.twimg.com/ext_tw_video_thumb/1432344200788410369/pu/img/CE3Kov3Pczbzlo7_.jpg'],https://twitter.com/gelatoyh/status/1432344232627376131
구공,@basketba115,2021-08-30T14:18:32.000Z,"구공
@basketba115
·
Aug 30","치킨으로 자연스럽게 휘파람 파트 추기 https://twitter.com/NodotELEVEN2/status/1432346751558578182/video/1…
35
53",,,35,53,[],https://twitter.com/basketba115/status/1432347005976678405
뮤재,@mujae913,2021-08-30T14:15:22.000Z,"뮤재
@mujae913
·
Aug 30","사랑이란... 치킨 한 쪽도 나눠먹는 그런 거지
0:14
12.6K views
From 
2주
1
44
38",,1,44,38,['https://pbs.twimg.com/ext_tw_video_thumb/1432345439437684747/pu/img/rDpxkanxblH23hkE.jpg'],https://twitter.com/mujae913/status/1432346209318883332
언더,@jj_hyun913,2021-08-30T15:58:01.000Z,"언더
@jj_hyun913
·
Aug 30","이즈연 치킨 우물냠냠 먹으면서 형 쳐다보고 잇는 거 왤케 귀엽냐
From 
현재쨈
13
19",,,13,19,['https://pbs.twimg.com/ext_tw_video_thumb/1432346817518182400/pu/img/xO7Z4AymKxl4T5Vm.jpg'],https://twitter.com/jj_hyun913/status/1432372039709462531
외계인,@whygayin,2021-08-30T13:20:04.000Z,"외계인
@whygayin
·
Aug 30","이때도치킨슘기지않앗엇나••
키위
@Kiweed_txt
 · Aug 30
볼에 머숨겻엏
 ㄴ치킨
1
15
41",,1,15,41,"['https://pbs.twimg.com/media/E-CqoCDUcAAnZ76?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1377639751914639365/Do3qOjQp_mini.jpg', 'https://pbs.twimg.com/media/E-Cnxl3VcAc_OIh?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E-CnxzJVEAQHvu1?format=jpg&name=120x120']",https://twitter.com/whygayin/status/1432332290135265283
류돌,@ryudoriii,2021-08-30T12:42:16.000Z,"류돌
@ryudoriii
·
Aug 30","아무리봐도 그냥 치킨 빨리먹고싶어서 오토바이 끌고다니는 캐릭터인듯
5
17",,,5,17,"['https://pbs.twimg.com/media/E-Ch-SAUcAcrGNb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Ch-SCUUAYy3M4?format=jpg&name=360x360']",https://twitter.com/ryudoriii/status/1432322777671892996
권무너♚,@STA_octopus1224,2021-08-30T15:31:30.000Z,"권무너♚
@STA_octopus1224
·
Aug 30","애들아 불법으로 보지말자. 소설 1권 커피숍 한 번 안 가면 살 수 있고 치킨 한 번 안 먹으면 세트 하나 가능인데 돈이 없으면 비쿠라도 열심히 모아서 사자. 비쿠면 1000원 할인이니깐 그래도 좀 싸다. 불법은 인간으로서 하지말자.
11
25",,,11,25,[],https://twitter.com/STA_octopus1224/status/1432365369314840587
