UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
앵무새 엉덩이,@NxNTWFl3CrrognG,2021-08-11T10:55:06.000Z,"앵무새 엉덩이
@NxNTWFl3CrrognG
·
8월 11일","#BrawlStarsArt #BrawlStars 엘프리모!
9
28",,,9,28,['https://pbs.twimg.com/media/E8gTPWiVkAEcZU7?format=jpg&name=small'],https://twitter.com/NxNTWFl3CrrognG/status/1425410438901092356
브롤스타즈 글로벌 한국 brawl stars korea,@sDhzYvYSxgdwQRG,2021-08-02T13:48:10.000Z,"브롤스타즈 글로벌 한국 brawl stars korea
@sDhzYvYSxgdwQRG
·
8월 2일","다이너마이크와 모티스는 한때의 친구와 적?!
엘프리모랑 로사는 같은 체육관에 당긴다?
이 점을 연결하여 이야기를 만들어 주십시오!
3
3",💣 🦇 🎭 ☘,3,,3,['https://pbs.twimg.com/media/E7yki4TUYAcx_9J?format=jpg&name=small'],https://twitter.com/sDhzYvYSxgdwQRG/status/1422192504976207872
핑꼬,@PinkJelly32,2021-08-02T14:19:42.000Z,"핑꼬
@PinkJelly32
·
8월 2일","공식은엘프리모그림을더내놔라
5",🌸,,,5,[],https://twitter.com/PinkJelly32/status/1422200439311802375
아르노,@qjatn328,2021-08-14T06:51:46.000Z,"아르노
@qjatn328
·
8월 14일","바운티에서 엘프리모라니
3",,,,3,[],https://twitter.com/qjatn328/status/1426436365235884038
REST 민!_!,@MIN_TWT_0613,2021-08-01T12:19:03.000Z,"REST 민!_!
@MIN_TWT_0613
·
8월 1일","엘프리모야 뭐야
𝙎𝘾𝙇𝘼𝙎𝙎
@classs_77
 · 7월 31일
이렇게 기분 ㅈ같은 세레머니는 첨이네;
이 스레드 보기",,,,,"['https://pbs.twimg.com/profile_images/1335640729360613376/ffTiXAUW_mini.jpg', 'https://pbs.twimg.com/media/E7n0NdNUUAI6aO6?format=jpg&name=small']",https://twitter.com/MIN_TWT_0613/status/1421807690355855360
김양덕,@KydBrawlstars,2021-08-15T06:18:20.000Z,"김양덕
@KydBrawlstars
·
8월 15일","아 배드랜덤스 챌린지 ㅋㅋㅋㅋ
방금 돌렸는데 4판 안지고 이겼는데 5번째에서 아군 엘프리모 잠수타고 다음판에 아군 스파이크가 계속 자살해서 jot되었어요.
7",,,,7,[],https://twitter.com/KydBrawlstars/status/1426790341965873153
김양덕,@KydBrawlstars,2021-08-05T17:33:18.000Z,"김양덕
@KydBrawlstars
·
8월 6일","쉘리 콜트 스파이크
로사 비 스프라우트
니타 레온 보
불 비비 크로우
파이퍼 발리 바이런
팸 제시 나니
페니 대릴 틱
재키 다이너마이크 칼
샌디 타라 진
콜레트 에드거 그리프
포코 엘프리모 엠버
엠즈 모티스 프랭크
게일 미스터P 루
맥스 서지 ?
러프스 스퀴크 ?

버즈 8비트 리코 스튜 브록 벨
1
8",,1,,8,[],https://twitter.com/KydBrawlstars/status/1423336321972539394
!멘드레이코!,@brawlstaralways,2021-08-15T15:21:31.000Z,"!멘드레이코!
@brawlstaralways
·
8월 16일","뇌피셜 브롤학교
애들한테 이상한거 가르치는 체육쌤 엘프리모
도덕쌤 파이퍼.얕보면 뒤짐
의외로 멀쩡한 과학쌤 바이런
기술선생님 팸(제시한테 미소듬뿍이여야함)

야구부의 실력좋은 양애치(?)비비
담요랑 한몸이 되어있는 근접수업째기달인 샌디
매점이랑 급식실 털어가는 레온&제시
1
2
14",,1,2,14,[],https://twitter.com/brawlstaralways/status/1426927039399940105
지배/감전,@Elctrocute20,2021-08-03T11:20:51.000Z,"지배/감전
@Elctrocute20
·
8월 3일","이 쇼파에 대한 tmi
1. 이거 10년 넘게씀

2. 이미 망가질대로 망가졌음
전에 나랑 동생이랑 엘프리모~ ㅇㅈㄹ하면서 뛰다가 매트릭스? 두는 판자하나 부러뜨림

3. 애들이 저기만 긁어놓음 그옆엔 멀쩡함
지배/감전
@Elctrocute20
 · 8월 3일
캣새끼들이 남기고 간 흔적

보고싶다 아가들...
1
2",⚡ ⚡,1,,2,"['https://pbs.twimg.com/profile_images/1440290429681876994/wkTsFbJG_mini.jpg', 'https://pbs.twimg.com/media/E723OAtVcAExmlu?format=jpg&name=small']",https://twitter.com/Elctrocute20/status/1422517817723686917
슽맄,@STBS_5231,2021-08-18T00:34:18.000Z,"슽맄
@STBS_5231
·
8월 18일","이제 봤네ㅎ 모티스 스파이크 엘프리모.
1",🎶,1,,,['https://pbs.twimg.com/media/E9CIR94VgAQ90-S?format=jpg&name=small'],https://twitter.com/STBS_5231/status/1427790926257164293
구름떡,@0dvmvb0,2021-08-18T15:00:04.000Z,"구름떡
@0dvmvb0
·
8월 19일","엘프리모
1
3",,,1,3,['https://pbs.twimg.com/media/E9FOYtSUUAolfM4?format=jpg&name=small'],https://twitter.com/0dvmvb0/status/1428008802394132480
동애,@dongae_Brst,2021-08-25T07:20:39.000Z,"동애
@dongae_Brst
·
8월 25일",아 빌런엘프리모 너무 잘생겻어 .......,👍,,,,['https://pbs.twimg.com/media/E9noYrzVEAQl_jN?format=png&name=small'],https://twitter.com/dongae_Brst/status/1430429901924880384
