UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
연모,@zhstntn,2021-08-27T07:31:29.000Z,"연모
@zhstntn
·
Aug 27","진홍빛 산호주
#천관사복 #天官赐福 #TGCF
2
1.2K
3.8K",,2,1.2K,3.8K,['https://pbs.twimg.com/media/E9x-EwsUUAEuODs?format=jpg&name=small'],https://twitter.com/zhstntn/status/1431157405002309635
watcha_kr,@watcha_kr,2021-08-17T12:00:01.000Z,"watcha_kr
@watcha_kr
·
Aug 17","코난의 모습이 아닌 본인의 모습으로
수학여행에 참가한 남도일(신이치)! 

도일이와 미란이의 러브라인에 가장 중요한 에피소드
⟨명탐정 코난: 진홍의 수학여행⟩ 8월 20일, 곧 왓챠에서!

#명탐정코난 #진홍의수학여행 #왓챠
2
90
21",💘,2,90,21,['https://pbs.twimg.com/media/E8_XcFTVcAA-luV?format=jpg&name=small'],https://twitter.com/watcha_kr/status/1427601103206567937
영감,@M_youngkam,2021-08-13T05:40:21.000Z,"영감
@M_youngkam
·
Aug 12","암흑보다 검고, 어둠보다 어두운 칠흑에,
나의 진홍이 섞이기를 바라노라
각성의 때가 왔으니
무류의 경계에 떨어진 이치여
무업의 일그러짐이 되어 나타나라

익스플로전!
1
11
21",,1,11,21,"['https://pbs.twimg.com/media/E8peX6tVIAEzae6?format=jpg&name=small', 'https://pbs.twimg.com/media/E8peX6uUcAU74ef?format=jpg&name=small']",https://twitter.com/M_youngkam/status/1426056005981335556
들소,@bison_pang,2021-08-23T15:52:59.000Z,"들소
@bison_pang
·
Aug 23","들소가 자캐 이름짜는법 

1. 캐릭터의 키워드를 영어로 가져와 그럴싸하게붙힌다.
ex)진홍빛 케르베로스캐인 크림슨은 신체를 공유 하는 개 임 ((페어 독))

2. 라틴어를 이용한다.
ex)특히동물들의 학명을이용한다.
아프리카 코끼리의 학명을 가져온 록소돈타.
1
11
45",⚡ ⚡,1,11,45,"['https://pbs.twimg.com/media/E9fKfLtVUA83bjK?format=jpg&name=small', 'https://pbs.twimg.com/media/E9fKfpsUcAks7KR?format=jpg&name=360x360']",https://twitter.com/bison_pang/status/1429834059136471042
그림과 썰푸는 아니스 아니스는 아니제트의 재료입니다^^,@DCMKanisePic,2021-08-15T07:27:41.000Z,"그림과 썰푸는 아니스 아니스는 아니제트의 재료입니다^^
@DCMKanisePic
·
Aug 15","명탐정코난 극장판 진홍의 연가에서 나온 핫토리 헤이지와 토야마 카즈하 #명탐정코난
3
9",🎨 📝,,3,9,['https://pbs.twimg.com/media/E80KIAaVgAIDm2N?format=jpg&name=900x900'],https://twitter.com/DCMKanisePic/status/1426807792711593986
잉여소녀/インヨ少女,@jojovegelove2,2021-08-18T14:44:27.000Z,"잉여소녀/インヨ少女
@jojovegelove2
·
Aug 18","고 고 렛츠고 진홍빛 머플러
3
5",🔥 🔥,,3,5,['https://pbs.twimg.com/media/E9FK3LPVoAAkx9Q?format=jpg&name=small'],https://twitter.com/jojovegelove2/status/1428004873836978178
코난 보는 계정,@conan_mmeo,2021-08-07T13:05:36.000Z,"코난 보는 계정
@conan_mmeo
·
Aug 7","(더빙) 코난 극장판 진홍의 연가

날아가는 코난 잡고 같이 강에 빠지는 헤이지
1:16
3.7K views
140
123",,,140,123,[],https://twitter.com/conan_mmeo/status/1423993731426918405
코드,@code_0105,2021-08-16T15:18:50.000Z,"코드
@code_0105
·
Aug 16","#화해하자_해화고등학교
#해화커
진홍삼이 오너였습니다~
러닝 수고하셨고 흔적 다 잡을게요!
5
26",😊,,5,26,['https://pbs.twimg.com/media/E86_jijVgAAF5lQ?format=jpg&name=medium'],https://twitter.com/code_0105/status/1427288752267743233
쓰레기,@V_ka_x,2021-08-17T21:59:35.000Z,"쓰레기
@V_ka_x
·
Aug 17","시잘 이비언니가 나 보물상자 배터지게맥여줫긔
진홍의옥수수도 먹여주고@
1
2",,,1,2,['https://pbs.twimg.com/media/E9Bk3dgVUAQXqlp?format=jpg&name=small'],https://twitter.com/V_ka_x/status/1427751990667350021
구롬,@dc_gurom,2021-08-03T00:36:46.000Z,"구롬
@dc_gurom
·
Aug 2","진홍보는중.. 아 개귀엽다ㅋㅋㅋㅋ
The following media includes potentially sensitive content. Change settings
View
1
9",,1,,9,[],https://twitter.com/dc_gurom/status/1422355728904331272
부케팔이맨두me(๑•̀ㅂ•́)و✧,@dumi_bjd,2021-08-19T13:53:17.000Z,"부케팔이맨두me(๑•̀ㅂ•́)و✧
@dumi_bjd
·
Aug 19","진홍아
예니
@yeni_0407
 · Aug 19
진홍이 
1
2",❄ 🍤 😆 😆 😆 💗 💗 💗 💗 💗 💗 💗 🌟 🌟 🥺 💕,1,,2,"['https://pbs.twimg.com/profile_images/1438887809473941507/vNMw1blq_mini.jpg', 'https://pbs.twimg.com/media/E9KIlWqUcAgglhQ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9KIolNUcAwvjtd?format=jpg&name=small']",https://twitter.com/dumi_bjd/status/1428354383381626881
ʜᴏɴɢ,@peterkanojo,2021-08-22T11:22:26.000Z,"ʜᴏɴɢ
@peterkanojo
·
Aug 22","진홍날! 진홍시!
1
29",❄ 🌰 🌰,1,,29,[],https://twitter.com/peterkanojo/status/1429403585981206529
명2,@honinhae,2021-08-24T04:09:20.000Z,"명2
@honinhae
·
Aug 23","코난 진홍의 수학여행 보겠다
6",,,,6,[],https://twitter.com/honinhae/status/1430019370097414173
sdlee,@Sr4u4u,2021-08-13T20:18:01.000Z,"sdlee
@Sr4u4u
·
Aug 13","우리의 죄가 주홍 같을지라도
진홍같을 지라도 예수님의 보혈로 양털같이 희게 될수 있습니다.
#TreasureInJesus
3
1
5",,3,1,5,[],https://twitter.com/Sr4u4u/status/1426276879720357888
시드,@seedmangani,2021-08-30T13:51:45.000Z,"시드
@seedmangani
·
Aug 30","김진홍,,,,킹진홍,,,,,갓진홍,,,,빛진홍,,,,,,,,,,,,
4",,,,4,[],https://twitter.com/seedmangani/status/1432340267344936961
하늘햇빛,@haneulhaetbit,2021-08-25T02:33:41.000Z,"하늘햇빛
@haneulhaetbit
·
Aug 24","진홍석 송시온 말할수 없을만큼 너무너무 사랑해!!
3",🧣 🩰 ⛅ 🧣 🩰 😭 ❤ ❤ ❤ ❤ ❤ ❤,,,3,[],https://twitter.com/haneulhaetbit/status/1430357684335775749
테크노 자연발생,@B_lue_Shoot,2021-08-18T03:08:12.000Z,"테크노 자연발생
@B_lue_Shoot
·
Aug 17","수건 꺼냈는데 안쪽에 진홍매비 학당 졸업 적혀잇어서 예고없이 웃음 공격 당함 ㅅㅂ
1
2",,,1,2,[],https://twitter.com/B_lue_Shoot/status/1427829656409968642
*,@___________0616,2021-08-05T19:39:28.000Z,"*
@___________0616
·
Aug 5","너와 나의 애틋한 연분도 
한망울 연연한 진홍빛 양귀비 꽃인지도 모른다.

유치환/ 행복
1
1",,,1,1,[],https://twitter.com/___________0616/status/1423368073239662593
