UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
세류,@Seryu_Revue,2021-08-13T10:29:29.000Z,"세류
@Seryu_Revue
·
Aug 13",철기시대인가?,🌜,,,,[],https://twitter.com/Seryu_Revue/status/1426128770654642176
One,@One121532,2021-08-22T11:13:38.000Z,"One
@One121532
·
Aug 22","야 그럼 구석기시대 귀신도 있겠네? 
철기시대 귀신도 있고?
말이 되는 소리를 해라~
하 진
@HaJin_sTAr
 · Aug 22
귀신을 안 믿는다고???
괴담도 있는 마당에
귀신이라고 없을 게 뭐 있냐??? twitter.com/One121532/stat…
1",,,1,,['https://pbs.twimg.com/profile_images/1429051912981073922/fwD4ylkZ_mini.jpg'],https://twitter.com/One121532/status/1429401371455868934
탈애니프사 농부,@urakirimono,2021-08-05T05:10:16.000Z,"탈애니프사 농부
@urakirimono
·
Aug 4",철물점 이름이 철기시대라니 이건 좀....,,,,,[],https://twitter.com/urakirimono/status/1423149332014923776
파울리 오너 아돈노아트레저너무이쁘죠,@horrrrrrrop,2021-08-07T07:04:11.000Z,"파울리 오너 아돈노아트레저너무이쁘죠
@horrrrrrrop
·
Aug 7","ㅎ ㅓ아;
저항군?
일단 수도권에 블랙아웃 나가고
전기공사 다 막히고요
철기시대로 돌아가라 인간들
2",,,,2,[],https://twitter.com/horrrrrrrop/status/1423902776975708165
빈어 스님,@your_venus,2021-08-04T16:10:49.000Z,"빈어 스님
@your_venus
·
Aug 4","아무리 맛있어도 가게 주인이 짜증나게 하면 다신 안 가는거고 그냥 수수한 밥집이어도 사장님이 좋으면 정에 끌려 여러번 가는거죠 섹스도 그런거죠 뭐 소추라고 엑씹퉷 하진 않는 것 같음 그랬던 것 같음(김스님의 철기시대이야기 중 발췌)
1
1
15",,1,1,15,[],https://twitter.com/your_venus/status/1422953178446794756
코뜬캔디,@wannabekb,2021-08-04T06:59:04.000Z,"코뜬캔디
@wannabekb
·
Aug 3","한국사 특징 : 철기시대까지만 어제본듯 생생함
1
4",,1,,4,[],https://twitter.com/wannabekb/status/1422814326725906432
타리,@tari_rain,2021-08-07T11:20:29.000Z,"타리
@tari_rain
·
Aug 7","저 은혼 열심히 하고 싶은데
요망한 철기시대가 저를 놔주지 않아요
3",😷,,,3,[],https://twitter.com/tari_rain/status/1423967274868776970
봄우뢰,@bobdylan318,2021-08-14T07:33:43.000Z,"봄우뢰
@bobdylan318
·
Aug 14","예전 철기시대에 용접기술이 있었더라면ᆢ이런 별생각이 다든다. 예전에도 이와 비슷한건 있었을텐데 ㅋ
4",,,,4,[],https://twitter.com/bobdylan318/status/1426446923599290372
[AZAR/람바르트] 알ㄷ벝냠냠이,@_azar,2021-08-22T23:38:03.000Z,"[AZAR/람바르트] 알ㄷ벝냠냠이
@_azar
·
Aug 22","아 철기도 아니엇네 저 갑자기 철기시대로 회기햇네
1",🍃 🍃,,,1,[],https://twitter.com/_azar/status/1429588711579160576
마방진,@Legion_200507,2021-08-01T08:10:32.000Z,"마방진
@Legion_200507
·
Aug 1","석기시대 청동기시대 철기시대처럼 지금은 플라스틱시대라는 말이 진짜 와닿는다
1
1",,1,,1,[],https://twitter.com/Legion_200507/status/1421745147549675520
라면칠7E,@Ramyeon77,2021-08-22T16:23:25.000Z,"라면칠7E
@Ramyeon77
·
Aug 22","한국사 잘 아는 사람들 너무 신기해
난 철기시대까지밖에 모르는데",,,,,[],https://twitter.com/Ramyeon77/status/1429479328778055685
고요한건,@boys_Iove_,2021-08-29T17:00:27.000Z,"고요한건
@boys_Iove_
·
Aug 29","한건원 데이드림 망했을때 원이가 철기시대 원나잇 거절하고 집에 가는 길에 참지 못하고 한건이한테 문자하는거 보고싶다 그냥
보고싶어…… 라고만 보내서 한건이 심장 쿵 떨어지는거",,,,,[],https://twitter.com/boys_Iove_/status/1432025364587446278
