UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
카소,@skz_casso_S2,2021-08-15T07:43:50.000Z,"카소
@skz_casso_S2
·
8월 15일","#리노는_배고파
#이리노_밥머거

북촌손만두 홍익대점

늦점이저
1",🖤,,,1,['https://pbs.twimg.com/media/E80N0s-VoAETExf?format=jpg&name=small'],https://twitter.com/skz_casso_S2/status/1426811858745364481
도지영,@dohjiyeong,2021-08-21T13:20:49.000Z,"도지영
@dohjiyeong
·
8월 21일","길 가다가 자기를 발견하고 신기한 도경수와 그런 복숭아를 귀여워하는 나~!
복숭아가 시키는 대로 든든하게 만두국 먹었죠^^ 역시 북촌손만두는 탁월한 선택이었어요~
#경수버블 #디오버블 #뚜뚜버블
2
31",,,2,31,"['https://pbs.twimg.com/media/E9UUeNFVkAU5kHo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UUfJKVcAQ1U-a?format=jpg&name=360x360']",https://twitter.com/dohjiyeong/status/1429070991091666945
코구스(공부하러감),@cloeeg_xx,2021-08-06T05:31:51.000Z,"코구스(공부하러감)
@cloeeg_xx
·
8월 6일","2시 반에 먹는 점심~~
오늘은 북촌에서 북촌손만두를 왓슴니다
냉면 냠냠굿~~ 다들 남은 하루 잘 보내세유~~
1
10",,1,,10,['https://pbs.twimg.com/media/E8FZS6PVkAIlJEh?format=jpg&name=small'],https://twitter.com/cloeeg_xx/status/1423517150912815107
만두 봇,@Dumpling_bot,2021-08-15T08:39:12.000Z,"만두 봇
@Dumpling_bot
·
8월 15일","만두 봇의 만두 맛집 정보⑤ :: 인사동 북촌손만두
만두 봇
@Dumpling_bot
 · 2016년 7월 23일
북촌손만두의 모듬만두(튀김만두, 찐만두, 굴림만두)와 얼큰만둣국입니다. 피냉면으로도 유명한 이 곳은 본점이 있는 인사동 외에도 많은 지역에 분점이 있어 찾아가기 용이하답니다.
1
4",,,1,4,"['https://pbs.twimg.com/profile_images/1232650001169309696/nlRarNBE_mini.jpg', 'https://pbs.twimg.com/media/CoBNQJZUIAAnk_T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/CoBNRaCWcAEvzaP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/CoBNQx8UkAAF61a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/CoBNSj4UkAE_oGu?format=jpg&name=360x360']",https://twitter.com/Dumpling_bot/status/1426825793368326145
티티산,@youleftmeheree,2021-08-17T03:53:49.000Z,"티티산
@youleftmeheree
·
8월 17일",북촌손만두에서 만두돈까스 나온다고해서 맛이 궁금해지는중 이건 정말 무슨 맛일까,⛰,,,,['https://pbs.twimg.com/media/E89sWzrVkBAtP2J?format=jpg&name=small'],https://twitter.com/youleftmeheree/status/1427478748199227424
채비,@1scoups__,2021-08-12T04:00:15.000Z,"채비
@1scoups__
·
8월 12일","북촌손만두 피냉면 땡긴드아 
그러나돈은없규",,,,,[],https://twitter.com/1scoups__/status/1425668426102493195
재익,@lovelessfanclub,2021-08-23T08:04:59.000Z,"재익
@lovelessfanclub
·
8월 23일",북촌손만두 튀김만두가먹고싶다,💙,,,,[],https://twitter.com/lovelessfanclub/status/1429716283939954691
녹두,@nnokdu,2021-08-27T06:39:36.000Z,"녹두
@nnokdu
·
8월 27일",북촌손만두 와서 피냉면튀김세트 시킴.. 후왑ㅋ 이날만을기다려왓다,,,,,[],https://twitter.com/nnokdu/status/1431144349178290177
무명,@noname_cpa,2021-08-11T14:08:21.000Z,"무명
@noname_cpa
·
8월 11일","와 갑자기 북촌손만두 비빔국수에 갈비만두먹고싶다 북촌손만두... 서울살때 맨날 먹었는데
9",✨,,,9,[],https://twitter.com/noname_cpa/status/1425459071709114373
꽥,@duckyducko,2021-08-28T23:49:31.000Z,"꽥
@duckyducko
·
8월 29일",여성영화제 가면 북촌손만두 먹지 마세요 2층 푸드코트를 조심해,,,,,[],https://twitter.com/duckyducko/status/1431765921249382405
김민경,@aSdgQg44MZdlfzX,2021-08-21T14:22:55.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 21일",New post (북촌손만두 솔직 추천 비결은?) has been published on 정보마스터 - http://telrb.xyz/%eb%b6%81%ec%b4%8c%ec%86%90%eb%a7%8c%eb%91%90-%ec%86%94%ec%a7%81-%ec%b6%94%ec%b2%9c-%eb%b9%84%ea%b2%b0%ec%9d%80/…,,,,,['https://pbs.twimg.com/media/E9UitQKVIAsbIkG?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1429086619911393285
리블,@Light_blue_re,2021-08-06T09:41:08.000Z,"리블
@Light_blue_re
·
8월 6일","북촌손만두인가
거기서 그런식으로 팔앗던거 같은데",,,,,[],https://twitter.com/Light_blue_re/status/1423579884916416515
ta-da,@zoointhezoo,2021-08-01T12:55:30.000Z,"ta-da
@zoointhezoo
·
8월 1일",내일 재택 점심은 북촌손만두 피냉면이랑 튀김만두를 먹을 것이다,,,,,[],https://twitter.com/zoointhezoo/status/1421816861184860161
김민경,@aSdgQg44MZdlfzX,2021-08-25T18:20:52.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 26일",New post (북촌손만두 진짜 추천 매력적인 내용) has been published on 정보마스터 - http://telrb.xyz/%eb%b6%81%ec%b4%8c%ec%86%90%eb%a7%8c%eb%91%90-%ec%a7%84%ec%a7%9c-%ec%b6%94%ec%b2%9c-%eb%a7%a4%eb%a0%a5%ec%a0%81%ec%9d%b8-%eb%82%b4%ec%9a%a9/…,,,,,['https://pbs.twimg.com/media/E9p_hr0VgAAm0i8?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1430596050746691584
지주,@ziijoo_number,2021-08-15T14:45:38.000Z,"지주
@ziijoo_number
·
8월 15일","차에서 얘기하면서 북촌손만두 기다림
1",,,,1,[],https://twitter.com/ziijoo_number/status/1426918009151524869
,@dandeliion__,2021-08-05T16:51:27.000Z,"@dandeliion__
·
8월 6일","북촌손만두 예전 자취방 앞에 있어서 늘 궁금햇는대
한번도 못가보고 이사를 가버렷내",🌼,,,,[],https://twitter.com/dandeliion__/status/1423325789576065025
삼구,@ringo903116,2021-08-22T04:46:36.000Z,"삼구
@ringo903116
·
8월 22일","하,,,, 북촌손만두 생각나서 시켜먹었는데 왜 체인점인데도 전주에서 먹은게 더 맛있냐,,,,,,,,,,,, 진짜 여기와서 패스트푸드 이런거 아니면 왠만한 음식들 다 전주랑 비교돼서 짜증남,,,, 맛이 애매하게 없어,,,,,,,,,",,,,,[],https://twitter.com/ringo903116/status/1429303969281503233
김민경,@aSdgQg44MZdlfzX,2021-08-26T04:42:02.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 26일",New post (북촌손만두 핵심 추천 강화된 정보) has been published on 정보마스터 - http://telrb.xyz/%eb%b6%81%ec%b4%8c%ec%86%90%eb%a7%8c%eb%91%90-%ed%95%b5%ec%8b%ac-%ec%b6%94%ec%b2%9c-%ea%b0%95%ed%99%94%eb%90%9c-%ec%a0%95%eb%b3%b4/…,,,,,['https://pbs.twimg.com/media/E9sNsyKVIAARQc3?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1430752372356108290
