UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
견월,@Summer190109,2021-08-08T06:08:54.000Z,"견월
@Summer190109
·
Aug 7","#HappyHoyoungDay
#베러의_별_배호영_생일축하해
카페 멜로우 구경 실컷 하고 라떼도 잘 마시고! 귀여운 포카도 얻어서 행복했어요 신메뉴인지 복숭아음료도 맛보라고 주셨는데 너무 맛있었어요! 내부도 호영이로 가득해 너무 예뻤어요 이벤트 열어주셔서 감사합니다 :)
4
7",🤍 ❤ 😊,,4,7,"['https://pbs.twimg.com/media/E8P09YVVEAUZrUu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8P09n2VkAgCE0i?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8P09yvUYAMIMFX?format=jpg&name=360x360']",https://twitter.com/Summer190109/status/1424251252066553857
𝐎𝐍𝐋𝐘 조스바 𝐋𝐄𝐅𝐓,@xpurinrinx,2021-08-07T04:41:16.000Z,"𝐎𝐍𝐋𝐘 조스바 𝐋𝐄𝐅𝐓
@xpurinrinx
·
Aug 6","#happy_SEUNGYOUN_day
#여름의_천사_조승연_태어나줘서고마워
카페 멜로우!! 스페셜메뉴 너무 귀엽고 맛있어요 마지막 날이라도 이렇게 방문할 수 있어서 다행이에요ㅜㅜ 편지 쓸 수 있는 공간도 있고 승연이 사진 예쁘게 꾸며져 있어요 승연아 생일축하해
1
5
21",🧡 💙 💖 💗,1,5,21,"['https://pbs.twimg.com/media/E8KXSxrVEAAKADg?format=jpg&name=small', 'https://pbs.twimg.com/media/E8KXTlXVEAA9sHk?format=jpg&name=small', 'https://pbs.twimg.com/media/E8KXTLoUcAcST40?format=jpg&name=small', 'https://pbs.twimg.com/media/E8KXUHZVIAAHsZp?format=jpg&name=small']",https://twitter.com/xpurinrinx/status/1423866810408087552
우즈천재뜽요▽･ｪ･▽ﾉ”,@modkko,2021-08-05T04:07:02.000Z,"우즈천재뜽요▽･ｪ･▽ﾉ”
@modkko
·
Aug 4","𝙷𝙰𝙿𝙿𝚈 𝚂𝙴𝚄𝙽𝚈𝙾𝚄𝙽 𝙳𝙰𝚈
압구정 카페 멜로우 
승연이로 꾸며진 공간은 언제나 감동
여우단으로써 특전 여우쿠키를 안먹을수 없닷!

#happy_SEUNGYOUN_day 
#여름의_천사_조승연_태어나줘서_고마워
#WOODZ #조우즈 #조승연 #woodz
32
72",🏝 🏝 🥺 🦊,,32,72,"['https://pbs.twimg.com/media/E7_8QAYVgAcFJUl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7_8R6AVoAQAFw1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7_8Q6kUYAAdB0Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7_8S0NVIAYIjAQ?format=jpg&name=360x360']",https://twitter.com/modkko/status/1423133419718864896
멋진녀석들 4주년기념 카페 이벤트,@4th_anniv_gg_,2021-08-24T01:01:31.000Z,"멋진녀석들 4주년기념 카페 이벤트
@4th_anniv_gg_
·
Aug 23","𝗚𝗥𝗘𝗔𝗧𝗚𝗨𝗬𝗦 𝟰𝘁𝗵 𝗔𝗡𝗡𝗜𝗩𝗘𝗥𝗦𝗔𝗥𝗬

오늘부터 이벤트 시작합니다
많이 오셔서 멋진녀석들의 4주년을 함께 축하해주세요

#멋진녀석들 #greatguys
#GG_4th_Anniversary 

카페멜로우【 8/24 ~ 8/27 】
Open - 9:30 ~ 21:30

감사합니다 
@cafemellow_ssg
 36
33",❤ ❤ ❤ ❤ 🎉 ☺ 🖤 🍪 🖤 🙏 ☕,,36,33,"['https://pbs.twimg.com/media/E9hIAWrUYAMkgRP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIB6KVEAMTnx1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIBJ3VEAQDdm4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIC8LVoAsjD4c?format=jpg&name=360x360']",https://twitter.com/4th_anniv_gg_/status/1429972102799532036
ㅅㅇ,@ve98_be,2021-08-07T23:58:42.000Z,"ㅅㅇ
@ve98_be
·
Aug 7","오늘부터 카페멜로우 
@cafemellow_ssg
 에서 #베리베리 #호영 의 생일 컵홀더 이벤트가 시작됩니다! 많이 방문해주셔서 함께 축하해주세요!

#HappyHoyoungDay
#베러의_별_배호영_생일축하해

* 카페 출입 시 마스크 착용 부탁드립니다!
ㅅㅇ
@ve98_be
 · Jul 10
☆⋆*.。𝐇𝐀𝐏𝐏𝐘 𝐇𝐎𝐘𝐎𝐔𝐍𝐆 𝐃𝐀𝐘 *:ﾟ ｡.★

호영의 24번째 생일을 축하하기 위해 한국과 일본에서 생일 컵홀더 이벤트를 진행합니다! 
자세한 내용은 공지 이미지 확인해주세요
Show this thread
4
6",☺ 😷 💛,,4,6,"['https://pbs.twimg.com/media/E8OgNujVgAEw3Oe?format=jpg&name=small', 'https://pbs.twimg.com/media/E8OgNumVEAIS_vd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8OgNunVcAQM8RV?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1314577112649535488/ECmreruB_mini.jpg', 'https://pbs.twimg.com/media/E57jyN6VIAYU3eh?format=jpg&name=240x240']",https://twitter.com/ve98_be/status/1424158088421011456
Seraphic_Seul,@SeraphicSeul,2021-08-16T05:16:43.000Z,"Seraphic_Seul
@SeraphicSeul
·
Aug 15","210812 플로리아 예슬 카페멜로우

#Floria #플로리아 #예슬
@EntFloria
2
9",,,2,9,"['https://pbs.twimg.com/media/E841szxVEAAC0Cw?format=jpg&name=small', 'https://pbs.twimg.com/media/E841t2vVkAATZFt?format=jpg&name=small', 'https://pbs.twimg.com/media/E841uvkVUAMDTZz?format=jpg&name=small']",https://twitter.com/SeraphicSeul/status/1427137223741214723
덕질 [Duckzill],@_Duckzill,2021-08-22T07:02:14.000Z,"덕질 [Duckzill]
@_Duckzill
·
Aug 22","멋진녀석들의 데뷔 4주년 이벤트
카페멜로우: https://bit.ly/2W7CacY

#멋진녀석들 #greatguys #컵홀더 #이벤트 #EVENT #데뷔4주년
6
8",🎸 🎤,,6,8,['https://pbs.twimg.com/media/E9YHbWPUUAES9Ym?format=jpg&name=900x900'],https://twitter.com/_Duckzill/status/1429338104410738692
멜리플루어스 𝐌𝐄𝐋𝐋𝐈𝐅𝐋𝐔𝐎𝐔𝐒,@__MELLIFLUOUS_U,2021-08-24T01:06:05.000Z,"멜리플루어스 𝐌𝐄𝐋𝐋𝐈𝐅𝐋𝐔𝐎𝐔𝐒
@__MELLIFLUOUS_U
·
Aug 23","#멋진녀석들 #GREATGUYS 
#GG_4th_Anniversary
 
@GreatGuys_twt
 
카페멜로우【 8/24 ~ 8/27 】
Open - 9:30 ~ 21:30
멋진녀석들 4주년기념 카페 이벤트
@4th_anniv_gg_
 · Aug 23
𝗚𝗥𝗘𝗔𝗧𝗚𝗨𝗬𝗦 𝟰𝘁𝗵 𝗔𝗡𝗡𝗜𝗩𝗘𝗥𝗦𝗔𝗥𝗬

오늘부터 이벤트 시작합니다
많이 오셔서 멋진녀석들의 4주년을 함께 축하해주세요

#멋진녀석들 #greatguys
#GG_4th_Anniversary 

카페멜로우【 8/24 ~ 8/27 】
Open - 9:30 ~ 21:30

감사합니다 @cafemellow_ssg 
2",💙 🌟 🍪 🖤 ❤ ❤ ❤ ❤ 🎉 ☺ 🖤 🍪 🖤 🙏 ☕,,,2,"['https://pbs.twimg.com/profile_images/1427851463162613770/CTxFTTHv_mini.jpg', 'https://pbs.twimg.com/media/E9hIAWrUYAMkgRP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIB6KVEAMTnx1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIBJ3VEAQDdm4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIC8LVoAsjD4c?format=jpg&name=360x360']",https://twitter.com/__MELLIFLUOUS_U/status/1429973249773891586
Seraphic_Seul,@SeraphicSeul,2021-08-18T07:39:51.000Z,"Seraphic_Seul
@SeraphicSeul
·
Aug 18","210813 플로리아 예슬 카페멜로우

#Floria #플로리아 #예슬
@EntFloria
6",,,,6,"['https://pbs.twimg.com/media/E9DpqlaVcAEKPom?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Dpq_TVcAYQAr1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Dprc7VEAUelgb?format=jpg&name=small']",https://twitter.com/SeraphicSeul/status/1427898017307234305
하니바니ᙏ̤̫♡,@Honey_Bunny0906,2021-08-24T01:58:36.000Z,"하니바니ᙏ̤̫♡
@Honey_Bunny0906
·
Aug 23","오늘부터 이벤트 시작합니다

카페멜로우【 8/24 ~ 8/27 】
Open - 9:30 ~ 21:30
#멋진녀석들 #GREATGUYS 
#GG_4th_Anniversary
@GreatGuys_twt
멋진녀석들 4주년기념 카페 이벤트
@4th_anniv_gg_
 · Aug 23
𝗚𝗥𝗘𝗔𝗧𝗚𝗨𝗬𝗦 𝟰𝘁𝗵 𝗔𝗡𝗡𝗜𝗩𝗘𝗥𝗦𝗔𝗥𝗬

오늘부터 이벤트 시작합니다
많이 오셔서 멋진녀석들의 4주년을 함께 축하해주세요

#멋진녀석들 #greatguys
#GG_4th_Anniversary 

카페멜로우【 8/24 ~ 8/27 】
Open - 9:30 ~ 21:30

감사합니다 @cafemellow_ssg 
2",😊 🍪 🖤 ❤ ❤ ❤ ❤ 🎉 ☺ 🖤 🍪 🖤 🙏 ☕,,,2,"['https://pbs.twimg.com/profile_images/1427851463162613770/CTxFTTHv_mini.jpg', 'https://pbs.twimg.com/media/E9hIAWrUYAMkgRP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIB6KVEAMTnx1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIBJ3VEAQDdm4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9hIC8LVoAsjD4c?format=jpg&name=360x360']",https://twitter.com/Honey_Bunny0906/status/1429986465962893338
Seraphic_Seul,@SeraphicSeul,2021-08-19T02:08:57.000Z,"Seraphic_Seul
@SeraphicSeul
·
Aug 18","210814 플로리아 예슬 카페멜로우

#Floria #플로리아 #예슬
@EntFloria
2
9",,,2,9,"['https://pbs.twimg.com/media/E9HnhhsVcAAG3fx?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Hnh4qVEAEwwtS?format=jpg&name=small', 'https://pbs.twimg.com/media/E9HniOtVgAQrlPl?format=jpg&name=small']",https://twitter.com/SeraphicSeul/status/1428177135227736069
