UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
주접,@0612_2020,2021-08-23T02:39:55.000Z,"주접
@0612_2020
·
Aug 22","뭉클한 반전...
1. 재혼해서 진짜 최서방이 된다
2. 자영이 이직한 곳에 반석이도 이직을 해서 다시 인사 대표와 개발자로 만남
5
7",,,5,7,['https://pbs.twimg.com/media/E9cU-xwVEAcubLK?format=jpg&name=small'],https://twitter.com/0612_2020/status/1429634477513273346
츠키,@Tskyyy_,2021-08-25T05:17:50.000Z,"츠키
@Tskyyy_
·
Aug 24","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞아요 최서방
2
5",,,2,5,['https://pbs.twimg.com/media/E9nMTWPVUAMaG_o?format=jpg&name=small'],https://twitter.com/Tskyyy_/status/1430398994631467008
렌지,@fksto001,2021-08-20T06:57:10.000Z,"렌지
@fksto001
·
Aug 19","신정아:이참에 최서방이었으면
최반석:진짜...?

<이름부르기 무섭게 재등장한 반석>
1
6
12",,1,6,12,"['https://pbs.twimg.com/media/E9NzFRkUYAUwnNl?format=jpg&name=small', 'https://pbs.twimg.com/media/E9NzFlCVcAAr8cQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NzF4kVcAAxPrW?format=jpg&name=360x360']",https://twitter.com/fksto001/status/1428612054290550799
hai,@hairooz,2021-08-18T13:17:02.000Z,"hai
@hairooz
·
Aug 18","쁘띠반석 보실 분 ..
최서방 좀 봐.. 지금 아버지 드리려고 음식 해온거 아니냐고 .. 최반석 당장 당자영 서방 시켜드려
8
9",,,8,9,['https://pbs.twimg.com/media/E9E22mTVgAMP2Fv?format=jpg&name=small'],https://twitter.com/hairooz/status/1427982874133684233
z최강밋챠z,@ren112538,2021-08-26T11:41:05.000Z,"z최강밋챠z
@ren112538
·
Aug 26","당신이찾는최서방
여기에있나요?
푸실리
@si2y_l
 · Aug 26
어서와 #최서방 twitter.com/ren112538/stat…
1",,1,,,"['https://pbs.twimg.com/media/E9ttnKSUYAUt-jN?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1437306657839534080/m5uLR4KM_mini.jpg']",https://twitter.com/ren112538/status/1430857829691269122
두부유부,@Doobooyooboo,2021-08-18T12:50:40.000Z,"두부유부
@Doobooyooboo
·
Aug 18","일등사위 최서방
(불パㅏ..)
@bzifoeba
 · Aug 18
사위의덕목: 장인어른안부챙기기
3
1",,,3,1,['https://pbs.twimg.com/profile_images/1430326115407519746/wR4Xqwrj_mini.jpg'],https://twitter.com/Doobooyooboo/status/1427976237423595523
렌지,@fksto001,2021-08-18T14:06:44.000Z,"렌지
@fksto001
·
Aug 18","자영 아버지 한세권 못알아보고 최반석을 한서방이라고 착각하는것이 찐임
이제 한서방 말고 최서방을
3",,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1427994739358371843/pu/img/ggjdPF3BeoasKYvK.jpg'],https://twitter.com/fksto001/status/1427995381116243970
,@loliiipo1,2021-08-29T18:33:07.000Z,"@loliiipo1
·
Aug 29","개웃기네 최서방들 둘이 나이차이 한 살밖에 안 나는데 ㅋㅋㅋㅋㅋㅋㅋ ㅜ
3",🐶,,,3,['https://pbs.twimg.com/media/E9-or-gUYAMNqzy?format=jpg&name=small'],https://twitter.com/loliiipo1/status/1432048683617427461
네녜,@nenye_5263,2021-08-26T15:49:27.000Z,"네녜
@nenye_5263
·
Aug 26","최서방 처녀자리더라???? 와 어쩐지 애가 곱고 참하더라(개소리)
3",,,,3,[],https://twitter.com/nenye_5263/status/1430920335843422208
김이름임,@Tchyan_140,2021-08-20T04:50:54.000Z,"김이름임
@Tchyan_140
·
Aug 19","이참에 한서방 말고 최서방이었으면 좋겠다~
진짜?
ㄲㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ 반석본체 웃겨죽겠네
1
1",,1,,1,"['https://pbs.twimg.com/media/E9NWL49UUAY5QVl?format=jpg&name=small', 'https://pbs.twimg.com/media/E9NWMQaVoAMwqDH?format=jpg&name=small']",https://twitter.com/Tchyan_140/status/1428580278608400386
니즈,@newpotatoess,2021-08-18T13:02:44.000Z,"니즈
@newpotatoess
·
Aug 18",최서방...,,,,,[],https://twitter.com/newpotatoess/status/1427979273474699272
44,@4alchisal,2021-08-08T13:48:48.000Z,"44
@4alchisal
·
Aug 8","이거 완전
자기들 잘 도착했다고 나한테 영통건 아들램이랑 최서방mood
The following media includes potentially sensitive content. Change settings
View
1
5",,1,,5,[],https://twitter.com/4alchisal/status/1424366990529949697
반스톤,@dal_Sound,2021-08-18T12:37:50.000Z,"반스톤
@dal_Sound
·
Aug 18",최서방 가자,🪨,,,,[],https://twitter.com/dal_Sound/status/1427973007952080909
알,@25F3aDKfUax4h4a,2021-08-12T13:08:20.000Z,"알
@25F3aDKfUax4h4a
·
Aug 12","한서방out 최서방 드루와
1",,,,1,[],https://twitter.com/25F3aDKfUax4h4a/status/1425806357853138956
두기,@duuuuugii5677,2021-08-18T13:02:21.000Z,"두기
@duuuuugii5677
·
Aug 18",ㅇㄴ 최서방 등장,,,,,[],https://twitter.com/duuuuugii5677/status/1427979177123213324
Mㅏ리모,@9ame_marimo,2021-08-23T11:26:15.000Z,"Mㅏ리모
@9ame_marimo
·
Aug 23","최서방이라면 충분히 저런다
1",,,,1,[],https://twitter.com/9ame_marimo/status/1429766936062160900
니즈,@newpotatoess,2021-08-19T12:09:21.000Z,"니즈
@newpotatoess
·
Aug 19",최 서방 공식이네,,,,,[],https://twitter.com/newpotatoess/status/1428328230516264961
매니,@ampmjh,2021-08-23T15:10:48.000Z,"매니
@ampmjh
·
Aug 23","최서방 생일 축하합니다
1",,,,1,[],https://twitter.com/ampmjh/status/1429823444967854088
김완구,@wandoe_acoustic,2021-08-27T17:09:34.000Z,"김완구
@wandoe_acoustic
·
Aug 27","최서방과 내동생 관이의 사랑을 응원합니다
1",,,,1,[],https://twitter.com/wandoe_acoustic/status/1431302883970936832
채코,@chapman_nose,2021-08-19T12:03:52.000Z,"채코
@chapman_nose
·
Aug 19",최서방님도 오셧네 ㅋ,,,,,[],https://twitter.com/chapman_nose/status/1428326849474547712
최서방,@BhulLTN9kDVddr7,2021-08-26T11:39:53.000Z,"최서방
@BhulLTN9kDVddr7
·
Aug 26",최서방 옆에 토끼 당자영이었다고...,🐰 🐰,,,,[],https://twitter.com/BhulLTN9kDVddr7/status/1430857527701381120
두기,@duuuuugii5677,2021-08-19T12:09:34.000Z,"두기
@duuuuugii5677
·
Aug 19",아니 최서방 애벌세척 하시냐구요,,,,,[],https://twitter.com/duuuuugii5677/status/1428328284383715330
김억수,@KimDownpour,2021-08-19T12:08:47.000Z,"김억수
@KimDownpour
·
Aug 19",ㄴㅋㅋㅋㅋㅋㅋㅋ최서방 ㅋㅋㅋㅋ,,,,,[],https://twitter.com/KimDownpour/status/1428328084378243073
알,@25F3aDKfUax4h4a,2021-08-18T13:01:19.000Z,"알
@25F3aDKfUax4h4a
·
Aug 18",최서방 베란다에서 보고있은듯,,,,,[],https://twitter.com/25F3aDKfUax4h4a/status/1427978919966248960
초승달이 밤을 지켜주는 NEAR HERE,@mrosa0904,2021-08-29T08:16:30.000Z,"초승달이 밤을 지켜주는 NEAR HERE
@mrosa0904
·
Aug 29","어머 오언이아빠 커뮤왔네~ 최서방~~~
1",,,,1,[],https://twitter.com/mrosa0904/status/1431893510278451202
루루,@__ru_ru___,2021-08-23T15:09:32.000Z,"루루
@__ru_ru___
·
Aug 23","도망쳐 최서방
아 아니야
도망쳐
어....
도망쳐 ㅅㅂ!!!
CARPET_공지
@CARPET_INFO_
 · Aug 23
생활의 꿀팁 : 도망쳐ㅅㅂ는 리디북스에서 ㅅㅂ로 검색하시면 자동 완성 됩니다
방금 알았네요…ㅅㅂ…(욕 아닙니다)
1",,,,1,['https://pbs.twimg.com/profile_images/1428679595528650754/Q1T5Y2D6_mini.jpg'],https://twitter.com/__ru_ru___/status/1429823126775341060
날하,@287_411,2021-08-19T12:03:27.000Z,"날하
@287_411
·
Aug 19",최서방 막이래,,,,,[],https://twitter.com/287_411/status/1428326743081844737
