UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
하사오멜른,@hameln_new,2021-08-27T05:01:58.000Z,"하사오멜른
@hameln_new
·
8월 27일","요즘 동성 커플 결혼시장이 웨딩 업계 블루오션이래서 엄마한테 물어보니까 한복집은 여자 둘보다 남자 둘이 맞춤하는 게 더 비싸대. 남자 한복이 옷 가짓수가 더 많고 원단비랑 수공비가 더 들어가서 그렇나데?
1
32
23",,1,32,23,"['https://pbs.twimg.com/media/E9xb2ZUVUAQEvTO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xb2nfVEAAzQ-c?format=jpg&name=360x360']",https://twitter.com/hameln_new/status/1431119778769297408
쿵쿵조프레디어보,@joefreddiiee,2021-08-22T04:28:56.000Z,"쿵쿵조프레디어보
@joefreddiiee
·
8월 22일","전 세계적으로 헤테로 혼인율이 떨어지는 와중에 동성혼이 블루오션이라고 하더라구요 열렬히 결혼하고 싶어하는 신시장인데다가 레즈비언 결혼은 드레스가 2벌이라 돈도 2배고 게이 결혼은 빨리 끝나서 한 팀 더 받을 수 있어서 좋다고
하스타스
@hastas_curry
 · 8월 21일
커플링 맞춰보겠다고 열댓군데를 돌아다녔는데 남자 둘이 남자반지 있나요? 물어보니까 하나같이 커플링은 이쪽이에요 하시는게 넘 재밌었다. 커플링이라고 말도 안했는데 오히려 이니셜에 당연한 듯 하트 넣으라고 권하셨다가 “&로 하셔도 되구요…ㅎㅎ”하시는 분이 있을 정도. 자본앞에 차별없다.
3
4.7천
1.5천",,3,4.7천,1.5천,['https://pbs.twimg.com/profile_images/1436900592442490881/WVIQi50A_mini.jpg'],https://twitter.com/joefreddiiee/status/1429299524510502915
담낭,@1l1l1lIll,2021-08-02T06:12:13.000Z,"담낭
@1l1l1lIll
·
8월 2일","네가 내 블루오션 
10
40",🌊,,10,40,['https://pbs.twimg.com/media/E7w8L02UUAkgfMi?format=jpg&name=240x240'],https://twitter.com/1l1l1lIll/status/1422077761519116291
엘소드 스샷 저장소,@Els_Screen,2021-08-05T01:52:52.000Z,"엘소드 스샷 저장소
@Els_Screen
·
8월 5일","[노아 커스텀 : 블루오션&블랙오션]
- 판매 기간: 2021년 8월 5일(목) 점검 후 ~ 2021년 9월 30일(목) 점검 전
29
14",,,29,14,"['https://pbs.twimg.com/media/E7_dmCjVEAYFjBf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7_dmM5UcAU9RSZ?format=jpg&name=360x360']",https://twitter.com/Els_Screen/status/1423099657484324865
달달한마음,@ttprida,2021-08-13T01:47:39.000Z,"달달한마음
@ttprida
·
8월 13일","지금 재명이캠프 간 애들은 재명이보고
붙어있는게 아니라
미래 일자리 부푼 꿈에 붙어있는거

리얼미터 권순정, 이헌욱, 제윤경, 진유천,
구자필, 최근의 황교익까지ㅋㅋㅋ
지금 재명이 열심히 물빨하는 애들은
대한민국이라는 거대한 블루오션?의 장악
꿈꾸며 취업활동중ㅋㅋ
부끄러운줄 알아라 ㅡㅡ
150
151",,,150,151,[],https://twitter.com/ttprida/status/1425997446635614215
김민경,@aSdgQg44MZdlfzX,2021-08-01T07:11:52.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 1일",New post ([보령시] 블루오션펜션 핵심 리뷰 강력한 내용) has been published on Fingpgram - http://fingpgram.com/%eb%b3%b4%eb%a0%b9%ec%8b%9c-%eb%b8%94%eb%a3%a8%ec%98%a4%ec%85%98%ed%8e%9c%ec%85%98-%ed%95%b5%ec%8b%ac-%eb%a6%ac%eb%b7%b0-%ea%b0%95%eb%a0%a5%ed%95%9c-%eb%82%b4%ec%9a%a9/…,,,,,['https://pbs.twimg.com/media/E7sAQA0VoAQ5jw8?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1421730384782397445
아나톨oak tree,@suri_oaktree,2021-08-16T09:42:44.000Z,"아나톨oak tree
@suri_oaktree
·
8월 16일","맞습니다, 블루오션 버리고 굳이ㅉㅉ
아나톨 포석(실시간스포)
@oak_roadblock
 · 8월 16일
솔직히 느그북스가 명청하단게 이미 대기업둘이 파이를 나눠먹고있으면
걔들이 안먹는걸 먹어야지
쟤들이 잘먹는걸 갈라먹겠다고 주력을 놓는게 ㅍㅡㅍ
하긴 니네가 충성독자들버리고 한짓들 잘보았긴했어
3",😔 🐁,,,3,['https://pbs.twimg.com/profile_images/1377666488736227328/gDoY3KTO_mini.jpg'],https://twitter.com/suri_oaktree/status/1427204166712131586
김민경,@aSdgQg44MZdlfzX,2021-08-02T10:44:22.000Z,"김민경
@aSdgQg44MZdlfzX
·
8월 2일",New post (목욕 바스솔트 마사지 블루오션 700g 화장품 후레쉬민트 합리적 리뷰 놀라운 정보) has been published on Fingpgram - http://fingpgram.com/%eb%aa%a9%ec%9a%95-%eb%b0%94%ec%8a%a4%ec%86%94%ed%8a%b8-%eb%a7%88%ec%82%ac%ec%a7%80-%eb%b8%94%eb%a3%a8%ec%98%a4%ec%85%98-700g-%ed%99%94%ec%9e%a5%ed%92%88-%ed%9b%84%eb%a0%88%ec%89%ac%eb%af%bc%ed%8a%b8/…,,,,,['https://pbs.twimg.com/media/E7x6eenUYAEfl4x?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1422146248283332612
레드향,@redscent_7890,2021-08-29T12:43:42.000Z,"레드향
@redscent_7890
·
8월 29일","인생은블루오션루저는모른다 오랜만에 듣는 풀네임이네요
2
12",,,2,12,[],https://twitter.com/redscent_7890/status/1431960753699917824
김현옥,@kho1321,2021-08-05T22:48:54.000Z,"김현옥
@kho1321
·
8월 6일","“온라인 새벽기도가 블루오션이다”
“온라인 새벽기도가 블루오션이다”
지난 3일 서울 성동구 꽃재교회를 찾아간 이유는 간단했다. 이 교회 김성복(55) 담임목사가 참여하는 ‘웨슬리 선집’ 발간에 관한 이야기를 듣기 위해서였다.
news.kmib.co.kr
1",,,,1,[],https://twitter.com/kho1321/status/1423415748139970560
