UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
所願_소원(기력 없음),@jinjung_01,2021-08-22T12:41:22.000Z,"所願_소원(기력 없음)
@jinjung_01
·
Aug 22","bo챠코..!!?
1
23
79",😵 🤔 🤔,1,23,79,['https://pbs.twimg.com/media/E9ZVDRSVkAYuDDl?format=jpg&name=small'],https://twitter.com/jinjung_01/status/1429423448514654219
하밀,@Waiting_mha,2021-08-25T23:02:30.000Z,"하밀
@Waiting_mha
·
Aug 25","챠코
1
15
38",,1,15,38,"['https://pbs.twimg.com/media/E9q_-pSXoAAr_w9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q_-95XoAchyti?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q_-y9WQAEWTaD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q__K8X0AcrBo6?format=jpg&name=360x360']",https://twitter.com/Waiting_mha/status/1430666926087450627
뉴_뉴,@new_new0426,2021-08-27T14:16:18.000Z,"뉴_뉴
@new_new0426
·
Aug 27","#챠코미담 
@oiwnzom
 
나 진짜 아무 생각없이 갓는데 갑자기 냅다 쥐어준.. 챠코.. 고마우 잘 쓸게
1
2",🎢 🥺 💙 💙,1,,2,['https://pbs.twimg.com/media/E9zaueRUUAM7Jmh?format=jpg&name=small'],https://twitter.com/new_new0426/status/1431259279047024640
민트초코,@ocakco_love_,2021-08-19T10:03:21.000Z,"민트초코
@ocakco_love_
·
Aug 19","데쿠양과 챠코 냥냥이
2
8",,,2,8,"['https://pbs.twimg.com/media/E9JUHIcVUAUJ0_p?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9JUHR5UYAU0cHl?format=jpg&name=240x240']",https://twitter.com/ocakco_love_/status/1428296518319022081
tomomi~,@tomomibbang,2021-08-15T06:46:38.000Z,"tomomi~
@tomomibbang
·
Aug 14","빵칭- 포(챠코)토카드 
11
56",🕶 ✨,,11,56,['https://pbs.twimg.com/media/E80AuZ-VUAUO8AV?format=jpg&name=small'],https://twitter.com/tomomibbang/status/1426797461956300800
민트초코,@ocakco_love_,2021-08-10T12:40:02.000Z,"민트초코
@ocakco_love_
·
Aug 10","미돌이는 인턴중에도 챠코 생각한다ㅠㅠ
1",,,,1,['https://pbs.twimg.com/media/E8bhqw8UYAUooW4?format=jpg&name=small'],https://twitter.com/ocakco_love_/status/1425074459199741952
익,@Dada__sun,2021-08-18T10:43:00.000Z,"익
@Dada__sun
·
Aug 18","이 말랑이 포.챠코가 어케 대졸이야 말도 안대 세상이 나를 속이는거 아닐까
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/E9ETlVLVUAswv-z.jpg'],https://twitter.com/Dada__sun/status/1427944110187417609
유 로아(갓커러),@rainbowidYu,2021-08-16T08:34:02.000Z,"유 로아(갓커러)
@rainbowidYu
·
Aug 16",챠코야~!~~!~!~!! 누나 저 금발 하나만 줘도 여한이 없다~~~,🎗,,,,['https://pbs.twimg.com/media/E85i5v-UUAMJ7u1?format=png&name=360x360'],https://twitter.com/rainbowidYu/status/1427186880383053825
유채,@I21293,2021-08-21T14:52:51.000Z,"유채
@I21293
·
Aug 21",챠코가 알려준 수박게임과 눈은 행복해졋지만 여전히 좟밥인 나,,,,,['https://pbs.twimg.com/media/E9UpjbeVoAE0Gw7?format=jpg&name=900x900'],https://twitter.com/I21293/status/1429094150125723655
틈,@myopendoor_,2021-08-21T11:35:13.000Z,"틈
@myopendoor_
·
Aug 21","이거 진짜 그 강아지 같다 그 포...챠코?
2",,,,2,['https://pbs.twimg.com/media/E9T8UfRUcAAdoqY?format=jpg&name=900x900'],https://twitter.com/myopendoor_/status/1429044413448159243
시험기간느린 잉ᙏ̤̫͚,@linomino1025,2021-08-05T17:46:00.000Z,"시험기간느린 잉ᙏ̤̫͚
@linomino1025
·
Aug 5","챠코!!!
마니 공구 (산리오 포토카드 커버 재고판매)
@n0wlshyunjae
 · Aug 4
 산리오 포토카드 홀더 공구 
RT 추첨 한 분께 산리오 아크릴 포카 홀더 드려요 !
- 기간 : 08.04. ~ 08.11. (조기 마감 O)
-  : https://witchform.com/deposit_form/97842…
- 배송 : 8월 중순 예정
- 3장을 분철하므로 최소 수량 안 채워진 품목 환불해 드립니다 !
- 문의  DM
- 공지사항  타래
Show this thread",❗ ❗ 🥺 🥺 🤩 🥺 🤩 🥺 🤩 🤩 🤩 💙 💙 🔗 ▶ ▶,,,,"['https://pbs.twimg.com/profile_images/1366061650432860160/Rev2RMtp_mini.jpg', 'https://pbs.twimg.com/media/E79DBI9UUAsiE12?format=jpg&name=small']",https://twitter.com/linomino1025/status/1423339521131782145
얼음,@cooliceneverdie,2021-08-26T06:20:19.000Z,"얼음
@cooliceneverdie
·
Aug 25","챠코야 미안해...
라운
@xxx_laun_xxx
 · Aug 25
포챠코 반군이 되어버렸어요 아ㅠ twitter.com/cooliceneverdi…
2",,,,2,['https://pbs.twimg.com/profile_images/1438249449608794115/8181LvRM_mini.jpg'],https://twitter.com/cooliceneverdie/status/1430777107488014342
겸챠코,@DKyeom_218,2021-08-08T07:44:36.000Z,"겸챠코
@DKyeom_218
·
Aug 8","오늘의 미션.
저혈압인 나 챠코 캐랜보면서 심박수 90대 진입하기! 문제는 100을 훌쩍 넘어설거 같은,, ㅎㅎㅎㅎ
1",❄ ❄,,,1,['https://pbs.twimg.com/media/E8QK3NvVkAMLOcT?format=jpg&name=small'],https://twitter.com/DKyeom_218/status/1424275335751749634
뭘봐,@molllba,2021-08-04T20:41:40.000Z,"뭘봐
@molllba
·
Aug 4","챠코 자?
1",,1,,,[],https://twitter.com/molllba/status/1423021338118148096
MT하연ఇ,@Ha_Romi_3,2021-08-21T15:40:17.000Z,"MT하연ఇ
@Ha_Romi_3
·
Aug 21","조빱님 천천재.. 넘 넘 기영워요ㅠㅜㅠㅜㅜ 챠코 볼 좍쫙 해주고픈
조빱
@joppap421
 · Aug 21
@Ha_Romi_3
Show this thread
1",,1,,,"['https://pbs.twimg.com/profile_images/1439986817042841603/jNQnj7NH_mini.jpg', 'https://pbs.twimg.com/media/E9UyD-TVkAIGMk3?format=png&name=360x360']",https://twitter.com/Ha_Romi_3/status/1429106087181967363
누우구보다빠아르으게에,@1122noohij,2021-08-05T06:36:08.000Z,"누우구보다빠아르으게에
@1122noohij
·
Aug 4","챠코랑 ㅈㅣ훉이 딱 맞겠다
The following media includes potentially sensitive content. Change settings
View",🍼 🍚 🐈,,,,[],https://twitter.com/1122noohij/status/1423170941756973057
후가,@huga1010,2021-08-28T16:30:00.000Z,"후가
@huga1010
·
Aug 28","챠코 그거야? 내챠반?
5",,,,5,[],https://twitter.com/huga1010/status/1431655312474345473
