UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
파운드,@P0U2D,2021-08-15T01:37:09.000Z,"파운드
@P0U2D
·
8월 15일","윶윶 의자랑 책상 쓰는 연출 너무 좋아 수학여행에서 작윶 감싸고 있는 의자들을 하나씩 밀쳐내고 마지막에 한개만 남는데 그게 꼭 큰윶처럼 느껴진다
1
163
65",🌊 🐋,1,163,65,['https://pbs.twimg.com/media/E8y55H8VIAY5ycQ?format=jpg&name=small'],https://twitter.com/P0U2D/status/1426719580198621184
플라토닉,@sb__gay,2021-08-14T14:43:05.000Z,"플라토닉
@sb__gay
·
8월 14일","ㅎㅅ연애 연출이라는 개럿한테 “왜 이렇게 세상을 못 믿어” 하는 표정이 아
391
419",,,391,419,['https://pbs.twimg.com/media/E8wkL9gUcAYuEDk?format=jpg&name=900x900'],https://twitter.com/sb__gay/status/1426554976302600192
쭈오공주,@Juhoga_Miraeda,2021-08-15T11:52:53.000Z,"쭈오공주
@Juhoga_Miraeda
·
8월 15일","문 밖으로 나가는 연출이 나를 더 슬프게 해
마지막까지 카메라를 놓지 않는 인성군이 내 가슴을 더 북북 찢어놓음
49
189",,,49,189,['https://pbs.twimg.com/media/E81G0sDVUA0VVWr?format=jpg&name=small'],https://twitter.com/Juhoga_Miraeda/status/1426874534494232576
사카타씨,@donjiral__,2021-08-15T00:01:49.000Z,"사카타씨
@donjiral__
·
8월 15일","파치가 긴토키 처음 만났을 때 했던 말을 파이널에서 다시 보여주는 연출..넘 좋았다
85
92",,,85,92,"['https://pbs.twimg.com/media/E8ykEBiVUAEr0mK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ykEBiVkAQlYCU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ykEBiUcAI7AEb?format=jpg&name=360x360']",https://twitter.com/donjiral__/status/1426695585915043840
명,@MMMM_4M_FOURM,2021-08-15T03:27:53.000Z,"명
@MMMM_4M_FOURM
·
8월 15일","넘넘 좋아하는 오현작가님의 웹툰 [신과 함께 레벨업]이 오늘 런칭했답니다.  박진감 느껴지는 연출과 액션 속도감이 돋보이는 존잼작품이예요. 대박이벤트도 하고 있으니 많이많이 봐주세요~! 
https://page.kakao.com/home?seriesId=57311327…

알티해주신 한분께 카카오페이지 금액권을 드릴게요!(~8.31)
1
566
63",,1,566,63,"['https://pbs.twimg.com/media/E8zTPR-VIAMmpjC?format=jpg&name=small', 'https://pbs.twimg.com/media/E8zTPb4VIAM1FKl?format=jpg&name=360x360']",https://twitter.com/MMMM_4M_FOURM/status/1426747446026129410
짐진 전력,@JMJIN_RUN,2021-08-15T15:04:26.000Z,"짐진 전력
@JMJIN_RUN
·
8월 16일","제 158회 짐진 전력 주제입니다.

 내가 나를 버릴 때
 얼마나 맛있어?
 달의 정령
 위험한 연출 

주제 해석과 사용은 자유롭게 해주시면 됩니다.
전력 시작은 08월 21일 토요일 오후 10시 13분입니다.
GIF
1
13
15",💫 💫 💫 💫,1,13,15,['https://pbs.twimg.com/tweet_video_thumb/E81ynCBVcAUfZwG.jpg'],https://twitter.com/JMJIN_RUN/status/1426922739382636553
𝐤𝐢𝐧𝐞𝐬𝐢𝐧,@creadorsyl,2021-08-15T12:22:45.000Z,"𝐤𝐢𝐧𝐞𝐬𝐢𝐧
@creadorsyl
·
8월 15일","연출팀
https://instagram.com/p/CSmBqfaFNzp/?utm_medium=copy_link…
44
68",,,44,68,"['https://pbs.twimg.com/media/E81NqWXUcAA2KeL?format=jpg&name=small', 'https://pbs.twimg.com/media/E81NqWXUYA4gWUe?format=jpg&name=small']",https://twitter.com/creadorsyl/status/1426882051139985414
정원사,@gardener_gun,2021-08-15T16:43:47.000Z,"정원사
@gardener_gun
·
8월 16일","무구한 괴물(게임) 엔딩 기념

1. 갑툭튀 없는 공포 연출의 교과서 느낌
2. 주인공이 무려 군인 2인조.
3. 허구헌날 군인 정신 타령하는 혈기왕성 사관학도 젊은이 + 뺀질대고 배배 꼬였지만 속깊은 교관... 정말 익숙한 관계고 재밌다...
10
30",,,10,30,"['https://pbs.twimg.com/media/E82IRUdVIAIU7ch?format=png&name=360x360', 'https://pbs.twimg.com/media/E82IXNmVoAQAkHR?format=png&name=360x360', 'https://pbs.twimg.com/media/E82ITgMVkAYZc6k?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E82IYAMUYAUItlC?format=png&name=360x360']",https://twitter.com/gardener_gun/status/1426947741033275400
벡구,@IMChillCause,2021-08-14T13:17:01.000Z,"벡구
@IMChillCause
·
8월 14일","<가스등> 이어 보고 있는데 그림자 연출이 정말 좋다 흑백 영화의 명암은 마치 장소나 구도처럼 확실한 미장센으로까지 기능하는 게 좋다
1
1
13",,1,1,13,['https://pbs.twimg.com/media/E8wQIAOVgAExHZF?format=jpg&name=small'],https://twitter.com/IMChillCause/status/1426533317873074179
건,@Salmonahan,2021-08-15T12:24:23.000Z,"건
@Salmonahan
·
8월 15일","연출 개변태같지
지운이가 허집사로 그걸해냄
1
10
23",🧃,1,10,23,"['https://pbs.twimg.com/media/E81OApiUcAEDCx-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81OBZJVkAY-Cek?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81OBClVUAE2-5Z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81OB0EVgAAtShH?format=jpg&name=360x360']",https://twitter.com/Salmonahan/status/1426882459065405444
루맥스𝑳𝒖𝒎𝒂𝒙,@gywk1010_2,2021-08-15T12:26:43.000Z,"루맥스𝑳𝒖𝒎𝒂𝒙
@gywk1010_2
·
8월 15일","연출이 왜 구버전 보다 못하지?ㅋㅋㅋㅋㅋㅋ어우 오글오글
1
5
140",🌹,1,5,140,['https://pbs.twimg.com/media/E81OkapVoAECBg7?format=jpg&name=small'],https://twitter.com/gywk1010_2/status/1426883047052308480
꾸기꾸기¹⁰²³,@ingkkugikkugi,2021-08-15T13:32:58.000Z,"꾸기꾸기¹⁰²³
@ingkkugikkugi
·
8월 15일","멸망에서 소름돋으면서 봤던 장면
이때 연출부터 모든게 정말 완벽했어
#어느날우리집현관으로멸망이들어왔다 
#서인국 #SeoInGuk
1
29
101",,1,29,101,['https://pbs.twimg.com/ext_tw_video_thumb/1426899378359267328/pu/img/BbCLpeCk9tXToLFF.jpg'],https://twitter.com/ingkkugikkugi/status/1426899719012241414
포리코,@forico_kr,2021-08-15T05:55:00.000Z,"포리코
@forico_kr
·
8월 15일","눈부신 가을햇살에 효과적인 <피아노쉬폰 나비주름 커튼> 일반 쉬폰보다 3배정도 두께감이라 외부시선 차단에도 효과적이예요. 쉬폰 특유의 차르르 떨어지는 깔끔함이 공간을 넓고 환하게 연출해줍니다. 밝은 색이지만 오염에 강해서 관리가 쉬습니다.https://forico.kr:14048/m2/goods/view.php?category=050002&goodsno=1000…
1
24
75",,1,24,75,['https://pbs.twimg.com/media/E8z06IpVkAQrZdi?format=jpg&name=small'],https://twitter.com/forico_kr/status/1426784469436882948
