UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
밀루유떼ᴾᵀᴰ,@Miluju_te_BTS,2021-08-01T23:57:01.000Z,"밀루유떼ᴾᵀᴰ
@Miluju_te_BTS
·
8월 2일","간만에 시원하게 잘자고 있었는대 
새벽3시반 모기출몰로 그때부터ㅠ 이건 잔것도 만것도 아닌ㅠㅠ
여자배구 응원하려면 정신바짝 차리고!!!!커피한잔 해야겠어요
울님들^^ 방모닝~
이번주도 각자의자리에서
화이팅해요
#MTVHottest BTS
@BTS_twt
4
37
49",☕ 💜,4,37,49,['https://pbs.twimg.com/media/E7vmTx6VcAMXDqf?format=jpg&name=small'],https://twitter.com/Miluju_te_BTS/status/1421983338865197056
코마에다 나기토,@hopelove0428,2021-08-09T15:50:02.000Z,"코마에다 나기토
@hopelove0428
·
8월 10일","오늘은 꽤 조용한 새벽이 될 모양이네... 다들 바쁜 거겠지? 그랬으면 좋겠다. 나 같은 놈에게 시간낭비하는 것보다는, 각자의 재능을 각자의 자리에서 성장시키는 것이 훨씬 이로울 테니까.
2",,,,2,['https://pbs.twimg.com/media/E8XDkMWVEAsKHsf?format=jpg&name=small'],https://twitter.com/hopelove0428/status/1424759885514698760
182,@tasty_reallove,2021-08-01T13:49:44.000Z,"182
@tasty_reallove
·
8월 1일","in더숲에서 솔부 새벽 산책 나가는거 잡혔으면 좋겠다 둘이 뭔 할 말이 있는 것도 아닌데 걍 새벽에 잠 안와서 뒤척이다가 바람이나 쐴까 하고 나왔더니 똑같은 생각하는 사람이 또 있던거 그게 솔부 서로인거 그래서 그냥 산책 가 말 없이 각자의 생각에 잠겨서 걷다가 어느새 보면 깍지 잡고 있는 손
1
12",,,1,12,['https://pbs.twimg.com/media/E7tbTmlUYAU4zYP?format=jpg&name=small'],https://twitter.com/tasty_reallove/status/1421830508502085636
Chloé lv.2,@chloeelog,2021-08-27T07:40:24.000Z,"Chloé lv.2
@chloeelog
·
8월 27일"," 심야의 모각코, 오늘부터 시작합니다!

평일 자정부터 새벽 두 시 까지, 디스코드에 모여서 각자 코딩해요 

#모각코 #모여서각자코딩해요 #심야의모각코
1
33
40",🚀 🥰,1,33,40,['https://pbs.twimg.com/media/E9yAG-LVgAA0qwq?format=jpg&name=small'],https://twitter.com/chloeelog/status/1431159646513864717
ᴰᴬᴺᴱ𝑴𝒚𝑼𝒏𝒊𝒗𝒆𝒓𝒔𝒆,@danelee0613,2021-08-24T00:20:35.000Z,"ᴰᴬᴺᴱ𝑴𝒚𝑼𝒏𝒊𝒗𝒆𝒓𝒔𝒆
@danelee0613
·
8월 24일","새벽에 발표 직전에 잠들어버렸네 
각자의 방법으로 서포트하는 #BTSARMY 
그리고 누구보다 정도의 길을 걷는 #BTS 
함께 하기에 안전하게 착륙하고 있는 #BTS_Butter
자랑스럽다 내 최애  차애
#Billboardhot100 #Butter8thNo1OnHot100 #Got_ARMY_Behind_Us
billboard charts
@billboardcharts
 · 8월 24일
The #Hot100 top 10 (chart dated Aug. 28, 2021)
5
4",💜 🐳 🪐 🐙 😪 🫂 💜,,5,4,['https://pbs.twimg.com/profile_images/1036984081320497152/6cE3gsrm_mini.jpg'],https://twitter.com/danelee0613/status/1429961801697947689
달빛,@millalestia,2021-08-02T13:34:40.000Z,"달빛
@millalestia
·
8월 2일","#수메드림주_공략
이름/ 대화명: 이새벽/이새벽
스토리: 딥
굿엔딩: 5년간의 동거 끝에 결혼!
노멀엔딩: 동거를 끝내고 각자의 집에 살며 데이트
배드엔딩
1) ""그 날"" 새벽이를 혼자 둠 - 증발 엔딩
2) 동거한지 얼마 되지 않아 자신을 사랑해달라는 새벽이를 받아들임 - 사랑? 엔딩
1
3
12",🍸,1,3,12,[],https://twitter.com/millalestia/status/1422189104670773248
춘삼,@_cnssam,2021-08-19T17:48:12.000Z,"춘삼
@_cnssam
·
8월 20일","새벽탐라 역시 각자의 최애가 보고싶은 할머니들만 남았군
2
4",,,2,4,[],https://twitter.com/_cnssam/status/1428413504961138688
신중,@thinktooooomuch,2021-08-30T18:32:48.000Z,"신중
@thinktooooomuch
·
8월 31일","각자의 최애를 심하게 앓는 새벽 3시반...
1",,1,,,[],https://twitter.com/thinktooooomuch/status/1432410994588803078
Jimneey,@KUMONIYA_B,2021-08-08T14:15:34.000Z,"Jimneey
@KUMONIYA_B
·
8월 8일","새벽기상의 후유증으로 뒷목을 후려치듯
기절했다가 깼는데 이게 대체...
판단은 각자의 몫이라고 생각해요
겹트이신 분들 저는 조용히 정리하겠습니다
잘가세요
2
11",,2,,11,[],https://twitter.com/KUMONIYA_B/status/1424373724329906178
버선,@aupjv2,2021-08-04T16:31:40.000Z,"버선
@aupjv2
·
8월 5일","우리 새벽탐라 이렇게 복작복작한거 얼마만인데
주제는 각자의 남자지만
2
5",,,2,5,[],https://twitter.com/aupjv2/status/1422958424044695555
weird_owner,@weird_owner,2021-08-05T23:42:26.000Z,"weird_owner
@weird_owner
·
8월 6일","세상 사람들 모두 각자의 마음에 
짐덩이 하나 씩은 가지고 있다는 걸 
확인한 새벽.

결국 사는 건 
어쩌다보니 그렇게 될 수밖에 없는 걸까.
1",,,,1,[],https://twitter.com/weird_owner/status/1423429217845342209
너무도 빠른 남자.,@hawks12281,2021-08-22T18:20:47.000Z,"너무도 빠른 남자.
@hawks12281
·
8월 23일","좋은 하루 입니다! 새벽이지만요. (웃음.) 
이제 슬슬 유에이 학생들은 개학일텐데, 빨리 졸업해서 각자의 개성있는 히어로가 되셨음 좋겠네요 :)
6",,,,6,[],https://twitter.com/hawks12281/status/1429508867793190916
하나둘,@taemhanahana,2021-08-05T07:58:31.000Z,"하나둘
@taemhanahana
·
8월 5일","금귤즈 각자의 동력은 뭘까 새벽에 왔던 기범버블이 문득문득 생각나네 지금 나이까지 이러고 있을 줄은 몰랐다고 말하는 기버미 이 일을 계속하기로 마음 먹었다는 태미나
2
1
6",,2,1,6,[],https://twitter.com/taemhanahana/status/1423191674776260611
얜,@Mb_erin_Anne,2021-08-05T02:33:00.000Z,"얜
@Mb_erin_Anne
·
8월 5일","공팟가기싫은이유가 각자의 사냥스타일이라던가 파티 도는형식이 다다른데 자기 스타일대로 안한다고 꼽되게주길래 싸웟더니 정신병자소리듣고 그담부터 안가다 새벽에 일찍일어나 보통지령 인원부족하다고 거뿔 계속 불길래 도와주러갔는데 실부인데도 계속 셀부라 말하면서
1
10",❄,1,,10,[],https://twitter.com/Mb_erin_Anne/status/1423109753891262469
박리환,@Pervade_R,2021-08-18T23:08:42.000Z,"박리환
@Pervade_R
·
8월 19일","각자의 이유로 잠들지 못한 우리는 붉은 눈 밑을 감춘 채 물었다. 잘 잤어? 내 새벽은 온통 너였는데. 그래서 눈 감는 시간조차 아까웠는데. 너는 어떤 얼굴을 그리면서 뒤척였을까.
4",,,,4,[],https://twitter.com/Pervade_R/status/1428131773729304578
온날,@jobduck_onnal,2021-08-03T09:58:32.000Z,"온날
@jobduck_onnal
·
8월 3일","바쿠스 없는 박문대 존나 맛잇다 념념
이제 새벽에 뭘 해도 기력없다고 힘들다고 할 거 아냐
뭘 이거 가지고 지치냐고 문대 많이 죽었다고 놀리는 메로나
뭐하다 나온 이야기인지는 각자의 마음속에
9",,,,9,[],https://twitter.com/jobduck_onnal/status/1422497101120827396
빤나,@StrawRetro_v,2021-08-08T06:31:31.000Z,"빤나
@StrawRetro_v
·
8월 8일","어제 갑자기 옷 사고싶어서 친구랑 전화하면서 새벽 3시까지 통화했는데 얻은것은?? 각자의 확고한 취향 확인하기 시밀러룩 취향확인하기......
2",🤍,,,2,[],https://twitter.com/StrawRetro_v/status/1424256944466894851
카르( ´･･)ﾉ(._.`),@freesh_citrus,2021-08-07T02:27:05.000Z,"카르( ´･･)ﾉ(._.`)
@freesh_citrus
·
8월 7일","나 새벽 4시 반까지 니게하지 정주행해서 다 봤어
그냥 일상 러브코미디물인줄만 알았는데 1화부터 계약결혼을 때려버려서 너무 놀랐음...
메인커플도 좋지만 유리상이 정말정말 좋았다
다들 각자의 이유로 자존감이 떨어지지만 그래도 상대랑 가까워지고 싶어서 점점 솔직해지는 과정이 사랑스러웠어
1
1",,1,,1,[],https://twitter.com/freesh_citrus/status/1423833042330677252
루,@hsloveluvvv,2021-08-09T11:15:53.000Z,"루
@hsloveluvvv
·
8월 9일","황승러들 새벽에 머글황 덕후승 이야기하면서 엄청 웃었어요ㅋㅋㅋㅋㅋ 각자의 버불 경험을 녹여내며,,,ㅋㅋㅋ 그거 알죠,,덕계못의 법칙.. 아무리 슩믜니가 덕질 순례를 하러다녀도 오히…

다음은 질문 상자에
루의 질문함입니다
질문/답변은 여기
peing.net
1",,1,,,['https://pbs.twimg.com/card_img/1441963307837976581/E-03wRSb?format=jpg&name=small'],https://twitter.com/hsloveluvvv/status/1424690896814047241
