UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
페페,@pepe_f_moon_,2021-08-06T11:19:12.000Z,"페페
@pepe_f_moon_
·
8월 6일","아
영상보다가ㅠ
ㅠ
ㅠ내옛날댓글봣어죽을래
3",,,,3,[],https://twitter.com/pepe_f_moon_/status/1423604564171714565
새싹,@ourshiny6ays,2021-08-09T09:50:18.000Z,"새싹
@ourshiny6ays
·
8월 9일"," (나는 필이가) 미역국 했으면 좋겠어 필이의 재도전!
 괜찮지
 옛날 같지는 않잖아
 옛날같지는 않아 그 이후로 미역국을 해본 적은 없어 (??)
 사람들이 너를 놀리는데 놀리고 놀리고 아주 죽을 때까지! 지금 이 자리에서 세상에 보여주는 거야 나! 이런 사람 아니에요",🦊 🐶 🦊 🐰 🦊,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1424669283959721986/pu/img/ygt_il7dH6zKvXwo.jpg'],https://twitter.com/ourshiny6ays/status/1424669356898742272
규수현,@Im_yourdog,2021-08-02T11:09:12.000Z,"규수현
@Im_yourdog
·
8월 2일","...글쎄다. 난 언제 죽어도 상관없었어, 옛날부터.... 죽어선 안될 녀석들이 주변에 생겼을 뿐이지.",,,,,[],https://twitter.com/Im_yourdog/status/1422152498144370688
도망,@do_mang_mang,2021-08-09T06:43:17.000Z,"도망
@do_mang_mang
·
8월 9일","아아- 옛날 그림이랑 마주쳤더니 죽.고.싶.어.졌.다.
1
1",,1,,1,[],https://twitter.com/do_mang_mang/status/1424622293469171712
나갈래 파닥,@P_cat05369,2021-08-04T11:59:55.000Z,"나갈래 파닥
@P_cat05369
·
8월 4일","방금 진짜 끔찍한거 봤어 내가 옛날에 그림을 많이 뿌리고 다녔구나 옛날 그림 봤어 죽을 것 같아 아악아아아아악!!!!!!!!!!!!!!
1",,,,1,[],https://twitter.com/P_cat05369/status/1422890036928778241
4발대4,@sabaldaesa,2021-08-03T14:17:50.000Z,"4발대4
@sabaldaesa
·
8월 3일","RE) 옛날에 사무라이가 새 카다나 잘 드나 보려고 지나가는 사람 아무나 베어 죽여서 심지어 그걸 지칭하는 단어까지 따로 있던 나라 답다.....
1
2",,,1,2,[],https://twitter.com/sabaldaesa/status/1422562355355918342
이케,@IKE_X3,2021-08-14T04:23:01.000Z,"이케
@IKE_X3
·
8월 14일",난 예수님 죽인적없는데 옛날사람들이죽였는데 뒤집어씌우기 오지네 ㄷㄷ,,,,,[],https://twitter.com/IKE_X3/status/1426398931026550787
정유리,@glass_Y1,2021-08-06T03:45:11.000Z,"정유리
@glass_Y1
·
8월 6일",옛날 그림연성 다 지워야할듯...알림창에 뜰때마다 부끄러워죽겟어,,,,,[],https://twitter.com/glass_Y1/status/1423490308210262017
𝐡𝐞𝐚𝐫𝐭 𝐬𝐢𝐠𝐧𝐚𝐥,@reverofuvul,2021-08-07T20:09:04.000Z,"𝐡𝐞𝐚𝐫𝐭 𝐬𝐢𝐠𝐧𝐚𝐥
@reverofuvul
·
8월 8일",규영아 진짜 좋아해. 너 안 보면 죽을 것 같고 다른 남자 만난다고 생각하면 돌아버릴 것 같아. 잠깐 말 섞는 것도 싫고 눈 마주치는 것도 싫어 내가 알든 모르든 네 모습 봤던 사람들한테 죄다 질투나 옛날부터 그랬어,,,,,[],https://twitter.com/reverofuvul/status/1424100300172926976
나무!!,@namookgdw,2021-08-08T08:11:53.000Z,"나무!!
@namookgdw
·
8월 8일","엄청 이상한 꿈 꿨어 첫눈 내리고 있었고 학교 앞에가 바로 바닷가 였어 엄청 뜬끔없게 옛날에도 꾼 꿈이었는데 자각은 못하고 누구 죽을뻔한거 살림 어이가없네 택배 왔다는 문자도 왔네 꿈에서 일요일인데
4",🌵,,,4,[],https://twitter.com/namookgdw/status/1424282202217455617
꽃미남 지쟈스,@JesusChristYHWH,2021-08-03T11:42:45.000Z,"꽃미남 지쟈스
@JesusChristYHWH
·
8월 3일",마녀사냥은 옛날이나 지금이나 똑같이 일어나고있어. 말도 안되는 구라가지고 애꿎은 애들을 죽이고 다니잖아. 안그래?,,,,,[],https://twitter.com/JesusChristYHWH/status/1422523330297434116
☆루나☆,@ensemble_math,2021-08-03T06:03:19.000Z,"☆루나☆
@ensemble_math
·
8월 3일","초딩때 비염땜에 한약먹다가 끝에 한달치는 다 버렸는데, 이유를 알겠군. 오늘 오랜만에 한약지어먹으니까 써서 죽을것같아ㄱㅋㅋㅋㅋ 옛날에 먹었던곳은 복주머니에 사탕 넣어줬는데ㅠ 암튼 열심히 먹고 피부염 나아야지!!
1",,,,1,[],https://twitter.com/ensemble_math/status/1422437905763426308
최안비,@choianbe,2021-08-03T15:09:24.000Z,"최안비
@choianbe
·
8월 4일",옛날로 돌아가고 싶어 지금의 나는 너무 볼품없고 못생겼어 아무 걱정 없이 죽을 수 있다면 얼마나 좋을까,,,,,[],https://twitter.com/choianbe/status/1422575336059904004
마퐁 ,@Mapon03,2021-08-06T04:02:16.000Z,"마퐁 
@Mapon03
·
8월 6일","그래
디오는 바보였어
죠나단을 죽여서 몸을 취할게 아니라
죠나단을 꼬셔서 죠스타 가문을 먹었어야지
아니면.. 죠나디오에리 폴리아모리 라는 좋은 방법도잇는데
이 순결중시성동애죄악온리헤테로러들의 세계엿던 그 옛날 영국이라면.....
굳이석가면쓰고피빨고살인을 안해도
더 배덕하잖아
7",,,,7,[],https://twitter.com/Mapon03/status/1423494607497695237
잉뽀하세요(반),@intheguk,2021-08-14T14:48:40.000Z,"잉뽀하세요(반)
@intheguk
·
8월 14일","한국정서가 그런가봐..옛날부터 귀신이 동네에 돌아다니면 한이 맺혀서 구천을 떠도는데,이젠 드라마에서도 주인공 죽이고…..이래서 한국은 한 맺힌나라인가봐
ㄴ뭐라는거야 
ㄴ잉뽀 0개국어설
3",⛄,,,3,[],https://twitter.com/intheguk/status/1426556384380817412
대장균,@oromaxilla128,2021-08-03T03:13:41.000Z,"대장균
@oromaxilla128
·
8월 3일","그 얘기 너 알아? 옛날엔 사냥이라는 걸 했잖아 ...  그러니까 본의 아니게 사슴 죽이고 너구리 죽이고 그랬단 말이지 호랑이도 잡으러 다니고... 다 큰 동물만 잡았겠어? 먹고 살기 피곤하니까 작은 애들도 잡고... 먹고 살기 피곤해서만 잡았으면 말도 안하고..
1
1
9",,1,1,9,[],https://twitter.com/oromaxilla128/status/1422395220084203520
예은,@F_ye_eun_,2021-08-03T08:06:09.000Z,"예은
@F_ye_eun_
·
8월 3일","엄마가 옛날에 나 자해한 거 알고 이야기도 많이 하고 했는데 그때 엄마가 준 관심이 너무 부담스럽고 숨막혀서 계속, 계속 그냥 괜찮은 척 했는데.. 엄마가 종종 이젠 괜찮지? 할 때마다 응! 이라고 답해서 그런지 정신과 가자는 말을 못 꺼내겠어
그냥 죽어야하나? 난 치료 한 번 못 받아보고 죽나?
2",,,,2,[],https://twitter.com/F_ye_eun_/status/1422468819813953539
暁空 隼,@SurfingHawk,2021-08-09T13:37:16.000Z,"暁空 隼
@SurfingHawk
·
8월 9일","시간이 좀 지나면 기운이 돌아오든지 하겠지. 죽을 정도로 괴로웠던 옛날 일이 지금와서는 조금 묽어진 것처럼 말야. 그래, 힘든데…. 여럿이 들어주고 공감해주니 이렇게 말할수 있는 수준이 됐어.",,,,,[],https://twitter.com/SurfingHawk/status/1424726476381986819
대학생학대거꾸로해도대학생학대,@conon_conon,2021-08-02T04:28:08.000Z,"대학생학대거꾸로해도대학생학대
@conon_conon
·
8월 2일",옛날에 페북에서 라면끓일때 다진마늘넣으면 극락간다는글이 생각나서 라면끓일때 다진마늘 한숟갈넣었는데 누가 극락간다했냐 졸라 죽야버린다 개맛엄ㄹ어,,,,,[],https://twitter.com/conon_conon/status/1422051567893565444
프라이드,@pride_anna_,2021-08-06T18:05:31.000Z,"프라이드
@pride_anna_
·
8월 7일",(턱을 괴며 한쪽 눈을 굴렸다. 잠시 옛날 일을 회상하며 느릿느릿 말을 잇는다.) 모스크바 놈들이 내 항구에 들어왔어. 그래서 칼라스니코프 맛을 보여줬을 뿐이다. (어깨를 으쓱하며 덧붙였다.) 그대로 한참 잡아 죽이고 나니 모스크바가 비더군. 그래서 차지했을 뿐이야... 남편은 싫어했지만.,,,,,[],https://twitter.com/pride_anna_/status/1423706817717145601
길냥이를아껴줍시다/푸딩,@akhode_oo,2021-08-10T04:11:49.000Z,"길냥이를아껴줍시다/푸딩
@akhode_oo
·
8월 10일","갑자기 옛날생각도 많이나고 오늘따라 혼자만의 시간에 너무 감정적이게 됬나보다 빨리 죽 다먹고 샤워하고 베라가고 복습하고 자기전에 공략하고 그래야지,, 죽 싫어어어",,,,,[],https://twitter.com/akhode_oo/status/1424946562782830597
리스!,@Iris_bloom_at,2021-08-04T19:17:52.000Z,"리스!
@Iris_bloom_at
·
8월 5일","새벽발언해도 되나요
옛날에 죠랭님이 유디트 바니복 입고오면 안드레아 급성쇼크사로 죽을 거라고 하셨는데 그때는 그냥 가운 입은 유디트 정도는 가능하다고 했단말이야
근데 유디트 그런 거 입고 이런 게 좋습니까? 하면서 안드레아 보는거 생각났어
뒷계로 꺼지라고요? 알겠습니다
2",,,,2,[],https://twitter.com/Iris_bloom_at/status/1423000250864738306
소가노 토지코,@Tojiko_bot,2021-08-13T06:31:57.000Z,"소가노 토지코
@Tojiko_bot
·
8월 13일",너 역시 자신의 눈앞의 인간 밖에 쳐다보지 않아. 옛날에는 태자님만을 위해 일족을 죽이고 지금은 어찌된 일인지 나만을 위하여 태자님의 마음조차도 굽히려 하고 있어. 내가 보기엔 네 쪽이 더 망가져있어.,,,,,[],https://twitter.com/Tojiko_bot/status/1426068992855183361
세실리아,@Ceci1ia_,2021-08-04T04:34:07.000Z,"세실리아
@Ceci1ia_
·
8월 4일","뭐가 그렇게 좋은데... 무슨 옛날 이야기라도 하는 기분이다. 옛날 옛적에... 돈 없고 가난한 깡패가 있었습니다. 돈이 없어서 이것저것 하면서 막 살던 인간은 별의별 일을 다 하면서 뭐, 개같이 살았는데... 당연하다면 당연하게도 일찍도 죽을 위기가 찾아왔어.",,,,,[],https://twitter.com/Ceci1ia_/status/1422777846364139522
사카타 긴토키,@Gintoki_bot_gx,2021-08-04T21:07:17.000Z,"사카타 긴토키
@Gintoki_bot_gx
·
8월 5일","아니, 그건 나 맞아. 옛날에 내게 제자로 받아 달라며 들이대던 애송이가 있었지. 전장에 나가면 바로 죽을 것 같아서 보급담당을 시켰는데. 폼만 베끼는 녀석이라 다들 벡야차라고 놀려댔어.",,,,,[],https://twitter.com/Gintoki_bot_gx/status/1423027784394280965
드친소했어요 내드림안파요 나는야사기꾼,@princess_wpdr,2021-08-29T10:20:45.000Z,"드친소했어요 내드림안파요 나는야사기꾼
@princess_wpdr
·
8월 29일","우리 여보랑 찰칵~♡♡
이자식이 미쳤나 이거 죽을라고

트레틀 썼어요! 언젠가 옛날은 묻어두고 새 사랑 시작한 사니와님 근데 남편이 좀... 촐싹댐
4
7",,,4,7,"['https://pbs.twimg.com/media/E983RvSVEAITHHi?format=png&name=small', 'https://pbs.twimg.com/media/E983S1yUUAcsxWq?format=png&name=360x360', 'https://pbs.twimg.com/media/E983Tx0VUAA591O?format=png&name=360x360']",https://twitter.com/princess_wpdr/status/1431924778269495296
몽몽,@MmBBAAa00,2021-08-21T11:01:46.000Z,"몽몽
@MmBBAAa00
·
8월 21일","짜증나죽겟ㅁ
묘
옛날에는찌통물이참조앗는데....
지금도 좋긴함
한결같은취ㅗㅑㅇ
개빡쳐
헤어졋는데취해서데리러오는거좋어
헤어지고후폭풍오는거좋아
일단헤어지고봐",,,,,['https://pbs.twimg.com/media/E9T0qbIVgAIuOx3?format=jpg&name=small'],https://twitter.com/MmBBAAa00/status/1429035995421241346
토성산 식용얼음,@JewelryRain,2021-08-27T08:06:03.000Z,"토성산 식용얼음
@JewelryRain
·
8월 27일","세계가 이상해 진 것 같아서 옛날 사건들 죽 돌아봤는데 2011년에도 그리스가 뒤집어 졌고, 토트넘이 불탔고, 후쿠시마가 갈라졌고, 카이로에는 꽃이 잠깐 폈었네.
세계는 10년 전에도 이상했구나...
1",,,,1,"['https://pbs.twimg.com/media/E9yFTOzVgAQfs7j?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yFh2-UcAQutJj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yFTSCVQAEK9hx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yFk5UVQAA0sbw?format=jpg&name=360x360']",https://twitter.com/JewelryRain/status/1431166104404037632
《《《스커룬!!!!!!슈터룬!!!!!》》》SHa,@TZTzTt,2021-08-16T12:08:25.000Z,"《《《스커룬!!!!!!슈터룬!!!!!》》》SHa
@TZTzTt
·
8월 16일","데못죽 재밌어보이는데
카카페 옛날뷰어라 그래서
손뗌
제발 그것만은 제발
1",,,,1,[],https://twitter.com/TZTzTt/status/1427240831849623552
태수형,@xoxo000_0,2021-08-17T13:55:37.000Z,"태수형
@xoxo000_0
·
8월 17일","매달 잔차품이 나올 생각에 설레이기도 하지만 한번에 후루룩 읽지 못해서 아쉬워 죽겠어 옛날에 만화잡지 한달 기다리던때도 이렇게 죽을맛이진 않았어
4",,,,4,[],https://twitter.com/xoxo000_0/status/1427630197340315650
백산이는 똠양꿍 먹고싶어,@MAT__ZIP2,2021-08-19T13:02:33.000Z,"백산이는 똠양꿍 먹고싶어
@MAT__ZIP2
·
8월 19일","약간...데못죽 보면 옛날에 파던 아이돌 다시 파고싶어지넴 ㅎ
6",,,,6,[],https://twitter.com/MAT__ZIP2/status/1428341615316246529
주나비,@im_Juhoney_navi,2021-08-30T10:13:12.000Z,"주나비
@im_Juhoney_navi
·
8월 30일","옛날에 자두맛 사탕 맛있게 먹다가 목에 걸려서 기도 막혀 죽을뻔한 기억때문에 안먹는데 인간은 망각의 동물이라고 자두맛 사탕 주언은 먹고싶어
2",,,,2,[],https://twitter.com/im_Juhoney_navi/status/1432285266052464643
휴,@sibalsibal818,2021-08-17T15:24:51.000Z,"휴
@sibalsibal818
·
8월 18일","아 근데 옛날에 살던 집은 옥상 문도 열리고 바로 떨어질 수 있는 곳 이었는데 그 때 그냥 죽을걸 그랬어 여기는 씨발 옥상 문 다 잠궈놓고 겨우 찾은 옥상도 담장이 내 키만해 씨발 나 어떻게 죽으라고 손목이라도 두동강 내고 죽을까?
1
4",,1,,4,[],https://twitter.com/sibalsibal818/status/1427652653429886979
마니,@ikillUirescueU,2021-08-16T18:16:13.000Z,"마니
@ikillUirescueU
·
8월 17일","아까 요즘사람들은뭘좋아하는거지하고 떼못죽1화읽어밧는데 모든문장이 20자내외로이루어졌다는점에서1차충격받고 그냥현실배경인줄알앗는데 갑자기 '상태창'열리는부분에서 2차충격받고 1화만에포기함 큰일낫음 옛날에도반에서나만 온새미로안읽엇는데 그기분을또느끼고십지않앗어
8
7",,,8,7,[],https://twitter.com/ikillUirescueU/status/1427333389409931286
죽사,@hhp_juksa,2021-08-19T15:36:23.000Z,"죽사
@hhp_juksa
·
8월 20일","내옛날그림보는거진짜재밌는데... 과거의죽사가게을러서 아무것도안그렸어
3",,,,3,[],https://twitter.com/hhp_juksa/status/1428380331611025409
누갱,@3PUPPYCAT7,2021-08-28T13:35:46.000Z,"누갱
@3PUPPYCAT7
·
8월 28일","옛날에 어케 글케 열심히산지 모르겟어... 도무송만들고 슬로건만들고 나도 받으러 돌아다녀야해서 그냉 콘서트장에 놓고 나눔하고... 대면 콘서트 그 넉김이 너무 그리워서 죽을거같애 사실 기절할거같애 죽는건 너무
2",,,,2,[],https://twitter.com/3PUPPYCAT7/status/1431611468990976001
유하,@flow_downward,2021-08-27T03:11:03.000Z,"유하
@flow_downward
·
8월 27일","옛날에 하루살이처럼 살고 싶다고 생각한 적 있었어 그러면 하루를 의미있게 보낼 수 있을 것 같아서 말이지 근데 하루살이는 자신이 죽을 때가 됐다는 걸 알고 죽을까? 갑작스러운 죽음인지 예견한 죽음인지 궁금해 죽음을 받아들이는 데 있어서 어떤 게 더 나은지는 모르겠어
1
1",,1,,1,[],https://twitter.com/flow_downward/status/1431091865525231626
놈,@nompang22,2021-08-28T15:27:51.000Z,"놈
@nompang22
·
8월 29일","근데어? 맞춤법틀리는거실어하는거 결국나중가면~어~귀찮다고고쳐져 나도 옛날에죽을만큼싫어햇는데지금
1",,,,1,[],https://twitter.com/nompang22/status/1431639675450449927
인홀@말딸 바르고배 세계 1위,인홀@말딸 바르고배 세계 1위,2021-08-19T11:39:21.000Z,"인홀@말딸 바르고배 세계 1위
@InFiniTy_Holic
·
8월 19일","옛날같았으면 다 총맞아 죽었을 새끼들이야 임오군란때 군인 보기를 개좆으로 보고 밥 좆같이 준 민겸호 어떻게죽었는지 알아? 사람들 다 보는 한가운데에서,  흥선대원군 앞에서 찢겨죽었어
왕가의 큰어른인데 한 나라의 관리이자 귀족이 상민들에게 찢겨죽는걸 못말렸다고
1",,1,,,[],https://twitter.com/InFiniTy_Holic/status/1428320680622235651
zero loveless,@0L0V3L355,2021-08-28T04:19:26.000Z,"zero loveless
@0L0V3L355
·
8월 28일",네가 날 사랑한다고 하면 어떻게 해야할지 모르겠어... 이건 옛날부터 그랬거든. 날 사랑해줬으면 좋겠는데 사랑한다고 해주면 막상 또 복잡한 기분이 들어.. 흐흐..난 너희를 10분 마다 죽이고 싶다가 다시 괜찮아지고 완전 물결쳐...,,,,,[],https://twitter.com/0L0V3L355/status/1431471463245119488
꽃미남 지쟈스,@JesusChristYHWH,2021-08-24T16:15:07.000Z,"꽃미남 지쟈스
@JesusChristYHWH
·
8월 25일",마녀사냥은 옛날이나 지금이나 똑같이 일어나고있어. 말도 안되는 구라가지고 애꿎은 애들을 죽이고 다니잖아. 안그래?,,,,,[],https://twitter.com/JesusChristYHWH/status/1430202018581213185
PANDA,@voX_Xo,2021-08-19T11:48:32.000Z,"PANDA
@voX_Xo
·
8월 19일","정말 우리 팬들은 친화력 오진거 같아 
19년도 팬싸때도 닉네임 안알려주셔서 모르지만 
광화문에서 봤었다고 마주쳤을때 인사 하고 가시고 ㅋㅋ

죽전때도 갑자기 영상 잘 보고 있다고 하시는 분 있고 ㅋㅋ
옛날 공방 다닐때 느낌 나서 좋았어 ㅋㅋㅋ 
근데 누군지 나도 알고 싶다.. 왜 알지 대체...",,,,,[],https://twitter.com/voX_Xo/status/1428322989720756226
마리에는 고등어를 좋아한다,@Godeungeo_45,2021-08-17T13:47:29.000Z,"마리에는 고등어를 좋아한다
@Godeungeo_45
·
8월 17일",사실 아직도 뭐라고 해야하나 옛날일이 트라우마로 남아서 다른사람하고 친하게 지내는 거 진짜 못하겠어 대화하면 긴장해서 이상한 말 해버려서 분위기 망친다거나 그리고 어색한 거 진짜 못참아서 죽을 것 같음 그런 순간 자체가 없었으면 좋겠고..,🍀 🌱,,,,[],https://twitter.com/Godeungeo_45/status/1427628148343070720
ㅌㅅ,@tosonbadak,2021-08-24T15:21:44.000Z,"ㅌㅅ
@tosonbadak
·
8월 25일","구작화 너무 예쁘고 옛날편들 다 너무 재밌고 오프닝 엔딩 노래도 영상도 다 너무 좋고 너무너무너무너무너무 그냥 너무 좋아서 못 보겟어 ㅅㅂ... 너무좋아서 죽을거같단말야
1
3",,,1,3,[],https://twitter.com/tosonbadak/status/1430188582673608709
구깨,@_977H,2021-08-29T16:09:25.000Z,"구깨
@_977H
·
8월 30일",근데 옛날 그림은 갑자기 왜 알티가... 나 지금 민망해죽겟어...ㅜ,🎂,,,,[],https://twitter.com/_977H/status/1432012522761060358
暁空 隼,@SurfingHawk,2021-08-20T23:37:21.000Z,"暁空 隼
@SurfingHawk
·
8월 21일","시간이 좀 지나면 기운이 돌아오든지 하겠지. 죽을 정도로 괴로웠던 옛날 일이 지금와서는 조금 묽어진 것처럼 말야. 그래, 힘든데…. 여럿이 들어주고 공감해주니 이렇게 말할수 있는 수준이 됐어.",,,,,[],https://twitter.com/SurfingHawk/status/1428863758961582081
등딱지,@trtlshell,2021-08-30T10:29:00.000Z,"등딱지
@trtlshell
·
8월 30일","옛날에 학교에 리동쥔이 강연을 와서 처음엔 우와 유명인이다 하고 신기해했는데 중반 이후부터 잤어
아직도 그 사람이 뭔 얘기 하고 갔는지 모름...지루해 죽을 뻔했던 기억만 남아있음 (의무 참석이었음)
1",,,,1,[],https://twitter.com/trtlshell/status/1432289242525302785
