UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lena’s Table,@LenaJung13,2021-08-15T16:55:55.000Z,"Lena’s Table
@LenaJung13
·
Aug 15","협재 주민으로 추천하는 3곳. 감동 순서로 포스팅

01. Hotel Sand
카페와 숙박을 같이 하는 곳으로 협재 바다까지 걸어나갈 수 있는 곳. 누드 톤에 예쁜 공간부터 바다를 보고 누워 있을 수 있는 침상까지!! 해외로 여행간 기분이 드는 곳. 
깨 볶는 커플 많음 주의!! ㅎㅎ
6
4.3K
7.6K",,6,4.3K,7.6K,"['https://pbs.twimg.com/media/E82MLrMVoAIX8ah?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E82MLv9VEAEhZcI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E82MLrdVoBIaKPg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E82MLxJVcAIP_YY?format=jpg&name=360x360']",https://twitter.com/LenaJung13/status/1426950796176859145
NCT127 = L.O.V.E,@ncit_codingcrew,2021-08-27T13:27:03.000Z,"NCT127 = L.O.V.E
@ncit_codingcrew
·
Aug 27","𝐖𝐞𝐥𝐜𝐨𝐦𝐞 𝐍𝐂𝐓𝟏𝟐𝟕 𝟑𝐫𝐝 𝐑𝐞𝐠𝐮𝐥𝐚𝐫

엔시티127 정규 3집 컴백을 기념하여
NCIT와 STICKER 두 가지 버전으로 카페 이벤트를 진행합니다

𝐰𝐡𝐞𝐧 : 𝟐𝟏.𝟎𝟗.𝟏𝟕 ~ 𝟐𝟏.𝟎𝟗.𝟏𝟗
𝐰𝐡𝐞𝐫𝐞 : 𝐜𝐚𝐟𝐞 𝐟𝐥𝐚𝐭

#지구_말로는_그거_127

자세한 특전 사양은 타래로 이어갈게요
4
1.8K
1.2K",✨,4,1.8K,1.2K,"['https://pbs.twimg.com/media/E9zPcv8VgAYugCk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zPcv8UUAA2aVR?format=jpg&name=small']",https://twitter.com/ncit_codingcrew/status/1431246886766190592
보국이 평생가정찾아요,@boguk0603,2021-08-09T15:14:10.000Z,"보국이 평생가정찾아요
@boguk0603
·
Aug 9","안녕하세요. 오늘은 보국이 임보 마지막날짜입니다. 혹시나 싶어 오늘 보국이가 발견된 장소 주위를 3시간 동안 돌아다녔지만 주인은 끝까지 찾을 수 없었습니다. 보국이는 입양 되는 것이 아닌 입양카페로 이동을 하기때문에 아직 평생가족을 찾고 있습니다. 비록 저는 여기서 보국이와 헤어지지만
1
9
3",,1,9,3,['https://pbs.twimg.com/media/E8W7WIkVgAUWox2?format=jpg&name=small'],https://twitter.com/boguk0603/status/1424750859771015170
청렴,@treeforreal,2021-08-28T12:53:23.000Z,"청렴
@treeforreal
·
Aug 28","건대 방탈출카페 <솔버> 놀러갔다가  싸인 봤어욤
여긴 ‘루시드드림’이라는 공포테마로 유명한 곳인데용 두분은 무섭다는 얘기 듣고 이 테마 다음 시리즈인 ‘콜드 케이스’ 하고 가셨대여 
그리고 은 이 다음에 찾았다오~그룹 리더랑 와서 같은 테마 또 하고 가셨대여
1
362
650",🐻 🐹 🐻,1,362,650,['https://pbs.twimg.com/media/E94RVjaUYAEVsOe?format=jpg&name=small'],https://twitter.com/treeforreal/status/1431600802691358722
DAKCHEO MALPOY⁺⁺,@ikjunsite,2021-08-22T02:41:32.000Z,"DAKCHEO MALPOY⁺⁺
@ikjunsite
·
Aug 21","Translating;

SeokHyung:“Where are you guys?”(다들 어디야)
SongHwa:“I’m at the cafe. Anyone drinking coffee?”(나 카페. 커피 마실사람?)
IkJun:“Me! Me!”(저요 저요(formally))
JeongWon:“I want to drink coffee too”(나도 커피 마실래)
SongHwa:“Alright. Come to the cafe”(그래. 카페로 와)
1
96
315",🍒 🍓,1,96,315,['https://pbs.twimg.com/media/E9XLwf9VIAQ83ZG?format=jpg&name=small'],https://twitter.com/ikjunsite/status/1429272495127875585
소용,@soyong_yy,2021-08-30T08:19:18.000Z,"소용
@soyong_yy
·
Aug 30","집 가려다가 친구들이 양쪽에서 내 팔 잡고 카페로 끌고 와따.. 돈 없다니까 친구가 사줘써 후하후하
4
16",,4,,16,['https://pbs.twimg.com/media/E-BlydOUcAMP9Jw?format=jpg&name=small'],https://twitter.com/soyong_yy/status/1432256602136973316
케이채 (K. Chae),@kchae,2021-08-30T11:20:35.000Z,"케이채 (K. Chae)
@kchae
·
Aug 30","독립문 근처 독립밀방. 브런치 카페로도 운영하지만 파스타와 스테이크도 괜찮았다. 작은 주택을 꾸며두었는데 공간이 감각적이고 야외 거울이 인기가 많을 것 같더라. 추천.
52
111",,,52,111,"['https://pbs.twimg.com/media/E-CPQqjVQAsfZCq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CPQqlVcAYVDQX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CPQqlVIAIjb60?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CPQqlVIAYtvP2?format=jpg&name=360x360']",https://twitter.com/kchae/status/1432302221283061763
갱주,@doggy_somging,2021-08-24T11:06:58.000Z,"갱주
@doggy_somging
·
Aug 24","딸쭈와 함께 나들이~ 한옥집을 개조해서 카페로 쓰더라구요 너무 예뻤어요
#갱솜들
1
11",🐶 🍓 🍓 🥰,1,,11,"['https://pbs.twimg.com/media/E9jSnbpUYAI4thG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jSoCdVcAUieGj?format=jpg&name=360x360']",https://twitter.com/doggy_somging/status/1430124470451064834
DREW,@DrewAhn1,2021-08-22T10:48:46.000Z,"DREW
@DrewAhn1
·
Aug 22","배인규와 그 무리는 유성구 봉명동 오후 4시 7분 경 물리적인 위협을 하며 제가 카페로 숨을때 까지 끈질기게 쫓아왔습니다.
1. 큰 소리로 위협하며 물총을 쏘면서 가까이 쫓아왔습니다. 물총에 맞기도 했습니다.
2. 저를 따라잡은 후 얼굴 앞으로 마이크를 들이밀며 위협했습니다. 
@Teamhaeil
전국 릴레이 백래시 규탄시위《해일》
@Teamhaeil
 · Aug 22
0:09
긴급상황입니다

현재 해일팀 대전시위에조차 신남성연대 배인규가 소리지르며 참석자들에게 물총을 쏘는 등 위협을 가하며 따라붙고 있습니다. 
해일은 일단 시위참석자분들을 보호하기 위해 시위를 해산하였습니다.

이 말도 안되는 상황을 알리고 고발해주세요.
Show this thread
17
5.8K
895",🌊 ❗ ❗ ❗ ❗,17,5.8K,895,"['https://pbs.twimg.com/media/E9Y7RpzVkAI_J0T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Y7RpyVgBUVHzK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9Y7RpxUUAwzLmm?format=jpg&name=360x360', 'https://pbs.twimg.com/profile_images/1411341962012098561/yi1apwQN_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1429348380631732225/pu/img/TwEZk5-nVUSiBf9o?format=jpg&name=240x240']",https://twitter.com/DrewAhn1/status/1429395112203751424
차애,@infj_3467,2021-08-14T12:53:52.000Z,"차애
@infj_3467
·
Aug 14","와상님의 갓썰 보고 그린 곽형제 만화. 브금 있어서 카페링크로 올려요

https://cafe.naver.com/onimobile/10329677…
1
7
14",😞,1,7,14,"['https://pbs.twimg.com/media/E8wLMPEUYAYy3_j?format=jpg&name=small', 'https://pbs.twimg.com/media/E8wLMY5VkAQ32Le?format=jpg&name=small', 'https://pbs.twimg.com/media/E8wLMicUUAEUuCY?format=jpg&name=360x360']",https://twitter.com/infj_3467/status/1426527493888958466
