UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
지니네 쉼터,@genies_shelter,2021-08-15T23:48:55.000Z,"지니네 쉼터
@genies_shelter
·
Aug 15","후지마비 고양이 길동이
길동이는 압박배뇨를 해줘야 하지만 진짜 잘 먹고 잘 논다

기특한 울 길동이

지니네 쉼터 봉사 문의는 네이버 카페를 통해서 해주세요
4
70
91",🐈 ✨ 💛 🙂,4,70,91,"['https://pbs.twimg.com/media/E83qtNaUYAIBYD9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E83qtNbVIAMgdia?format=jpg&name=360x360']",https://twitter.com/genies_shelter/status/1427054727330557956
호로록쨥,@jonna_masisda,2021-08-17T15:22:10.000Z,"호로록쨥
@jonna_masisda
·
Aug 17","윤낫 역아고
좀 웃긴게 정고딩 카페에서 초코 스무디 카라멜 마끼아또 아이스 초코 이런것만 마신다고 우리 유노 애기네~ 아기라이팅 하는데 정작 최아저씨 요거트 스무디 좋아하고 야채 나오면 그거 다 정고딩이 먹어줌.
 울 유노 완전 애기야. 엏 이거 오이 들어갔어.
 (말없이 먹어줌)
12
28",🐱 🐶,,12,28,"['https://pbs.twimg.com/media/E9AJ5s6VcAgfd7A?format=jpg&name=small', 'https://pbs.twimg.com/media/E9AJ5s6UUAM-rMk?format=jpg&name=360x360']",https://twitter.com/jonna_masisda/status/1427651978335703045
시시ᥫᩣ,@Bright12273,2021-08-07T09:33:38.000Z,"시시ᥫᩣ
@Bright12273
·
Aug 7","울 애기들 상받으면 이벤트 할려고 샀는데
고민 끝에 스게더 카페가게됨요
(사촌이 저 당연히 오는 줄 알고 편히 쉬라고 호텔예약해놓음요)
수량이 얼마없어서 제 눈에 보이는 분들 나눠주는걸로
●공구 굿즈는 아직 다 도착 안해서 담주 목요일쯤에 보낼예정이래요(컵,2차공구 부채,캐시돌제외)●
21
10
77",🥺 😯,21,10,77,['https://pbs.twimg.com/media/E8LaPKaVEAUAiA7?format=jpg&name=small'],https://twitter.com/Bright12273/status/1423940388272820224
설하,@hyeonnys,2021-08-03T11:06:17.000Z,"설하
@hyeonnys
·
Aug 3","#소시와_손잡고_걸어_온_14년째

한적한 시간에 가서 여유롭게 보내고 왔어요  울언니들 카페에서 사진으로 다 보니까 기분 짱이었던  카페 앞에 걸려있는 현수막도 넘 예쁨...
12
32",❄ 💖 ✨ 😍,,12,32,"['https://pbs.twimg.com/media/E73JEy7UUAI2dQI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73JEy8VEAEXVMW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73JEy9UUAcJYN4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73JEztVEAAhJBr?format=jpg&name=360x360']",https://twitter.com/hyeonnys/status/1422514150090035200
오후,@jenothelove,2021-08-01T10:05:09.000Z,"오후
@jenothelove
·
Aug 1","#오늘의_기분은_해피_마크데이
카페라임♥︎

드디어 온 울 제리뽀(
@coolkid_jerry
) 가 하는 생카 왔는데 생카와서 오히려 다른 거까지 다 받아가는 기분 ••  
여기 전부 제리뽀가 꾸몄어요 많이들 놀러와주세오 
마크야 미리 생일 축하해 ♥︎♥︎
1
9",❤,,1,9,"['https://pbs.twimg.com/media/E7sn5S5UcAAS1kx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sn5S8UUAcZXEq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sn5S_VoAAXRwa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sn5S7VoAELC7D?format=jpg&name=small']",https://twitter.com/jenothelove/status/1421773993074323459
slow 인,@in_city_dream,2021-08-16T14:43:08.000Z,"slow 인
@in_city_dream
·
Aug 16"," 합정 라뽀즈

비건 케이크 맛집 아몬드브리즈나 두유로 만든 라떼도 있고 저희가 먹어본 초코랑 얼그레이 케이크 둘다 맛있었어요! 카페 내부는 예쁘지만 작아서 조금 시끄러울수도 있고 대부분 2인용 테이블만 있어요 옆 테이블이랑 가까워서 포카샷 찍기 사알짝 민망했음ㅋㅋ

#제노의_맛그당어
9
18",🍰 😋,,9,18,"['https://pbs.twimg.com/media/E863YBZVUAgmhhF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E863YBZVIAAdFLu?format=jpg&name=360x360']",https://twitter.com/in_city_dream/status/1427279764256034818
에셀은 물욕의 집요정이에요,@hohoaz,2021-08-26T10:04:42.000Z,"에셀은 물욕의 집요정이에요
@hohoaz
·
Aug 26","우리집앞에 이런 앱눈티 카페가 생겼다... 근데 2인부터라고 해서 독고오따꾸 울고있다...혼자선 먹을수도 없고...식이 제한중일뿐이고..쩝...
1
6",,1,,6,['https://pbs.twimg.com/media/E9tXjZqVcAkMRgk?format=jpg&name=900x900'],https://twitter.com/hohoaz/status/1430833574748426250
케이채 (K. Chae),@kchae,2021-08-30T13:33:58.000Z,"케이채 (K. Chae)
@kchae
·
Aug 30","오늘의 카페는 헤비사이드. 처음으로 가보는 동네여서 여전히 서울에 내가 모르는 곳이 많구나 하고 느꼈다. 옛 2층 주택을 개조한 것은 새로울 것이 없지만 감각이 괜찮고, 커피도 의외로 좋았다. 평일 날이라 그런지 한산해서 분위기가 마음에 들었다. 독특한 물건을 파는 미니샵도 있다. 괜찮다.
12
51",,,12,51,"['https://pbs.twimg.com/media/E-CtzI5UcA4Iggv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CtzI7VkA0lO2l?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CtzI6VgAY5o27?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CtzI7VgAQB3uP?format=jpg&name=360x360']",https://twitter.com/kchae/status/1432335789891883010
귀리라떼,@lofty_cat,2021-08-03T05:32:43.000Z,"귀리라떼
@lofty_cat
·
Aug 2","카페 이쁘다ㅎㅎ 코로나라 한시간제한있는게 아쉬울따름
The following media includes potentially sensitive content. Change settings
View
8",,,,8,[],https://twitter.com/lofty_cat/status/1422430206816448519
빛날,@MH_202523,2021-08-06T11:39:29.000Z,"빛날
@MH_202523
·
Aug 6","#명준투어 

칼국수,카페 다 넘 좋았구 날씨가 다 했음^~^
울엄마 명준옵 브이로그보고 노래 넘 잘부른다며
매일 노래듣다가 명준옵한테 스며드셔서(?
같이 드라이브겸 명준투어 다녀왔다~
나한테 명준이 포카있냐며 드렸더니 
핸폰케이스에 끼고다니심ㅋㅋ
쨋든 넘좋았다ㅠ

#아스트로 #엠제이 #MJ
6
24",💗,,6,24,"['https://pbs.twimg.com/media/E8GtaXGVEAYeHfa?format=jpg&name=small', 'https://pbs.twimg.com/media/E8GtbC9VcAAs3kS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8GtcEQVgAYu9mE?format=jpg&name=360x360']",https://twitter.com/MH_202523/status/1423609668614512640
슴듸,@y0gurtsmoothie,2021-08-17T01:05:40.000Z,"슴듸
@y0gurtsmoothie
·
Aug 16","나의 와기 ••• 일사가 태일이 써클을 선물로 보내줬다 ㅠ 그리구 같이 깜짝 선물로 보내준 카페지송이 ♡ 저번에 카페지송이 내가 실수로 접어서 이제 하나밖에 없는데 ••• 알고 선물로 준건지(?) 아니어도 넘 고맙고 진짜 감동했다
울 공주 글씨도 이뻐 ㅠ 쪽지 따로 보관할게
우리 평탤하쟈
1
8",‼,1,,8,['https://pbs.twimg.com/media/E89F3UTVgAI94IL?format=jpg&name=small'],https://twitter.com/y0gurtsmoothie/status/1427436433438957572
첼,@bts13613_twt,2021-08-28T06:01:10.000Z,"첼
@bts13613_twt
·
Aug 27","예쁜 정국이 생일카페
사진 하나 하나 다 너무 예뻤던 카페
울 정국이 미리 생일 축하해
 #아미바라기_정구기_생일ㅊㅋ
#HAPPY_JK_DAY
 
@meltingon_
5
13",💜 🥰 💜,,5,13,"['https://pbs.twimg.com/media/E92y_eCVcAQAm4S?format=jpg&name=small', 'https://pbs.twimg.com/media/E92y_e-VUAAWKPK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92y_e5UYAEmp-d?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92y_fIVQAI-YnO?format=jpg&name=360x360']",https://twitter.com/bts13613_twt/status/1431497064353988617
이삼,@dream_3to3,2021-08-22T01:54:10.000Z,"이삼
@dream_3to3
·
Aug 21","𝑰 𝒘𝒊𝒍𝒍 𝑫𝒊𝒗𝒆 𝒊𝒏𝒕𝒐 𝒀𝒐𝒖

런쥔이 데뷔 5주년 전시카페 다녀왔어요!
액자가 진짜.. 하나하나 다 예뻤어요ㅠ 울 런쥐수혈 만땅하고 갑니다!! 선착 포토북도 받고 복권도 당첨돼서 넘 행복했어요ㅠㅠ 액자 못 사서 통판 진행만 기다리구 있습니다ㅎㅎ 예쁜 런쥔이 잘 보고 가요! ◜◡◝♡
1
10
48",😍,1,10,48,"['https://pbs.twimg.com/media/E9XA6bIUUAIv-f0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XA6bxUUAEre9T?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XA6bJVkAgfp1z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XA6cuVIAUI-kL?format=jpg&name=360x360']",https://twitter.com/dream_3to3/status/1429260575339474948
냐냥,@helenwaren,2021-08-07T06:41:07.000Z,"냐냥
@helenwaren
·
Aug 6","#오직_박민성만이_삶을_견디게_하지
#HAPPYMINSUNGDAY

박민성 배우님 생일 기념으로 카페 왔다. 기본 특전은 끝나서 아쉽지만 행복한 하루

알고보니 시데가 아니라 아랑가에서 처음 뵌 배우님.
그때 도미 덕분에 울고 웃었는데,, 그 이유가 있었구나

#평생_무대해_박민성
#한_여름의_민성Day
1
1",,1,,1,['https://pbs.twimg.com/media/E8Kyv_vVEAAnXV9?format=jpg&name=small'],https://twitter.com/helenwaren/status/1423896972511956992
탠쟉,@_05461307_,2021-08-17T13:47:13.000Z,"탠쟉
@_05461307_
·
Aug 17","울동네 예쁜카페 많아♡(.◜ω◝.)♡  (맛있겠다...)
3
1
7",,3,1,7,"['https://pbs.twimg.com/media/E8_0Kf8X0AIlWpI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_0Kf0WQA05u4h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_0Kf0WEAgxQVU?format=jpg&name=360x360']",https://twitter.com/_05461307_/status/1427628080877772800
라떼,@honey_bread94,2021-08-24T12:03:59.000Z,"라떼
@honey_bread94
·
Aug 24","상수 복숭아꽃
#영화같은_도운이의_찬란한_생일
#Dowoon_in_a_movie
혼자 끙끙 앓다가 후다닥 테이크 아웃한 울 갱얼쥐 카페! 이렇게 많은 사람들한테 사랑받는 갱얼쥐ㅠㅠ 축하하는 사람중 한명 접니다.. 카페 너무 예뻐서 같이 간 일행 분들도 사진찍구 나왔습니당ㅎㅎ 세상 제일 축하해! 
1",❤,,1,,"['https://pbs.twimg.com/media/E9jfq_XVEAIyByT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jfq_pVEAMyLDG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jfq_YVIAAo39c?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jfrB5VEAIOZ8-?format=jpg&name=360x360']",https://twitter.com/honey_bread94/status/1430138819827752971
