UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
마뱀,@i_luv_Hue,2021-08-15T07:31:22.000Z,"마뱀
@i_luv_Hue
·
Aug 15","#오늘도_예쁜_휴닝이 
입구부터 휴닝이로 가득했던 카페 와디즈 303에 생일 당일에 다녀왔습니다! 어머뿔 휴아기 배너 보고 너무 귀엽다고 생각했는데 카페 정면에 도착하자마자 보이는 943 휴닝이 덕에 단짠단짠 제대로 맛봤어요...
(타래)
1
3
7",,1,3,7,"['https://pbs.twimg.com/media/E80K9eOVEAIZ-AI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E80K97tUYAA-ofQ?format=jpg&name=360x360']",https://twitter.com/i_luv_Hue/status/1426808719615021057
《가슴이 뛰는》로즈벨벳੯‧̀͡u,@ff14_RoseBB,2021-08-05T13:12:22.000Z,"《가슴이 뛰는》로즈벨벳੯‧̀͡u
@ff14_RoseBB
·
Aug 5","★☆★☆★☆★★☆★☆★
장미관 외전편 고휴카페OPEN!!

그.. 손님들보니 직원을도 뽕차서 고휴만지락해봤습니다(?
(수염,커마,성별,종족 제한없이 입장가능!!)
#중년들의_장미관

시간: 8월 7일 22시30분 오픈~
장소: 당일 파찾 22시 공개
        (레라즐기고오세요^^
★☆★☆★☆★☆★☆★☆★
2
122
25",,2,122,25,['https://pbs.twimg.com/media/E8B5HkbUYAohhjg?format=jpg&name=small'],https://twitter.com/ff14_RoseBB/status/1423270656125267969
콘서트가는김쟤재,@heehee_heejae,2021-08-17T04:35:39.000Z,"콘서트가는김쟤재
@heehee_heejae
·
Aug 16","저 고양이 로고 낯이 너무 익은데 기억이 안나서 계속 찝찝~~~했는데 갑자기 떠오름!! 히재 먹던 카페 로고구만 휴 속 시원
22
37",🐆 🥕,,22,37,"['https://pbs.twimg.com/media/E8917jxVIAEQHet?format=jpg&name=small', 'https://pbs.twimg.com/media/E8917j0VgAMB5Q0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8917j0VgAIVZRJ?format=jpg&name=small']",https://twitter.com/heehee_heejae/status/1427489277844197379
연초w,@YeonCho_FF14,2021-08-08T19:09:39.000Z,"연초w
@YeonCho_FF14
·
Aug 8","이벤트로 고휴카페가 되었던 장미관~ 항상 찾아와주셔서 감사합니다!
 #중년들의_장미관
4
5",,,4,5,"['https://pbs.twimg.com/media/E8SngtEUcAAP6aD?format=jpg&name=small', 'https://pbs.twimg.com/media/E8SnhMCVoAAKDQF?format=jpg&name=small']",https://twitter.com/YeonCho_FF14/status/1424447735776698374
튬튬,@Esme_FF14,2021-08-07T16:52:07.000Z,"튬튬
@Esme_FF14
·
Aug 7","오늘 삼촌이랑 고휴 카페 다녀왔다는 소식~
1
5",,,1,5,['https://pbs.twimg.com/media/E8M-OvoVIAEOy4x?format=jpg&name=small'],https://twitter.com/Esme_FF14/status/1424050736300576768
소비요정 밤하늘 위,@a_night_sky_up,2021-08-01T08:02:23.000Z,"소비요정 밤하늘 위
@a_night_sky_up
·
Aug 1","사진 찍는게 어색합니다 휴 분위기 예뻤는데 카페 가고싶다
1
26",,1,,26,['https://pbs.twimg.com/media/E7sLz9HVUAcLQOx?format=jpg&name=small'],https://twitter.com/a_night_sky_up/status/1421743097814290433
밀루유떼ᴾᵀᴰ,@Miluju_te_BTS,2021-08-28T04:34:10.000Z,"밀루유떼ᴾᵀᴰ
@Miluju_te_BTS
·
Aug 27","가는날이 장날이라구 
석파정 31일까지휴관뿌앵 ㅠㅠ
산모퉁이 카페와서 차 한잔마시며
다음 행선지 검색중;;
#아미의일상
#BTS 
@BTS_twt
3
9
38",😂,3,9,38,"['https://pbs.twimg.com/media/E92fEMaUUAQIvy_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92fEwSVUAMhjkC?format=jpg&name=360x360']",https://twitter.com/Miluju_te_BTS/status/1431475168015106048
매력다니엘,@sunmi944,2021-08-07T06:19:56.000Z,"매력다니엘
@sunmi944
·
Aug 6","대구 카페휴노왔는데 다니님들의 나눔선물이 한가득~♡♡ 
@always___daniel
 님의 투명포카와 
@chang4075
 님의 뚱이스폰지밥 방향제 
@beth_Daniel23
 종이슬로건과 안경닦이 
@Danielgyeol
 님의 3종부채까지~~^^ 전달해주신 
@parkeunhwa1210
 님 감사해요♡♡ 우리다님들은 다 천사인가봐요 감사합니다
1
8
35",,1,8,35,['https://pbs.twimg.com/media/E8Kt5qhUYAQsrzW?format=jpg&name=small'],https://twitter.com/sunmi944/status/1423891641404846096
J͈̮M̤̥,@sep0613,2021-08-21T14:53:56.000Z,"J͈̮M̤̥
@sep0613
·
Aug 21","으휴 멤카페 아주매미들 뭐라는거야,,
GIF
1
10",,,1,10,[],https://twitter.com/sep0613/status/1429094424143822858
제트,@nnnbbb599,2021-08-15T12:35:31.000Z,"제트
@nnnbbb599
·
Aug 15","#휴_닝카이_생일_아직안지났네
꺄 카페꼬모♡
잘다녀왔어용 너무 예쁘고 
아기자기 잘꾸며져있었던..♡
2
6",,,2,6,"['https://pbs.twimg.com/media/E81Qk-0VoAEvp_K?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81Qk-3VEAMbw6C?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81Qk-0UUAUOi5X?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81Qk-2VEAc1fYe?format=jpg&name=360x360']",https://twitter.com/nnnbbb599/status/1426885263746158603
hue..,@huuinging,2021-08-15T12:44:43.000Z,"hue..
@huuinging
·
Aug 15","카페 내부에 너무 예쁘게 꾸며져있어서 놀랐어요..완전 휴닝이천국,,,딸기라떼도 너무 맛있게 먹었구 펭귄 마카롱도 너무 귀여워용!!!..♥︎
생일카페 열어주셔서 감사합니당

#휴닝이_생일_축하받고_심분딩
#KaiIsTheBest_Birthday
The following media includes potentially sensitive content. Change settings
View
2
7",,,2,7,[],https://twitter.com/huuinging/status/1426887575784943621
살려줘...,@pwtotoro,2021-08-06T00:57:58.000Z,"살려줘...
@pwtotoro
·
Aug 5","rt)고휴카페…?
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/E8EanZiVUAEtPdO.jpg'],https://twitter.com/pwtotoro/status/1423448228347875328
녹차와보리차,@junserious,2021-08-19T13:55:06.000Z,"녹차와보리차
@junserious
·
Aug 19","요즘 너무 바빠서 생일날 맞춰 카페도 못가보고 휴,,,,,,, 그래두 집에 와서 케익초는 켰어요 생일 축하합니다 행복한 날들만 가득하길
2",🌿 🎂 🎉 👏,,,2,['https://pbs.twimg.com/media/E9KJKI-VUAQ9I13?format=jpg&name=small'],https://twitter.com/junserious/status/1428354841462534146
토뵤,@041019_,2021-08-14T04:43:09.000Z,"토뵤
@041019_
·
Aug 13","휴맹이 생일카페에서 잘 놀다갑니당 ♡3♡ 

#휴_닝카이_생일_아직안지났네
#귀엽고깜찍한휴닝몰랑이ღ
#기적같이_만난_휴닝카이의_20살
2
15",,,2,15,"['https://pbs.twimg.com/media/E8ua3cWUYAYfC3m?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ua3cWUYAIoBUn?format=jpg&name=360x360']",https://twitter.com/041019_/status/1426404000463679498
일오,@teen_eternity,2021-08-15T06:22:44.000Z,"일오
@teen_eternity
·
Aug 14","여긴 카페 건물 외부부터 너무 이뻤어요ㅠ
하나 남은 펭닝 와리와리 세트를 잡았다는게..
윗층 전시회+럭드 너무 좋았어요! 럭드 상품도 다양했어요 휴닝이 생일 이벤트 진행해주셔서 감사하고 수고하셨습니다! 휴카야 생축  

#FLY_HIGH_BUTTERFLY
#휴닝이_카페는_처음이지!
2
14",🙏 ❤ 🥳,,2,14,"['https://pbs.twimg.com/media/E8z7PwiVcAc830F?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z7P3mUcAQhu0N?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z7PyYUUAM2G2v?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8z7P5eVEAAOjlP?format=jpg&name=360x360']",https://twitter.com/teen_eternity/status/1426791449689870336
쏘,@HUElove_sso,2021-08-14T13:16:27.000Z,"쏘
@HUElove_sso
·
Aug 14","휴니니 생일카페 후기 
3
4",🐧 ❤,3,,4,[],https://twitter.com/HUElove_sso/status/1426533176877346823
ヤンコン얀콩,@Hayan_1012,2021-08-06T02:12:14.000Z,"ヤンコン얀콩
@Hayan_1012
·
Aug 5",뭐?!!! 고휴 카페요?!!!!!!,,,,,[],https://twitter.com/Hayan_1012/status/1423466918401384457
왕주먹불두식,@asibalff14,2021-08-06T00:20:36.000Z,"왕주먹불두식
@asibalff14
·
Aug 5","고휴카페를 향한 나의 마음이 보이나요

 ㄴ 마음이 4기가 남으셨네요
      ㄴ크아악
1
3",,1,,3,[],https://twitter.com/asibalff14/status/1423438825691435009
튬튬,@Esme_FF14,2021-08-07T14:25:38.000Z,"튬튬
@Esme_FF14
·
Aug 7","고휴 카페 와  있습니다 :3c
에스메@초코보 ... 탐라 사람이라면 편하게 친추 주세요 :3c
2",,,,2,[],https://twitter.com/Esme_FF14/status/1424013873154121738
나는야 페버,@_Ferreromush,2021-08-04T09:04:03.000Z,"나는야 페버
@_Ferreromush
·
Aug 4","휴 카페에서 책읽다가야지........
1",,1,,,[],https://twitter.com/_Ferreromush/status/1422845777076908032
오맨,@oman_han,2021-08-13T00:53:39.000Z,"오맨
@oman_han
·
Aug 12","에휴 징구카페 갈 줄 알았다면
그때 화이대관 신청하는거였는데
4
7",🥲,4,,7,[],https://twitter.com/oman_han/status/1425983856469942274
