UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
피켈하우베 착용형 담륜,@sldn1206,2021-08-29T04:06:22.000Z,"피켈하우베 착용형 담륜
@sldn1206
·
Aug 28","중국놈들 약해졌다. 연애인 팬덤이나 가챠러들 잡아다가 1960년대처럼 칭하이나 간쑤로 하방시켜야지.
4
13
13",,4,13,13,[],https://twitter.com/sldn1206/status/1431830560574357513
BAN ALL MEAT!!!RIGHT NOW!!!,@VvL3847fgLFkg2a,2021-08-18T23:40:20.000Z,"BAN ALL MEAT!!!RIGHT NOW!!!
@VvL3847fgLFkg2a
·
Aug 18",칭하이 무상사의 긴급 호소 http://suprememastertv.com/kr1/v/140816719923.html…,,,,,[],https://twitter.com/VvL3847fgLFkg2a/status/1428139731359916034
엘리스,@elle70598021,2021-08-14T21:45:58.000Z,"엘리스
@elle70598021
·
Aug 14","중국 칭하이 탄광 사고 현장에 투입된 구조대원들
천지일보 - 새 시대 희망언론
newscj.com
1",,,,1,[],https://twitter.com/elle70598021/status/1426661399829180416
햇님♡H.JO,@hanjolove,2021-08-20T04:47:42.000Z,"햇님♡H.JO
@hanjolove
·
Aug 19","부디 비건이 되세요 기후 변화에 관한 칭하이 무상사님의 말씀 (출처 : 하늘피리♡.. | 블로그)
부디 비건이 되세요 기후 변화에 관한 칭하이 무상사님의 말씀
기후 변화에 관한 칭하이 무상사님의 말씀 발췌: 부디 비건이 되세요 ▷ Co2 - 지구 온난화에 영향, 1...
m.blog.naver.com",❣ ❣ 🌍,,,,[],https://twitter.com/hanjolove/status/1428579470139555840
Zoozeori Market,@zoozeori,2021-08-15T11:01:23.000Z,"Zoozeori Market
@zoozeori
·
Aug 15","국내 인공지능(AI) 스타트업 딥브레인AI(옛 머니브레인)가 독자 개발한 ‘AI 아나운서’를 중국 대형 방송사인 베이징방송과 칭하이방송에 공급했다. 텐센트 자회사 소고우와의 치열한 경쟁을 뚫었다. http://naver.me/5aVfQwgI
1",,,,1,[],https://twitter.com/zoozeori/status/1426861572463370242
햇님♡H.JO,@hanjolove,2021-08-29T23:36:18.000Z,"햇님♡H.JO
@hanjolove
·
Aug 29","[속보] (2021.8.27)칭하이 무상사의 코로나19에 대한 조언: 겸손하세요. 늘 기도하고 감사하세요 (출처 : 빛과 소리 .. | 블로그)
[속보] (2021.8.27)칭하이 무상사의 코로나19에 대한 조언: 겸손하세요. 늘 기도하고 감사하세요
m.blog.naver.com",🌈 🚩 🌈 🚩 🌻 ⭐ ⭐ ⭐,,,,['https://pbs.twimg.com/card_img/1442315953434337283/PVWA3nGO?format=png&name=360x360'],https://twitter.com/hanjolove/status/1432124985988972546
선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남,@soselizace,2021-08-29T16:13:18.000Z,"선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남
@soselizace
·
Aug 29","끈팔찌 마니나 약수촌 이경티 지쎈 페이딩 늘해랑 등기된 성접대 절연유 칭하이 장검 가금면 박재현 섹피썰 짚업티 하루를 김녕 가요무 매몰법 상떼힐 제이통 한유라 타임벨 윤재호 호의 봉황사 고인규 오반장

 프로필 체크FHOW",🇦,,,,[],https://twitter.com/soselizace/status/1432013498456870918
선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남,@soselizace,2021-08-30T03:13:05.000Z,"선불폰팅 남성전용 19금 24시간 지역폰팅 원나잇 지역만남
@soselizace
·
Aug 29","대잎차 블랙쨈 영인본 조선자 독이 화엄사 닭판매 명함함 사유서 왁싱바 포우즈 토릭 국순당 라무진 산승각 이오백 최고썰 델솔 델포이 뒤집기 영월역 이세종 칭하이 크롬렉 이문덕 코젤 루디팡 구자영 송학도

 프로필 참조PGTT",😄,,,,[],https://twitter.com/soselizace/status/1432179540248473604
SADAe (F4F 맞팔 선팔 相互 フォロバ 100),@sadae_F4F,2021-08-30T23:38:08.000Z,"SADAe (F4F 맞팔 선팔 相互 フォロバ 100)
@sadae_F4F
·
Aug 30",선팔 도라지 베스파 여성냉 정류장 촛점 한자설 감탄사 디아섹 아케인 전혜빈 캐플란 츄즈 고군분 메가통 스키오 장윤정 칭하이 이본 놋대야 문화장 수그루 옥로주 타코닉 천고아 접속자 항목 미시톡 개습진 여간첩 F4F 맞팔 相互 フォロバ 100%,,,,,[],https://twitter.com/sadae_F4F/status/1432487834640846851
LICO (F4F 맞팔 相互 互fo フォロバ),@livecore,2021-08-18T10:42:58.000Z,"LICO (F4F 맞팔 相互 互fo フォロバ)
@livecore
·
Aug 18",선팔 강태영 민지네 에리스 임현주 파카 청암사 권익위 복지회 송영애 유우코 칭하이 전통 노처녀 벽돌색 신축성 집매물 통역병 하선 고미술 백승희 셀프펌 이기숙 프로팩 홍성갑 은꼴사 슬퍼 디파티 능곡중 시대별 전집 이윤 #F4F #맞팔 #相互 100%,💯,,,,[],https://twitter.com/livecore/status/1427944103107510273
LICO (F4F 맞팔 相互 互fo フォロバ),@livecore,2021-08-16T10:52:54.000Z,"LICO (F4F 맞팔 相互 互fo フォロバ)
@livecore
·
Aug 16",선팔 길녹취 민속학 연결쇠 이기창 간도 치아키 고용보 리치원 오스모 자산동 프로티 기브 관능적 보통날 솔트랙 요요걸 칭하이 광둥 김유곤 면팬츠 어항돌 오투어 혀마비 하이스 인부복 병과 보세뜻 돌액자 신곡동 아롱 창렬 #F4F #맞팔 #相互 100%,💯,,,,[],https://twitter.com/livecore/status/1427221827428945923
