UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
사랑의 박대리,@5jsoftreasure,2021-07-05T09:44:25.000Z,"사랑의 박대리
@5jsoftreasure
·
7월 5일","지후니 오늘 텐션 완전하이하네ㅋㅋㅋㅋㅋㅋㅋ 하유랔댓부터 남한산성 닭갈비ㅋㅋㅋㅋㅋㅋㄱㄲ
4",,,,4,"['https://pbs.twimg.com/media/E5hgO10VgAENf3N?format=jpg&name=small', 'https://pbs.twimg.com/media/E5hgPIbVoAAftCQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5hgPSjUYAM7S8F?format=jpg&name=360x360']",https://twitter.com/5jsoftreasure/status/1411984300812115972
JIWON_P,@by_rine,2012-05-19T11:18:29.000Z,"JIWON_P
@by_rine
·
2012년 5월 19일",w/ 수 김견 (@ 산성닭갈비) http://4sq.com/L1VdXk,,,,,[],https://twitter.com/by_rine/status/203806829585776641
ChangkuePark,@ckpark1101,2011-09-23T12:11:14.000Z,"ChangkuePark
@ckpark1101
·
2011년 9월 23일","[티몬][인천][중앙역]매콤하게맛있는맛""산성닭갈비부대찌개"" : 8,000원(50%할인) 링크클릭 회원가입후 구입시 2,000원적립 http://is.gd/hbnGmp http://twitpic.com/6ob2ea at 21:11",,,,,[],https://twitter.com/ckpark1101/status/117209405291892736
달과바람,@zisanny,2013-03-30T17:21:47.000Z,"달과바람
@zisanny
·
2013년 3월 31일",산성 닭갈비&부대찌개 - 안산 중앙동 http://blog.naver.com/zisan2000/70164455136…,,,,,[],https://twitter.com/zisanny/status/318050437024591872
이정화,@tenprice1,2011-07-10T13:01:02.000Z,"이정화
@tenprice1
·
2011년 7월 10일",52% 할인 [안산] 산성닭갈비 [안산] 산성닭갈비 http://durl.me/c5ndb,,,,,[],https://twitter.com/tenprice1/status/90042849386700800
티켓다모아,@ticketdamoacom,2011-07-10T08:00:01.000Z,"티켓다모아
@ticketdamoacom
·
2011년 7월 10일","[쿠팡] [안산] 산성닭갈비 16,500원 -> 8,000원 http://www.ticketdamoa.com/34469 http://m.ticketdamoa.com",,,,,[],https://twitter.com/ticketdamoacom/status/89967093616869376
짱프라이스,@jjangprice2,2011-07-10T12:12:07.000Z,"짱프라이스
@jjangprice2
·
2011년 7월 10일","[짱프라이스] [쿠팡] [안산] 산성닭갈비 / 52% DC 8,000 원!!  http://jjangprice.com/shop_meta.php?NO=7023",,,,,[],https://twitter.com/jjangprice2/status/90030539146395648
원데이존,@onedayzone,2011-07-09T22:23:18.000Z,"원데이존
@onedayzone
·
2011년 7월 10일",소셜커머스 모음사이트 - 원데이존:[쿠팡-경기][안산] 산성닭갈비-http://www.onedayzone.com/,,,,,[],https://twitter.com/onedayzone/status/89821960812507136
이정화,@tenprice1,2011-09-22T03:10:00.000Z,"이정화
@tenprice1
·
2011년 9월 22일","50% 할인 [중앙역]매콤하게맛있는맛""산성닭갈비부대찌개"" 닭갈비와 부대찌개를 즐겨보자! http://tadak.kr/aff/ #yozm",,,,,[],https://twitter.com/tenprice1/status/116710811078107138
Dr.おゆんす,@yoonsoo0119,2021-06-16T12:16:14.000Z,"Dr.おゆんす
@yoonsoo0119
·
6월 16일",남한산성 남한산성 닭갈비 남한산성 남한산성 닭갈비 남한산성 남한산성 닭갈비 남한산성,,,,,[],https://twitter.com/yoonsoo0119/status/1405137139537367048
Nike,@Yangleman,2011-10-01T10:35:32.000Z,"Nike
@Yangleman
·
2011년 10월 1일",우아 여기 부대찌개 진짜 맛나 ^^ (@ 산성 닭갈비(안산)) http://4sq.com/o4fVmW,,,,,[],https://twitter.com/Yangleman/status/120084424611209218
glenn,@aj_leean,2011-07-14T09:50:07.000Z,"glenn
@aj_leean
·
2011년 7월 14일","산성닭갈비부대찌개에 발도장 쿡! 우리랑 부대찌개 
@imintwt
 http://bit.ly/noqysF",,,,,[],https://twitter.com/aj_leean/status/91444352500502530
호시쨩원더쇼의 ATM,@hosizora_kaoru,2011-08-28T14:55:53.000Z,"호시쨩원더쇼의 ATM
@hosizora_kaoru
·
2011년 8월 28일",혼자만 닭갈비먹고 RT @Kumopang http://artsnews.mk.co.kr/news/167099 여기나온 산성닭갈비부대찌개 저 안에 저있습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🌟 🐬,,,,[],https://twitter.com/hosizora_kaoru/status/107828754495184896
millirosieash,@ecwy_,2021-05-22T14:22:50.000Z,"millirosieash
@ecwy_
·
5월 22일","@ashislandpics
 님에게 보내는 답글
i think jinyoung posted the 남한산성 닭갈비 are referring to the intro of melody 
1",🤣,1,,,[],https://twitter.com/ecwy_/status/1396109303082143747
,@0314Donut,2021-07-05T11:48:22.000Z,"@0314Donut
·
7월 5일","남한산성 닭갈비

#트레저 #지훈
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3",🍩,,3,,[],https://twitter.com/0314Donut/status/1412015492739473413
ChangkuePark,@ckpark1101,2011-09-26T04:07:06.000Z,"ChangkuePark
@ckpark1101
·
2011년 9월 26일","[티몬][인천][중앙역]매콤하게맛있는맛""산성닭갈비부대찌개"" : 8,000원(50%할인) 링크클릭 회원가입후 구입시 2,000원적립 http://is.gd/hbnGmp http://twitpic.com/6pndq9 at 13:7",,,,,[],https://twitter.com/ckpark1101/status/118174733232648193
정용순,@ysjung0128,2015-05-01T04:09:31.000Z,"정용순
@ysjung0128
·
2015년 5월 1일",[안산중앙동맛집]산성닭갈비 & 부대찌개 http://blog.naver.com/ysjung0128/220346933272…,,,,,[],https://twitter.com/ysjung0128/status/593990609146290176
이정화,@tenprice1,2011-07-09T14:57:42.000Z,"이정화
@tenprice1
·
2011년 7월 9일",52% 할인 [안산] 산성닭갈비 [안산] 산성닭갈비 http://durl.me/c43br,,,,,[],https://twitter.com/tenprice1/status/89709820978016256
cupfun,@cupfun,2011-07-10T14:39:08.000Z,"cupfun
@cupfun
·
2011년 7월 10일","[쿱펀] [쿠팡] [안산] 산성닭갈비 / 52% DC 8,000 원!!  http://cupfun.com/shop_meta.php?NO=31605",,,,,[],https://twitter.com/cupfun/status/90067535030009856
텐프라이스,@tenprice20,2011-09-22T06:02:13.000Z,"텐프라이스
@tenprice20
·
2011년 9월 22일","50% 할인 [중앙역]매콤하게맛있는맛""산성닭갈비부대찌개"" 닭갈비와 부대찌개를 즐겨보자! http://tenprice.co.kr/bbs/board.php?bo_table=S2&wr_id=3844&page=… #yozm",,,,,[],https://twitter.com/tenprice20/status/116754152767492097
힙합퍼,@marlboro21c,2011-07-31T12:14:33.000Z,"힙합퍼
@marlboro21c
·
2011년 7월 31일","산성닭갈비부대찌개에 발도장 쿡! 내껀? 
@imintwt
 http://bit.ly/oKNent",,,,,[],https://twitter.com/marlboro21c/status/97641296029691904
유니_딘앨범존버단,@unipnidaman,2021-09-27T13:48:00.000Z,"유니_딘앨범존버단
@unipnidaman
·
9월 27일","남한산성.남한산성.닭갈비.
4",,,,4,[],https://twitter.com/unipnidaman/status/1442486183036997643
텐프라이스,@tenprice20,2011-07-10T16:17:50.000Z,"텐프라이스
@tenprice20
·
2011년 7월 11일",52% 할인 [안산] 산성닭갈비 [안산] 산성닭갈비 http://www.tenprice.co.kr/bbs/board.php?bo_table=S2&wr_id=1208&page=,,,,,[],https://twitter.com/tenprice20/status/90092373027192832
cupfun,@cupfun,2011-07-10T03:48:05.000Z,"cupfun
@cupfun
·
2011년 7월 10일","[쿱펀] [쿠팡] [안산] 산성닭갈비 / 52% DC 8,000 원!!  http://cupfun.com/shop_meta.php?NO=31424",,,,,[],https://twitter.com/cupfun/status/89903695436857344
텐프라이스,@tenprice20,2011-07-08T23:52:54.000Z,"텐프라이스
@tenprice20
·
2011년 7월 9일",52% 할인 [안산] 산성닭갈비 [안산] 산성닭갈비 http://www.tenprice.co.kr/bbs/board.php?bo_table=S2&wr_id=1171&page=,,,,,[],https://twitter.com/tenprice20/status/89482119356755969
짱프라이스,@jjangprice2,2011-07-10T06:12:06.000Z,"짱프라이스
@jjangprice2
·
2011년 7월 10일","[짱프라이스] [쿠팡] [안산] 산성닭갈비 / 52% DC 8,000 원!!  http://jjangprice.com/shop_meta.php?NO=6888",,,,,[],https://twitter.com/jjangprice2/status/89939937583042560
