UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
디망쉐,@WIl1OW_,2021-08-30T08:31:02.000Z,"디망쉐
@WIl1OW_
·
8월 30일","#멸망동경

신혼여행은 한겨울의 삿포로로 갈까? 라고 나지막이 말하는 죽기 한 달 남은 시한부의 예비신부 탁동경과 식을 울리는 2월에 삿포로에선 눈축제가 있으니 그때 가자. 하며 말하는 탁동경의 담당의이자 예비신랑인 멸망. 그리고 혼자 2월의 삿포로에 혼자 간 멸망으로 멸망동경보고싶다...
GIF
1
12
73",,1,12,73,[],https://twitter.com/WIl1OW_/status/1432259556114001920
한겨레,@hanitweet,2021-08-04T04:30:00.000Z,"한겨레
@hanitweet
·
8월 4일","올림픽의 꽃인 마라톤과 경보 경기가 열리는 삿포로가 21년 만에 폭염이 관측되는 등 무더위로 몸살을 앓고 있다. 도쿄의 여름 찜통더위를 피해 마라톤 등 일부 육상 경기는 눈의 도시로 유명한 삿포로 시내로 장소를 옮겼는데, 이곳마저도 무더위를 피할 수 없게 됐다.
눈의 도시 삿포로마저 21년 만에 폭염…마라톤·경보 ‘더위 비상’
찜통 도쿄 피해 삿포로로 7월 무더위로 열사병 최다 “선수들 목숨 걸고 경기”
hani.co.kr
1
19
7",,1,19,7,['https://pbs.twimg.com/card_img/1440582354888794112/Hgad28F0?format=jpg&name=small'],https://twitter.com/hanitweet/status/1422776811356758019
김 신,@so1amente_,2021-08-01T10:54:19.000Z,"김 신
@so1amente_
·
8월 1일","우리 천 살까지 만나 살까요. 그러면 어떨까요. 하루에 일 미터씩 눈이 내리고 천 일 동안 천 미터의 눈이 쌓여도 우리는 부둥켜안고 있을까요. 삿포로에 갈까요. 이 말은 당신을 좋아한다는 말입니다.

:: 이병률, <바람이 분다, 당신이 좋다>

#8월_누구보다_빠른_아기고양이_선점
@frommxx
GIF
2
3",🐈,,2,3,['https://pbs.twimg.com/tweet_video_thumb/E7szI-mUYAA7jN2.jpg'],https://twitter.com/so1amente_/status/1421786364106838021
チャプチャプソーダラブ,@natsunokoiwaxxy,2021-08-16T23:39:23.000Z,"チャプチャプソーダラブ
@natsunokoiwaxxy
·
8월 17일",삿포로의 눈 축제라거나··· 도쿄의 이케부쿠로라거나··· 크지만 사소한 것들도 다 좋다고 생각하는 걸,,,,,[],https://twitter.com/natsunokoiwaxxy/status/1427414717526536217
𝒕𝒐 𝒎𝒚 𝒇𝒊𝒙𝒆𝒅 𝒔𝒕𝒂𝒓,@F02MYL0V3,2021-08-18T12:37:44.000Z,"𝒕𝒐 𝒎𝒚 𝒇𝒊𝒙𝒆𝒅 𝒔𝒕𝒂𝒓
@F02MYL0V3
·
8월 18일",한겨울의 삿포로에 가요 밖은 온통 하얗고 눈이 쌓이는 고요 속에서 형 존재 하나만으로 내가 벅찰 수 있게,,,,,[],https://twitter.com/F02MYL0V3/status/1427972985911083016
미미,@valenti_rose127,2021-08-28T17:02:44.000Z,"미미
@valenti_rose127
·
8월 29일","겨울의 삿포로는 귀도리 하고 해맑게 눈 던지는 쟤노랑 추운거 싫지만 쟤노가 웃는거 보면서 쟤노랑 같이 있으면 겨울이 좋다고 생각하는 쟤민이로 잼젠이 보고싶고 여름의 후쿠오카는 대낮에 더워서 녹아내리면서도 저녁에는 밤공기 맡으면서 온천하는 잼젠이 보고싶어
6",,,,6,[],https://twitter.com/valenti_rose127/status/1431663550968176648
여러가지 기획,@yiabb,2021-08-05T22:29:12.000Z,"여러가지 기획
@yiabb
·
8월 6일","눈의 도시 삿포로마저 21년 만에 #폭염…마라톤·경보 ‘더위 비상’ : 일본 : 국제 : 뉴스 : 한겨레모바일
눈의 도시 삿포로마저 21년 만에 폭염…마라톤·경보 ‘더위 비상’
찜통 도쿄 피해 삿포로로 7월 무더위로 열사병 최다 “선수들 목숨 걸고 경기”
hani.co.kr",,,,,['https://pbs.twimg.com/card_img/1440582354888794112/Hgad28F0?format=jpg&name=small'],https://twitter.com/yiabb/status/1423410789948428288
青狼,@M30W_BW,2021-08-24T16:39:10.000Z,"青狼
@M30W_BW
·
8월 25일","히나토, 히나토. 일본 땅에서 가장 아름다운 건 너였어. 삿포로의 눈도, 도쿄의 밤도 너를 알고 난 후로는 시시했어. 히나토, 내가 가장 좋아하는 꽃은 해바라기야.",,,,,[],https://twitter.com/M30W_BW/status/1430208067849768965
바셰,@vanichez,2021-08-19T07:31:53.000Z,"바셰
@vanichez
·
8월 19일","청우 확신의 겨쿨인데
눈 욜라온 삿포로에서 검은 코트입고 화보 찍어줄거라고 의심치X",✨ ✨,,,,[],https://twitter.com/vanichez/status/1428258400949784580
동 일 서,@0uqRBYSeFFDPWY,2021-08-03T14:24:44.000Z,"동 일 서
@0uqRBYSeFFDPWY
·
8월 3일","영국의 셰프 드 미션 마크 잉글랜드는 해낼 수 없다 라디오 5 라이브 오브 사포로(삿포로)에 ""방금 그 사실을 집어들었다"" 고 말했다. ""실제로 올림픽 마을의 음식과 도쿄에서 만들어진 환경이 눈에 띄지 않아 실망스럽습니다.""",,,,,[],https://twitter.com/0uqRBYSeFFDPWY/status/1422564092473012225
