UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
사이버레즈사이코,@AfterLife_77,2021-08-13T12:42:26.000Z,"사이버레즈사이코
@AfterLife_77
·
8월 13일",저두 이모라고 부를랩쇼,,,,,['https://pbs.twimg.com/media/E8q-9H4VgAgfbqu?format=png&name=small'],https://twitter.com/AfterLife_77/status/1426162225585147906
호,@lunapr4,2021-08-13T08:38:44.000Z,"호
@lunapr4
·
8월 13일","탑텐두 이모양임
뚱녀는 멀입고살면되나요시방",📦 📦,,,,['https://pbs.twimg.com/media/E8qHNaLUcAEXk_t?format=jpg&name=small'],https://twitter.com/lunapr4/status/1426100899135381504
아폴론의 딸 다래,@Darae_5462,2021-08-15T08:10:54.000Z,"아폴론의 딸 다래
@Darae_5462
·
8월 15일","다래두 이모 보구 싶ㅇ어
갬져
@ki11erpotato
 · 8월 15일
저도
다래보고 십어요 twitter.com/Darae_5462/sta…
9",☀ ☀,,,9,"['https://pbs.twimg.com/media/E80UA39VoAUhcM-?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1430045241797611520/JJecIlED_mini.jpg']",https://twitter.com/Darae_5462/status/1426818667891683331
티오,@Te0_7126,2021-08-16T12:49:39.000Z,"티오
@Te0_7126
·
8월 16일","윌아키러 에게
<< 이 두 이모지는
소중해요
1
8",🌱 🔥,1,,8,[],https://twitter.com/Te0_7126/status/1427251205915353089
강 만춘 뒷사람 칠드런,@_child7smooth_,2021-08-03T07:21:03.000Z,"강 만춘 뒷사람 칠드런
@_child7smooth_
·
8월 3일",덕컾 뉴짤만 봐두 이모는 배불러 응응o(〃＾▽＾〃)o,,,,,[],https://twitter.com/_child7smooth_/status/1422457470736162821
로니,@HAPPI2R,2021-08-21T04:48:32.000Z,"로니
@HAPPI2R
·
8월 21일","아니 저 두 이모티콬 같이 쓰니까 싸패같네
어떡행...ㅜ
손 내려봐
ㅎㅎ",🌟,,,,[],https://twitter.com/HAPPI2R/status/1428942068001296386
시나,@rolllbang,2021-08-06T05:37:58.000Z,"시나
@rolllbang
·
8월 6일","현아언니두 이모라고 불렀던것같아요 결이
귀신같이 현제랑 친한 사람들만 이모라고 부르게 되는",🍑 🍓 🐙 🐢,,,,[],https://twitter.com/rolllbang/status/1423518691514150916
이나는 계이중!메인트 확인,@Laina_blook,2021-08-01T03:32:20.000Z,"이나는 계이중!메인트 확인
@Laina_blook
·
8월 1일","우리.홋두..이모가 많이애껴..
2",,,,2,[],https://twitter.com/Laina_blook/status/1421675135854026752
양철남욱군,@vigilotaku,2021-08-06T07:45:33.000Z,"양철남욱군
@vigilotaku
·
8월 6일","고요귀여워 성격은순딩인데,,힙하게입고다니는것두,,이모가기존나쎔인것두,,귀여워때리고싶ㅇㅓ",🥲 🥲 🥲,,,,[],https://twitter.com/vigilotaku/status/1423550797271343104
침착한새우티김,@ka_n_chon,2021-08-24T12:26:12.000Z,"침착한새우티김
@ka_n_chon
·
8월 24일","두 이모 지금 존 이리온 하는 중
1
1",,,1,1,[],https://twitter.com/ka_n_chon/status/1430144409237037058
,@f0s2il,2021-08-08T08:47:50.000Z,"@f0s2il
·
8월 8일","최유진,
전주 비빔밥 와플 맛집 두이모 딸래미라는 점에서
그리고 고향부터 말하고 시작하는 한국인이라는 점에서 
잠 대신 밥이라는 한국인이라는 점에서
매력도 70 업
2
1",,,2,1,[],https://twitter.com/f0s2il/status/1424291247078797317
어쩔왹동,@cho_dol,2021-08-19T11:02:36.000Z,"어쩔왹동
@cho_dol
·
8월 19일","우리집은 엄마가 일단., 집30분거리에서 일하구 회사두 이모부가 하시는데고 이모부도 같은 아파트단지에서 살아서 번호몰라도 어떻게 찾아가서 문뚜들기면 될거같긴한데 아빠랑 오빠는 전혀안댐.,특히오빠는아예 제주도에잇고 아빠는 근처아는사람두업구
막상전화오면패닉와서그것도안될거같기도",,,,,[],https://twitter.com/cho_dol/status/1428311429409435653
