UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
희진,@Hikari158,2021-08-07T12:27:32.000Z,"희진
@Hikari158
·
8월 7일","천둥번개가 토르 등장할거같이 치고있어
브링미 떼노스
5
7",🌸,5,,7,['https://pbs.twimg.com/media/E8MCCRvUYAg2Mfa?format=jpg&name=small'],https://twitter.com/Hikari158/status/1423984149040271366
도셋쿵야,@bournmouth_,2021-08-18T12:41:00.000Z,"도셋쿵야
@bournmouth_
·
8월 18일","머릿속에서 브링미 타노스 울리는 중
1",,1,,,['https://pbs.twimg.com/media/E9Eum1TVkAI-mae?format=jpg&name=small'],https://twitter.com/bournmouth_/status/1427973804005814274
곰탱이,@hihi_rdj,2021-08-26T11:08:33.000Z,"곰탱이
@hihi_rdj
·
8월 26일","인워초반토르,로키씬
어벤이들 슈와마먹는씬
아임아이론맨
브링미때노스
토르 라그나로크 그 장면(사진)
궁지 스타크
@gungzzi
 · 8월 26일
3. 마블 영화속 제일 좋아하는 장면은?
이 스레드 보기",,,,,"['https://pbs.twimg.com/media/E9tmKvXUcAActMK?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1438172473606897669/oP0knDa8_mini.jpg']",https://twitter.com/hihi_rdj/status/1430849643781365764
불고구마,@bulgoguma_,2021-08-07T07:50:30.000Z,"불고구마
@bulgoguma_
·
8월 7일",브링미 동동구리,,,,,[],https://twitter.com/bulgoguma_/status/1423914432778838018
당근당근,@danggeun0o0,2021-08-25T14:48:02.000Z,"당근당근
@danggeun0o0
·
8월 25일",쥐구멍 어딨어...브링미,,,,,[],https://twitter.com/danggeun0o0/status/1430542490445119495
불고구마,@bulgoguma_,2021-08-01T03:54:06.000Z,"불고구마
@bulgoguma_
·
8월 1일","브링미 콘서트
ㄴ여기 FNC U예요",,,,,[],https://twitter.com/bulgoguma_/status/1421680613589880834
빕,@eunbeeeeeep,2021-08-19T12:57:45.000Z,"빕
@eunbeeeeeep
·
8월 19일",브링미24,,,,,[],https://twitter.com/eunbeeeeeep/status/1428340408434663439
수타북스,@bitsend,2021-08-06T04:28:47.000Z,"수타북스
@bitsend
·
8월 6일",하이웨이 투 헬만 같이했구나...브링미 더 호라이즌도 했네...,,,,,[],https://twitter.com/bitsend/status/1423501280597614592
호랑이 열정으로 탈영병 잡는 역사쌤,@sweetbluehome1,2021-08-28T10:46:15.000Z,"호랑이 열정으로 탈영병 잡는 역사쌤
@sweetbluehome1
·
8월 28일","이끄러진 맘 뒤틀리는 사이~
마 브링미 다따따따라담
손에 쥔 담다따라담
저스트 부링미 담담다라담~~

달아나봐 좀 더 멀리~~
5",,,,5,[],https://twitter.com/sweetbluehome1/status/1431568806862680064
반,@Ha_lf_51,2021-08-15T16:54:28.000Z,"반
@Ha_lf_51
·
8월 16일","브링미 때노스..
진짜 브금이 한몫햇다..",,,,,[],https://twitter.com/Ha_lf_51/status/1426950427891834881
일육오,@Aroma_165,2021-08-02T23:41:46.000Z,"일육오
@Aroma_165
·
8월 3일",걸어서 출근하니까 벌써부터 땀이 삐질삐질... 브링미 홈..,,,,,[],https://twitter.com/Aroma_165/status/1422341886103101446
